范雎者，魏人也，字叔。	Phạm Thư Phạm Thư người nước Ngụy, tự là Thúc.
今臣闻秦太后、穰侯 用事，高陵、华阳、泾阳佐之，卒无秦王，此亦淖齿、李兑之类也。	Nay thần nghe Thái hậu và Nhương hầu ở Tần nắm chính sự, Cao Lăng, Hoa Dương, Kinh Dương phò tá, rốt cuộc không có Tần vương, việc đó cũng như việc của Náo Xỉ và Lý Đoài vậy.
且夫三代所以亡国者，君专授政，纵酒驰骋弋猎，不听政事。	Vả lại, sở dĩ thời Tam đại mất nước là vua trao toàn bộ quyền hành, mặc sức uống rượu săn bắn, không nghe chính sự.
其所授 者，妒贤嫉能，御下蔽上，以成其私，不为主计，而主不觉悟，故失 其国。	Người được trao quyền lại ghét hiền tài, chèn ép kẻ dưới, che mắt người trên, làm theo ý riêng, không nghĩ cho chủ, còn chủ không tỉnh ngộ, cho nên mất nước.
今自有秩以上至诸大吏，下及王左右，无非相国之人者。	Nay đám quan lại, trên là quan lớn, dưới đến tả hữu của đại vương, không ai không phải người của Tướng quốc.
见王 独立於朝，臣窃为王恐，万世之後，有秦国者非王子孙也。”昭王闻 之大惧，曰：“善。”於是废太后，逐穰侯、高陵、华阳、泾阳君於 关外。	Nhìn đại vương đứng một mình trong triều, thần trộm thấy lo thay cho đại vương, muôn đời sau, người nắm Tần không phải con cháu đại vương nữa.” Chiêu vương nghe xong cả sợ, nói: “Phải.” Thế rồi phế truất Thái hậu, đuổi Nhương hầu, Cao Lăng, Hoa Dương, Kinh Dương ra ngoài quan ải.
秦王乃拜范雎为相。	Tần vương bên phong Phạm Thư làm Tể tướng.
收穰侯之印，使归陶，因使县官给车牛以 徙，千乘有馀。	Thu ấn tín của Nhương hầu, sai về đất Đào. Nhân đó sai quan lại cấp xe và bò để chuyển đồ, đến hơn nghìn chiếc.
到关，关阅其宝器，宝器珍怪多於王室。	Đến quan ải, quan coi ải xét, bảo vật quý báu nhiều hơn cả vương thất.
秦封范雎以应， 号为应侯。	Tần phân phong cho Phạm Thư đất Ứng, hiệu là ứng hầu.
当 是时，秦昭王四十一年也。	Bấy giờ là năm Tần Chiêu vương thứ bốn mươi mốt.
范雎既相秦，秦号曰张禄，而魏不知，以为范雎已死久矣。	Phạm Thư đã làm Tể tướng nước Tần, người Tần gọi là Trương Lộc, trong khi đó nước Ngụy không biết, cho Phạm Thư đã chết từ lâu.
魏闻 秦且东伐韩、魏，魏使须贾於秦。	Ngụy nghe tin Tần sắp sang đông đánh Hàn và Ngụy, bèn sai sứ giả Tu Giả sang Tần.
范雎闻之，为微行，敝衣间步之 邸，见须贾。	Phạm Thư nghe tin, ngầm ra ngoài, mặc quần áo rách rưới đến nhà khách gặp Tu Giả.
须贾见之而惊曰：“范叔固无恙 乎！”范雎曰：“然。”须贾笑曰：“范叔有说於秦邪？”曰：“不 也。	Tu Giả thấy Phạm Thư thì rất đỗi kinh ngạc, nói: “Phạm thúc không sao ư?” Phạm Thư đáp: “Vâng.” Tu Giả cười nói: “Phạm thúc du thuyết Tần chăng?” Đáp: “Không.
雎前日得过於魏相，故亡逃至此，安敢说乎！”须贾曰：“今叔 何事？”范雎曰“臣为人庸赁。”须贾意哀之，留与坐饮食， 曰：“范叔一寒如此哉！”乃取其一綈袍以赐之。	Thư trước đây đắc tội với Tể tướng nước Ngụy, nên trốn đến đây, sao còn dám du thuyết nữa!” Tu Giả nói: “Nay thúc làm gì?” Phạm Thư đáp: “Tôi làm thuê cho người ta.” Tu Giả có ý thương xót, giữ lại cùng ngồi ăn uống, nói: “Phạm thúc cơ hàn đến thế này sao?” Bèn lấy chiếc áo bào thêu tặng Phạm Thư.
须贾因问曰：“秦相张君，公知 之乎？	Tu Giả nhân đó hỏi: “Tể tướng nước Tần là Trương quân, ông biết không?
吾闻幸於王，天下之事皆决於相君。	Tôi nghe ông ta được Tần vương tin yêu, việc thiên hạ đều do Tể tướng quyết định.
今吾事之去留在张君。	Nay việc của tôi thành hay bại đều ở Trương quân.
孺 子岂有客习於相君者哉？”范雎 曰：“主人翁习知之。	Tiểu tử ngươi biết ai quen Tể tướng không?” Phạm Thư đáp: “Ông chủ tôi quen Tể tướng.
唯雎亦得谒，雎请为见君於张君。”须贾 曰：“吾马病，车轴折，非大车驷马，吾固不出。”范雎曰：“原为 君借大车驷马於主人翁。”范雎归取大车驷马，为须贾御之，入秦相府。	Thư từng được bái kiến, Thư xin giúp ngài yết kiến Trương quân.” Tu Giả nói: “Ngựa ta bị ốm, xe lại gãy trục, không có xe bốn ngựa lớn, ta không đi được.” Phạm Thư nói: “Xin hỏi mượn chủ tôi cỗ xe bốn ngựa lớn cho ngài.” Phạm Thư về lấy xe lớn bốn ngựa kéo, đánh xe cho Tu Giả vào phủ Tể tướng nước Tần.
府中望见，有识者 皆避匿。	Người trong phủ trông thấy, ai biết đều trốn tránh.
须贾怪之。	Tu Giả lấy làm lạ.
至相舍门，谓须贾曰：“待我，我为君先入通於 相君。”须贾待门下，持车良久，问门下曰：“范叔不出，何 也？”门下曰：“无范叔。”须贾曰：“乡者与我载而入者。”门下 曰：“乃吾相张君也。”	Đến chỗ của Tể tướng Phạm Thư bảo Tu Giả: “Đợi tôi, tôi vào báo trước với Tể tướng cho ông.” Tu Giả chờ dưới cửa, giữ xe hồi lâu, liền hỏi môn hạ: “Sao Phạm thúc không ra?” Môn hạ đáp: “Không có ai là Phạm thúc.” Tu Giả nói: “Người hồi nãy vào cùng tôi đó.” Môn hạ đáp: “Đó là Tể tướng Trương quân của tôi đấy.” Tu Giả kinh hoàng, biết mình bị lừa, bèn cởi trần, đi bằng gối, nhờ môn hạ cho vào tạ tội với Phạm Thư.
须贾大惊，自知见卖，乃肉袒■行，因门下 人谢罪。	
於是范雎盛帷帐，待者甚众，见之。	Bấy giờ Phạm Thư giương đủ màn trướng, người hầu đông đúc, để gặp Tu Giả.
须贾顿首言死罪， 曰：“贾不意君能自致於青云之上，贾不敢复读天下之书，不敢复与 天下之事。	Tu Giả dập đầu nói mình tội chết, rằng: “Giả không ngờ ngài có thể tự mình lên đến mây xanh, Giả không dám đọc sách thiên hạ, không dám dự việc thiên hạ nữa.
贾有汤镬之罪，请自屏於胡貉之地，唯君死生之！”范雎 曰：“汝罪有几？”曰：“擢贾之发以续贾之罪，尚未足。”范雎 曰：“汝罪有三耳。	Giả có tội đáng ném vào vạc dầu, xin ngài đuổi ra nơi man dã, sống chết mặc ý ngài định đoạt.” Phạm Thư nói: “Ngươi có bao nhiêu tội?” Đáp: “Nhổ hết tóc trên đầu không kể hết tội của Giả.” Phạm Thư nói: “Ngươi có ba tội thôi.
昔者楚昭王时而申包胥为楚卻吴军，楚王封之以 荆五千户，包胥辞不受，为丘墓之寄於荆也。	Xưa, thời Sở Chiêu vương, Thân Bao Tư vì Sở đẩy lui quân Ngô, Sở vương phong năm nghìn hộ ở đất Kinh, Bao Tư từ chối không nhận, vì mộ tổ tiên ở cả đất Kinh vậy.
今雎之先人丘墓亦在 魏，公前以雎为有外心於齐而恶雎於魏齐，公之罪一也。	Nay mộ tổ tiên Thư ở Ngụy, trước ngươi cho Thư có ý riêng với Tề, gièm Thư với Ngụy Tề, đó là một tội.
当魏齐辱我 於厕中，公不止，罪二也。	Lúc Ngụy Tề làm nhục ta ở nhà xí, ngươi không ngăn, đó là tội thứ hai.
更醉而溺我，公其何忍乎？	Còn uống rượu say, tiểu tiện vào ta, sao người nhẫn tâm thế?
罪三矣。	Đó là tội thứ ba.
然公 之所以得无死者，以綈袍恋恋，有故人之意，故释公。”乃谢罢。	Nhưng ngươi sở dĩ được tha chết vì đã tặng ta chiếc áo bào thêu, có ý quyến luyến người cũ, nên tha cho ngươi đấy.” Tu Giả tạ tội cáo lui.
入 言之昭王，罢归须贾。	Phạm Thư vào cung nói với Chiêu vương, cho Tu Giả về.
须贾辞於范雎，范雎大供具，尽请诸侯使，与坐堂上，食饮甚 设。	Tu Giả từ biệt Phạm Thư, Phạm Thư mở tiệc lớn, mời toàn bộ sứ giả các chư hầu, cùng ngồi trên nhà, ăn uống linh đình.
而坐须贾於堂下，置豆其前，令两黥徒夹而马食之。	Bắt Tu Giả ở dưới nhà, đổ rau đậu trước mặt, sai hai tội đồ bị thích chữ vào mặt kẹp hai bên, bắt ăn như cho ngựa ăn.
数 曰：“为我告魏王，急持魏齐头来！	Phạm Thư mắng: “Báo với Ngụy vương, mau mang đầu Ngụy Tề đến!
不然者，我且屠大梁。”须贾 归，以告魏齐。	Nếu không, ta sẽ làm cỏ thành Đại Lương.” Tu Giả trở về báo với Ngụy Tề.
魏齐恐，亡走赵。匿平原君所。	Ngụy Tề sợ, trốn sang Triệu, náu ở chỗ Bình Nguyên quân.
范雎既相，王稽谓范雎曰：“事有不可知者三，有不柰何者亦 三。	Phạm Thư đã làm Tể tướng, Vương Kê nói với Phạm Thư: “Việc có ba điều không thể biết, cũng có ba điều chẳng biết làm sao.
宫车一日晏驾， 是事 之不可知者一也。	Xe cung một sớm ra muộn, là điều không thể biết thứ nhất.
君卒然捐馆舍，是事之不可知者二也。使臣卒然填 沟壑，是事之不可知者三也。	Ngài bỗng bỏ khách quán ra đi, là điều không thể biết thứ hai. Giá như tôi đột nhiên bị vứt ra ngòi rãnh, là điều không thể biết thứ ba.
宫车一日晏驾，君虽恨於臣，无可柰 何。	Xe cung một sớm ra muộn, ngài tuy giận tôi cũng chẳng biết làm sao.
君卒然捐馆舍，君虽恨於臣，亦无可柰何。	Ngài bỗng bỏ khách quán ra đi, ngài tuy giận tôi cũng chẳng biết làm sao.
使臣卒然填沟壑，君 虽恨於臣，亦无可柰何。”范雎不怿，乃入言於王曰：“非王稽之 忠，莫能内臣於函谷关；非大王之贤圣，莫能贵臣。	Giả như tôi đột nhiên bị vứt ra ngòi rãnh, ngài tuy giận tôi cũng chẳng biết làm sao.” Phạm Thư không vui, liền vào cung nói với Tần vương: “Không có lòng trung của Vương Kê, không ai đưa thần qua cửa Hàm Cốc được; không có bậc hiền như đại vương, chẳng ai cho thần hiển quý nổi.
今臣官至於相， 爵在列侯，王稽之官尚止於谒者，非其内臣之意也。”昭王召王稽， 拜为河东守，三岁不上计。	Nay thần làm quan đến Tể tướng, tước hầu, Vương Kê lại chỉ làm đến yết giả, đó không phải ý ông ta khi đưa thần sang nước Tần vậy.” Chiêu vương triệu Vương Kế đến, phong làm Quận thú Hà Đông, ba năm không báo chính sự lên triều đình.
又任郑安平，昭王以为将军。	Lại giao Trịnh An Bình trị nhậm, Chiêu vương phong Trịnh An Bình làm tướng quân.
范雎於是散家财物，尽以报所尝困戹者。一饭之德必偿，睚眦之怨必 报。	Thế rồi Phạm Thư phát tán gia tài, báo đáp tất cả người giúp mình trong cảnh cùng khốn, có ơn một bữa cơm cũng báo đền, oán dù chỉ cái trừng mắt cũng trả.
范雎相秦二年，秦昭王之四十二年，东伐韩少曲、 高平，拔之。	Phạm Thư làm Tể tướng nước Tần được hai năm, Tần Chiêu vương năm thứ bốn mươi hai, Tần tiến quân sang phía đông hạ Thiếu Khúc và Cao Bình của Hàn.
秦昭王闻魏齐在平原君所，欲为范雎必报其仇，乃详为好书遗平 原君曰；“寡人闻君之高义，原与君为布衣之友，君幸过寡人，寡人 原与君为十日之饮。”平原君畏秦，且以为然，而入秦见昭王。	Tần Chiêu vương nghe nói Ngụy Tề ở chỗ Bình Nguyên quân, muốn báo thù cho Phạm Thư, bèn vờ hữu hảo, gửi thư cho Bình Nguyên quân: “Quả nhân nghe ngài vốn cao nghĩa, xin kết làm bạn áo vải, may mắn ngài đến, quả nhân xin cùng uống rượu mười ngày.” Bình Nguyên quân sợ Tần, và cho thế là phải, bèn sang Tần gặp Chiêu vương.
昭王 与平原君饮数日，昭王谓平原君曰：“昔周文王得吕尚以为太公，齐 桓公得管夷吾以为仲父，今范君亦寡人之叔父也。	Chiêu vương cùng Bình Nguyên quân uống rượu mấy hôm, Chiêu vương nói với Bình Nguyên quân: “Xưa, Chu Văn vương được Lã Thượng, tôn làm Thái công, Tề Hoàn công được Quản Di Ngô, phong làm Trọng phụ, nay Phạm quân cũng là hàng thúc phụ của quả nhân.
范君之仇在君之 家，原使人归取其头来；不然，吾不出君於关。”平原君曰：“贵而 为交者，为贱也；富而为交者，为贫也。	Kẻ thù của Phạm quân đang ở nhà ngài, xin sai người về lấy đầu hắn đến; nếu không, ta không cho ngài ra khỏi cửa quan.” Bình Nguyên quân nói: “Người sang kết giao vì không quên lúc hèn, giàu mà kết giao vì không quên lúc nghèo.
夫魏 齐者，胜之友也，在，固不出也，今又不在臣所。”昭王乃遗赵王书 曰：“王之弟在秦，范君之仇魏齐在平原君之家。	Xét lẽ, Ngụy Tề là bạn của Thắng, có trong nhà, chắc chắn không thể nộp ra, huống nay không ở chỗ thần.” Chiêu vương liền gửi thư cho Triệu vương, thư viết: “Em trai nhà vua đang ở Tần, kẻ thù của Phạm quân là Ngụy Tề hiện ở nhà Bình Nguyên quân.
王使人疾持其头 来；不然，吾举兵而伐赵，又不出王之弟於关。”赵孝成王乃发卒围 平原君家，急，魏齐夜亡出，见赵相虞卿。	Nhà vua hãy sai người mang đầu hắn đến đây, nếu không, ta cất quân đánh Triệu, cũng không cho em ngài ra khỏi quan ải.” Triệu Hiếu Thành vương bèn phát binh bao vây nhà Bình Nguyên quân, nguy cấp, ban đêm Ngụy Tề trốn đi, gặp Tể tướng nước Triệu là Ngu khanh.
虞卿度赵王终不可说，乃 解其相印，与魏齐亡，间行，念诸侯莫可以急抵者，乃复走大梁，欲 因信陵君以走楚。	Ngu khanh đoán chắc không thể thuyết phục Triệu vương, bèn bỏ ẩn tướng, cùng Ngụy Tề bỏ trốn, theo đường nhỏ, muốn đến chư hầu nhưng không đến ngay được nước nào, bèn trở lại trốn ở Đại Lương, muốn nhờ Tín Lăng quân để chạy sang Sở.
信陵君闻之，畏秦，犹豫未肯见，曰：“虞卿何如 人也？”时侯嬴在旁，曰：“人固未易知，知人亦未易也。	Tín Lăng quân biết chuyện, sợ Tần, chần chừ chưa chịu gặp, hỏi: “Ngu khanh là người thế nào?” Bấy giờ Hầu Doanh ở bên, nói: “Con người vốn không dễ biết, biết người cũng không phải dễ.
夫虞卿蹑 屩檐簦，一见赵王，赐白璧一双，黄金百镒；再见，拜为上卿；三 见，卒受相印，封万户侯。	Xét lẽ, Ngu khanh mang guốc mộc áo tơi, cầu kiến Triệu vương lần thứ nhất, được ban một đôi ngọc bích trắng, trăm dật vàng; cầu kiến lần thứ hai, được bái làm thượng khanh; cầu kiến lần thứ ba, cuối cùng được nhận ấn tượng, phong hầu vạn hộ.
当此之时，天下争知之。	Lúc bấy giờ, thiên hạ tranh biết ông ta.
夫魏齐穷困过虞 卿，虞卿不敢重爵禄之尊，解相印，捐万户侯而间行。	Xét lẽ, Ngụy Tề cùng khốn mới qua chỗ Ngu khanh, Ngu khanh không dám trọng tước lộc cao quý, bỏ lại ấn tướng cùng tước hầu vạn hộ lén trốn đi.
急士之穷而归 公子，公子曰‘何如人’。	Kẻ sĩ nguy cấp khốn cùng về với công tử, công tử hỏi là người thế nào?
人固不易知，知人亦未易也！”信陵君大 惭，驾如野迎之。	Con người vốn không dễ biết, biết người cũng không phải dễ!” Tín Lăng quân cả thẹn, lên xe ra ngoài thành đón.
魏齐闻信陵君之初难见之，怒而自刭。	Ngụy Tề nghe ban đầu Tín Lăng quân cho việc tiếp kiến khó khăn, nổi giận cắt cổ tự tử.
赵王闻之， 卒取其头予秦。	Triệu vương hay tin, bèn lấy đầu Ngụy Tề mang sang cho Tần.
秦昭王乃出平原君归赵。	Tần Chiêu vương bèn thả Bình Nguyên quân về Triệu.
昭王四十三年，秦攻韩汾陉， 拔之，因城河 上广武。	Chiêu vương năm thứ bốn mươi ba, Tần đánh hạ được Phần Hình của Hàn, nhân đó đắp thành ở Quảng Vũ, phía trên sông Hà.
後五年，昭王用应侯谋，纵反间卖赵，赵以其故，令马服子 代廉颇将。	Năm năm sau, Chiêu vương theo kế của ứng hầu, tung phản gián mua chuộc Triệu, Triệu vì thế sai Mã Phục Tử cầm quân thay Liêm Pha.
秦大破赵於长平，遂围邯郸。	Tần cả phá Triệu ở Trường Bình, bèn vây Hàm Đan.
已而与 武安君白起有隙，言而杀之。任郑安平，使击赵。	Sau, ứng hầu có hiềm khích với Vũ An quân Bạch Khởi, nói Tần vương giết Bạch Khởi, tiến cử Trịnh An Bình, sai cầm quân đánh Triệu.
郑安平为赵所 围，急，以兵二万人降赵。	Trịnh An Bình bị Triệu bao vây, nguy cấp, đem hai vạn quân đầu hàng Triệu.
应侯席请罪。	Ứng hầu ngồi trên chiếu cỏ xin nhận tội.
秦之法，任人而所任不善 者，各以其罪罪之。	Theo pháp luật nước Tần, tiến cử người mà người đó phạm tội, cả hai cùng tội như nhau.
於是应侯罪当收三族。	Như vậy, tội của ứng hầu đáng giết ba họ.
秦昭王恐伤应侯之意，乃 下令国中：“有敢言郑安平事者，以其罪罪之。”而加赐相国应侯食 物日益厚，以顺適其意。	Tần Chiêu vương có ý sợ làm tổn thương Ứng hầu, bèn hạ lệnh trong nước: “Ai dám nói việc của Trịnh An Bình, xử chung tội với Trịnh An Bình.” Lại tặng thêm cho Tướng quốc Ứng hầu đồ ăn ngày càng hậu để Ứng hầu yên lòng.
後二岁，王稽为河东守，与诸侯通，坐法 诛。而应侯日益以不怿。	Hai năm sau, Vương Kê làm Thái thú Hà Đông, thông mưu với chư hầu, bị chém đầu theo luật, còn Ứng hầu ngày càng không vui.
昭王临朝叹息，应侯进曰：“臣闻‘主忧臣辱，主辱臣死’。	Chiêu vương lâm triều than thở, Ứng hầu bước lên, nói: “Thần nghe 'chúa lo bề tôi chịu nhục, chúa nhục bề tôi chịu chết.'
今 大王中朝而忧，臣敢请其罪。”昭王曰：“吾闻楚之铁剑利而倡优 拙。	Nay đại vương thiết triều mà lo lắng thế, thần xin chịu tội.” Chiêu vương nói: “Ta nghe nói kiếm sắt nước Sở sắc bén, ca hát múa lại kém.
夫铁剑利则士勇，倡优拙则思虑远。	Xét lẽ, kiếm sắt sắc thì binh sĩ dũng cảm, ca hát múa kém thì nghĩ ngợi sâu xa.
夫以 远思虑而御勇士，吾恐楚之图秦也。	Lấy suy nghĩ sâu xa để chế ngự binh sĩ dũng cảm, ta e Sở sẽ tính mưu đánh Tần.
夫物不素具，不可以应卒，今武 安君既死，而郑安平等畔，内无良将而外多敌国，吾是以忧。”欲以 激励应侯。	Việc gì không chuẩn bị đầy đủ, không thể ứng phó khi bất ngờ, nay Vũ An quân đã chết, còn bọn Trịnh An Bình phản bội, trong nước không có tướng giỏi, bên ngoài nhiều nước địch mạnh, vì thế ta lo lắng.” Chiêu vương muốn khích lệ Ứng hầu.
应侯惧，不知所出。	Ứng hầu sợ, không nghĩ được kế sách gì.
蔡泽闻之，往入秦也。蔡泽者，燕人也。	Sái Trạch biết chuyện nên sang Tần.
游学干诸侯小大甚众，不 遇。而从唐举相， 曰：“吾闻先生相李兑，曰‘百日之内持国秉’，有之乎？”曰：“有 之。”曰：“若臣者何如？”唐举孰视而笑曰：“先生曷鼻，巨肩， 魋 颜，蹙齃， 膝挛。	Sái Trạch Sái Trạch người nước Yên, du học cầu quan ở các chư hầu lớn nhỏ, đều không được dùng, đến chỗ người xem tướng là Đường Cử, hỏi: “Tôi nghe tiên sinh xem tướng cho Lý Đoài, nói: 'Trong vòng trăm ngày, nắm quyền quốc gia,' có chuyện ấy không?” Đáp: “Có chuyện đó.” Hỏi: “Như tôi thì sao?” Đường Cử nhìn kỹ cười bảo: “Tiên sinh mũi hếch, vai to, mặt thô, sống mũi tẹt, gối cong.
吾闻圣人不相，殆先生乎？”蔡泽知唐举戏之，乃 曰：“富贵吾所自有，吾所不知者寿也，原闻之。”唐举曰：“先生 之寿，从今以往者四十三岁。”蔡泽笑谢而去，谓其御者曰：“吾持 粱刺齿肥， 跃马疾驱，怀黄金之印，结紫绶於要，揖让人主之前，食 肉富贵，四十三年足矣。”去之赵，见逐。	Tôi nghe thánh nhân không dựa vào tướng mạo, có lẽ tiên sinh cũng thế chăng?” Sái Trạch biết Đường Cử đùa mình, bèn nói: “Giàu sang tôi tự có, điều tôi không biết là tuổi thọ thôi, xin được nghe điều ấy.” Đường Cử nói: “Tuổi thọ của tiên sinh, từ nay đến lúc đó là bốn mươi ba năm.” Sái Trạch cười, cảm tạ rồi đi, nói với người đánh xe: “Ta ăn gạo ngon thịt béo, ruổi ngựa chạy nhanh, luôn mang ấn vàng, thắt lưng kết dây thao tía, với chào trước mặt nhà vua, ăn thịt, giàu sang, bốn mươi ba năm đủ rồi.” Sái Trạch sang Triệu, bị đuổi; vào Hàn và Ngụy, trên đường bị cướp cả nồi lẫn chảo.
之 韩、魏，遇夺釜鬲 於涂。闻应侯任郑安平、王稽皆负重罪 於秦，应侯内惭，蔡泽乃西入秦。	Nghe nói Ứng hầu tiến cử Trịnh An Bình và Vương Kê, đều bị trọng tội ở Tần, Ứng hầu thầm hổ thẹn, Sái Trạch liền sang Tần.
将见昭王，使人宣言以感怒应侯曰：“燕客蔡泽，天下雄俊弘辩 智士也。	Trước khi yết kiến Chiêu vương, Sái Trạch sai người rêu rao chọc giận Ứng hầu: “Khách Yên là Sái Trạch, là kẻ sĩ trí tuệ, hùng tài tuấn kiệt, biện luận giỏi giang trong thiên hạ.
彼一见秦王，秦王必困君而夺君之位。”应侯闻，曰：“五 帝三代之事，百家之说，吾既知之，众口之辩，吾皆摧之，是恶能困 我而夺我位乎？”使人召蔡泽。	Người này vừa gặp Tần vương, Tần vương ắt làm khó ngài, rồi chiếm địa vị của ngài.” Ứng hầu nghe vậy, nói: “Việc thời Ngũ đế, Tam đại, thuyết của bách gia, ta đã biết cả, số đông biện bác, ta đều bẻ gãy, hắn sao có thể làm khó rồi cướp địa vị của ta được?” Liền sai người triệu Sái Trạch đến.
蔡泽入，则揖应。	Sái Trạch tới, bèn chào ứng hầu.
应侯固不快，及见 之，又倨，应侯因让之曰：“子尝宣言欲代我相秦，宁有之乎？”对 曰：“然。”应侯曰：“请闻其说。”蔡泽曰：“吁，君何见之晚 也！	Ứng hầu vốn không vui, nay gặp mặt, lại thấy ngông nghênh, bèn trách rằng: “Ông từng rêu rao muốn thay ta làm Tể tướng nước Tần, phải thế không?” Đáp: “Phải.” Ứng hầu nói: “Xin được nghe ông nói.” Sái Trạch nói: “Ôi, sao ngài biết muộn thế!
夫四时之序，成功者去。	Trật tự của bốn mùa, đã thành công sẽ phải lui.
夫人生百体坚彊，手足便利，耳目聪明 而心圣智，岂非士之原与？”应侯曰：“然。”蔡泽曰：“质仁秉 义，行道施德，得志於天下，天下怀乐敬爱而尊慕之，皆原以为君 王，岂不辩智之期与？”应侯曰：“然。”蔡泽复曰：“富贵显荣， 成理万物，使各得其所；性命寿长，终其天年而不夭伤；天下继其 统，守其业，传之无穷；名实纯粹，泽流千里， 世世称之而无绝，与天地终始：岂道德之符而圣人所谓吉祥 善事者与？”	Người ta thân thể cường tráng, tay chân lanh lẹ, tai mắt thông suốt, tâm sáng trí thánh, há không phải ý nguyện kẻ sĩ sao?” Ứng hầu đáp: “Phải.” Sái Trạch nói: “Coi trọng điều nhân, nắm lấy điều nghĩa, làm theo đạo lý, thi hành ân đức, đắc chí trong thiên hạ, thiên hạ tưởng nhớ, vui vẻ, cung kính, yêu mến, sùng mộ, đều một lòng tôn làm vua, há không phải kỳ vọng của kẻ trí giỏi biện luận ư?” Ứng hầu đáp: “Phải.” Sái Trạch lại nói: “Sang giàu vinh hiển, trị lý muôn vật, khiến thảy được ổn thỏa; tính mệnh trường thọ, trọn được tuổi trời, không phải chết yểu; thiên hạ nối được trường mối, giữ được cơ nghiệp, truyền mãi vô cùng; danh và thực đều toàn vẹn, phúc trạch lan đến ngàn dặm, đời đời xưng tụng không dứt, trọn vẹn cùng trời đất; há chẳng hợp đạo đức còn thánh nhân gọi là điềm lành, việc tốt ư?” Ứng hầu đáp: “Phải.” Sái Trạch nói: “Như Tần đối với Thượng quân, Sở đối với Ngô Khởi, Việt đối với đại phu Văn Chủng, kết cục của họ là điều mong muốn chăng?” Ứng hầu biết Sái Trạch muốn nói để làm khó mình, bèn phản bác: “Sao lại không thể?
应侯曰：“然。”蔡泽曰：“若夫秦之商君，楚之吴起，越之大夫种，其卒然亦可 原与？”应侯知蔡泽之欲困己以说，复谬曰：“何为不 可？夫公孙鞅之事孝公也，极身无贰虑，尽公而不顾私；设刀锯以禁 奸邪，信赏罚以致治；披腹心，示情素，蒙怨咎，欺旧友，夺魏公子 卬，安秦社稷，利百姓，卒为秦禽将破敌，攘地千里。	Công Tôn Ưởng thờ Tần Hiếu công, hiến hết tài năng không nghĩ gì khác, hết lòng vì việc chung không đoái tới chuyện riêng; dùng dao, cưa để cấm gian tà, thưởng phạt phân minh để được thái bình; phơi bày gan ruột, bộc lộ lòng thành, chịu oán hận, lừa bạn cũ, bắt công tử Ngang nước Ngụy, yên định xã tắc nước Tần, làm lợi trăm họ, tất cả vì Tần bắt tướng phá địch, mở đất nghìn dặm.
吴起之事悼王 也，使私不得害公，谗不得蔽忠，言不取苟合，行不取苟容，不为危 易行，行义不辟难，然为霸主强 国，不辞祸凶。	Ngô Khởi thờ Sở Điệu vương, khiến việc riêng không hại việc công, lời gièm không che mất lòng trung, phát ngôn không theo lời a dua, việc làm không chấp nhận tùy tiện, không vì nguy nan mà làm bừa, làm theo nghĩa không khỏi khó khăn, khiến chúa xưng bá, nước hùng cường mà không tránh khỏi tai họa.
大夫种之事越王也，主虽困辱，悉忠而不解，主虽绝 亡，尽能而弗离，成功而弗矜，贵富而不骄怠。	Đại phu Văn Chủng thờ Việt vương, chủ tuy khốn cùng nhục nhã, vẫn trọn lòng trung không thôi, chủ tuy nguy vong vẫn dốc hết khả năng không từ bỏ, thành công mà không tự đại, sang giàu mà không trễ nải kiêu căng.
若此三子者，固义之 至也，忠之节也。	Như ba người ấy, nhân nghĩa tột bực, tiết tháo trung thành.
是故君子以义死难，视死如归；生而辱不如死而 荣。	Cho nên quân tử vì nghĩa mà chết, xem chết như về; sống nhục không bằng thác vinh.
士固有杀身以成名，虽义之所在，虽死无所恨。	Kẻ sĩ vốn có thể chịu chết để thành danh, chỉ cốt giữ đạo nghĩa, chết cũng không ân hận.
何为不可 哉？”蔡泽曰：“主圣臣贤，天下之盛福也；君明臣直，国之福也；父 慈子孝，夫信妻贞，家之福也。	Sao cho là không thể?” Sái Trạch nói: “Chúa thánh tôi hiền, là phúc lớn của thiên hạ; vua sáng tôi ngay, là phúc của nước; cha từ con hiếu, chồng tín vợ trinh, là phúc của nhà.
故比干忠而不能存殷，子胥智而不能 完吴，申生孝而晋国乱。	Cho nên Tỷ Can trung thành nhưng không thể bảo tồn nhà Ân, Tử Tư tài trí nhưng không thể giữ vẹn nước Ngô, Thân Sinh hiếu nghĩa mà Tấn sinh rối loạn.
是皆有忠臣孝子，而国家灭乱者，何也？	Các nước đều có tôi trung con hiếu mà đất nước bị diệt vong loạn lạc. Tại sao vậy?
无 明君贤父以听之，故天下以其君父为僇辱而怜其臣子。	Vì không có vua sáng cha hiền nghe họ, nên thiên hạ coi vua, cha họ là nỗi sỉ nhục mà xót thương đám tôi con.
今商君、吴起、大夫种之为人臣，是也；其君，非也。	Nay bề tôi như Thương quân, Ngô Khởi, đại phu Văn Chủng là phải, vua họ là trái.
故世称三子致 功而不见德，岂慕不遇世死乎？	Cho nên người đời khen ba người có công lớn mà không được báo đáp bằng ân đức, há chuộng việc không gặp thời rồi phải chết ư?
