袁盎者，楚人也，字丝。	Viên Áng Viên Áng, người nước Sở, tự là Ty.
晁错已死，谒者仆射邓公为校 尉，击吴楚军为将。	Sau khi Triều Thố chết, yết giả Bộc xạ Đặng Công làm Hiệu úy, làm tướng đi đánh quân Ngô, Sở.
还，上书言军事，谒见上。	Trở về, dâng thư nói việc quân, rồi vào yết kiến.
上问曰：“道军所 来，闻晁错 死，吴楚罢不？”邓公曰：“吴王为反数十年矣，发怒削地，以诛错 为名，其意非在错也。	Hoàng thượng hỏi: “Ông từ trong quân đến, nghe tin Triều Thố đã chết, Ngô, Sở có bãi binh không?” Đặng Công đáp: “Ngô vương làm phản mấy chục năm rồi, giận vì bị tước đất phong, nên mượn danh nghĩa giết Thố, kỳ thực ý ông ta không phải vì Triều Thố vậy.
且臣恐天下之士噤口， 不敢复言也！”上曰：“何哉？”邓公曰：“夫晁错患诸侯 彊大不可制，故请削地以尊京师，万世之利也。	Và thần sợ kẻ sĩ trong thiên hạ nín lặng, không dám nói nữa.” Hoàng thượng hỏi: “Sao vậy?” Đặng Công đáp: “Xét lẽ, Triều Thố sợ chư hầu lớn mạnh, không thể khống chế, nên đề nghị tước đất phong để đề cao kinh sư, là mối lợi cho muôn đời.
计画始行，卒受大 戮，内杜忠臣之口，外为诸侯报仇，臣窃为陛下不取也。”於是景帝 默然良久，曰：“公言善，吾亦恨之。”乃拜邓公为城阳中尉。	Kế hoạch mới thi hành, cuối cùng bị giết, sẽ khiến trong triều trung thần bị chặn miệng, bên ngoài chư hầu sẽ báo thù, thần trộm vì bệ hạ cho là không nên.” Thế rồi Cảnh đế trầm ngâm hồi lâu, nói: “Ông nói phải, ta cũng hối hận về việc đó.” Bèn phong Đặng Công làm Trung úy ở Thành Dương.
邓公，成固人也， 多奇计。	Đặng Công, người Thành Cố, có nhiều kế lạ.
建元中，上招贤良，公卿言邓公， 时邓公免，起家为九卿。	Thời Kiến Nguyên, Hoàng thượng vời hiền lương, công khanh nói có Đặng Công, bấy giờ Đặng Công thôi chức, khởi dụng từ nhà làm đến cửu khanh.
一年，复谢病免归。	Được một năm, lại thác bệnh xin nghỉ về nhà.
其子章以脩黄老言显於 诸公间。	Con trai ông là Chương nhờ nghiên cứu đạo Hoàng - Lão mà nổi tiếng hơn cả Công khanh.
太史公曰：袁盎虽不好学，亦善傅会，仁心为质，引义慷慨。	Thái sử công bàn rằng: Viên Áng dẫu không ham học, cũng giỏi phụ hội, lấy lòng nhân làm gốc, dẫn thuật đại nghĩa, khảng khái dâng lời.
遭 孝文初立，资適逢世。	Gặp lúc Hiếu Văn đế mới lên ngôi, tài trí gặp thời.
时以变易，及吴楚一说，说虽行 哉，然复不遂。	Thời thế thay đổi, Ngô Sở làm phản, đưa ra một thuyết, thuyết tuy được thi hành, nhưng vẫn không thỏa chí.
好声矜贤，竟以名败。	Thích danh tiếng, khoe khoang tài năng, cuối cùng vì danh mà bại.
晁错为家令时，数言事不用； 後擅权，多所变更。	Triều Thố khi làm Gia lệnh, nhiều lần tấu việc nhưng không được dùng; sau chuyên quyền, thay đổi nhiều pháp lệnh.
诸侯发难，不急匡救，欲报私雠，反以亡躯。	Chư hầu phát binh gây áp lực, không uốn nắn ngay để cứu nước, toan báo thù riêng, trái lại mất mạng.
语 曰“变古乱常，不死则亡”，岂错等谓邪！	Tục ngữ nói: “Thay đổi chế độ thời cổ, làm rối loạn phép thường, không chết cũng phải bỏ trốn” có lẽ nói bọn Triều Thố chăng? Lục nghệ: tức Lục kinh, sáu cuốn kinh điển của Nho gia, bao gồm: Thi, Thư, Lễ, Nhạc, Dịch, Xuân Thư. Theo sách Thượng thư [Kinh Thư], đó là các chức quan thời Nghiêu- Thuấn. Thái công: tức Thái công Vọng Khương Tử Nha, người đã giúp Vũ vương nhà Chu đánh bại vua Trụ nhà Ân, giành lấy thiên hạ. Rau vi: một loài rau dại.
袁丝公直，亦多附会。	Tương truyền Khổng tử có đến 3. 000 học trò, trong đó có 72 người xuất sắc nhất, được hậu thế gọi là ”thất thập nhị hiền” (72 người hiền). Ở đây chỉ nói 70 người, có lẽ cho tròn số. Trọng Ni: tức Khổng tử. Nhan Uyên: tức Nhan Hồi, một trong những học trò xuất sắc nhất của Khổng tử, nhà nghèo nhưng đặc biệt hiếu học, được Khổng tử khen ngợi, tiếc thay mất sớm.
	Hậu thế xưng tụng là ”Phục thánh”.
	Đạo Chích: tương truyền là một tên trộm nổi tiếng thời cổ.
	Giả tử: tức Giả Nghị, danh thần thời Hán, rất giỏi về từ phú, nghị luận.
	Ngựa ký: một loại thiên lý mã.
	Đây dùng chỉ Khổng tử, cho rằng Nhan Uyên nhờ Khổng tử nên mới được lưu danh bất hủ.
	Bốn giềng mối: chỉ lễ, nghĩa, liêm, sỉ.
	Bao mao: một thứ cỏ dùng trong lễ tế thời cổ.
	Yến tử: tức Yến Anh, cũng phiên là Án Anh.
	Hoàng-Lão; tức Hoàng Đế và Lão tử.
	Hình danh: tức đối với mỗi danh phận, địa vị nhất định phải có khả năng phù hợp; thận trọng trong việc khen thưởng, biện rõ tội trạng.
	Tư Mã Nhương Tư: cũng có sách phiên là Tư Mã Nhương Thư.
	Nước Tấn sau bị chia làm ba nước là Hàn, Triệu và Ngụy.
	Bàng Quyên cầm quân nước Ngụy, một trong ba nước tách ra từ nước Tấn, cho nên gọi là ”Tam Tấn”.
	Tăng tử: cao đồ của Khổng tử, tác giả sách Đại học, hậu thế xưng tụng là ”Tông thánh”.
	Chấp khuê: cầm ngọc khuê, một chức phong tương đối cao đương thời.
	Hành nhân: chức quan phụ trách việc tiếp khách và nhận những vật phẩm người khác dâng biếu vua.
	Có chỗ phiên là ”Bá Hỷ”.
	Một thiên trong Thượng thư [sau thường gọi là Kinh Thư. ]
	Sư: tức Tử Trương.
	Sâm: tức Tăng Sâm.
	Sài: tức Cao Sài.
	Do: tức Trọng Do.
	Hồi: tức Nhan Hồi.
	Tứ: tức Tử Cống.
	Ý nói có thể làm được đến khanh đại phu.
	Ý nói mới nhập môn làm học trò chứ chưa học được cái đạo học của thầy.
	Cô: từ vua thời xưa dùng để tự khiêm xưng.
	Ý nói quang minh chính trực.
	Tì vết của viên ngọc khuê trắng.
	Lý: tức Khổng Lý, con trai Khổng tử.
	Niên hiệu của Hán Vũ đế, từ năm 128 tr.
	CN đến năm 123 tr.
	CN.
	Phủ: đồ để đong, bằng 6 đấu 4 thăng.
	Dữu: bằng 16 đấu.
	Chỉ sách Luận ngữ.
	Mười nhà thì hợp thành một ”thập”, năm nhà hợp thành một ”ngũ”.
	Một nhà phạm tội mà chín nhà kia không tố giác thì cả mười nhà bị tội lây.
	Nghề gốc: chỉ nghề nông.
	Phần ngọn: chỉ nghề buôn bán.
	Đại lương tạo: tức Đại thượng tạo, là bậc thứ 16 trong 20 tước vị của nước Tần.
	Ngũ Cổ đại phu: đại phu năm tấm da dê, chỉ Bách Lý Hề, bề tôi giỏi nước Tần thời Tần Mục công.
	Ý nói Tần vương chết.
	Khai tắc: Khai mở chỗ tắc; Canh chiến: cày ruộng và chiến đấu, đều là những thiên trong sách Thương quân thư của Thương Ưởng.
	Hộc và nhạn là các loài chim ưa sống ở vùng sâu trũng, hoặc gần vùng nước.
	Thành ngữ Trung Quốc có câu: ”Đoạn ngưu mã, tiệt hộc nhạn” (Đứt trâu ngựa, lìa hộc nhạn) để chỉ kiếm báu, hết sức sắc bén.
	Nước Tề không đặt quận mà đặt đô, gồm năm đô.
	Quan đứng đầu đô gọi là đại phu (như Tức Mặc đại phu, A đại phu.
	.
	.
	).
	Năm đô đều có quân thường trực trú đóng, gọi là ”quân năm đô” (ngũ đô chi binh).
	Lãnh địa của đại phu gọi là gia, nên ”quân năm đô” cũng gọi ”quân năm nhà” (ngũ gia chi binh).
	Khách khanh: tên chức quan thời Tần.
	Người nước ngoài làm quan tại bản quốc, địa vị là khanh, được đối đãi theo lễ đối với khách.
	Người Trung Quốc xưa cho mình là văn minh, các nước xa xôi ở phía bắc gọi là “địch”, nam là ”man”, đông là ”di”, tây là ”nhung”, đều bị coi là man di, lạc hậu.
	Kiệt và Trụ đều là các bạo chúa đời cuối thời Hạ và cuối đời Thương.
	Đây ý nói vua các nước này độc ác, tàn hại dân chúng chẳng khác gì Kiệt và Trụ khi xưa.
	Trung tạ: cũng viết là ”Trung xạ”, là quan thị ngự, hầu hạ bên cạnh vua.
	Quen đọc là ”lạn”.
	Nhận: đơn vị đo thời cổ, 1 nhận bằng 8 thước.
	Chỉ việc nước Yên sai Kinh Kha làm thích khách, hành thích Tần Thủy hoàng.
	Quân Kinh: tức quân nước Sở.
	Tử Tư: cháu nội của Khổng tử.
	Ý nói các ông vua đương thời.
	Lục thân: có nhiều quan niệm khác nhau song chung quy đều chỉ những người thân thiết trong gia đình như cha, mẹ, vợ, con.
	.
	.
	Bầu đựng dầu xe tuy cạn, nhưng hơ nóng thì dầu lại chảy ra.
	Đây ý nói Thuần Vu Khôn tri thức phong phú, không thể cùng kiệt.
	Kiên bạch: cứng và trắng.
	Công Tôn Long biện bác về ”kiên” (cứng) và ”bạch” (trắng), cho rằng cứng là dựa xúc giác mà biết, trắng là dựa vào thị giác mà biết, cho nên hai cái đó không thể đồng thời tồn tại.
	cửu đỉnh: chín vạc, được coi là báu vật truyền quốc của thời Tam đại (Hạ- Thương-Chu).
	Đại lã: chuông lớn trong tông miếu nhà Chu.
	Ngụy Tề là công tử nước Ngụy, làm Tướng quốc thời Ngụy Chiêu vương, có thù với Phạm Thư.
	Phạm Thư trốn sang Tần, làm Tướng quốc cho Chiêu Tương vương nước Tần, lập chí báo thù Ngụy Tề.
	Ngụy Tề trốn sang chỗ Bình Nguyên quân nước Triệu, Chiêu Tương vương uy hiếp Hiếu Thành vương nước Triệu, Ngu khanh cùng Ngụy Tề trốn sang Ngụy, muốn thông qua Tín Lăng quân để đến Sở.
	Tín Lăng quân sợ Tần, do dự chưa tiếp kiến.
	Hầu Doanh khuyên Tín Lăng quân diện kiến Ngu khanh.
	Ngụy Tề biết Tín Lăng quân không muốn giúp, bèn cắt cổ tự tử.
	Xem Bạch Khởi kiệt truyện.
	Xưa, ở biên giới, người ta cho đắp các ụ, khi có giặc xâm phạm thì đốt lửa làm hiệu, cũng có khi dùng phân chó sói để đốt, khói bay thẳng lên trời, có thể nhìn thấy từ xa, để thông báo tình hình nguy cấp.
	Xưa, chỗ ngồi bên trái xe được coi là chỗ quan trọng.
	Cao tổ: tức Hán Cao tổ Lưu Bang, người sáng lập nhà Hán.
	Lấy ý từ bài ”Đãng” trong phần Đại nhã của Kinh Thi.
	Lấy ý từ Thoán từ quẻ Vị tế trong Kinh Dịch.
	Câu này không có trong Kinh Thi.
	Có người cho đây vốn là câu văn trong một bản Kinh Thi đã thất truyền từ thời cổ, lại có người cho vốn là câu trong sách khác.
	Lấy ý từ bài ”Xảo ngôn” trong phần Tiểu nhã của Kinh Thi.
	Yết giả: người truyền đạt mệnh lệnh của nhà vua.
	Ý nói có ai là người tài giỏi để cùng mình sang phụ giúp nước Tần ở phía tây hay không?
	Quan đông: phía đông của quán ải, chỉ nước Tề ở phía đông.
	Ý nói đạt được công danh tột bậc.
	Ý nói nhà vua chết.
	Ý nói Phạm Thư chết.
	Ý nói mình chết.
	Sái Trạch: cũng phiên là ”Thái Trạch”.
	Ý nói sự việc đã lên đến tận cùng sẽ quay trở lại trạng thái đối lập ban đầu, để thuyết minh cho ý đoạn đầu, rằng sau khi thành công thì phải biết rút lui.
	Lấy ý câu nói của Khổng tử trong sách Luận ngữ.
	Lấy ý lời hào dương thứ năm trong quẻ càn – Kinh Dịch.
	Lấy ý câu nói của Khổng tử trong sách Luận ngữ.
	Thường đế vương tự xưng mình là ”cô”.
	Ở đây ngụ ý nói đời đời được phong vương tước.
	Lấy ý hào thứ sáu của quẻ càn – Kinh Dịch.
	Quẻ càn, hào thứ năm dương cương lên đến cực thịnh, đến hào thứ sáu, dương cương đã tột mức, như con rồng không thể bay cao quá, vì thịnh cực sẽ chuyển suy.
	Thời Xuân thu - Chiến quốc, các bộ sử thường chép theo lối biên niên nên gọi sử là sách Xuân thu.
	Có sách phiên là ”Nhạc Nhàn”.
	Tướng quốc họ Tào: tức Tào Tham, khai quốc công thần nhà Hán.
	Lận Tương Như: Có sách phiên là Lạn Tương Như.
	Một trong những nghi lễ quan trọng trong việc đón tiếp tân khách thời xưa.
	Ý nói chỉ có cái hình thức như chiếc đàn bình thường, nhưng khi gảy trục đàn sẽ bung ra, không thể gảy được.
	Tác giả ý nói Triệu Quát chỉ nhờ danh tiếng của cha mình chứ không có thực chất.
	Bào Tiêu: một ẩn sĩ đầu thời nhà Chu, theo thế truyền, ông nhân bất mãn với chính sự đương thời, tự giữ mình trong sạch, trốn vào rừng núi, ôm cây mà chết, được người đời sau khen là người trung liệt.
	Ý nói việc thiên tử băng hà.
	Thái lao: lễ dùng trong việc tế từ thời xưa, bao gồm ba loại lợn, trâu và dê.
	Biên Hòa cũng gọi là Hòa thị, người nước Sở thời Xuân thu.
	Theo sách Hàn Phi tử - Hòa thị: Biên Hòa đi chặt củi ở Kinh Sơn, tình cờ tìm được viên ngọc thô, đem dâng Sở Lệ vương rồi Sở Vũ vương, nhưng rốt cuộc bị chặt chân, mãi về sau Sở Văn vương mới biết đó là bảo vật, đem mài giũa thành ngọc bích họ Hòa nổi tiếng khắp thiên hạ.
	Đan chu: con trai đế Nghiêu: vì bị coi là kém cỏi nên đế Nghiêu không truyền ngôi cho mà truyền cho đế Thuấn.
	Xem thêm phần ”Ngũ đế bản kỷ”.
	Tượng: em trai khác mẹ của đế Thuấn.
	Tượng tính kiêu ngạo và tàn ác, rất bất mãn với Thuấn, từng cùng mẹ đẻ và cha Thuấn là Cổ Tẩu tìm cách giết Thuấn, nhưng Thuấn vẫn luôn nhún nhường, sau được Thuấn cảm hóa.
	Có thuyết cho là Tượng bị Thuấn lưu đày đi phương xa.
	Quản Thúc và Sái Thúc: là em cùng mẹ với Chu Vũ vương.
	Sau khi Vũ vương chết, con là Chu Thành vượng kế vị.
	Thành vương tuổi còn nhỏ, Chu công Đán nhiếp chính, Quản Thúc, Sái Thúc bất mãn làm phản, không lâu sau bị Chu công Đán dẹp tan, Quản Thúc bị giết, Sái Thúc bị lưu đày rồi chết tại nơi lưu đày.
	Xem ở phần ”Tô Tần liệt truyện”.
	Điền Thường: đại thần nước Tề thời Xuân thu.
揽辔见重，卻席翳赖。	Tề Giản công năm thứ tư (481), giết Giản công, ủng hộ việc lập Tề Bình công lên ngôi, được làm Tướng quốc, giết hết những người có thế lực lớn trong giới quý tộc nước Tề, mở rộng ấp phong của mình, chuyên quyền nước Tề. Tôn Thúc Ngao: phụ tá Sở Trang vương thi hành giáo hóa, dẫn dắt dân chúng nước Sở, thi hành nền chính sự khoan thư sức dân, giảm nhẹ hình phạt, phát triển kinh tế, chủ trương lấy dân làm gốc, giỏi về trị thủy, trị quốc, quân sự, được phong làm Tể tướng, khiến Trang vương xưng bá ở phương nam, nước Sở thành trong năm nước bá chủ thời Xuân thu. Sau, bị bệnh chết khi mới 18 tuổi. Ư Lăng Tử Trọng: người nước Tề, anh làm công khanh nước Tề, hưởng hậu lộc, nhưng ông cho là bất nghĩa, đem vợ con sang nước Sở, sống ở đất Lăng, giữ tiết thanh cao. Sở vương biết ông là người hiền, muốn phong là Tể tướng nhưng ông không nhận, rồi trốn đi làm người tới cây trong vườn.
	Thất tộc: chỉ người trong thân tộc nói chung.
	Yêu Ly: thích khách, người nước Ngô thời Xuân thu, người thấp bé, xấu xí nhưng có sức mạnh, đương thời nổi tiếng là tay kiếm giỏi, lại túc trí đa mưu.
	Sau khi Ngô vương Hạp Lư lên ngôi, phái Yêu Ly đi giết công tử nước Ngô là Khánh Kỵ.
	Yêu Ly thi hành khổ nhục kế, để vợ con bị Ngô vương giết, thiêu xác ngoài chợ nhằm làm Khánh Kỵ tin tưởng, tiếp cận Khánh Kỵ rồi giết chết.
	Viên châu minh nguyệt: loại ngọc có khả năng phát sáng vào ban đêm, tương tự ngọc dạ quang.
	Ngọc minh nguyệt và ngọc dạ quang đều là các loại ngọc trân quý.
	Long Phùng: Đại thần thời vua Kiệt nhà Hạ, vì trung thành, thẳng thắn can gián mà bị giết.
	Tả đồ: chức quan phụ trách việc can gián nhà vua.
	Quốc phong, Tiểu nha: đều là các phần trong Kinh Thi.
	Lấy chữ từ hào từ quẻ Tỉnh trong Kinh Dịch.
	Ngọc cẩn và ngọc du là hai thứ ngọc đẹp.
	Ly Lâu: tương truyền là một người rất sáng mắt thời cổ, có thể đứng cách trăm bước vẫn thấy rõ những vật nhỏ như mảy lông.
	Trùng Hoa: tức đế Thuấn, được đế Nghiêu truyền ngôi, cùng đế Nghiêu được coi là các bậc đế vương mẫu mực thời thượng cổ.
	Sông Nguyên và sông Tương, Sông Nguyên: khởi nguồn từ phía đông Định Đông của Quý Châu, chảy vào hồ Động Đình ở Hồ Nam.
	Sông Hương: khởi nguồn từ phía đông Linh Lăng của Hồ Nam, theo hướng bắc chảy vào hồ Động Đình.
	Đây là khu vực Khuất Nguyên bị lưu đày.
	Bá Nhạc: tương truyền là người xem tướng ngựa cổ.
	Ý cả câu: Bá Nhạc chết, không còn ai nhận ra được ngựa ký [thiên lý mã] nữa.
	Mạc da: cùng Can tương, đều là các thanh bảo kiếm, được coi như thần khí thời thượng cổ.
	Ký: tức ngựa ký, một loại thiên lý mã.
	Cả câu ý nói ngựa ký ngày đi ngàn dặm, là giống ngựa tuyệt quý mà lại bắt đi kéo xe muối nặng nề.
	Kỳ và ký đều là các loại ngựa quý, ngày đi ngàn dặm (thiên lý mã).
	Chín châu: chỉ cả thiên hạ.
	Tức bài ”Phục điểu phu” – bài phú về con quạ.
	Dẫn theo lời của Lão tử trong sách Đạo đức kinh, coi phúc và họa luôn đi với nhau, nương tựa vào nhau.
	Phó Duyệt xuất thân là một nô lệ.
	Vua nhà Ân là Vũ Đinh mơ thấy mình gặp thánh nhân, bèn đi tìm, gặp được Phó Duyệt.
	Sau, Phó Duyệt phò giúp Vũ Đinh lập nên đại nghiệp, được hậu thế xưng tụng.
	Nguyên là ”thụ ly”.
	Theo điển chế nhà Hán, sau khi làm lễ tế trời đất, nhà vua sai người đến tế, hoặc các quận trong nước sau khi tế xong, đều phải mang thịt tế về dâng nhà vua, để tỏ ý là nhà vua được nhận phúc từ thần, gọi là ”thụ ly”.
	Điện Tuyên Thất trong cung Vị Ương của nhà Hán.
	Ý nói Giả Nghị trình bày thuyết phục, Văn đế nhích đến trước chiếu Giả Nghị lúc nào không hay.
	Dĩnh: tức Dĩnh đô, kinh đô nước Sở.
	Cũng có chỗ phiên là ”Sính”.
	Thiên ”Nhan Uyên”, sách Luận ngữ viết: ”Tử Trương hỏi về kẻ sĩ: '[Kẻ sĩ] như thế nào được gọi là đạt? '
	Khổng tử hỏi lại: 'Theo ý con, đạt là thế nào? '
	Tử Trương đáp: 'Làm quan một nước có tiếng tăm, làm gia thần một nước có tiếng tăm. '
	Khổng tử nói: 'Như vậy là tiếng tăm không phải đạt.
	Người đạt thì chất phác chính trực, thích làm điều nghĩa, biết xét lời nói, quan sát nét mặt của người khác, biết suy nghĩ cho người dưới.
	Như vậy làm quan một nước sẽ đạt, làm gia thần cho một đại phu sẽ đạt.
	Còn người có tiếng tăm thì bề ngoài làm bộ nhân đức mà hành vi trái nhân đức, thế mà vẫn tin chắc rằng mình nhân đức.
	Như vậy làm quan một nước sẽ có tiếng tăm, làm gia thần một đại phu sẽ có tiếng tăm'.” Ở đây tác giả ý nói Lã Bất Vi là người có tiếng tăm nhưng không biết làm theo điều nhân cho nên cuối cùng bị bức bách, phải uống thuốc độc tự tử.
	Ý nói muốn tranh đoạt ngôi vua.
	Ý nói nếu xảy ra gì, công tử Quang sẽ lo liệu cho thân nhân của Chuyên Chư, giống như Chuyên Chư còn sống.
	Tục thời cổ, trước khi lên đường đi xa thì làm lễ tế thần đường, gọi là tế ”tổ 祖”.
	Biến chủy: một trong năm âm điệu thời cổ, là âm điệu của sự bi tráng.
	Ý nói đời người ngắn ngủi.
	Hàn tử: tức Hàn Phi.
	Thân tử: tức Thân Bất Hại.
	Ý nói Chu Thành vương lên ngôi khi còn thơ dại.
	Ký phủ: nơi lưu giữ văn thư, sử sách của nhà nước thời cổ.
	Tam tài: tức trời, đất và con người.
	Ngũ luân: chỉ năm mối quan hệ gồm vua tôi, cha con, vợ chồng, lớn nhỏ, bạn bè.
朝错建策， 屡陈利害。	Trực đạo: đường do Tần Thủy hoàng sai Mông Điềm làm, từ Cửu Nguyên (nay thuộc Nội Mông Cổ) đến Vân Dương (nay thuộc tỉnh Thiểm Tây). Ý nói Hán Cao tổ Lưu Bang khi còn là thường dân. Tức tương đương với các quan cửu khanh, lang tướng trong triều; các quận Quận thú, Quận úy ngoài quận. Thái Bá: con trai trưởng của Chu Thái vương, tự động rời nước Chu, đem quyền thừa kế nhường cho Quý Lịch, tức cha của Chu Văn vương. Diên Lăng Quý tử: tức công tử Quý Trát, cha và anh nhiều lần muốn lập làm Ngô vương nhưng đều khiêm nhường không chịu nhận.
	Ý nói mới chỉ nắm được một chút quyền lực nhưng đã âm mưu phản nghịch.
	Tức Hoài Âm hầu Hàn Tín.
	Chức quan nhỏ,lo việc tiếp khách.
	Tước vương tạm thời, chưa phải tước phong chính thức.
	Một lực sĩ người nước Tề thời Chiến quốc.
	Phân biệt với Hoài Âm hầu Hàn Tín đã có truyện riêng ở quyển trước.
	Người Hồ: chỉ Hung Nô.
	Yên chi: vợ của vua Hung Nô, cũng như cách gọi hoàng hậu của nhà Hán.
	Vua Hung Nô gọi là Thiền vu, vợ của Thiền vụ gọi là Yên chi.
	Ở đây chỉ vợ của Mặc Đốn.
	Thú tướng: chức vụ như Tướng quốc nhưng ở vị trí của Quận thú.
	Thời cổ dùng xe ngựa để đi, người đánh xe ngồi giữa, bậc tôn trưởng ngồi bên trái, người hộ vệ ngồi bên phải, gọi là “tham thừa”.
	Ý nói gần gũi với hoạn quan sẽ sinh họa, như việc Triệu Cao làm loạn triều chính sau khi Tần Thủy hoàng chết.
	Tức Trụ hạ sử, cũng chỉ chức Ngự sử.
	Trương Thương giỏi tính toán, lại làm Tướng quốc, nên được phong là Kế tướng.
	Chủ kế: chức quan phụ trách việc tính toán của cải, thuế khóa.
	Chí: chức quan nhỏ phụ trách cờ xí.
	Người xưa cho màu hành thủy là màu đen, hành mộc màu xanh, hành hỏa màu đỏ, hành thổ màu vàng, hành kim màu trắng.
尊主卑臣，家危国泰。	Tài quan: là hạng lính võ, hoặc quan chức ngạch võ cấp thấp. Chỉ việc bị thiến (cung hình. Người xưa sau khi bị thiến hoặc tự cung) được đưa xuống ”phòng tằm” cho kín gió, mau khỏi. Tức hàng Thị Lang, hoặc Lang trung. Ý nói đều đánh giết thiên tử để đoạt thiên hạ.
悲彼二子，名立身败！	Ý nói thuận theo tình thế sau khi đã bình định để chuyển đổi từ dùng vũ lực sang dùng cả văn lẫn võ. Nhà Tần vốn trước mang họ Doanh, sau do được phân phong nên lấy tên nước phong làm tên họ, từng được phong ở Triệu Thành nên còn mang họ Triệu. Loại xe dành cho thiên tử, lót xe và che lọng bằng lụa vàng, bên trái cắm cờ trang sức bằng đuôi một loài bò có lông đuôi dài gọi là ”mao ngưu”. Đoạn này ý nói Lục Giả đi sứ Nam Việt, thuyết phục Triệu Đà không tiếm dụng nghi lễ của thiên tử, không xưng đế. Trắc chú: một loại mũ thời cổ, còn gọi là mũ Cao sơn, có lẽ là loại mũ nhà nho hay đội.
	Trung quyên: tùy tòng thân cận của Bái công.
	Tức Lưu Kính.
国学网站	Câu này từ sách Đạo đức kinh của Lão tử. Ý nói Hà Đông là quận quan trọng. Hán Cao tổ sủng ái Thích phu nhân. Sau khi Cao tổ chết, Thích phu nhân bị Lã hậu chặt chân tay, chọc mù mắt, cho uống thuốc cấm rồi vứt vào nhà xí, gọi đó là ”lợn người”. Xem trong phần ”Lã Thái hậu bản kỷ”.
