淮阴侯韩信者，淮阴人也。	Hoài Âm hầu Hàn Tín, người Hoài Âm.
信引兵东，未渡平原，闻汉王使郦食其已说下 齐，韩信欲止。	Tín dẫn quân sang đông, chưa qua bến Bình Nguyên, hay tin Hán vương sai Lịch Dị Cơ đi thuyết phục Tề vương hàng, Hàn Tín muốn ngăn.
范阳辩士蒯通说信曰：“将军受诏击齐，而汉独发间 使下齐，宁有诏止将军乎？	Biện sĩ ở Phạm Dương là Khoái Thông nói với Tín rằng: “Tướng quân nhân chiếu đánh Tề, còn Hán sai mật sứ theo đường nhỏ đến Tề, đâu có chiếu lệnh cho tướng quân dừng lại?
何以得毋行也！	Sao có thể không đi được!
且郦生一士，伏轼 掉三寸之舌，下齐七十馀城，将军将 数万众，岁馀乃下赵五十馀，为将数岁，反不如一竖儒之功乎？”於 是信然之，从其计，遂渡河。	Và Lịch sinh là kẻ sĩ, nằm trên xe múa ba tấc lưỡi, hạ được hơn bảy mươi thành của Tề, tướng quân cầm mấy vạn binh, hơn năm mới hạ hơn năm mươi thành của Triệu, làm tướng mấy năm, trái lại không bằng công một anh nhà nho sao?” Tín cho là phải, theo kế Khoái Thông, bèn vượt Hoàng Hà.
齐已听郦生，即留纵酒，罢备汉守御信 因袭齐历下军，遂至临菑。	Tề nghe lời Lịch sinh, giữ lại uống rượu, bỏ hết các tuyến phòng ngự quân Hán. Tín nhân đấy đánh úp Tề ở Lịch Hạ, kéo đến Lâm Truy.
齐王田广以 郦生卖己，乃亨之，而走高密，使使之楚请救。	Tề vương Điền Quảng cho là Lịch sinh bán đứng mình, bèn nấu chết, rồi chạy về Cao Mật, sai sứ đến Sở xin cứu.
韩信已定临菑，遂东 追广至高密西。	Hàn Tín đã bình định Lâm Truy, bèn sang đông đuổi Quảng tới phía tây Cao Mật.
楚亦使龙且将，号称二十万，救齐。	Sở sai Long Thư làm tướng quân, phao tin đem hai mươi vạn quân để cứu Tề.
齐王广、龙且并军与信战，未合。	Tề vương Quảng và Long Thư hợp quân đánh Tín, chưa giao chiến.
人或说龙且曰：“汉兵远斗穷 战，其锋不可当。	Có người nói với Long Thư: “Quân Hán đi đánh ở xa, dốc sức chiến đấu, mũi nhọn của họ không thể cự nổi.
齐、楚自居其地战，兵易败散。	Tề, Sở đánh trên đất của mình, quân dễ thua chạy.
不如深壁，令齐王使其信臣招所亡城，亡城闻其王在，楚来 救，必反汉。	Chẳng bằng đào hào sâu, bảo Tề vương sai bề tôi thân tín chiêu dụ thành đã mất, thành đã mất biết vua mình hãy còn, lại có Sở đến cứu, ắt sẽ phản Hán.
汉兵二千里客居，齐城皆反之，其势无所得食，可无战 而降也。”龙且曰：“吾平生知韩信为人，易与耳。	Quân Hán đến đất khách, xa hai nghìn dặm, các thành Tề đều phản, tình thế không có gì ăn, không cần đánh cũng phải hàng.” Long Thư nói: “Ta bình sinh biết Hàn Tín ra sao, dễ đối phó thôi.
且夫救齐不战而 降之，吾何功？	Vả đi cứu Tề, chưa đánh đã khiến Tín hàng, ta còn công cán gì nữa.
今战而胜之，齐之半可得，何为止！”遂战，与信夹 濰水陈。	Nay đánh thắng, được nửa Tề, sao không đánh?” Bèn giao chiến, cùng Tín bày trận bên sông Duy Thủy.
韩信乃夜令人为万馀囊，满盛沙，壅水 上流，引军半渡，击龙且，详不胜，还走。	Hàn Tín ban đêm sai người làm hơn vạn túi, chứa đầy cát, chặn lấp phía trên sông, dẫn nửa quân vượt sông, đánh Long Thư, vờ thua chạy.
龙且果喜曰：“固知信怯 也。”遂追信渡水。	Long Thư quả mừng nói: “Biết ngay Tín nhát gan mà!” Liền vượt sông truy đuổi Tín.
信使人决壅囊，水大至。龙且军大半不得渡，即 急击，杀龙且。	Tín sai người thao túi cát chặn sông, nước xiết đổ xuống, quá nửa quân Long Thư không thể sang sông, Tín liền đánh gấp, giết được Long Thư.
龙且水东军散走，齐王广亡去。	Quân Long Thư bờ đông tan chạy, Tề vương Quảng bỏ trốn.
信遂追北至城阳， 皆虏楚卒。	Tín liền truy đuổi lên bắc, đến Thành Dương, bắt sống toàn bộ quân Sở.
汉四年，遂皆降平齐。使人言汉王曰：“齐伪诈多变，反覆之国 也，南边楚，不为假王以镇之，其势不定。	Hán vương năm thứ tư, Hàn Tín chiêu hàng rồi bình định Tề, sai người nói với Hán vương rằng: “Tề là nước trá ngụy, nhiều bất trắc, phản phúc, phía nam giáp Sở, nếu không lập giả vương để trấn giữ, tình thế không yên định được.
原为假王便。”当是时， 楚方急围汉王於荥阳，韩信使者至，发书， 汉王大怒，骂曰：“吾困於此，旦暮望若来佐我，乃欲自立 为王！”张良、陈平蹑汉王足，因附耳语曰：“汉方不利，宁能禁信 之王乎？	Xin được làm giả vương tiện bề xử trí.” Bấy giờ, Sở đang vây chặt Hán vương ở Huỳnh Dương, sứ giả của Tín đến, đưa thư, Hán vương cả giận, mắng rằng: “Ta bị vây khốn ở đây, sớm tối trông mong mày đến giúp, mày lại muốn tự lập làm vương!” Trương Lương Trần Bình giẫm vào chân Hán vương, nhân đó nói nhỏ vào tai: “Hán đương bất lợi, liệu có cấm Tín xưng vương được không?
不如因而立，善遇之，使自为守。	Chi bằng nhân đó cho lập, đối xử tốt, sai tự giữ đất ấy.
不然，变生。”汉王亦 悟，因复骂曰：“大丈夫定诸侯，即为真王耳，何以假为！”乃遣张 良往立信为齐王，徵其兵击楚。	Nếu không, sẽ sinh biến.” Hán vương cũng hiểu ra, nhân đó lại mắng: “Đại trượng phu bình định chư hầu, đó là vua đích thực, sao lại là giả?” Bèn sai Trương Lương tới lập Tín làm Tề vương, trưng dụng quân của Tín để đánh Sở.
楚已亡龙且，项王恐，使盱眙人武涉 往说齐王信曰：“天下共苦秦久矣，相与戮力击秦。	Sở đã mất Long Thư, Hạng vương sợ, sai Vũ Thiệp người Hu Thai du thuyết Tề vương là Tín rằng: “Thiên hạ đều khổ vì Tần lâu rồi, cùng nhau ra sức đánh Tần.
秦 已破，计功割地，分土而王之，以休士卒。	Tần đã bị diệt, tính công cắt đất, chia đất làm vua, để quân sĩ nghỉ.
今汉王复兴兵而东，侵人 之分，夺人之地，已破三秦，引兵出关，收诸侯之兵以东击楚，其意 非尽吞天下者不休，其不知厌足如是甚也。	Nay Hán vương lại dấy binh sang đông, chiếm phần của người, cướp đất của người, đã phá Tam Tần, dẫn quân xuất quan, thu quân chư hầu để sang đông đánh Sở, ý đồ không nuốt trọn thiên hạ thì không thôi, ông ta không biết chán biết đủ, thực quá lắm thay.
且汉王不可必，身居项王 掌握中数矣，项王怜而活之，然得脱，辄倍约，复 击项王，其不可亲信如此。	Vả Hán vương không thể tin hẳn, bị Hạng vương giữ mấy lần, Hạng vương thương nên cho sống, nhưng khi thoát được, liền bội ước, lại đánh Hạng vương, nên không thể gần gũi và tin cậy được.
今足下虽自以与汉王为厚交，为之尽力用 兵，终为之所禽矣。	Nay túc hạ tuy tự cho có giao tình sâu đậm với Hán vương, vì ông ta dốc sức dùng binh, cuối cùng cũng bị bắt thôi.
足下所以得须臾至今者，以项王尚存也。	Túc hạ sở dĩ được đến nay, vì Hạng vương hãy còn.
当今二 王之事，权在足下。	Nay, hai vua tranh thiên hạ, thắng bại ở túc hạ.
足下右投则汉王胜，左投则项王胜。	Túc hạ theo phải thì Hán vương thắng, theo trái thì Hạng vương thắng.
项王今日 亡，则次取足下。	Hôm nay Hạng vương bị diệt, kế đó sẽ là túc hạ.
足下与项王有故，何不反汉与楚连和，参分天下王 之？	Túc hạ và Hạng vương là chỗ quen cũ, sao không phản Hán liên kết với Sở, chia ba thiên hạ để làm vua?
今释此时，而自必於汉以击楚，且为智者固若此乎！”韩信谢 曰：“臣事项王，官不过郎中，位不过执戟， 言不听，画不用，故倍楚而归汉。	Nay mất thời cơ này, tự theo Hán để đánh Sở, bậc trí có làm thế chăng?” Hàn Tín tạ từ rằng: “Tôi thờ Hạng vương, làm quan chỉ là Lang trung, địa vị chỉ cầm kích thôi, nói không được nghe, kế không được dùng, nên phản Sở theo Hán.
汉王授我上将军 印，予我数万众，解衣衣我，推食食我，言听计用，故吾得以至於 此。	Hán vương trao cho tôi ấn thượng tướng quân, cho tôi mấy vạn quân, cởi áo cho tôi mặc, đưa cơm cho tôi ăn, nói lời được nghe, vạch kế được dùng, nên tôi mới được thế này.
夫人深亲信我，我倍之不祥，虽死不易。幸为信谢项王！”武涉已去，齐人蒯通知天下权在韩信，欲为奇策而感动之，以相 人说韩信曰：“仆尝受相人之术。”韩信曰：“先生相人何如？”对 曰：“贵贱在於骨法，忧喜在於容色，成败在於决断，以此参之，万 不失一。”	Người ta rất mực thân gần tin tôi, tôi phản là điều không may, dẫu chết tôi cũng không đổi, xin vì Tín này cảm tạ Hạng vương!” Vũ Thiệp đi rồi, Khoái Thông người Tề biết quyền thiên hạ Hàn Tín, muốn dùng kế lạ khiến Tín cảm động, dùng thuật xem tướng nói với Hàn Tín: “Tôi từng học thuật xem tướng.” Hàn Tín hỏi: “Tiên sinh xem tướng thế nào?” Đáp rằng: “Sang hèn thể hiện ở xương, vui buồn thể hiện ở sắc, thành bại thể hiện ở quyết đoán, dựa ba điều đó, vạn người không sai một.” Hàn Tín nói: “Hay lắm.
韩信曰：“善。先生相寡人何如？”对曰：“原少 间。”信曰：“左右去矣。”通曰：“相君之面，不过封侯，又危不 安。	Tiên sinh xem tướng quả nhân thế nào?” Đáp rằng: “Xin đợi lúc vắng người.” Tín nói: “Tả hữu đi cả rồi.” Thông nói: “Tướng mặt của ngài, chẳng qua chỉ được phong hầu, lại nguy chẳng yên.
相君之背，贵乃不可言。”韩信 曰：“何谓也？”蒯通曰：“天下初发难也，俊雄豪桀建号壹呼，天 下之士云合雾集，鱼鳞櫜鹓，熛至风起。	Tướng lưng của ngài, sang không sao nói xiết.” Hàn Tín hỏi: “Sao lại nói vậy?” Khoái Thông đáp: “Thiên hạ mới dấy binh chống Tần, tuấn hùng hào kiệt đều xưng vương cùng hô hào, kẻ sĩ thiên hạ tụ hợp như mây, xếp hàng như vảy cá, lửa bốc, gió thổi.
当此之时，忧在亡秦而已。	Lúc bấy, chỉ nghĩ làm sao để diệt Tần.
今楚汉分争，使天下无罪之人肝胆涂地，父子暴骸骨於中野，不可胜 数。	Nay, Sở và Hán phân tranh, khiến người vô tội trong thiên hạ ruột gan lầy đất, cha con phơi xương trắng ngoài đồng, nhiều không kể xiết.
楚人起彭城，转斗逐北，至於荥阳，乘利席卷，威震天下。	Người Sở dấy ở Bành Thành, vừa đánh vừa đuổi, kéo đến Huỳnh Dương, thừa thắng như cuốn chiếu, uy thế chấn động thiên hạ.
然兵 困於京、索之间，迫西山而不能进者，三年於此矣。	Nhưng quân bị khốn ở đất Kinh đất Sách, đã ba năm, bị núi phía tây ngăn không sao tiến được.
汉王将数十万之 众，距巩、雒，阻山河之险，一日数战，无尺寸之功，折北不救， 败荥阳，伤成皋， 遂走宛、叶之间，此所谓 智勇俱困者也。	Hán vương cầm mấy chục vạn quân, giữ đất Củng đất Lạc, dựa thế hiểm của núi và Hoàng Hà, một ngày đánh mấy trận, không được tấc đất nào, quân thua chạy lên bắc không thể tự cứu, bại ở Huỳnh Dương, bị thương ở Thành Cao, chạy đến đất Uyển đất Diệp, đó là kẻ trí người dũng đều bị khốn.
夫锐气挫於险塞，而粮食竭於内府，百姓罢极怨望， 容容无所倚。	Nhuệ khí bị bẻ nơi biên tái, lương thực cạn kiệt ở trong kho, trăm họ oán thán, thấp thỏm không chốn nương dựa.
以臣料之，其势非天下之贤圣固不能息天下之祸。	Theo tôi suy đoán, tình thế này nếu không phải bậc hiền thánh thiên hạ không thể dứt được họa này.
当今 两主之命县於足下。	Nay, tính mệnh hai chúa ở cả tay ngài.
足下为汉则汉胜，与楚则楚胜。	Ngài vì Hán thì Hán thắng, theo Sở thì Sở thắng.
臣原披腹心，输 肝胆，效愚计，恐足下不能用也。	Tôi xin phơi bày gan ruột, dốc hết mưu kế ngu muội, chỉ e ngài không theo thôi.
诚能听臣之计，莫若两利而俱存 之，参分天下，鼎足而居，其势莫敢先动。	Nếu theo kế của tôi, chẳng gì bằng khiến hai bên đều lợi, cùng được bảo tồn, chia ba thiên hạ, thành thế chân vạc, thế đó không ai dám động binh trước.
夫以足下之贤圣，有甲兵 之众，据彊齐，从燕、赵，出空虚之地而制其後，因民之欲，西乡 为百姓请命， 则天下风走而响应矣，孰敢不听！	Với sự hiền thánh của ngài, có quân binh đông đảo, chiếm Tề mạnh, khiến Yên, Triệu theo, xuất quân ra vùng trống trải mà khống chế phía sau, nhận điều dân muốn, hướng về tây giải cứu trăm họ, như vậy thiên hạ nghe tiếng gió mà hưởng ứng theo, ai dám không nghe!
割大弱彊， 以立诸侯，诸侯已立，天下服听而归德於齐。	Cắt nước lớn, làm yếu nước mạnh, để lập chư hầu, chư hầu đã lập, thiên hạ thần phục mà cảm tạ ân đức của Tề.
案齐之故，有胶、泗之 地，怀诸侯以德，深拱揖让，则天下之君王相率而朝於齐矣。	Chiếm đất cũ của Tề, có đất sông Giao sông Tứ, dùng đức vỗ về chư hầu, kín đáo khiêm nhường, khiến quân vương trong thiên hạ theo nhau vào chầu Tề vậy.
盖闻天 与弗取，反受其咎；时至不行，反受其殃。	Từng nghe, trời cho không lấy, trái lại bị tội; thời cơ đến không làm, trái lại bị tai ương.
原足下孰虑之。”韩信曰：“汉王遇我甚厚，载我以其车，衣我以其衣，食我以其 食。	Xin ngài suy nghĩ cho kỹ.” Hàn Tín nói: “Hán vương đãi tôi rất hậu, đem xe cho tôi ngồi, lấy áo cho tôi mặc, đem đồ cho tôi ăn.
吾闻之，乘人之车者载人之患，衣人之衣者怀人之忧，食人之食 者死人之事，吾岂可以乡利倍义乎！”蒯生曰：“足下自以为善汉 王，欲建万世之业，臣窃以为误矣。	Tôi nghe nói, ngồi xe của người, phải gánh lo cho người, mặc áo của người, cần chung lo với người, ăn cơm của người, chết vì việc của người, tôi há vì lợi mà bội nghĩa?” Khoái sinh nói: “Ngài tự cho đối tốt với Hán vương, muốn tạo dựng sự nghiệp muôn đời, tôi trộm cho là lầm.
始常山王、成安君为布衣时，相 与为刎颈之交，後争张黡、陈泽之事，二人相怨。	Thuở trước Thường Sơn vương, Thành An quân còn hàn vi, kết giao sinh tử, sau tranh chấp vì việc Trương Yểm, Trần Thích, hai người oán nhau.
常山王背项王，奉 项婴头而窜，逃归於汉王。	Thường Sơn vương phản bội Hạng vương, mang đầu Hạng Anh bỏ trốn, về với Hán vương.
汉王借兵而东下，杀成安君泜水之南，头 足异处，卒为天下笑。	Hán vương mượn quân xuống đồng, giết Thành An quân ở phía nam Trì Thủy, đầu nơi chân nẻo, bị thiên hạ chê cười.
此二人相与，天下至驩也。	Quan hệ của hai người, chí thiết trong thiên hạ.
然而卒相禽者，何 也？	Sau lại bắt giết nhau, sao vậy?
患生於多欲而人心难测也。	Họa nảy sinh từ chỗ nhiều ham muốn, lòng người khó dò.
今足下欲行忠信以交於汉王，必不能 固於二君之相与也，而事多大於张黡、陈泽。	Nay ngài muốn làm việc trung tín đối đãi Hán vương, cũng không thể thân hơn hai người kia, nhiều việc còn lớn hơn việc Trương Yểm, Trần Thích nữa.
故臣以为足下必汉王之 不危己，亦误矣。	Vì thế tôi cho ngài nghĩ Hán vương ắt không gây hại là lầm đấy.
大夫种、范蠡存亡越，霸句践，立功成名而身死 亡。	Đại phu Văn Chủng và Phạm Lãi bảo tồn nước Việt suy vong, khiến Câu Tiễn nên nghiệp bá, lập công thành danh mà người chết kẻ trốn.
野兽已尽而猎狗亨。	Dã thú đã hết, chó săn bị nấu.
夫以交友言之，则不如张耳之与成安君者 也；以忠信言之，则不过大夫种、范蠡之於句践也。	Lấy việc giao du mà nói, ngài không thể bằng Trương Nhĩ với Thành An quân; lấy sự trung tín để bàn, chẳng hơn được đại phu Văn Chủng, Phạm Lãi đối với Câu Tiễn.
此二人者，足以 观矣。	Hai hạng người ấy, đủ để xét soi.
原足下深虑之。	Xin ngài nghĩ cho kỹ.
且臣闻勇略震主者身危，而功盖天下者不赏。	Và tôi nghe, dũng lược át chủ, thân sẽ nguy, công trùm thiên hạ, không được thưởng.
臣请言大王功略：足下涉西河，虏魏王，禽夏说，引兵下井陉，诛成 安君，徇赵，胁燕，定齐，南摧楚人之兵二十万，东杀龙且，西乡以 报，此所谓功无二於天下，而略不世出者也。	Tôi xin nói về công lao, dũng lược của ngài. Ngài vượt sông Tây Hà, cầm tù Ngụy vương, bắt sống Hạ Duyệt, dẫn quân xuống Tỉnh Hình, giết Thành An quân, đoạt lấy Triệu, uy hiếp Yên, bình định Tề, xuống nam đánh tan hai mươi vạn quân Sở, sang đông giết Long Thư, sang tây báo tin, là công có một không hai trong thiên hạ, dũng lược hiếm có trên đời.
今足下戴震主之威，挟 不赏之功，归楚，楚人不信；归汉，汉人震恐：足下欲持是安归乎？	Nay ngài mang uy át chủ, mang công không thể thưởng, về Sở, người Sở không tin, theo Hán, người Hán lo sợ. Ngài muốn mang uy và công đó về đâu?
夫势在人臣之位而有震主之威，名高天下，窃为足下危之。”韩信谢 曰：“先生且休矣，吾将念之。”後数日，蒯通复说曰：“夫听者事之候也，计者事之机也，听过 计失而能久安者，鲜矣。	Xét địa vị bề tôi mà uy át chủ, danh chấn thiên hạ, tôi trộm thấy nguy thay cho ngài.” Hàn Tín cảm tạ nói: “Tiên sinh đừng nói nữa, tôi sẽ suy nghĩ điều ấy.” Mấy hôm sau, Khoái Thống lại nói: “Xét lẽ, lắng nghe là chuẩn bị sự việc, tính kế là mấu chốt sự việc, nghe lầm tính sai mà được yên ổn lâu dài, hiếm lắm.
听不失一二者，不可乱以言；计不失本末 者，不可纷以辞。	Nghe không làm một hai điều, không thể dùng lời làm cho loạn; tính kế không làm gốc ngọn, không thể dùng lời làm cho rối.
夫随厮养之役者，失万乘之权；守儋石之禄者， 阙卿相之位。	Làm việc của nô bộc, mất quyền vua vạn cỗ xe; giữ bổng lộc tủn mủn, mất đi địa vị khanh tướng.
故知者决之断也，疑者事之害也，审豪氂之小计，遗天下之大数，智 诚知之，决弗敢行者，百事之祸也。	Cho nên biết thì quyết đoán, ngờ thì hại việc. Thẩm xét kế nhỏ như mảy lông, bỏ mất vận số lớn thiên hạ, trí tuệ đủ biết việc mà không dám làm, là họa trong trăm việc vậy.
故曰‘猛虎之犹豫，不若蜂虿之 致螫；骐骥之跼躅， 不如驽马之安步；孟贲之狐疑，不如庸夫之必至也；虽 有舜禹之智，吟而不言，不如瘖聋之 指麾也’。	Cho nên nói: 'Mãnh hổ do dự, chẳng bằng con ong, bọ cạp hăng đốt; ngựa kỳ ngựa ký dùng dằng, chẳng bằng ngựa thường đều bước; Mạnh Bôn hồ nghi, chẳng bằng người thường quyết xốc tới; tuy trí tuệ như Nghiêu, Thuấn, ngậm miệng không nói, chẳng bằng kẻ câm điếc trỏ tay.'
此言贵能行之。	Những việc ấy quý ở chỗ hành động.
夫功者难成而易败，时者难得而易失也。	Công lao khó thành dễ bại, thời cơ khó được dễ mất.
时乎时，不再来。	Thời cơ không trở lại.
原足下详察之。”韩信犹豫不忍倍汉，又自以为功 多，汉终不夺我齐，遂谢蒯通。	Xin ngài hãy xét kỹ.” Hàn Tín do dự không nỡ phản bội Hán vương, lại tự cho mình nhiều công, Hán vương ắt không cướp Tề của mình, bèn tạ từ Khoái Thông.
蒯通说不听，已详狂为巫。	Khoái Thông thuyết phục không được, vờ điên rồi làm thầy đồng.
汉王之困固陵，用张良计，召齐王信，遂将兵会垓下。	Tề Hán vương bị khốn ở Cố Lăng, theo kế của Trương Lương, triệu Tề vương Tín đến, rồi cùng hội quân ở Cai Hạ.
项羽已 破，高祖袭夺齐王军。	Hạng Vũ bị đánh tan, Cao tổ đánh úp chiếm quân Tề vương.
汉五年正月，徙齐王信为楚王，都下邳。	Hán vương năm thứ năm, tháng Giêng, đổi phong Tề vương Tín làm Sở vương, đóng đô ở Hạ Bì.
信至国，召所从食漂母，赐千金。	Tín đến nước phong, triệu người đàn bà đập vải cho mình ăn ngày trước, tặng thưởng ngàn vàng.
及下乡南昌亭长，赐百钱，曰：“公，小人也，为德不卒。”召辱己 之少年令出胯下者以为楚中尉。告诸将相曰：“此壮士也。	Đến nhà Đình trưởng Nam Xương ở Hạ Hương, tặng thưởng trăm tiền, nói: “Ông là hạng tiểu nhân, làm phúc không cho trót.” Triệu người từng làm nhục mình bắt chui qua háng đến, cho làm Trung úy ở Sở, rồi bảo các tướng văn võ rằng: “Người này là tráng sĩ.
方辱我 时，我宁不能杀之邪？	Khi làm nhục ta, ta không thể giết y chăng?
杀之无名，故忍而就於此。”项王亡将锺离眛家在伊庐， 素与信善。	Giết y chẳng được danh gì, nên ta nhịn mà được như nay.” Tướng bỏ trốn của Hạng vương là Chung Ly Muội nhà ở Y Lư, vốn thân với Tín.
项王死後，亡归 信。	Sau khi Hạng vương chết, trốn về theo Tín.
汉王怨眛，闻其在楚，诏楚捕眛。	Hán vương giận Muội, nghe nói Muội ở Sở, hạ chiếu cho Sở bắt Muội.
信初之国，行县邑，陈兵出 入。	Tín mới đến nước phong, đi tuần huyện ấp, ra vào dàn quân hộ vệ.
汉六年，人有上书告楚王信反。	Hán Cao tổ năm thứ sáu, có người dâng thư cáo giác Sở vương Tín làm phản.
高帝以陈平计，天子巡狩会诸 侯，南方有云梦，发使告诸侯会陈：“吾将游云梦。”实欲袭信，信 弗知。	Cao đế theo kế Trần Bình, thiên tử tuần thú hội họp chư hầu, phương nam có đầm Vân Mộng, sai sứ báo chư hầu hội ở đất Trần, rằng: “Ta sẽ du ngoạn đầm Vân Mộng.” Kỳ thực muốn đánh úp Tín, Tín không biết.
高祖且至楚，信欲发兵反，自度无罪，欲谒上，恐见禽。	Cao tổ sắp đến Sở, Tín muốn dấy binh làm phản, tự xét vô tội, muốn yết kiến hoàng thượng, sợ bị bắt.
人或 说信曰：“斩眛谒上，上必喜，无患。”信见未计事。	Có người nói với Tín rằng: “Chém Muội để yết kiến, hoàng thượng ắt mừng, không lo gì nữa.” Tín gặp Muội bàn tính.
眛曰：“汉 所以不击取楚，以眛在公所。	Muội nói: “Nhà Hán sở dĩ không đánh lấy Sở, vì Muội ở chỗ ông.
若欲捕我以自媚於汉，吾今日死，公亦 随手亡矣。”乃骂信曰：“公非长者！”卒自刭。	Nếu muốn bắt tôi để làm đẹp lòng Hán vương, nay tôi chết đi, ông cũng bị diệt ngay thôi.” Bèn mắng Tín rằng: “Ông không phải bậc trưởng giả!” Rồi cắt cổ chết.
信持其首，谒高祖 於陈。	Tín mang đầu Muội đến, yết kiến Cao tổ ở đất Trần.
上令武士缚信，载後车。	Hoàng thượng lệnh võ sĩ trói Tín, chở sau xe.
信曰：“果若人言，‘狡兔死，良狗 亨； 高鸟 尽，良弓藏；敌国破，谋臣亡。’	Tín nói: “Quả như người ta nói: 'Thỏ khôn hết, chó khôn bị nấu; chim bay cao hết, nỏ cứng cất xó; nước địch bị phá, mưu thần phải chết.'
天下已定，我固当亨！”上 曰：“人告公反。”遂械系信。	Thiên hạ đã định, ta đáng bị nấu!” Hoàng thượng nói: “Có người cáo giác ông làm phản.” Rồi đóng gông Tín.
至雒阳，赦信罪，以为淮阴侯。	Đến Lạc Dương, xá tội Tín, cho làm Hoài Âm hầu.
信知汉王畏恶其能，常称病不朝从。	Tín biết Hán vương sợ, ghét tài mình, thường cáo ốm không vào chầu, không ra ngoài.
信由此日夜怨望，居常鞅 鞅，羞与绛、灌等列。	Từ đó Tín ngày đêm oán trách, ấm ức không vui, xấu hổ vì bị xếp ngang bọn Giáng hầu, Quán Anh.
信尝过樊将军哙，哙跪拜送迎，言称臣， 曰：“大王乃肯临臣！”信出门，笑曰：“生乃与哙等为伍！”上常 从容与信言诸将能不，各有差。上问曰：“如我能将几何？”	Tín hay qua nhà tướng quân Phan Khoái, Khoái quỳ vái khi đón đưa, xưng là “thần”, nói: “Đại vương chịu đến nhà thần!” Tín ra cổng, cười nói: “Ta nay ngang hàng đám Phàn Khoái.” Hoàng thượng lúc thư nhàn thường cùng Tín luận tài các tướng, xem ai cao thấp.
信 曰：“陛下不过能将十万。”上曰：“於君何如？”曰：“臣多多而 益善耳。”上笑曰：“多多益善，何为为我禽？”信曰：“陛下不能 将兵，而善将将，此乃言之所以为陛下禽也。	Hoàng thượng hỏi: “Như ta có thể cầm được bao nhiêu quân?” Tín đáp: “Bệ hạ chỉ cầm được mười vạn.” Hoàng thượng hỏi: “Ông thì thế nào?” Đáp: “Thần thì càng nhiều càng tốt.” Hoàng thượng cười hỏi: “Càng nhiều càng tốt, sao lại bị ta bắt?” Tín đáp: “Bệ hạ không giỏi cầm quân, mà giỏi nắm tướng, thế nên Tín mới bị bệ hạ bắt.
且陛下所谓天授，非人 力也。”陈豨拜为钜鹿守，辞 於淮阴侯。	Vả bệ hạ là trời ban, không phải sức người.” Trần Hy được phong Quận thú Cự Lộc, từ biệt Hoài Âm hầu.
淮阴侯挈其手，辟左右与之步於庭，仰天叹曰：“子可与 言乎？	Hoài Âm hầu cầm tay, đuổi tả hữu, cùng Hy dạo bước trong sân, ngẩng lên trời than rằng: “Tôi có thể nói với ông chăng?
欲与子有言也。”豨曰：“唯将军令之。”淮阴侯曰：“公之 所居，天下精兵处也；而公，陛下之信幸臣也。	Tôi có lời muốn nói.” Hy đáp: “Xin tướng quân sai bảo.” Hoài Âm hầu nói: “Chỗ ông, là chỗ tinh binh trong thiên hạ, còn ông là bề tôi được bệ hạ sủng tín.
人言公之畔，陛下必 不信；再至，陛下乃疑矣；三至，必怒而自将。	Người ta nói ông làm phản, bệ hạ nhất định không tin; nói lần nữa, bệ hạ sẽ ngờ; đến lần thứ ba, ắt nổi giận đích thân làm tướng.
吾为公从中起，天下 可图也。”陈豨素知其能也，信之，曰：“谨奉教！”汉十年，陈豨 果反。	Tôi vì ông, âm thầm hưởng ứng, có thể cướp được thiên hạ.” Trần Hy vốn biết tài Tín, tin theo, nói: “Vâng lời chỉ dạy!” Hán Cao tổ năm thứ mười, Trần Hy quả nhiên làm phản.
上自将而往，信病不从。阴使人至豨所，曰：“弟举兵，吾从 此助公。”信乃谋与家臣夜诈诏赦诸官徒奴，欲发以袭吕后、太子。	Hoàng thượng cầm quân đến đánh, Tín cáo ốm không theo, ngầm sai người đến chỗ Hy, nói: “Ông dấy binh, tôi ở đây giúp.” Tín bèn mưu cùng gia thần, ban đêm giả chiếu xá miễn cho tội đồ, nô bộc trong phủ quan, muốn phát binh đánh úp Lã hậu và Thái tử.
部署已定，待豨报。	Sắp đặt xong xuôi, đợi Hy báo tin.
其舍人 得罪於信，信囚， 欲杀之。	Môn khách nọ từng đắc tội với Tín, Tín bỏ tù, chực giết đi.
舍人弟上变，告信欲反状於吕后。	Em trai môn khách báo lên Lã hậu, nói Tín muốn làm phản.
吕后欲召，恐其党不就， 乃与萧相国谋，诈令人从上所来，言豨已得死，列侯群臣皆贺。	Lã hậu muốn triệu, nhưng sợ đồ đảng của Tín không đến, bèn mưu cùng Tướng quốc Tiêu Hà, vờ sai người từ chỗ Hoàng thượng tới, nói Hy đã chết, chư hầu quần thần đều mừng.
相国 绐信曰：“虽疾，彊入贺。”信入，吕后使武士缚信，斩之长乐锺 室。	Tướng quốc lừa Tín rằng: “Tuy ốm, gắng vào chúc mừng.” Tín vào cung, Lã hậu sai võ sĩ trói Tín, chém Tín ở nhà chuông trong cung Trường Lạc.
信方斩，曰：“吾悔不用蒯通之计，乃为 兒女子所诈，岂非天哉！”遂夷信三族。	Lúc sắp bị chém, Tín nói: “Ta hối hận không theo kế của Khoái Thông, bị đàn bà con trẻ lừa dối, há chẳng phải ý trời chăng?” Rồi giết cả ba họ nhà Tín.
