孔子曰：“六於治一也。	Khổng tử nói: “Lục nghệ xét về trị lý chỉ là một vậy.
今世之处 士，时虽不用，崛然独立，塊然独处，上观许由，下察接舆，策同范 蠡，忠合子胥，天下和平，与义相扶，寡偶少徒，固其常也。	Kẻ sĩ ẩn dật ngày nay, tuy đương thời không được trọng dụng vẫn hiên ngang, lừng lững một mình, xa thì xem Hứa Do, gần xét gương Tiếp Dư, kế sách giống như Phạm Lãi, trung thành hợp với Tử Tư, thiên hạ hòa bình, cùng giữ đạo nghĩa, ít bè thiếu bạn, vốn là lẽ thường.
子何疑 於余哉！”於是诸先生默然无以应也。	Các ông sao lại nghi ngờ tôi?” Thế là các đồng liêu lặng yên không đáp.
建章宫後閤重栎 中有物出焉，其状似麋。	Ở lan can hai lớp trên gác sau cung Kiến Chương xuất hiện một con vật, hình dáng giống con nai.
以闻，武帝 往临视之。	Hay tin, Vũ đế đích thân đến xem.
问左右群臣习事通经术者，莫能知。	Vua hỏi quần thần hiểu biết nhiều điều, tinh thông kinh thuật bên cạnh không ai biết.
诏东方朔视之。	Hạ chiếu với Đông Phương Sóc đến xem.
朔 曰：“臣知之，原赐美酒粱饭大飧臣，臣乃言。”诏曰：“可。”已 又曰：“某所有公田鱼池蒲苇数顷，陛下以赐臣，臣朔乃言。”诏 曰：“可。”於是朔乃肯言，曰：“所谓驺牙 者也。	Sóc nói: “Thần biết con vật này, xin ban mỹ tửu và thức ăn ngon ăn uống một bữa thịnh soạn, thần mới nói.” Hạ chiếu rằng: “Được.” Rồi lại nói: “Chỗ nọ có mấy khoảnh công điện, có ao cá, mọc cỏ bồ cỏ lau, bệ hạ ban cho thần, thần mới nói.” Chiếu ban rằng: “Được.” Thế rồi Sóc mới chịu nói, rằng: “Con này gọi là Sô nha.
远方当 来归义，而驺牙先见。	Phương xa theo về nẻo nghĩa, Sô nha xuất hiện trước.
其齿前後若一，齐等无牙，故谓之驺牙。”其 後一岁所，匈奴混邪王果将十万众来降汉。	Răng loài này trước sau giống nhau như một, phẳng như không có răng, cho nên gọi là Sô nha.” Sau đó độ một năm, Côn Da vương ở Hung Nô quả nhiên đem mười vạn quân chúng đến hàng nhà Hán.
乃复赐东方生钱财甚多。	Bèn ban rất nhiều tiền tài cho Đông Phương Sóc.
至老，朔且死时，谏曰：“诗云‘营营青蝇，止于蕃。	Về già, lúc Sóc sắp chết, can vua rằng: “Kinh Thi viết: 'Nhặng xanh đông đúc, đậu trên rào.
恺悌君 子，无信谗言。	Người quân tử vui vẻ gần gũi với người, không tin lời gièm.
谗言罔极，交乱四国’。	Lời gièm khôn cùng, làm rối loạn các nước bốn phương.'
原陛下远巧佞，退谗 言。”帝曰：“今顾东方朔多善言？”怪之。	Xin bệ hạ tránh xa bọn xảo ngôn xu nịnh.” Vua hỏi: “Nay đến như Đông Phương Sóc cũng nói nhiều lời hay thế ư?” Vua lấy làm lạ.
居无几何，朔果病死。	Không lâu sau, Sóc quả nhiên ốm chết.
传曰：“鸟之将死，其鸣也哀；人之将死，其言也善。”此之谓也。	Truyện viết: “Con chim sắp chết, tiếng hót bi ai; con người sắp chết, lời nói cũng tốt”, chính là nói trường hợp này.
武帝时，大将军卫青者，卫后兄也， 封为长平侯。	3. Thời Vũ đế, đại tướng quân Vệ Thanh là anh của Vệ hoàng hậu, được phong Trường Bình hầu.
从军击匈奴，至余吾水上而还，斩首捕虏， 有功来归，诏赐金千斤。	Đem quân đánh Hung Nô, đến phía trên sông Dư Ngô rồi rút, chém thủ cấp và bắt tù binh, có công trở về, chiếu ban nghìn cân vàng.
将军出宫门，齐人东郭先生以方士待诏公 车，当道遮卫将军车，拜谒曰：“原白事。”将军止车前，东郭先生旁车言曰：“王夫 人新得幸於上，家贫。	Tướng quân ra cửa cung, Đông Quách tiên sinh người nước Tề là phương sĩ chờ chiếu chỉ ở công xa, trên đường đi chặn xe Vệ tướng quân, bái yết rồi nói: “Xin bẩm báo một việc.” Tướng quân dừng xe trước mặt, Đông Quách tiên sinh ở bên cạnh xe nói: “Vương phu nhân mới được hoàng thượng sủng ái, nhà nghèo.
今将军得金千斤，诚以其半赐王夫人之亲，人 主闻之必喜。	Nay tướng quân được thưởng nghìn cân vàng, nếu lấy một nửa tặng cho cha mẹ Vương phu nhân, hoàng thượng biết, ắt rất vui.
此所谓奇策便计也。”卫将军谢之曰：“先生幸告之以 便计，请奉教。”於是卫将军乃以五百金为王夫人之亲寿。	Đó chính là kế lạ và tiện lợi vậy.” Vệ tướng quân cảm tạ rằng: “May được tiên sinh chỉ cho kế sách tiện lợi, xin kính cẩn nghe chỉ giáo.” Thế rồi Vệ tướng quân bèn mang năm trăm cân vàng chúc thọ cha mẹ Vương phu nhân.
王夫人以 闻武帝。	Vương phu nhân kể với Vũ đế.
帝曰：“大将军不知为此。”问之安所受计策，对曰：“受 之待诏者东郭先生。”诏召东郭先生，拜以为郡都尉。	Vũ đế nói: “Đại tướng quân không biết làm thế đâu.” Hỏi kế sách từ đâu, Vệ tướng quân nói: “Được người chờ chiếu chỉ là Đông Quách tiên sinh hiến cho.” Chiếu triệu Đông Quách tiên sinh đến, phong làm Quận đô úy.
东郭先生久待 诏公车，贫困饥寒，衣敝，履不完。	Đông Quách tiên sinh đợi chiếu ở công xa đã lâu, nghèo khốn đói rét, áo rách, giày cũng không còn lành.
行雪中，履有上无下，足尽践 地。	Đi trên tuyết, giày chỉ còn phần trên, không có phần đế dưới, cả bàn chân giẫm trên đất.
道中人笑之，东郭先生应之曰：“谁能履行雪中，令人视之，其 上履也，其履下处乃似人足者乎？”及其拜为二千石，佩青緺 出宫门，行谢主人。故所以同官待诏 者，等比祖道於都门外。	Người đi đường thấy vậy cười chê, Đông Quách tiên sinh trả lời rằng: “Ai có thể đi giày trên tuyết mà khiến người khác nhìn thấy phía trên là giày, chỗ dưới giày là chân không?” Đến khi được thăng quan trật hai nghìn thạch, Đông Quách tiên sinh đeo dây thao xanh ra khỏi cung, đến từ biệt chủ nhà trọ, người đó vốn cùng chờ chiếu như mình, đứng làm lễ tiễn biệt ngoài cổng đô thành.
荣华道路，立名当世。	Đông Quách tiên sinh trên đường vinh hoa, lập danh ở đời.
此所谓衣褐怀宝者也。	Đó gọi là người mặc áo vải thô mà mang của báu trong mình vậy.
当其贫困时，人莫省视；至其贵也，乃争附之。	Đang lúc nghèo khốn, không ai ngó ngàng; đến khi hiển quý, bèn đua nhau xu phụ.
谚曰：“相马 失之瘦，相士失之贫。”其此之谓邪？	Ngạn ngữ có câu: “Xem ngựa thấy gầy mà nhầm, xem kẻ sĩ thấy nghèo mà nhầm”, có lẽ là nói trường hợp này chăng?
王夫人病甚，人主至自往问之曰：“子当为王，欲安所置 之？”对曰：“原居洛阳。”人主曰：“不可。	4. Vương phu nhân bị bệnh nặng, nhà vua đích thân đến thăm, hỏi rằng: “Con nàng sẽ được phong vương, nàng muốn cho phong ở đâu?” Vương phu nhân đáp: “Xin phong ở Lạc Dương.” Nhà vua nói: “Không được.
洛阳有武库、敖仓， 当关口，天下咽喉。	Lạc Dương có kho vũ khí, kho lương Ngao Thương, là chỗ cửa quan, yết hầu của thiên hạ.
自先帝以来，传不为置王。	Từ thời tiên đế đến nay, truyền đời không phong vương cho ai ở Lạc Dương.
然关东国莫大於齐， 可以为齐王。”王夫人以手击头，呼“幸甚”。王夫人死，号曰“齐 王太后薨”。	Các nước được phong ở vùng Quan Đông, không nước nào lớn bằng Tề, có thể phong cho làm Tề vương.” Vương phu nhân lấy tay vỗ lên đầu, hô: “May mắn quá!” Vương phu nhân chết, được gọi là “Tề Vương thái hậu mất”.
昔者，齐王使淳于髡献鹄於楚。出 邑门，道飞其鹄，徒揭空笼，造诈成辞，往见楚王曰：“齐王使臣来 献鹄，过於水上，不忍鹄之渴，出而饮之，去我飞亡。	Trước đây, Tề vương sai Thuần Vu Khôn dâng chim hộc cho Sở, ra khỏi cổng thành ấp, trên đường chim hộc bay mất, chỉ còn chiếc lồng không, bèn thêu dệt nên chuyện, đến yết kiến Sở vương, nói: “Tề vương sai thần đến dâng chim hộc, qua sông, không nỡ để chim hộc khát, bèn bỏ ra cho uống nước, chim bỏ thần bay mất.
吾欲刺腹绞颈 而死。恐人之议吾王以鸟兽之故令士自伤杀也。	Thần chực đâm bụng, thắt cổ mà chết, nhưng sợ người ta nói nhà vua vì chuyện chim thú khiến kẻ sĩ tự tử.
鹄，毛物，多相类 者，吾欲买而代之，是不信而欺吾王也。欲赴佗国奔亡，痛吾两主使 不通。故来服过，叩头受罪大王。”楚王曰：“善，齐王有信士若此 哉！”厚赐之，财倍鹄在也。	Hộc là giống có lông, có nhiều loài tương tự, thần định mua con khác thay vào, nhưng như thế là không trung thực, lại còn lừa dối nhà vua, định chạy trốn sang nước khác, nhưng đau lòng vì sứ thần hai chúa không qua lại nữa, cho nên đến nhận lỗi, dập đầu nhận tội với đại vương.” Sở vương nói: “Tốt, Tề vương có kẻ sĩ thủ tín như thế ư?” Rồi tặng thưởng hậu hĩnh, tiền tài nhiều gấp đôi giá trị chim hộc.
武帝时，徵北海太守 诣行在所。	5. Thời Vũ đế, triệu Thái thú Bắc Hải đến hành cung.
有文学卒史王先生者，自请与太守俱，“吾有 益於君”，君许之。	Có viên Tốt sử phụ trách văn thư là Vương tiên sinh, xin đi cùng Thái thú, nói: “Tôi sẽ giúp ích cho ngài.” Thái thú đồng ý.
诸府掾功曹白云：“王先生嗜酒，多言少实，恐 不可与俱。”太守曰：“先生意欲行，不可逆。”遂与俱。	Các viên duyên lại, Công tào thưa rằng: “Vương tiên sinh ham rượu, nói nhiều mà ít thực chất, sợ không thể đi cùng ngài.” Thái thú đáp: “Ý tiên sinh muốn đi, không thể trái.” Bèn cùng đi.
行至宫 下，待诏宫府门。	Đến dưới hành cung, chờ chiếu ở cửa cung phủ.
王先生徒怀钱沽酒，与卫卒仆射饮，日醉，不视其 太守。	Vương tiên sinh chỉ mang tiền mua rượu uống cùng viên Bộc xạ phụ trách lính bảo vệ, say sưa cả ngày, không gặp Thái thú.
太守入跪拜。王先生谓户郎曰：“幸为我呼吾君至门内遥 语。”户郎为呼太守。太守来，望见王先生。	Thái thú vào quỳ lạy, Vương tiên sinh bảo viên canh cổng rằng: “Xin gọi giúp Thái thú tôi đến cổng trong để tôi nói vọng mấy lời.” Viên quan Lang canh cổng gọi Thái thú, Thái thú đến, từ xa trông thấy Vương tiên sinh.
王先生曰：“天子即问 君何以治北海令无盗贼，君对曰何哉？”对曰：“选择 贤材，各任之以其能，赏异等，罚不肖。”王先生曰：“对如是，是 自誉自伐功，不可也。	Vương tiên sinh hỏi: “Nếu thiên tử hỏi ngài cai trị Bắc Hải thế nào mà khiến không còn trộm cướp, ngài sẽ trả lời ra sao?” Đáp rằng: “Chọn lựa hiền tài, thảy giao việc đúng tài năng, thưởng người vượt trội, phạt kẻ kém cỏi.” Vương tiên sinh nói: “Đáp như thế là tự khen, tự khoe công của mình, không được.
原君对言，非臣之力，尽陛下神灵威武所变化 也。”太守曰：“诺。”召入，至于殿下，有诏问之曰：“何於治北 海，令盗贼不起？”叩头对言：“非臣之力，尽陛下神灵威武之所变 化也。”武帝大笑，曰：“於呼！	Xin ngài đáp rằng: 'Không phải sức của thần, thảy là do thần linh uy vũ của bệ hạ mới được như thế vậy'.” Thái thú đáp: “Vâng.” Triệu vào, đến dưới điện, có chiếu hỏi Thái thú rằng: “Sao cai trị ở Bắc Hải mà khiến trộm cắp không dấy lên?” Dập đầu đáp lời: “Không phải sức của thần, thảy là do thần linh uy vũ của bệ hạ mới được như thế vậy.” Vũ đế cả cười, nói: “Ôi!
安得长者之语而称之！安所受 之？”	Sao lại có lời của bậc trưởng giả để đáp lại thế?
对曰：“受之文学卒史。”帝曰：“今安在？”对曰：“在宫 府门外。”有诏召拜王先生为水衡丞，以北海太守为水衡都尉。	Ngươi tiếp thu từ ai?” Đáp rằng: “Thần tiếp thu từ viên Tốt sử phụ trách văn thư.” Vũ đế hỏi: “Giờ y ở đâu?” Đáp rằng: “Ở ngoài cổng cung phủ.” Có chiếu triệu vào, phong Vương tiên sinh làm Thủy hành thừa, lấy Thái thú Bắc Hải làm Thủy hành đô úy.
传 曰：“美言可以市，尊行可以加人。君子相送以言，小人相送以 财。”	Truyện nói: “Lời hay có thể đem trao đổi, phẩm hạnh cao có thể nhận thêm từ người khác”, “Người quân tử dùng lời nói tặng nhau, kẻ tiểu nhân dùng của cải tặng nhau”.
魏文侯时，西门豹为鄴令。	6. Thời Ngụy Văn hầu, Tây Môn Báo làm Huyện lệnh huyện Nghiệp.
豹往到鄴，会长 老，问之民所疾苦。	Báo đến huyện Nghiệp, hội kiến các trưởng lão, hỏi han nỗi khổ cực của dân.
长老曰：“苦为河伯娶妇， 以故贫。”豹问其故， 对曰：“鄴三老、廷掾常岁赋敛百姓，收取其钱得数百万，用其二三 十万为河伯娶妇，与祝巫共分其馀钱持归。	Các trưởng lão thưa: “Khổ vì việc cưới vợ cho Hà Bá, cho nên nghèo.” Báo hỏi nguồn cơn, đáp rằng: “Hằng năm quan Tam lão, Đình duyện của huyện Nghiệp thường thu thuế khóa của trăm họ, tiền thu được lên đến mấy trăm vạn, dùng hai ba mươi vạn để lấy vợ cho Hà Bá, cùng đồng cốt chia nhau số tiền thừa mang về.
当其时，巫行视小家女好 者，云是当为河伯妇，即娉取。	Đến đúng dịp hằng năm, đồng cốt thấy nhà nào có con gái đẹp, bảo: 'Cô này sẽ làm vợ Hà Bá', liền mang sinh lễ đến lấy.
洗沐之，为治新缯绮縠衣，间居斋 戒；为治斋宫河上，张缇绛帷， 女居其中。	Tắm gội cho cô gái đó, mặc y phục lụa là mới, cho ở một mình, trai giới; dựng trai cung bên bờ sông Hoàng Hà, giăng màn màu hồng đào, cho cô gái ở trong.
为具牛酒饭食，十馀日。	Chuẩn bị cho đủ thịt bò, rượu, cơm nước, làm hơn chục hôm.
共粉饰 之，如嫁女床席，令女居其上，浮之河中。	Cùng nhau son phấn trang điểm, có giường chiếu như gả con gái, cho cô gái ở trên, thả trôi trên sông Hoàng Hà.
始浮，行数十里乃没。	Ban đầu thì nổi, trôi đi được mấy chục dặm thì chìm.
其 人家有好女者，恐大巫祝为河伯取之，以故多持女远逃亡。	Nhà ai có con gái đẹp, chỉ sợ đồng cốt cưới cho Hà Bá, cho nên phần lớn đem con gái trốn thật xa.
以故城中 益空无人，又困贫，所从来久远矣。	Vì thế trong thành ngày càng trống vắng không người, lại nghèo khốn, việc này có từ lâu rồi.
民人俗语曰‘即不为河伯娶妇， 水来漂没，溺其人民’云。”西门豹曰：“至为河伯娶妇时，原三 老、巫祝、父老送女河上，幸来告语之，吾亦往送 女。”皆曰：“诺。”至其时，西门豹往会之河上。	Tục ngữ dân gian có câu: 'Nếu không lấy vợ cho Hà Bá, nước lớn tràn dâng, nhấn chìm người dân'.” Tây Môn Báo nói: “Đến lúc cưới vợ cho Hà Bá, mong các Tam lão, đồng cốt, phụ lão đưa tiễn cô gái trên sông Hoàng Hà, đến báo với tôi, tôi cũng đi tiễn cô gái.” Đều đáp: “Vâng.” Đến kỳ, Tây Môn Báo đến bên sông Hoàng Hà.
三老、官属、豪长者、里父老皆 会，以人民往观之者三二千人。	Các Tam lão, quan thuộc, thân hào trưởng giả, phụ lão trong làng đều có mặt, dân chúng có tới hai ba nghìn người đến xem.
其巫，老女子也，已年七十。	Đồng cốt lần này là bà lão đã bảy mươi tuổi.
从弟子 女十人所，皆衣缯单衣，立大巫後。	Nữ đệ tử đi theo có mười người, đều mặc áo the mỏng, đứng sau bà đồng.
西门豹曰：“呼河伯妇来，视其 好丑。”即将女出帷中，来至前。	Tây Môn Báo nói: “Gọi vợ Hà Bá ra đây, xem đẹp hay xấu.” Liền đưa cô gái trong màn đến trước mặt.
豹视之，顾谓三老、巫祝、父老 曰：“是女子不好，烦大巫妪为入报河伯，得更求好女，後日送 之。”即使吏卒共抱大巫妪投之河中。	Báo trông xem, quay lại bảo Tam lão, đồng cốt và các phụ lão: “Cô này không đẹp, phiền bà đồng xuống báo với Hà Bá, đổi tìm cô đẹp hơn, ngày sau đưa đi.” Liền sai lại tốt cùng khiêng bà đồng ném xuống sông Hà.
有顷，曰：“巫妪何久也？	Một lát, nói: “Sao bà đồng đi lâu thế?
弟 子趣之！”复以弟子一人投河中。	Đệ tử đi báo!” Lại đem một đệ tử bà đồng ném xuống sông.
有顷，曰：“弟子何久也？	Một lát, nói: “Đệ tử sao đi đâu thế?
复使一 人趣之！”复投一弟子河中。	Sai một người khác đi báo!” Lại ném một đệ tử khác xuống sông.
凡投三弟子。	Trước sau ném ba đệ tử.
西门豹曰：“巫妪弟子是 女子也，不能白事，烦三老为入白之。”复投三老河中。	Tây Môn Báo nói: “Đệ tử của bà đồng là con gái, không thể thưa rõ việc, phiền Tam lão đi bẩm báo sự việc.” Lại ném Tam lão xuống sông.
西门豹簪笔 磬折， 乡河立待良久。	Tây Môn Báo cài bút lên đầu, khom mình kính cẩn, hướng ra sông đứng đợi hồi lâu.
长老、吏傍 观者皆惊恐。	Các trưởng lão, quan lại đứng bên nhìn đều kinh sợ.
西门豹顾曰：“巫妪、三老不来还，柰之何？”欲复使 廷掾与豪长者一人入趣之。	Tây Môn Báo quay lại nói: “Bà đồng, Tam lão không về, làm sao bây giờ?” Lại định sai Đình duyện cùng hào trưởng, mỗi chức một người đi báo.
皆叩头，叩头且破，额血流地，色如死 灰。	Thảy dập đầu, dập đầu sắp vỡ, máu trên trán chảy xuống đất, sắc mặt tái mét như tro nguội.
西门豹曰：“诺，且留待之须臾。”须臾，豹曰：“廷掾起矣。	Tây Môn Báo nói: “Ừ, hãy nán lại chờ chốc lát.” Giây lâu, Báo nói: “Đình duyện đứng lên đi!
状河伯留客之久，若皆罢去归矣。”鄴吏民大惊恐，从是以後，不敢 复言为河伯娶妇。	Xem chừng Hà Bá giữ khách lại lâu, các ngươi hãy kết thúc rồi về.” Quan dân huyện Nghiệp kinh sợ bàng hoàng, từ đấy về sau, không dám nói việc lấy vợ cho Hà Bá nữa.
西门豹即发民凿十二渠，引河水灌民田， 田皆溉。	Tây Môn Báo huy động dân đào mười hai con kênh, dẫn nước sông Hoàng Hà vào tưới ruộng của dân, ruộng đều được tưới nước.
当其时，民治渠少烦苦，不欲也。	Bấy giờ, dân đào kênh thấy có chút vất vả nên không muốn làm.
豹 曰：“民可以乐成，不可与虑始。	Báo nói: “Dân chỉ có thể hưởng niềm vui khi việc đã xong, không thể cùng họ lo tính từ đầu.
今父老子弟虽患苦我，然百岁後期 令父老子孙思我言。”至今皆得水利，民人以给足富。	Nay con em các phụ lão tuy cho ta làm khổ họ, nhưng trăm năm sau con cháu các phụ lão sẽ nhớ đến lời ta.” Đến nay thảy đều được hưởng lợi từ các con kênh, người dân nhờ đó sung túc giàu có.
十二渠经绝驰 道，到汉之立，而长吏以为十二渠桥绝驰道，相比近，不可。	Mười hai con kênh cắt ngang đường xe đi, đến khi nhà Hán thành lập, trưởng lại cho rằng cầu qua mười hai con kênh chặn mất đường xe đi, lại gần nhau, không khả thi.
欲合渠 水，且至驰道合三渠为一桥。	Định hợp nhất các kênh, đến chỗ đường xe đi sẽ hợp ba con kênh làm một cây cầu.
鄴民人父老不肯听长吏，以为西门君所 为也，贤君之法式不可更也。	Người dân và phụ lão huyện Nghiệp không chịu nghe trưởng lại, cho là các kênh ấy do Tây Môn quân làm, khuôn phép của bậc hiền quân không thể canh cải.
长吏终听置之。	Trưởng lại rốt cuộc nghe theo, không sửa đổi nữa.
故西门豹为鄴令，名闻 天下，泽流後世，无绝已时，几可谓非贤大夫哉！	Xưa kia, Tây Môn Báo làm Huyện lệnh huyện Nghiệp, nổi danh thiên hạ, ơn trạch truyền cho đời sau, không lúc nào dứt, há có thể nói không phải đại phu hiền năng ư?
传曰：“子产治郑，民不能欺；子贱治单父，民不忍欺；西门豹 治鄴，民不敢欺。”三子之才能谁最贤哉？辨治者当能别之。滑稽鸱夷，如脂如韦。	Truyện viết: “Tử Sản cai trị nước Trịnh, dân không thể giả dối; Tử Tiện cai trị Đan Phủ, dân không nỡ giả dối; Tây Môn Báo cai trị đất Nghiệp, dân không dám giả dối.” Tài năng của ba vị đó ai đứng đầu?
敏捷之变，学不失词。淳于索绝， 赵国兴师。楚优拒相，寝丘获祠。伟哉方朔，三章纪之。国学网站	Người sáng suốt trong việc trị lý có thể phân biệt được.
