张仪者，魏人也。	Trương Nghi người nước Ngụy.
法令既明，士卒安难 乐死，主明以严，将智以武，虽无出甲，席卷常山之险，必折天下之 脊， 天下有後服者先亡。	Pháp lệnh đã rõ ràng, sĩ tốt vui vẻ dấn thân vào chỗ chết, chúa sáng lại nghiêm, tướng trí lại dũng, tuy không xuất binh, chỉ lấy vùng đất hiểm Thường Sơn, tất bẻ gãy sống lưng thiên hạ, thiên hạ kẻ nào phục tùng sau thì diệt vong trước.
且夫为从者，无以异於驱群羊而攻猛 虎，虎之与羊不格明矣。	Vả lại hợp tung, không khác gì lùa đàn dê đánh mãnh hổ, mãnh hổ đấu với dê chẳng xem cũng rõ.
今王不与猛虎而与群羊，臣窃以为大王之计 过也。	Nay đại vương không kết giao mãnh hổ lại đi kết giao đàn dê, thần trộm cho kế của đại vương sai lầm vậy.
“凡天下彊国，非秦而楚，非楚而秦，两国交争，其势不两立。	Phàm nước mạnh trong thiên hạ, không Tần thì Sở, không Sở thì Tần, hai nước giao tranh, thế không thể đứng chung.
大王不与秦，秦下甲据宜阳，韩之上地不通。	Đại vương không theo Tần, Tần đem quân xuống chiếm Nghi Dương, đường lên Thượng Địa nước Hàn không thông.
下河东，取成皋，韩必 入臣，梁则从风而动。	[Tần kéo] xuống Hà Đông, chiếm Thành Cao, Hàn ắt vào xưng thần, nước Lương nghe hơi gió đã chấn động.
秦攻楚之西，韩、梁攻其北，社稷安得毋危？	Tần đánh phía tây Sở, Hàn và Lương đánh phía bắc, xã tắc sao không nguy được?
“且夫从者聚群弱而攻至彊，不料敌而轻战，国贫而数举兵，危 亡之术也。	Vả người theo hợp tung tụ hội nước nhỏ đánh nước cực mạnh, không liệu thế địch lại khinh suất giao chiến, nước nghèo mà còn nhiều lần cất quân, là thuật nguy vong vậy.
臣闻之，兵不如者勿与挑战，粟不如者 勿与持久。	Thần nghe nói, quân chẳng bằng người, chớ nên khiêu chiến; thóc không bằng người, không giữ được lâu.
夫从人饰辩虚辞，高主之节，言其利不言其害，卒有秦 祸，无及为已。	Xét lẽ, người theo hợp tung toàn nói suông, đề cao khí tiết của chủ mình, nói đến lợi mà không xét tới hại, rốt cuộc có họa từ Tần, chẳng kịp làm gì cho mình.
是故原大王之孰计之。	Cho nên xin đại vương tính toán kỹ.
“秦西有巴蜀，大船积粟，起於汶山，浮江已下， 至楚三千馀里。	Tần phía tây có đất Ba đất Thục, thuyền lớn chở lương, khởi từ Vấn Sơn, theo sông đi xuống, tới Sở là hơn ba nghìn dặm.
舫船载卒，一 舫载五十人与三月之食，下水而浮，一日行三百馀里，里数虽多，然 而不费牛马之力，不至十日而距扞关。	Dùng thuyền lớn chở quân lính, một thuyền chở được năm mươi người và lương ăn trong ba tháng, xuôi dòng đi xuống, một ngày đi được hơn ba trăm dặm, tuy số dặm nhiều, nhưng không phí sức trâu ngựa, chưa đến mười ngày đã áp sát Hãn Quan.
扞关惊，则从境以东尽城守矣，黔中、巫郡非王之有。	Hãn Quan kinh động, từ biên giới sang phía đông thành nào cũng phải phòng thủ, Kiềm Trung và Vu Quận không phải của vua nữa.
秦 举甲出武关，南面而伐，则北地绝。	Tần cất quân ra Vũ Quan, xuống phía nam đánh, thì đất phía bắc [Sở] bị cắt đứt.
秦兵之攻楚 也，危难在三月之内，而楚待诸侯之救，在半岁之外，此其势不相及 也。	Quân Tần tấn công nước Sở, nguy khó chỉ trong ba tháng, còn Sở đợi chư hầu tiếp cứu mất hơn nửa năm, tình thế không theo kịp nhau.
夫弱国之救，忘彊秦之祸，此臣所以为大王患也。	Xét lẽ, cậy sự cứu viện từ nước yếu, quên cái họa của Tần hùng mạnh, là điều thần lo thay cho đại vương vậy.
“大王尝与吴人战，五战而三胜，阵卒尽矣；偏守新城， 存 民苦矣。	Đại vương từng giao chiến với người Ngô, đánh năm thắng ba, sĩ tốt tinh nhuệ đều đã chết; riêng giữ thành mới chiếm, bảo vệ dân đã đủ khổ.
臣闻功大者易危，而民敝者怨上。	Thần nghe nói người có công lớn dễ gặp nguy nan, dân bị mỏi mệt tất oán người trên.
夫守易危之功而逆彊秦之 心，臣窃为大王危之。	Xét lẽ, giữ công lớn dễ nguy mà ôm lòng đối chọi nước Tần hùng mạnh, thần trộm thấy nguy thay cho đại vương.
“且夫秦之所以不出兵函谷十五年以攻齐、赵者，阴谋有合 天下之心。	Vả sở dĩ mười lăm năm Tần không kéo quân ra Hàm Cốc để tấn công Tề và Triệu là có âm mưu hợp nhất thiên hạ.
楚尝与秦构难，战於汉中， 楚人不胜，列侯执珪 死者七十馀人，遂亡汉中。	Sở từng xung đột Tần, đánh nhau ở Hán Trung, người Sở bị thua, liệt vị tước hầu cầm ngọc khuê bị chết tới hơn bảy mươi người, thế là mất Hán Trung.
楚王大怒，兴兵袭秦，战於蓝田。	Sở vương cả giận, dấy binh đánh úp Tần, giao chiến ở Lam Điền.
此所谓 两虎相搏者也。	Đó gọi là hai hổ tranh đấu vậy.
夫秦楚相敝而韩魏以全 制其後，计无危於此者矣。	Xét lẽ, Tần và Sở suy yếu, Hàn và Ngụy lấy sự toàn vẹn áp chế phía sau, tính ra không gì nguy hơn thế.
原大王孰计之。	Xin đại vương tính toán kỹ càng.
“秦下甲攻卫阳晋，必大关天下之匈。	Tần đem quân xuống đánh Dương Tấn của Vệ, ắt mở toang lồng ngực thiên hạ.
大王悉起兵以攻宋，不至数月而宋可举，举宋而 东指，则泗上十二诸侯 尽王之有也。	Đại vương đem hết quân tấn công Tống, chưa đến mấy tháng có thể lấy được, lấy Tống rồi tiến sang phía đông, mười hai chư hầu trên sông Tứ đều thuộc về đại vương.
“凡天下而以信约从亲相坚者苏秦，封武安君，相燕，即阴与燕 王谋伐破齐而分其地；乃详有罪出走入齐，齐王因受而相之；居二年 而觉，齐王大怒，车裂苏秦於市。	Phàm Tô Tần – người chủ xướng thiên hạ cần dùng tín ước kết hợp tung bảo vệ vững chắc cho nhau – được phong Vũ An quân, Tướng quốc nước Yên, rồi ngầm cùng Yên vương tính mưu đánh phá Tề, chia nhau đất đai; Tô Tần vờ mắc tội, chạy khỏi Yên sang Tề, Tề vương nhân đó phong làm Tướng quốc; ở được hai năm mới biết, Tề vương cả giận, dùng xe xé xác Tô Tần ngoài chợ.
夫以一诈伪之苏秦，而欲经营天 下，混一诸侯，其不可成亦明矣。	Xét lẽ, dùng một Tô Tần trá ngụy mà muốn trị lý thiên hạ, hợp nhất chư hầu, không thành đã quá rõ ràng.
“今秦与楚接境壤界，固形亲之国也。	Nay Tần với Sở bờ cõi tiếp nhau, hai nước hình thế gần gụi.
大王诚能听臣，臣请使秦 太子入质於楚，楚太子入质於秦，请以秦女为大王箕帚之妾，效万室 之都以为汤沐之邑，长为昆弟之国，终身无相攻伐。	Đại vương thực nghe theo thần, thần xin khiến Thái tử nước Tần sang Sở làm con tin, Thái tử nước Sở sang Tần làm con tin, xin đem con gái vua Tần sang làm người hầu hạ quét tước, đem đô ấp vạn nhà làm ấp thang mộc, mãi kết thành nước anh em, trọn đời không đánh lẫn nhau.
臣以为计无便於 此者。”於是楚王已得张仪而重出黔中地与秦，欲许之。屈原曰：“前大 王见欺於张仪，张仪至，臣以为大王烹之；今纵弗忍杀之，又听其邪 说，不可。”怀王曰：“许仪而得黔中，美利也。後而倍之，不 可。”	Thần cho là không kế nào tiện hơn kế ấy vậy.” Bấy giờ Sở vương đã được Trương Nghi, phải cắt đất Kiềm Trung cho Tần, định bụng đồng ý, Khuất Nguyên can rằng: “Trước đây đại vương bị Trương Nghi lừa dối, nay Trương Nghi đến, thần cho là đại vương sẽ nấu chết hắn; nay đã không nỡ giết, lại nghe theo tà thuyết, không được đâu.” Hoài vương nói: “Đồng ý với Nghi mà được Kiềm Trung, mối lợi tốt vậy, không thể đồng ý rồi lại bội ước.” Cho nên rốt cuộc đồng ý với Trương Nghi, kết thân Với Tần.
故卒许张仪，与秦亲。张仪去楚，因遂之韩，说韩王曰：“韩地险恶山居，五穀所生， 非菽而麦，民之食大抵菽藿羹。	Trương Nghi rời Sở, nhân đó đến Hàn, thuyết Hàn vương rằng: “Đất Hàn hiểm trở, dân sống trên núi, ngũ cốc chỉ có đỗ và lúa mạch, thức ăn của dân chúng đại để có cơm đỗ, canh rau hoắc.
一岁不收，收不餍糟。	Mất mùa một năm, dân đến tấm mẳn cũng không đủ no.
地不过九百 里，无二岁之食。	Đất rộng không quá chín trăm dặm, lương tích trữ không đủ hai năm.
料大王之卒，悉之不过三十万，而厮徒负养 在其中矣。	Ước tính quân lính của đại vương, cả thảy không quá ba mươi vạn, gồm cả đám khuân vác, tạp dịch.
除守 徼亭鄣塞，见卒不过二十万而已矣。	Trừ quân trấn giữ biên giới đồn lũy các nơi, chẳng qua không quá hai chục vạn mà thôi.
秦带甲百馀万，车千乘，骑万 匹，虎贲之士跿簉科头 贯颐奋戟者， 至不可胜计。	Nước Tần trên trăm vạn quân, hơn nghìn cỗ xe, hàng vạn ngựa chiến, đám quân hổ bôn dũng mãnh đấu trần xông xáo, cầm kích hăng hái, nhiều không kể xiết.
秦马之良，戎 兵之众，探前趹後 蹄间三寻 腾者，不可胜数。	Ngựa nước Tần tốt, quân binh thì đông, khoảng cách giữa chân trước ngựa với vó sau cách xa ba tầm, nhiều không sao kể xiết.
山东之士被甲蒙胄以会战，秦人 捐甲徒裼以趋敌，左挈人 头，右挟生虏。	Quân sĩ Sơn Đông mặc giáp đội trụ để nghênh chiến, quân Tần bỏ giáp cởi trần xông vào quân địch, tay trái giữ đầu địch, tay phải bắt sống địch.
夫秦卒与山东之卒，犹孟贲之与怯夫；以重力相压， 犹乌获之与婴兒。	Xét lẽ, quân Tần với quân Sơn Đông, giống như Mạnh Bôn đấu với phường nhát gan; So về sức vóc, cũng như Ô Hoạch đấu với đám con trẻ vậy.
夫战孟贲、乌获之士以攻不服之弱国，无异垂千钧 之重於鸟卵之上，必无幸矣。	Xét lẽ, đem dũng sĩ như Mạnh Bôn, Ô Hoạch đi đánh nước yếu không thần phục, khác nào dùng sức nặng ngàn cân đè trên quả trứng, ắt không thể may mắn [thoát được].
“夫群臣诸侯不料地之寡，而听从人之甘言好辞，比周以相饰 也，皆奋曰‘听吾计可以彊霸天下’。	Quần thần các nước chư hầu không liệu định nước mình đất hẹp, lại nghe lời ngon ngọt của người theo hợp tung, cùng tô vẽ nhau, đều phấn chấn nói 'nghe theo kế của tôi sẽ mạnh như bá chủ thiên hạ.'
夫不顾社稷之长利而听须臾之 说，诖误人主，无过此者。	Không quan tâm đến lợi ích lâu dài của xã tắc mà nghe theo lời nói trong giây lát, khiến chúa mình lầm lẫn, không lỗi nào hơn thế.
“大王不事秦，秦下甲据宜阳，断韩之上地，东取成皋、荥阳， 则鸿台之宫、桑林之苑 非王之有也。	Đại vương không thờ Tần, Tần đem quân xuống chiếm Nghi Dương, chặt đứt Thượng Địa của Hàn, đông lấy Thành Cao và Huỳnh Dương, thì cung Hồng Đài, vườn Tang Lâm không còn của đại vương nữa.
夫塞成皋，绝上地，则王之国分 矣。	Vây khốn Thành Cao, cắt đứt Thượng Địa, đất nước của đại vương bị chia cắt.
先事秦则安，不事秦则危。	Trước thờ Tần thì yên, không thờ Tần thì nguy.
夫造祸而求其福报，计浅而怨深，逆 秦而顺楚，虽欲毋亡，不可得也。	Ôi, tạo nên tai họa mà cầu được phúc báo, kế nông mà oán sâu, chống Tần mà thuận theo Sở, tuy muốn không mất cũng không được.
“故为大王计，莫如为秦。	Cho nên kế cho đại vương, không gì bằng theo Tần.
秦之所欲莫如弱 楚，而能弱楚者如韩。非以韩能彊於楚也，其地势然也。	Tần muốn làm suy yếu không nước nào bằng Sở, có thể làm Sở suy yếu không nước nào khác ngoài Hàn, không phải vì Hàn mạnh hơn Sở, mà vì địa thế vậy.
今王西面而 事秦以攻楚，秦王必喜。	Nay đại vương ngoảnh mặt về tây mà thờ Tần để đánh Sở, Tần vương ắt mừng.
夫攻楚以利其地，转祸而说秦，计无便於此 者。”韩王听仪计。	Xét lẽ đánh Sở để lợi về đất, chuyển họa mà làm Tần vui, không kế nào tiện hơn thế.” Hàn vương theo kế của Trương Nghi.
张仪归报，秦惠王封仪五邑，号曰武信君。	Trương Nghi về báo, Tần Huệ vương phân phong cho Nghi năm ấp, hiệu là Vũ Tín quân.
使张仪 东说齐湣王曰：“天下彊国无过齐者，大臣父兄殷众富乐。	Sai Trương Nghi sang phía đông, thuyết Tề Mẫn vương rằng: “Nước mạnh trong thiên hạ không nước nào hơn Tề, đại thần dân chúng giàu có yên vui.
然而为大 王计者，皆为一时之说，不顾百世之利。	Thế nhưng, người dâng kế cho đại vương, đều là cách nói trong nhất thời, không xét đến lợi ích trăm đời.
从人说大王者，必曰‘齐西 有彊赵，南有韩与梁。	Người theo hợp tung nói với đại vương, ắt cho 'Tề phía tây có Triệu hùng mạnh, nam có Hàn và Lương.
齐，负海之国也，地广民众，兵彊士勇，虽有 百秦，将无柰齐何’。	Tề là nước gần biển, đất rộng dân đông, quân mạnh binh hùng, tuy có trăm Tần, có làm gì được Tề đâu.'
大王贤其说而不计其实。	Đại vương cho thuyết đó hay, mà không xét bản chất đích thực.
夫从人朋党比周，莫 不以从为可。	Người theo hợp tung cấu kết bè đảng, không ai không coi hợp tung là hay.
臣闻之，齐与鲁三战而鲁三胜，国以危亡随其後，虽有 战胜之名，而有亡国之实。	Thần nghe nói, Tề và Lỗ đánh nhau ba trận Lỗ thắng cả ba, đất nước nguy vong đi liền theo đó, tuy có danh nghĩa chiến thắng, nhưng thực lại là mất nước.
是何也？	Sao thế?
齐大而鲁小也。	Vì Tề lớn Lỗ nhỏ vậy.
今秦之与齐也， 犹齐之与鲁也。	Nay Tần với Tề, cũng giống Tề với Lỗ vậy.
秦赵战於河漳之上，再战而赵再胜秦；战於番吾 之下，再战又胜秦。	Tần và Triệu đánh nhau trên sông Hoàng Hà và sông Chương, đánh hai trận Triệu thắng cả hai; đánh nhau ở dưới Bà Ngô, đánh liền hai trận, lại thắng cả Tần.
四战之後，赵之亡卒 数十万，邯郸仅存，虽有战胜之名而国已破矣。	Sau bốn trận đánh, sĩ tốt nước Triệu chết mấy mươi vạn, chỉ còn Hàm Đan, tuy mang danh chiến thắng nhưng nước bị phá rồi.
是何也？	Sao vậy?
秦彊而赵 弱。	Vì Tần mạnh Triệu yếu vậy.
“今秦楚嫁女娶妇，为昆弟之国。	Nay Tần và Sở gả con lấy vợ, là nước anh em.
韩献宜阳；梁效河外； 赵入朝渑 池，割河间 以事秦。	Hàn dâng đất Nghi Dương, Lương góp vùng Hà Ngoại, Triệu vào Miễn Trì chầu, cắt Hà Gian thờ Tần.
大王不事秦，秦驱韩梁攻齐之南地，悉赵兵渡清 河，指博关， 临菑、即墨非王之有也。	Đại vương không thờ Tần, Tần xua Hàn và Lương đánh phía nam Tề, toàn bộ quân Triệu vượt sông Thanh Hà, nhắm đến Bác Quan thì Lâm Truy, Tức Mặc không còn là đất của đại vương nữa.
国一日见攻，虽欲事秦，不可 得也。	Một ngày kia đất nước bị tấn công, dẫu muốn thờ Tần cũng không được nữa.
是故原大王孰计之也。”齐王曰：“齐僻陋，隐居东海之上，未尝闻社稷之长利也。”乃 许张仪。	Cho nên xin đại vương hãy tính cho kỹ vậy.” Tề vương nói: “Nước Tề xa xôi hẻo lánh, ẩn cư tận cùng Đông Hải, chưa từng nghe đến lợi ích lâu dài của xã tắc.” Bèn đồng ý với Trương Nghi.
张仪去，西说赵王曰：“敝邑秦王使使臣效愚计於大王。	Trương Nghi rời Tề, sang phía tây thuyết Triệu vương: “Tần vương tệ ấp sai sứ thần dâng kế sách ngu muội lên đại vương.
大王收 率天下以宾秦，秦兵不敢出函谷关十五年。	Đại vương thống lãnh thiên hạ chống Tần, khiến mười lăm năm quân Tần không dám ra khỏi cửa Hàm Cốc.
大王之威行於山东，敝邑 恐惧慑伏，缮甲厉兵，饰车骑，习驰射，力田积粟，守 四封之内，愁居慑处，不敢动摇，唯大王有意督过之也。	Uy của đại vương lan khắp Sơn Đông, tệ ấp e sợ khiếp hãi, chỉnh giáp rèn binh, chỉnh đốn ngựa xe, tập cưỡi ngựa bắn cung, ra sức làm ruộng, tích trữ lương thảo, giữ gìn bốn phương, sống trong buồn sợ, không dám khinh động, chỉ vì đại vương có ý trách lỗi vậy.
“今以大王之力，举巴蜀，并汉中，包两周，迁九鼎，守白马之 津。	Nay đem sức của đại vương, cất quân Ba, Thục, chiếm lấy Hán Trung, bao vây Lưỡng Chu, di dời cửu đỉnh, giữ bến Bạch Mã.
秦虽僻远，然而心忿含怒之日久矣。	Tần tuy xa nơi hẻo lánh, nhưng lòng buồn giận đã lâu.
今秦有敝甲凋兵，军於渑 池，原渡河逾漳，据番吾，会邯郸之下，原以甲子合战，以正殷纣之 事，敬使使臣先闻左右。	Nay Tần có đám giáp rách binh tan, quân ở Miễn Trì, xin vượt sông Hà, băng qua sông Chương, chiếm lấy Bà Ngô, hội quân dưới Hàm Đan, xin giao chiến ngày Giáp Tý, để chấn chỉnh việc vua Trụ nhà Ân, kính sai sứ thần báo trước đại vương.
“凡大王之所信为从者恃苏秦。	Phàm Tô Tần chủ hợp tung được nhà vua tin tưởng.
苏秦荧惑诸侯，以是为非，以非 为是，欲反齐国，而自令车裂於市。	Tô Tần mê hoặc chư hầu, đổi trắng thành đen, lấy đen làm trắng, muốn phản nước Tề, tự khiến bị dùng xe xé xác ngoài chợ.
夫天下之不可一亦明矣。	Rõ ràng thiên hạ không thể hợp nhất.
今楚与 秦为昆弟之国，而韩梁称为东籓之臣，齐献鱼盐之地，此断赵之右臂 也。	Nay Sở và Tần là nước anh em, còn Hàn và Lương xưng làm bề tôi phên giậu phía đông, Tề hiến đất có nhiều cá và muối, là chặt đứt tay phải của Triệu vậy.
夫断右臂而与人斗，失其党而孤居，求欲毋危，岂可得乎？	Ôi, tay phải đã đứt còn đòi đấu với người, mất hết bè đảng thì trơ trọi một mình, muốn không gặp nguy há có được chăng?
“今秦发三将军：其一军塞午道， 告齐使兴师渡清 河，军於邯郸之东；一军军成皋，驱韩梁军於河外； 一军军於渑池。	Nay Tần phái ba tướng quân: tướng thứ nhất, chẹn ngang Ngọ Đạo, báo Tề sai dấy binh vượt Thanh Hà, đóng quân phía đông Hàm Đan; tướng thứ hai, đóng ở Thành Cao, xua quân Hàn và Lương đóng ở Hà Ngoại; tướng thứ ba, đóng tại Miễn Trì.
约四国为一以攻赵，赵，必四分其地。	Hẹn bốn nước hợp nhất đánh Triệu, Triệu bị phá, ắt bồn nước chia nhau đất đai.
是故不敢匿意隐情，先以闻於左右。	Cho nên, không dám che giấu tình báo cho đại vương biết trước.
臣窃为大王计，莫如与秦王遇於 渑池，面相见而口相结，请案兵无攻。	Thần trộm nghĩ kế cho đại vương, không gì bằng gặp Tần vương ở Miễn Trì, gặp nhau rồi cùng ước định lời thề, yêu cầu án binh không được tấn công.
原大王之定计。”赵王曰：“先王之时，奉阳君专权擅势，蔽欺先王，独擅绾事， 寡人居属师傅，不与国谋计。	Xin đại vương hãy quyết định kế sách.” Triệu vương nói: “Thời tiên vương ta, Phụng Dương quân chuyên quyền cậy thế, dối lừa tiên vương, tự chuyên chính sự, quả nhân do sư phó dạy, không được mưu tính việc nước.
先王弃群臣，寡人年幼，奉祀之日新， 心固窃疑焉，以为一从不事秦，非国之长利也。	Tiên vương qua đời, quả nhân tuổi nhỏ, cũng mới lên ngôi, trong lòng vốn đã trộm ngờ, cho rằng một lòng theo hợp tung mà không thờ Tần, không phải lợi ích lâu dài của đất nước.
乃且原变心易虑，割 地谢前过以事秦。	Ta sẽ thay đổi tâm ý, cắt đất tạ lỗi chuyện cũ để thờ Tần.
方将约车趋行，適闻使者之明 诏。”	Đang định chuẩn bị xe ngựa lên đường, đúng lúc được nghe chỉ bảo sáng rõ của sứ giả.” Triệu vương đồng ý với Trương Nghi.
赵王许张仪，张仪乃去。	Trương Nghi ra đi.
北之燕，说燕昭王曰：“大王之所亲莫如赵。	[Trương Nghi] lên phía bắc tới nước Yên, thuyết Yên Chiêu vương rằng: “Nước đại vương thân cận không nước nào bằng Triệu.
昔赵襄子尝以其姊 为代王妻，欲并代，约与代王遇於句注之塞。	Xưa Triệu Tương tử từng gả chị gái cho vua nước Đại, ý muốn chiếm Đại, hẹn vua nước Đại gặp nhau ải Cú Chú.
乃令工人作为金斗，长其尾， 令可以击人。	Bèn lệnh thợ làm muôi vàng, có phần chuôi dài, có thể cầm đánh người khác.
与代王饮， 阴告厨人曰：‘即酒酣乐，进热啜， 反斗以击之。’	[Triệu Tương tử] uống rượu với vua Đại, ngầm sai đầu bếp: 'Rượu đã vui say, dâng canh nóng lên, ngược cán muôi lại để đánh nó.'
於是酒酣乐，进热啜，厨人 进斟，因反斗以击代王，杀之，王脑涂地。	Thế là nhân lúc rượu vui say, canh được dâng lên, đầu bếp múc canh, nhân quay ngược cán muối, đánh giết vua Đại, óc bắn đầy đất.
其姊闻之，因摩笄以自 刺，故至今有摩笄之山。	Người chị nghe tin, nhân mài chiếc trâm liền tự đâm mình, nên nay có núi Ma Kê (mài trâm).
代王之亡，天下莫不闻。	Vua nước Đại chết, thiên hạ không ai không nghe.
“夫赵王之很戾无亲，大王之所明见，且以赵王为可亲乎？	Ôi, Triệu vương độc ác bất kể thân sơ, đại vương đã thấy rõ, thế mà còn cho là có thể kết thân ư?
赵兴 兵攻燕，再围燕都而劫大王，大王割十城以谢。	Triệu dấy binh đánh Yên, rồi vây kinh đô nước Yên, uy hiếp đại vương, đại vương cắt mười thành để tạ tội.
今赵王已入朝渑池， 效河间以事秦。	Nay Triệu vương đã vào chầu ở Miễn Trì, hiến đất Hà Gian cho Tần.
今大王不事秦，秦下甲云中、九原，驱赵而攻燕，则 易水、长城非大王之有也。	Nay đại vương không thờ Tần, Tần đem quân xuống Vân Trung, Cửu Nguyên, đuổi Triệu đánh Yên, thì Dịch Thủy, Trường Thành không còn là của đại vương nữa.
“且今时赵之於秦犹郡县也，不敢妄举师以攻伐。	Lúc này Triệu cũng như quận huyện của Tần vậy, không dám khinh suất cất quân.
今王事秦，秦 王必喜，赵不敢妄动，是西有彊秦之援，而南无齐赵之患，是故原大 王孰计之。”燕王曰：“寡人蛮夷僻处，虽大男子裁如婴兒，言不 足以采正计。	Nay đại vương thờ Tần, vua Tần ắt vui, Triệu không dám vọng động, thế là tây có Tần hùng mạnh tiếp viện, nam không phải ôm mối lo Tề, Triệu, vậy xin đại vương hãy tính cho kỹ.” Yên vương nói: “Quả nhân là man di nơi xa xôi hẻo lánh, đàn ông tuy to cao mà như đứa con trẻ, lời nói chưa đủ chọn được kế thỏa đáng.
今上客幸教之，请西面而事秦，献恆山之尾 五城。”燕王听仪。	Nay may được thượng khách chỉ giáo, xin quay mặt về tây thờ Tần, hiến năm thành cuối dãy Hằng Sơn.” Yên vương nghe theo Trương Nghi.
仪归报，未至咸阳而秦惠 王卒，武王立。	Nghi quay về báo, chưa đến Hàm Dương thì Tần Huệ vương chết, Vũ vương lên ngôi.
武王自为太子时不说张仪，及即位，群臣多谗张仪 曰：“无信，左右卖国以取容。	Vũ vương từ hồi làm Thái tử đã không thích Trương Nghi, đến khi lên ngôi, quần thần gièm Trương Nghi rằng: “Không thể tin dùng, chỉ chuyên bán nước để mong chủ hài lòng.
秦必复用之，恐为天下笑。”诸侯闻 张仪有卻武王，皆畔衡，复合从。	Nếu Tần lại trọng dụng, e thiên hạ chê cười.” Chư hầu nghe nói Trương Nghi bị [Tần] Vũ vương xa lánh, đều phản bội liên hoành, quay về hợp tung.
秦武王元年，群臣日夜恶张仪未已，而齐让又至。	Tần Vũ vương năm đầu, quần thần ngày đêm oán ghét Trương Nghi không thôi, lời trách móc của Tề lại vang đến.
张仪惧诛，乃 因谓秦武王曰：“仪有愚计，原效之。”王曰：“柰何？”对 曰：“为秦社稷计者，东方有大变，然後王可以多割得地也。	Trương Nghi sợ bị giết, bèn nói với Tần Vũ vương: “Nghi có ngu kế, xin dâng đại vương.” Tần vương hỏi: “Kế gì?” Nghi đáp: “Kế sách cho xã tắc nước Tần, khi phương đông có biến lớn, sau đại vương có thể cắt được nhiều đất.
今闻齐 王甚憎仪，仪之所在，必兴师伐之。	Nay nghe nói Tề vương rất ghét Nghi, Nghi ở đâu ắt dây quân đánh đó.
故仪原乞其不肖之身之梁，齐必 兴师而伐梁。	Nên Nghi xin đem thân hèn kém này đến Lương, Tề ắt đem quân đánh Lương.
梁齐之兵连於城下而不能相去，王以其间伐韩，入三 川，出兵函谷而毋伐，以临周，祭器必出。	Quân Lương và Tề dàn trận đánh nhau dưới thành mà không thể thu quân, đại vương lén đánh nước Hàn, vào Tam Xuyên, đem quân ra Hàm Cốc mà không cần đánh, kéo đến Chu thì ắt đồ tế phải đem ra.
挟天子，按图籍，此王业也。”秦王 以为然，乃具革车三十乘，入仪之梁。	Cậy danh thiên tử, lấy các địa đồ, sách vở, là nghiệp vương vậy.” Tần vương cho là phải, bèn sắm đủ ba mươi cỗ binh xa, cho Nghi sang Lương.
齐果兴师伐之。	Quả nhiên Tề dấy quân đánh Lương.
梁哀王恐。	Lương Ai vương sợ.
张 仪曰：“王勿患也，请令罢齐兵。”乃使其舍人冯喜 之楚，借使之齐，谓齐王曰：“王甚憎张 仪；虽然，亦厚矣王之讬仪於秦也！”齐王曰：“寡人憎仪，仪之所 在，必兴师伐之，何以讬仪？”对曰：“是乃王之讬仪也。	Trương Nghi nói: “Đại vương chớ lo, thần xin khiến Tề bãi binh.” Bèn sai xá nhân Phùng Hỷ sang Sở, mượn danh sứ giả sang Tề, nói với Tề vương: “Đại vương rất ghét Trương Nghi, thế nhưng đại vương ủy thác cho Nghi ở Tần là hậu đãi đấy?” Tề vương hỏi: “Quả nhân ghét Nghi, Nghi ở đâu sẽ đem quân đánh đó, sao lại nói là ủy thác cho Nghi?” Đáp rằng: “Đó là đại vương ủy thác cho Nghi vậy.
夫仪之出 也，固与秦王约曰：‘为王计者，东方有大变，然後王可以多割得 地。	Xét lẽ, Nghi đi khỏi [Tần], ước hẹn Tần vương rằng: 'Kế sách cho xã tắc nước Tần, khi phương đông có biến lớn, sau đại vương có thể cắt được nhiều đất.
今齐王甚憎仪，仪之所在，必兴师伐之。	Nay nghe nói Tề vương rất ghét Nghi, Nghi ở đâu ắt dây quân đánh đó.
故仪原乞其不肖之身之 梁，齐必兴师伐之。	Nên Nghi xin đem thân hèn kém này đến Lương, Tề ắt đem quân đánh Lương.
齐梁之兵连於城下而不能相去，王以其间伐韩， 入三川，出兵函谷而无伐，以临周，祭器必出。	Quân Lương và Tề dàn trận đánh nhau dưới thành mà không thể thu quân, đại vương lén đánh nước Hàn, vào Tam Xuyên, đem quân ra Hàm Cốc mà không cần đánh, kéo đến Chu thì ắt đồ tế phải đem ra.
挟天子，案图籍，此 王业也。’	Cậy danh thiên tử, lấy các địa đồ, sách vở, là nghiệp vương vậy.'
秦王以为然，故具革车三十乘而入之梁也。	Tần vương cho là phải, sắm đủ ba mươi cỗ binh xa cho Nghi sang Lương.
今仪入梁，王 果伐之，是王内罢国而外伐与国， 广邻敌以内自临，而信仪於秦王也。	Nay Nghi ở Lương, đại vương quả nhiên đánh Lương, ấy là đại vương trong khiến nước suy yếu ngoài đánh nước đồng minh, mở rộng cho địch mà tự chuốc nguy hiểm, còn khiến Tần vương tin tưởng Trương Nghi hơn.
此臣之 所谓‘讬仪’也。”齐王曰：“善。”乃使解兵。	Nên thần mới gọi là 'ủy thác cho Nghi’ vậy.” Tề vương nói: “Phải.” Bèn sai bãi binh.
张仪相魏一岁，卒 於魏也。	Trương Nghi làm Tướng quốc nước Ngụy được một năm, chết ở nước Ngụy.
