李斯者，楚上蔡人也。	Lý Tư người đất Thượng Sài nước Sở.
君听臣之计，即长有封侯，世世称 孤，必有乔松之寿，孔、墨之智。	Ngài theo kế của tôi, mãi mãi được phong hầu, đời đời xưng vương hầu, ắt thọ như Vương tử Kiều, Xích Tùng tử, trí tuệ sáng suốt như Khổng tử, Mặc tử.
今释此而不从，祸及子孙，足以为 寒心。	Nay bỏ cơ hội này không theo, họa đến con cháu, đủ khiến người ớn lạnh tâm can.
善者因祸为福，君何处焉？”斯乃仰天而叹，垂泪太息 曰：“嗟乎！	Người giỏi sẽ nhân họa chuyển thành phúc, ngài định làm sao?” Tư bèn ngẩng mặt lên trời than, nhỏ lệ sụt sùi: “Than ôi!
独遭乱世，既以不能死，安讬命哉！”於是斯乃听高。	Riêng gặp đời loạn, đã không thể chết, biết gửi mệnh vào đâu!” Thế rồi Tư nghe lời Cao.
高乃报胡亥曰：“臣请奉太子之明命以报丞相，丞相斯敢不奉 令！”於是乃相与谋，诈为受始皇诏丞相，立子胡亥为太子。	Cao bèn báo cho Hồ Hợi: “Thần đem mệnh sáng của Thái tử báo với Thừa tướng, Thừa tướng Lý Tư dám không vâng lệnh?” Thế rồi cùng nhau mưu tính, giả bộ Thừa tưởng nhận di chiếu của Thủy hoàng, lập Hồ Hợi làm Thái tử.
更为书赐 长子扶苏曰：“朕巡天下，祷祠名山诸神以延寿命。	Lại làm thư ban cho con trưởng Phù Tô: “Trẫm tuần thú thiên hạ, tế thần ở danh sơn nhằm kéo dài tuổi thọ.
今扶苏与将军蒙 恬将师数十万以屯边，十有馀年矣，不能进而前，士卒多秏，无尺寸 之功，乃反数上书直言诽谤我所为，以不得罢归为太子，日夜怨望。	Nay Phù Tô và tướng quân Mông Điềm cầm mấy chục vạn quân đóng đồn tại biên giới, hơn chục năm trời, không thể tiến lên trước, tổn hao nhiều sĩ tốt, không có chút công lao, lại mấy lần gửi thư lên phỉ báng những việc ta làm, chỉ vì không được thôi việc cầm quân về làm Thái tử, ngày đêm oán vọng.
扶苏为人子不孝，其赐剑以自裁！	Phù Tô làm con bất hiếu, ban kiếm cho để tự liệu!
将军恬与扶苏居外，不匡正，宜知 其谋。	Tướng quân Điềm cùng Phù Tô ở ngoài, không giúp sửa đổi, hẳn biết mưu của Tô.
为人臣不忠，其赐死，以兵属裨将王离。”封其书以皇帝玺， 遣胡亥客奉书赐扶苏於上郡。	Làm tôi bất trung, ban cho được chết, đem binh quyền trao cho tỳ tướng Vương Ly.” Bèn dùng ngọc tỷ của hoàng đế niêm phong thư lại, sai môn khách của Hồ Hợi đem thư dâng lên Phù Tô ở Thượng Quận.
使者至，发书，扶苏泣，入内舍，欲自杀。	Sứ giả đến, mở thư, Phù Tô khóc, vào trong nhà, định tự sát.
蒙恬止扶苏曰：“陛 下居外，未立太子，使臣将三十万众守边，公子为监，此天下重任 也。	Mông Điềm ngăn lại nói: “Bệ hạ ở ngoài, chưa lập Thái tử, sai tội đem ba mươi vạn quân giữ biên giới, công tử làm người giám sát, là trách nhiệm trọng đại trong thiên hạ.
今一使者来，即自杀，安知其非诈？	Nay chỉ một viên sứ đến, liền tự sát, biết đâu có sự gian trá?
请复请，复请而後死，未暮 也。”使者数趣之。	Xin hãy thỉnh mệnh lần nữa, rồi sau hãy chết cũng chưa muộn.” Sứ giả nhiều lần thúc giục.
扶苏为人仁，谓蒙恬曰：“父而赐子死，尚安复 请！”即自杀。	Phù Tô có lòng nhân, bảo Mông Điềm rằng: “Cha ban chết cho con, còn thỉnh thị làm gì?” Liền tự sát.
蒙恬不肯死，使者即以属吏，系於阳周。	Mông Điềm không chịu chết, sứ giả giao cho ngục lại, giam ở Dương Chu.
使者还报，胡亥、斯、高大喜。	Sứ giả về báo, Hồ Hợi, Lý Tư và Triệu Cao cả mừng.
至咸阳，发丧，太子立为二世皇 帝。	Đến Hàm Dương, phát tang, Thái tử lên làm Nhị thế hoàng đế.
以赵高为郎中令，常侍中用事。	Lấy Triệu Cao làm Lang trung lệnh, thường hầu trong cung, xử trí công việc.
二世燕居，乃召高与谋事，谓曰：“夫人生居世间也，譬犹骋六 骥过决隙也。	Nhị thế nhân lúc nhàn rỗi, bèn triệu Cao vào bàn việc, bảo rằng: “Người ta sống trên thế gian, ví như sáu ngựa ký chạy vút qua khe hở.
吾既已临天下矣，欲悉耳目之所好，穷心志之所乐，以 安宗庙而乐万姓，长有天下，终吾年寿，其道可乎？”高曰：“此贤 主之所能行也，而昬乱主之所禁也。	Ta đã có thiên hạ, muốn hưởng những điều thích tai vui mắt, vui sướng tận đáy lòng, muốn tông miếu vẫn yên, trăm họ vẫn vui, mãi có thiên hạ, trọn được tuổi trời, có cách nào không?” Cao đáp: “Đó là điều nên làm của bậc chúa hiền, lại là cấm kỵ của chúa hôn mê tàn bạo.
臣请言之，不敢避斧钺之诛，原 陛下少留意焉。	Thần xin nói về điều đó, không dám tránh tội búa rìu tru diệt, xin bệ hạ lưu tâm đôi chút.
夫沙丘之谋，诸公子及大臣皆疑焉，而诸公子尽帝 兄，大臣又先帝之所置也。	Xét lẽ, mưu ở Sa Khưu, các công tử cùng đại thần đều nghi ngờ, mà các công tử là anh ngài, chư vị đại thần cùng được tiên đế trọng nhậm.
今陛下初立，此其属意怏怏皆不服，恐为 变。	Nay bệ hạ mới lên ngôi, trong lòng họ ấm ức không phục, sợ sẽ sinh biến.
且蒙恬已死，蒙毅将兵居外，臣战战栗栗，唯恐不终。	Vả Mông Điềm đã chết, Mông Nghị cầm quân bên ngoài, thần nơm nớp sợ sệt, chỉ e kết cục xấu.
且陛下安 得为此乐乎？”二世曰：“为之柰何？”赵高曰：“严法而刻刑，令 有罪者相坐诛，至收族，灭大臣而远骨肉；贫者富之，贱者贵之。	Như thế sao bệ hạ có được những thú vui ấy?” Nhị thế hỏi: “Vậy phải làm sao?” Triệu Cao đáp: “Làm nghiêm pháp luật, hình phạt hà khắc, khiến kẻ có tội liên đới người thân, gia tộc chịu tội chung, giết đại thần mà xa lánh cốt nhục; làm kẻ nghèo được giàu, kẻ hèn được sang.
尽 除去先帝之故臣，更置陛下之所亲信者近之。	Giết hết bề tôi cũ của tiên đế, thay bằng đám thân tín bên cạnh bệ hạ.
此则阴德归陛下，害除 而奸谋塞，群臣莫不被润泽，蒙厚德，陛下则高枕肆志宠乐矣。	Như thế họ thầm cảm ơn đức bệ hạ, trừ hết họa hại che lấp mưu gian, quần thần đều được gội ơn trạch, hưởng đức hậu, bệ hạ có thể kê cao gối, mặc ý tùy thích.
计莫 出於此。”二世然高之言，乃更为法律。	Chẳng kế nào hơn kế ấy.” Nhị thế theo lời Cao nói, bèn thay đổi pháp luật.
於是群臣诸公子有罪，辄下 高，令鞠治之。	Thế rồi quần thần hay các công tử ai có tội, đưa xuống chỗ Cao để thẩm vấn trị tội.
杀大臣蒙毅等，公子十二人僇死咸阳市，十公主矺死 於杜， 财物入於县官，相连坐者不可胜数。	Giết đại thần là bọn Mông Nghị, mười hai công tử phơi thây ngoài chợ Hàm Dương, mười công chúa bị xé xác ở đất Đỗ, của cải sung vào huyện quan, người bị liên can nhiều không kể xiết.
公子高欲奔，恐收族，乃上书曰：“先帝无恙时，臣入则赐食， 出则乘舆。	Công tử Cao muốn trốn, sợ gia tộc bị bắt, bèn dâng thư nói: “Khi tiên đế còn khỏe, thần vào cung được ban ăn, rời cung được ngồi xe.
御府之衣，臣得赐之；中厩之宝马，臣得赐之。	Thần được ban quần áo trong kho của vua, được ban ngựa quý trong chuồng của vua.
臣当从死 而不能，为人子不孝，为人臣不忠。	Thần đáng chết theo mà không làm được, làm con bất hiếu, làm tôi bất trung.
不忠者无名以立於世，臣请从 死，原葬郦山之足。	Kẻ bất trung chẳng còn lý do được sống trên đời, thần xin chết theo, mong được táng tại chân núi Ly Sơn.
唯上幸哀怜之。”书上，胡亥大说，召赵高而示 之，曰：“此可谓急乎？”赵高曰：“人臣当忧死而不暇，何变之得 谋！”胡亥可其书，赐钱十万以葬。	Chỉ xin bệ hạ thương xót.” Thư dâng lên, Hồ Hợi cả mừng, vời Triệu Cao đến cho xem, nói: “Đây có thể gọi là cấp bách chăng?” Triệu Cao đáp: “Bề tôi giữ mạng còn chưa xong, sao còn tính chuyện gây biến được!” Hồ Hợi chấp nhận thư ấy, ban mười vạn tiền để mai táng.
法令诛罚日益刻深，群臣人人自危，欲畔者众。	Pháp lệnh trừng phạt ngày càng ngặt nghèo thảm khốc, quần thần ai nấy nơm nớp sợ hãi, nhiều người muốn làm phản.
又作阿房之宫， 治直、驰道，赋敛愈重，戍徭无已。	Lại dựng cung A Phòng, đắp đường lớn, đường xe ngựa đi, thuế khóa ngày một nặng, lao dịch binh nhung không ngừng.
於是楚戍卒陈胜、吴广等乃作 乱，起於山东，杰俊相立，自置为侯王，叛秦，兵至鸿门而卻。	Thế rồi bọn lính thú nước Sở là Trần Thắng, Ngô Quảng làm loạn, nổi dậy ở Sơn Đông, anh tài tuấn kiệt cùng nhau vùng lên, tự xưng hầu xưng vương phản Tần, quân kéo đến Hồng Môn nhưng bị đẩy lui.
李斯 数欲请间谏，二世不许。	Lý Tư nhiều lần muốn can gián, Nhị thế không cho.
而二世责问李斯曰：“吾有私议而有所闻於 韩子也，曰‘尧之有天下也，堂高三尺，采椽不斫， 茅茨不 翦，虽逆旅之宿不勤於此矣。	Thế rồi Nhị thế trách vấn Lý Tư: “Ta có ý riêng, từng nghe Hàn tử nói rằng: 'Đế Nghiêu có thiên hạ, nhà chỉ cao ba thước, cột kèo không đẽo gọt, gianh lợp nhà không cắt, ngay chỗ qua đêm của khách trọ cũng không đến mức thế.
冬日鹿裘，夏日葛衣，粢粝之食， 藜藿之羹，饭土 匭，啜土鉶，虽监门之养不觳 於此矣。	Mùa đông mặc áo da hươu, mùa hè mặc áo sợi thô, ăn gạo giã, nấu canh rau hoắc rau lê dại, ăn thức ăn đựng trong liễn, uống nước đựng trong bát đất, ngay đồ ăn của viên coi cổng cũng không tuềnh toàng đến thế.
禹凿龙门，通大夏，疏九河，曲九 防，决渟水致之海， 而股无胈，胫无毛，手足胼胝，面目 黎黑，遂以死于外，葬於会稽，臣虏之劳不烈於此矣’。	Vua Vũ đào Long Môn, thông đường sông Đại Hạ, khơi chín dòng sông, nắn chín khúc để phòng, dẫn nước lụt đổ ra biển, mà lông đùi lông bắp không mọc, tay chân chai sạn, mặt mũi sạm đen, rồi chết ở ngoài, táng tại Cối Kê, nỗi khổ cực của nô bộc tù binh cũng không đến như thế?'
然则夫所贵 於有天下者，岂欲苦形劳神，身处逆旅之宿，口食监门之养，手持臣 虏之作哉？	Vậy người tôn quý có cả thiên hạ, há muốn vất vả hình hài, lao khổ tinh thần, thân nơi quán trọ, miệng ăn thức ăn như kẻ coi cổng, tay cầm đồ làm việc như đám nô bộc tù binh ư?
此不肖人之所勉也，非贤者之所务也。	Ấy là sự gắng gượng của kẻ kém cỏi, không phải điều người hiền ham chuộng.
彼贤人之有天下 也，专用天下適己而已矣，此所贵於有天下也。	Kìa như người hiền có thiên hạ, chuyên đem thiên hạ để thỏa ý riêng, đó gọi là sang đến mức có cả thiên hạ.
夫所谓贤人者，必能 安天下而治万民，今身且不能利，将恶能治天下哉！	Gọi là người hiền, ắt có thể giữ yên thiên hạ cai trị muôn dân, nay thân không thể làm được điều lợi, sao cai trị thiên hạ nổi?
故吾原赐志广 欲，长享天下而无害，为之柰何？”李斯子由为三川守，群盗吴广等 西略地，过去弗能禁。	Nên ta muốn buông chí thỏa dục, mãi hưởng thiên hạ không lo tai họa, phải làm thế nào?” Con trai Lý Tư là Do làm Quận thú Tam Xuyên, đám giặc cướp Ngô Quảng chiếm đất phía tây, qua lại không thể ngăn được.
章邯以破逐广等兵，使者覆案三川相属，诮让 斯居三公位，如何令盗如此。	Chương Hàm đánh phá, đuổi quân Quảng đi, sứ giả nhiều lần tra xét Tam Xuyên, chê trách Tư ở địa vị tam công, lại để trộm cướp rông càn đến thế.
李斯恐惧，重爵禄，不知所出，乃阿二 世意，欲求容，以书对曰： 夫贤主者，必且能全道而行督责之术者也。	Lý Tư sợ hãi, xem trọng tước lộc, không tìm ra cách, bèn đón ý Nhị thế, muốn mong khoan thứ, liền dâng thư rằng: “Xét lẽ, vị chúa hiền minh ắt có thể trọn đạo để thi hành thuật đôn đốc và đòi hỏi.
督责之，则臣不敢不竭能以徇其主矣。	Đôn đốc đòi hỏi, bề tôi không dám không dốc khả năng để noi theo chúa.
此臣主之分 定，上下之义明，则天下贤不肖莫敢不尽力竭任以徇其君矣。	Đó là sự phân định giữa vua tôi, là nghĩa sáng rõ giữa trên dưới, khiến kẻ hiền năng hay kém cỏi trong thiên hạ không dám không dốc sức làm việc được giao phó, noi theo vua mình.
是故主 独制於天下而无所制也。	Do vậy, riêng vua chế phục thiên hạ mà như không bị khống chế.
能穷乐之极矣，贤明之主也，可不察焉！	Bậc có thể hưởng trọn lạc thú, làm chúa hiền minh, há không xét đến điều đó ư?
故申子曰“有天下而不恣睢， 命之曰以天下为桎梏”者， 无他焉，不能督 责，而顾以其身劳於天下之民，若尧、禹然，故谓之“桎梏”也。	Cho nên Thân tử nói: 'Có thiên hạ mà không được thỏa ý, đó là lấy thiên hạ làm gông cùm', không gì khác, là không thể đôn đốc đòi hỏi, lại đem thân vất vả vì dân thiên hạ, như Nghiêu, Vũ là thế, nên gọi là gông cùm.
夫 不能修申、韩之明术，行督责之道，专以天下自適也，而徒务苦形劳 神，以身徇百姓，则是黔首之役，非畜天下者也，何足贵哉！	Không thể làm sáng thuật của Thân Bất Hại và Hàn Phi, thi hành đạo đôn đốc đòi hỏi, chỉ lấy thiên hạ tự thỏa ý mình, lại chuộng làm việc khổ thể xác mệt tinh thần, đem thân mình phục dịch trăm họ, là việc của bọn dân đen, không phải người chăn dắt thiên hạ, sao đủ coi là sang!
夫以人 徇己，则己贵而人贱；以己徇人，则己贱而人贵。	Phàm lấy người phục dịch mình, mình sang còn người hèn; lấy mình phục dịch người, mình hèn mà người sang.
故徇人者贱，而人 所徇者贵，自古及今，未有不然者也。	Cho nên phục dịch người là hèn, người phục dịch mình là sang, từ xưa đến nay, không khi nào không như vậy.
凡古之所为尊贤者，为其贵 也；而所为恶不肖者，为其贱也。	Phàm xưa sở dĩ đề cao người hiền, bởi cái sang của họ, sở dĩ chê kẻ kém cỏi, bởi cái hèn của họ.
而尧、禹以身徇天下者也，因随而 尊之，则亦失所为尊贤之心矣，夫可谓大缪矣。	Như Nghiêu, Vũ, đem thân mình phục dịch thiên hạ, nhân đó đề cao họ, như thế cũng làm mất tấm lòng suy tôn hiển năng vậy. Thế gọi là lầm lẫn lớn đó.
谓之为“桎梏”，不 亦宜乎？	Gọi là gông cùm, chẳng cũng phải sao?
不能督责之过也。	Đó là sai lầm trong việc đôn đốc đòi hỏi vậy.
故韩子曰：“慈母有败子而严家无格虏”者，何也？	Do đó Hàn tử nói: 'Mẹ hiền có con hư, nhà nghiêm không có đầy tớ hung tợn', sao vậy?
则能罚之加焉必也。	Là biết trừng phạt vậy.
故商 君之法，刑弃灰於道者。	Cho nên phép của Thượng quân, phạt kẻ bỏ tro ra đường.
夫弃灰，薄罪也，而被刑，重罚也。	Vứt tro là tội nhỏ, còn bị phạt, là phạt nặng.
彼唯明 主为能深督轻罪。	Chỉ bậc vua sáng mới có thể đôn đốc tiết ráo với tội nhẹ.
夫罪轻且督深，而况有重罪乎？	Tội nhẹ còn đôn đốc riết ráo, huống chi tội nặng?
故民不敢犯也。	Vì thế dân không dám phạm tội.
是 故韩子曰“布帛寻常，庸人不释， 铄金百溢，盗跖不搏”者， 非庸人之心重，寻常之利深，而盗跖之欲浅也；又不以盗 跖之行，为轻百镒之重也。	Bởi vậy Hàn tử nói: 'Vải lụa tầm thường, người thường không bỏ; trăm dật vàng ròng, Đạo Chích không lấy', không phải trong lòng người thường xem trọng, không phải cái lợi tầm thường ấy lớn, mà ham muốn của Đạo Chích là nhỏ; cũng không phải Đạo Chích không trộm vì khinh trăm dật vàng ròng kia.
搏必随手刑，则盗跖不搏百镒；而罚不必 行也，则庸人不释寻常。	Trộm ắt bị trừng phạt, nên Đạo Chích không lấy trăm dật vàng; hình phạt không nhất định thi hành thì người thường không bỏ dẫu thứ tầm thường.
是故城高五丈，而楼季不轻犯也； 泰山之高百仞， 而跛牧其上。	Cho nên thành cao năm trượng, Lâu Quý không dám khinh suất xâm phạm; Thái Sơn cao trăm nhận, dê cái què chân có thể lên trên.
夫楼季也 而难五丈之限，岂跛也而易百仞之高哉？	Xét lẽ, Lâu Quý coi năm trượng là khó, há dê cái què coi lên cao trăm nhận là dễ ư?
峭堑之势异也。	Do thế dốc phẳng khác nhau vậy.
明主圣王之所以能久处尊位，长执重势，而 独擅天下之利者，非有异道也，能独断而审督责，必深罚，故天下不 敢犯也。	Minh chúa thánh vương sở dĩ năng ở lâu trên ngôi cao, mãi nắm trọng quyền, riêng giữ mối lợi trong thiên hạ, không có đạo lý nào khác, có thể một mình quyết đoán và thẩm xét việc đôn đốc đòi hỏi, ắt xử thật nghiêm, cho nên thiên hạ không dám phạm tội.
今不务所以不犯，而事慈母之所以败子也，则亦不察於圣人 之论矣。	Nay không chuộng cái người ta không phạm phải, mà chuộng việc mẹ hiền làm con hư, thế là không xét đến lời bàn của thánh nhân.
夫不能行圣人之术，则舍为天下役何事哉？	Không thể thi hành thuật của thánh nhân thì ngoài làm tôi tớ thiên hạ còn làm được gì khác?
可不哀邪！	Chẳng đáng thương ư?
且夫俭节仁义之人立於朝，则荒肆之乐辍矣；谏说论理之臣间於 侧，则流漫之志诎矣；烈士死节之行显於世，则淫康之虞废矣。	Vả lại, người liêm khiết nhân nghĩa trong triều thì lạc thú cuồng phóng sẽ dứt; bề tôi can gián, luận bàn lý lẽ đứng bên thì chí hướng buông thả bị kiềm chế; đức hạnh của kẻ sĩ tiết liệt được hiển dương ở đời thì thú vui dật lạc bị bỏ.
故明 主能外此三者，而独操主术以制听从之臣，而修其明法，故身尊而势 重也。	Cho nên minh chúa có thể gạt bỏ ba loại người đó, riêng mình thi hành phương pháp để chế ngự, khiến bề tôi nghe theo, rồi tu sửa pháp luật sáng rõ, theo đó thân thêm cao thế thêm trọng.
凡贤主者，必将能拂世磨俗， 而废其所恶，立其所欲， 故生则有尊重之势，死则有贤明之谥也。	Phàm bậc hiền chúa ắt có thể làm trái lẽ đời, thay đổi phong tục, bỏ điều mình ghét, lập điều mình muốn, vì thế khi sống có thể cao trọng, khi chết có tên thụy bậc hiền minh.
是以明君独断，故权不在臣 也。	Do vậy minh quân một mình quyết đoán, nên quyền hành không ở tay bề tôi.
然後能灭仁义之涂，掩驰说之口，困烈士之行，塞聪揜明，内独 视听，故外不可倾以仁义烈士之行，而内不可夺以谏说忿争之辩。	Rồi sau, có thể diệt con đường của nhân nghĩa, bịt miệng kẻ du thuyết, chế áp hành vi kẻ sĩ tiết liệt, chặn sự khôn ngoan, che sự sáng suốt, bên trong chỉ nhìn chỉ nghe riêng mình, nên bên ngoài không bị lay động bởi hành vi của kẻ sĩ nhân nghĩa tiết liệt, còn bên trong không bị những lời biện bác can gián làm thay đổi.
故 能荦然独行恣睢之心而莫之敢逆。	Do vậy có thể phóng túng theo tâm mình mà không ai dám trái ý.
若此然後可谓能明申、韩之术，而 脩商君之法。	Như thế sau mới gọi là làm sáng thuật của Thân Bất Hại, Hàn Phi và tu sửa pháp của Thượng quân.
法脩术明而天下乱者，未之闻也。	Pháp được tu chỉnh, thuật được làm sáng mà thiên hạ loạn, là điều chưa từng nghe vậy.
故曰“王道约而易 操”也。	Nên nói 'Vương đạo gọn mà dễ thi thố' vậy.
唯明主为能行之。	Duy chỉ minh chúa mới có thể thi hành.
若此则谓督责之诚，则臣无邪，臣无邪则 天下安，天下安则主严尊，主严尊则督责必，督责必则所求得，所求 得则国家富，国家富则君乐丰。	Như thế gọi là thực thi được việc đôn đốc và đòi hỏi thì bề tôi không có mưu gian, bề tôi không gian tà thì thiên hạ yên ổn, thiên hạ yên ổn thì chúa được tôn nghiêm, chúa được tôn nghiêm thì càng cần đôn đốc đòi hỏi, càng đôn đốc đòi hỏi ắt đạt điều mình muốn, đạt điều mình muốn khiến quốc gia giàu có, quốc gia giàu có thì vua được lạc thú và đủ đầy.
故督责之术设，则所欲无不得矣。	Vì vậy thi hành thuật đôn đốc đòi hỏi thì điều mình muốn không gì không đạt được.
群 臣百姓救过不给，何变之敢图？	Bề tội trăm họ lo bổ cứu lỗi lầm còn chưa xong, sao dám tính đến chuyện gây biến?
若此则帝道备，而可谓能明君臣之术 矣。虽申、韩复生，不能加也。书奏，二世悦。	Như thế đạo đế vương được hoàn bị, gọi là năng làm sáng thuật vua tôi, dẫu Thân Bất Hại, Hàn Phi có sống lại, cũng không thể làm hơn được vậy.” Thư tấu trình lên, Nhị thế rất thích.
於是行督责益严，税民深者为明吏。	Bèn thi hành việc đôn đốc đòi hỏi thêm ngặt, ai thu nặng thuế của dân thì cho là quan sáng suốt.
二世 曰：“若此则可谓能督责矣。”刑者相半於道，而死人日成积於市。	Nhị thế nói: “Như thế gọi là biết đôn đốc đòi hỏi vậy.” Người bị phạt chiếm quá nửa trên đường, còn người chết ngày một chất đầy ngoài chợ.
杀人众者为忠臣。	Kẻ nào giết nhiều người thì được coi là tôi trung.
二世曰：“若此则可谓能督责矣。”初，赵高为郎中令，所杀及报私怨众多，恐大臣入朝奏事毁恶 之，乃说二世曰：“天子所以贵者，但以闻声，群臣莫得见其面，故 号曰‘朕’。	Nhị thế nói: “Như thể gọi là biết đôn đốc đòi hỏi vậy.” Ban đầu, Triệu Cao làm Lang trung lệnh, giết và báo thù riêng nhiều người, sợ đại thần vào triều tâu việc bài xích, bèn nói với Nhị thế rằng: “Thiên tử sở dĩ tôn quý, chỉ để người ta nghe danh, quần thần không được trông thấy mặt, nên gọi là trẫm.
且陛下富於春秋，未必尽通诸事， 今坐朝廷，谴举有不当者，则见短於大臣，非所以示 神明於天下也。	Và lại bệ hạ còn trẻ tuổi, chưa chắc thông tường mọi việc, nay ngồi triều đình, trách phạt có chỗ không xác đáng thì lộ sở đoản cho đại thần thấy, không phải cách tỏ thần minh với thiên hạ.
且陛下深拱禁中，与臣及侍中习法者待事，事来有以 揆之。	Nếu bệ hạ chắp tay ngồi cung cấm, cùng thần và hầu cận thạo phép chờ có việc, trình tấu lên cân nhắc xử trí.
如此则大臣不敢奏疑事， 天下称圣主矣。”二世用其计，乃不坐朝廷见大臣，居禁中。	Như thế đại thần không dám tấu những việc còn ngờ, thiên hạ xưng tụng là thánh chúa.” Nhị thế theo cách đó, bèn không ở triều tiếp kiến đại thần mà ngồi trong cung cấm.
赵高常 侍中用事，事皆决於赵高。	Triệu Cao thường hầu cận trong cung, mọi việc do Cao quyết định.
高闻李斯以为言，乃见丞相曰：“关东群盗多，今上急益发繇治 阿房宫，聚狗马无用之物。	Cao nghe Lý Tư đánh tiếng việc đó, bèn gặp Thừa tướng, nói: “Ở Quan Đông trộm cắp nổi lên rất đông, nay hoàng thượng kíp trưng dụng lao dịch xây cung A Phòng, tụ hợp lũ chó ngựa vô dụng.
臣欲谏，为位贱。	Tôi muốn can nhưng địa vị hèn.
此 真君侯之事，君何不谏？”李斯曰：“固也，吾欲言之久矣。	Đó thực là việc của quân hầu, sao ngài không can?” Lý Tư đáp: “Hẳn thế, tôi muốn nói lâu rồi.
今时上 不坐朝廷，上居深宫，吾有所言者，不可传也，欲见无间。”赵高谓 曰：“君诚能谏，请为君候上间语君。”於是赵高待二世方燕乐，妇 女居前，使人告丞相：“上方间，可奏事。”丞相至宫门上谒，如此 者三。	Nay hoàng thượng không ở trong triều, lại ngồi thâm cung, tôi có điều muốn nói, không thể truyền đạt được, muốn cầu kiến cũng không có cơ hội.” Triệu Cao nói: “Ngài có thể can ngăn, xin vì ngài chờ lúc hoàng thượng rảnh sẽ báo cho biết.” Thế rồi Triệu Cao chờ lúc Nhị thế đương an vui, có phụ nữ trước mặt, sai người báo Thừa tướng: “Hoàng thượng đường rảnh, có thể tấu trình việc.” Thừa tướng đến cửa cung yết kiến hoàng thượng, cứ thế ba lần.
二世怒曰：“吾常多间日，丞相不来。	Nhị thế giận nói: “Ta thường rảnh nhiều hôm, Thừa tướng không đến.
吾方燕私，丞相辄来请 事。	Nay ta vui chơi một mình, Thừa tướng liền xin tấu trình công việc.
丞相岂少我哉？且固我哉？”赵高因曰：“如此殆 矣！	Thừa tướng cho ta ít tuổi hay xem ta không biết gì?” Triệu Cao nhân đó nói: “Như thế nguy lắm!
夫沙丘之谋，丞相与焉。	Mưu việc ở Sa Khưu, Thừa tướng có tham dự.
今陛下已立为帝，而丞相贵不益，此其 意亦望裂地而王矣。	Nay bệ hạ làm hoàng đế, còn Thừa tướng chẳng sang quý thêm, hẳn ý ông ta muốn bệ hạ cắt đất phong vương đấy.
且陛下不问臣，臣不敢言。	Vả bệ hạ không hỏi thần, thần không dám nói.
丞相长男李由为三川 守，楚盗陈胜等皆丞相傍县之子，以故楚盗公行， 过三川，城守不肯击。	Con trưởng của Thừa tướng là Lý Do làm Quận thú Tam Xuyên, bọn trộm nước Sở là Trần Thắng đều là con em huyện bên của Thừa tướng, vì thế bọn trộm nước Sở công nhiên lộng hành, qua Tam Xuyên, Quận thú giữ thành không chịu ra đánh.
高闻其文书相往 来，未得其审，故未敢以闻。	Cao nghe nói họ có thư từ qua lại, nhưng chưa thẩm xét, nên chưa dám báo lên.
且丞相居外，权重於陛下。”二世以为 然。	Hơn nữa Thừa tướng ở ngoài, quyền uy hơn cả bệ hạ.” Nhị thế cho là phải.
欲案丞相，恐其不审，乃使人案验三川守与盗通状。	Muốn xử Thừa tướng, sợ chưa phải sự thực, bèn sai người điều tra Quận thú Tam Xuyên và tình trạng thông mưu với trộm cướp.
李斯闻之。	Lý Tư biết chuyện đó.
是时二世在甘泉，方作觳抵优俳之观。	Bấy giờ Nhị thế ở cung Cam Tuyền, đang xem trò đấu sừng và tạp hí.
李斯不得见，因上书言赵高之短 曰：“臣闻之，臣疑其君，无不危国；妾疑其夫，无不危家。	Lý Tư không được cầu kiến, nhân đó dâng thư nói nhược điểm của Triệu Cao: “Thần nghe nói, bề tôi sánh ngang vua, nước chưa từng không nguy; thê thiếp sánh ngang chồng, nhà chưa từng không hại.
今有大 臣於陛下擅利擅害，与陛下无异，此甚不便。	Nay có đại thần ở bên bệ hạ nắm quyền tự quyết lợi hại, không khác gì bệ hạ, như thế thực bất tiện.
昔者司城子罕相宋，身 行刑罚，以威行之，期年遂劫其君。	Xưa kia Tư Thành Tử Hãn phò tá nước Tống, đích thân thi hành hình phạt, dùng uy quyền để áp chế, đầy năm bèn cướp ngôi vua.
田常为简公臣，爵列无敌於国， 私家之富与公家均，布惠施德，下得百姓，上得群臣，阴取齐国，杀 宰予於庭，即弑简公於朝，遂有齐国。	Điền Thường làm bề tôi của Giản công, tước đứng đầu trong nước, nhà riêng giàu như vương thất, thi ân ban đức, dưới được lòng trăm họ, trên được lòng quần thần, ngầm chiếm lấy Tề, giết Tể Dư ở sân, giết Giản công trong triều, bèn chiếm lấy Tề.
此天下所明知也。	Đó là những việc thiên hạ đều rõ.
今高有邪佚 之志，危反之行，如子罕相宋也；私家之富，若田氏之於齐也。	Nay Cao có tâm ý gian tà, có hành vi phản loạn, như Tử Hãn làm khi phò tá vua Tống; nhà riêng giàu có, tựa họ Điền ở Tề vậy.
兼行 田常、子罕之逆道而劫陛下之威信，其志若韩为韩安相也。	Thi hành cả lối phản nghịch của Điền Thường và Tử Hãn rồi cướp uy tín của bệ hạ, chí của ông ta như Hàn Khởi khi làm Tướng quốc cho vua Hàn là An vậy.
