暹羅，古赤土國，後分爲二。一曰暹，一曰羅斛。	Khi xưa Xiêm La là nước Xích Thổ, sau chia làm 2 nước, một nước gọi là Xiêm, một nước là La Hộc.
三年九月，暹遣使齎國書，來報其國三王喪。	Năm thứ 3, tháng 9, nước Xiêm sai sứ đem quốc thư và phẩm vật đến báo tang của Tam vương nước ấy.
廷議：「暹三王之立，未曾見報。	Đình thần bàn rằng: "Tam vương nước Xiêm lập lên, chưa từng thấy báo.
今以訃來，甚無謂。	Nay đến cáo phó, rất là vô vị.
惟我與暹久敦隣好，請遵故事，遣使賜賻。命因其來使賜之贈賻。」	Duy nước ta cùng nước Xiêm hậu tình lân hiếu đã lâu, xin theo việc cũ sai sứ sang cho đồ phúng". Vua sai nhân có sứ đến đưa cho đồ phúng bảo về.
四年十二月，緬甸國遣使來通款，請絕暹好。	Năm thứ 4, tháng 12, nước Miến Điện sai sứ sang thông hiếu và xin tuyệt giao hiếu với Xiêm.
帝卻之，令禮部以事報暹。暹人復致書陳謝。	Vua khước từ. Sai bộ Lễ đem việc ấy báo với nước Xiêm, người Xiêm lại đưa thư trần tạ.
五年六月，暹佛王昭六書死〈在位十六年〉，子沙多鋪丁襲號，封其弟勉噴羅涉爲二王。	thứ 5, tháng 6, Phật vương nước Xiêm là Chiêu Lục Thư chết (ở ngôi 16 năm) con là Sa Đa Bô Đinh nối ngôi, phong cho em là Miễn Múm La Thiệp làm Nhị vương.
閏七月，暹遣使來告哀。	Tháng 7 nhuận, Xiêm sai sứ sang báo tang.
帝謂曰：「暹與我唇齒之邦，今其國有故，誠可憐也。」	Vua bảo rằng: Nước Xiêm cùng ta như môi với răng, nay trong nước có vua chết đáng thương.
乃輟朝三日，遣使往賻。	Bèn nghỉ chầu 3 hôm. Sai sứ sang phúng.
七年七月，又遣使來謝恩，且以其國祖母喪報。	Năm thứ 7, tháng 7, Xiêm lại sai sứ sang tạ ơn và báo tang tổ mẫu nước ấy.
諭之曰：「爾使此來，一合乎禮，一不合乎禮。謝恩，禮也。報喪，非禮也。	Vua dụ rằng: "Sứ nước người đến chuyến này, có một việc không hợp lễ; tạ ơn là hợp lễ mà báo tang là không hợp lễ.
朕以隣好之情，不欲顯拒。歸，語爾國王知之。」	Trẫm lấy tình lân hiếu không muốn cự lại ra mặt, về nói với quốc vương ngươi biết".
因發贈賜及致賻品物送之。	Nhân cho đồ tặng và đưa phẩm vật để phúng rồi đưa về.
歸，又令禮部以報訃非禮之意，爲書復之。	Lại sai bộ Lễ biên thư phúc lại báo tang là không phải lễ.
八年三月，萬象與暹構兵，阿弩兵敗，走三峝。乂安鎭臣以聞。	Năm thứ 8, tháng 3, nước Vạn Tượng cùng với nước Xiêm đánh nhau, quân của A Nỗ bị thua, chạy sang Tam Động.
朝廷命官經略邊務，送阿弩回駐乂安。語詳萬象傳。	Trấn thần Nghệ An đem việc tâu lên, triều đình sai quan đi kinh lược ngoài biên, đưa A Nỗ về trú ở Nghệ An (việc nói rõ ở chuyện nước Vạn Tượng).
暹屬蠻欣麻𤁕，初爲萬象所攻，率部落二百餘人歸我邊地，因獻象，請內附。	Thuộc Man của Xiêm là Hân Ma Lạt, trước đây bị nước Vạn Tượng đánh, đem bộ lạc hơn 200 người đến nơi biên giới của ta, dâng voi và xin phụ thuộc nước ta.
令甘露管道宋文琬擇曠地以居之，而還其所獻。	Vua sai viên Quản đạo Cam Lộ là Tống Văn Uyển chọn chỗ đất rộng cho ở, mà trả lại voi đem dâng.
及萬象敗，麻𤁕請歸故土。令放之還。	Đến lúc Vạn Tượng bị thua, Ma Lạt xin về đất cũ, sai cho về.
又暹屬蠻饑民數千人流寓眞臘，採葉煮萍而食。	Lại dân thuộc Man của Xiêm bị đói đến vài ngàn người, phiên lưu sang ước Chân Lạp, hái lá nấu bèo để ăn.
嘉定城臣以聞。	Thành thần Gia Định đem việc tâu lên.
諭曰：「暹民流移如此其眾，眞臘儲積無多，何以相卹朕一視同仁，安忍恬視而不之救耶。」	Dụ rằng: Dân Xiêm phiêu lưu dời sang nhiều như thế, kho chứa của nước Chân Lạp không có mấy lấy gì mà cưu mang được. Trẫm coi dân nào cũng thế, sao nó điềm nhiên ngồi nhìn mà không cứu ư?
乃令發米四千方、鹽二百方賑之。適高蠻使自暹還，暹人以國書寄達于朝。	Bèn sai phát ra 4000 phương gạo và 200 phương muối để chẩn cấp, vừa gặp sứ Cao Man từ nước Xiêm về, người Xiêm đem quốc thư gửi nhờ đưa đến triều đình.
事聞，帝曰：「我與暹鄰好之國，今惜一介使，因致書胡可泛受。」	Việc đến tai vua, vua nói: Ta cùng nước Xiêm là nước lân hiếu, nay tiếc một người sứ thần, nhân tiện gửi thư, sao có thể nhận bừa được.
乃令城臣咨會高蠻還之。	Bèn sai thành thần tư cho Cao Man trả lại bức thư ấy.
九年四月，命經略大臣潘文璻、阮科豪等往鎭寧屯札，量發弁兵，送阿弩回國。	thứ 9, tháng 4, sai Kinh lược đại thần là Phạm Văn Thúy, Nguyễn Khoa Hào tới Trấn Ninh đóng đồn, liệu lượng phái biền binh đưa A Nỗ về nước.
帝曰：「萬象與暹構隙，暹人不竆索者，以其依于我也。	Vua nói: Nước Vạn Tượng cùng với nước Xiêm gây hiềm khích, người Xiêm không truy đến cùng, là vì A Nỗ nương tựa ở nước ta.
令送之回國，宜以一紙示暹，使之釋萬象舊釁。」	Nay cho về nước, nên đưa một tờ giấy cho Xiêm, để giảng giải bỏ hấn khích cũ cho nước Vạn Tượng.
乃遣工部郎中黎元熙等齎國書、品物如暹。	Bèn sai Công bộ Lang trung là bọn Lê Nguyên Huy mang quốc thư phẩm vật sang Xiêm.
五月，阿努抵圓禛城，與暹人爭倉粟，殺暹將，暹兵死傷甚眾。	Tháng 5, A Nỗ tại thành Viên Chăn, cùng với người Xiêm tranh nhau kho thóc, giết tướng Xiêm quân Xiêm chết và bị thương rất nhiều.
事聞，乃降敕諭，遣該隊潘文統、協守黎廷遹等齎往切責之，令謝過于暹。	Việc đến tai vua, bèn xuống sắc dụ sai bọn Cai đội là Phan Văn Thống, Hiệp thủ là Lê Đinh Duật đưa thư đến nghiêm ngặt quở trách, sai tạ lỗi nước Xiêm.
復命禮部移書于暹丕雅伐稜，言：「萬象之爭倉粟，由暹將先自啓釁，已令阿弩致謝，可宜寛恕其罪。」	Lại sai bộ Lễ đưa thư cho Xiêm Phi nhã là Phật Lăng, nói việc tranh kho thóc ở Vạn Tượng là do tướng Xiêm gây hấn trước, đã sai A Nỗ gửi thư để tạ, nên khoan thứ cho tội ấy.
及文統至𣶆江南岸，爲暹裨將襲，統及隨兵五十人皆遇害，惟廷遹轉送于暹。	Khi Văn Thống tới bờ phía nam sông Khung, bị tỳ tướng Xiêm đánh úp, Thống và quân đi theo 50 người đều bị chết cả, duy có Đình Duật được chuyển đưa về Xiêm.
暹將爲掣森鈐引兵侵甘露尋湓州，索九州貢稅。乃命象軍統制范文典領兵經理甘露邊務，暹兵尋引去。	Tướng Xiêm là Vi Siết Sâm Kiềm đem binh xâm lấn châu Cam Lộ và Tầm Bôn, đòi thuế cống của 9 châu, vua bèn sai Tướng quân thống chế là Phạm Văn Điển đem binh đi kinh lý việc ngoài biên ở Cam Lộ, quân Xiêm liền dẫn đi.
十一月，元熙等自暹還，言：「暹羅人禮遇甚厚。旣入見，暹王延坐慰問。因言：『數年來國內有事，未能遣使修好。	Tháng 11, bọn Nguyên Hy từ nước Xiêm trở về nói: Người Xiêm đãi ngộ rất hậu, đã vào ra mắt, vua Xiêm mời ngồi, yên ủi hỏi han, nhân nói: Vài năm nay trong nước có việc chưa sai sứ sang sửa lễ hòa hiếu được.
今使者遠來，殊深嘉慰。	Nay sứ giả từ xa lại rất là mừng rỡ.
』又云：『萬象罪大，將使人詳述，令使臣知之。	Lại nói: Tội nước Vạn Tượng rất lớn, sẽ sai người thuật rõ lại để sứ thần biết.
』熙等退。暹人使丕雅肥伐等就公館，言：『暹王平日待萬象甚厚。去年，阿弩使其子曷蛇芃驅苦落蠻民，復舉兵攻掠暹邊地，進至車覆逋多。	Bọn Hy lui ra, người Xiêm sai Phi nhã là bọn Phi Phạt tới công quán nói: Vua Xiêm ngày thường đối đãi với nước Vạn Tượng rất hậu, năm trước A Nỗ sai con là Hạt Xà Bông xua đẩy những dân man ở khổ lạc, lại đem binh đánh cướp nơi biên giới của Xiêm.
暹王遣二王提大兵邀擊，萬象敗走。暹兵直搗圓禛城，阿弩挈眷出奔。	Khi tiến tới Xa Phúc Bô Đa, vua Xiêm sai Nhị vương đem đại binh đón đánh, Vạn Tượng thua chạy, quân Xiêm thẳng tới Viên Chăn, A Nỗ đem gia quyến chạy.
及回國，因有我兵護送。又聞阿弩自言遵諭，當卽如暹謝過。暹將信之，不爲備。阿弩乘虛襲擊，殺暹將士二百餘人。	Kịp khi về nước vì nhân có quân nước ta hộ tống lại nghe thấy A Nỗ tự nói ra là theo lời dụ phải ủy ngay người sang Xiêm tạ lỗi, tướng lấy làm tin không phòng bị, A Nỗ nhân sơ hở đánh úp giết tướng sĩ Xiêm hơn hai trăm người.
請使臣以事回奏。	Xin sứ thần đem việc ấy về tâu.
』熙曰：『此行止爲修好而來，使還復命，豈可泛說他事。	Hy nói: Chuyến đi này chỉ vì sửa hòa hiếu mà tới đây, đi sứ về phục mệnh, há nên nói phiếm việc khác.
』數日，暹王又召見熙等，謂之曰：『曩者阿弩先自起釁，卻云爲暹驅迫。皇帝知其詐，誠至聰也。	Được vài ngày, vua Xiêm lại triệu bọn Hy vào bảo rằng: Trước đây A Nỗ tự khởi hấn trước, lại nói là Xiêm bức bách, Hoàng đế nói là nói dối, thực là sáng suốt.
聞有敕諭阿弩遣人致謝于暹，字小睦鄰之義，可謂兩盡。	Nghe đâu có sắc dụ cho A Nỗ sai người đến Xiêm tạ lỗi, về nghĩa yêu nuôi nước nhỏ, hòa mục với nước láng giềng có thể bảo là được vẹn tình cả hai.
乃阿弩回國，卽爲掩襲之計，是不但構怨于暹，而有負皇帝德意多矣。	Thế mà A Nỗ về nước, lại dùng kế đánh úp, không những gây oán với Xiêm, mà còn phụ đức ý của triều đình rất nhiều.
使臣回朝，可奏知皇帝，勿信阿弩之言。	Sứ thần về triều, nên tâu để hoàng đế biết, chớ tin lời nói của A Nỗ.
』熙等曰：『萬象之事，使臣非有旨詢問，不敢塵瀆。	Bọn Hy nói rằng: Việc nước Vạn Tượng, không có chỉ hỏi đến thì không có tâu nhàm làm rườm tai Hoàng đế.
』暹王因問：『去年高蠻使來暹，曾使丕雅伐稜以萬象之事致書于嘉定，寄高蠻使憑保護官轉達，保護官卻之不受，禮乎。	Vua Xiêm thăm hỏi: Năm ngoái sứ Cao Man đến nước Xiêm, có sai Phi nhã là Phật Lăng đem việc Vạn Tượng gửi thư cho Gia Định, nhờ sứ thần Cao Man chuyển giao cho quan bảo hộ đề đạt lên hộ nhưng quan bảo hộ lại khước từ không nhận, có phải là lễ không?
』曰：『兩國素敦鄰好，如有事，當致書，令人齎遞可也。乃寄之高蠻使，於禮不當。如是簡率，况人臣義無私交，邊臣卻之，禮也。	Hy đáp: Hai nước vẫn đôn đốc việc lân hiếu, nếu có việc phải đưa thư, sai người mang đến mới phải, lại gửi sứ Cao Man, đối với không nên đơn giản sơ suất như thế … Huống hồ nhân thần theo nghĩa không nên giao thiệp riêng với nhau, biên thần khước từ là phải lễ.
』又問：『去年暹船抵河僊，聞鎭臣逼令編報一船費至數百緡，何也。	Lại hỏi năm ngoái thuyền nước Xiêm đến Hà Tiên, nghe nói viên trấn thần bức bách phải kê báo, một cái thuyền mà phí tổn đến vài trăm quan là thế nào?
』曰：『此必無之事，不過好事者懸空說出焉耳。	Đáp rằng: Không bao giờ có việc như thế, chẳng qua người kiếm chuyện bịa đặt mà nói ra đó thôi.
』暹王曰：『本欲遣使通好，止爲保護官卻其書，而河僊有拘商人，恐使者一往，或爲拘畱，有傷鄰誼。故終不果。	Vua Xiêm lại nói: Vốn muốn sai sứ thông hiếu, chỉ vì quan bảo hộ không muốn nhận tờ thư, mà Hà Tiên lại bắt giữ người buôn, sợ sứ giả có tới, hoặc bị bắt giam lại thì có hại đến tình lân nghị, nên sau không dám sai đi.
今後兩國往來，茍有未合於禮，亦當從中斟酌，勿可拘泥，則鄰道全矣。	Từ nay về sau, hai nước đi lại, nếu có việc gì không hợp lẽ, cũng nên châm chước cho, chớ nên câu nệ, thời đạo lân hiếu mới được toàn vẹn.
』又問：『阿弩啓釁，順乎。逆乎。當討乎。	Lại hỏi: A Nỗ khởi hấn như thế là thuận hay nghịch, nên đánh hay nên tha.
抑當赦乎。』曰：『以小事大謂之順，用下背上謂之逆。順則綏之以德，逆則震之以威。	Đáp: Lấy nước nhỏ thờ nước lớn là thuận, làm kẻ dưới bội nghịch người trên là nghịch, thuận thì vỗ về yên lấy đức, nghịch thời ra oai cho sợ.
萬象於本國但見其恭順，而於暹則聞其啓釁，所謂順逆，當討當赦，佛王自思之，非使臣所知也。	Nước Vạn Tượng đối với nước tôi chỉ thấy kính thuận, mà đối với nước thì nghe thấy khởi hấn, bảo là thuận hay nghịch nên đánh hay nên tha, thì Phật vương tự nghĩ lấy, sứ thần không thể biết được.
』暹王曰：『阿弩之罪，當謂之逆。暹不得已而討之耳。	Vua Xiêm lại nói: Tội của A Nỗ nên cho là nghịch, nước Xiêm bất đắc dĩ mới phải đánh mà thôi.
』乃修國書及答謝品物，令熙等齎還。	Bèn làm quốc thư và sửa phẩm vật đáp tạ nhờ bọn Hy đem về.
熙等見其書歷陳阿弩罪狀，及責保護官不受來書，語意不雅；而謝物寄之來使，禮亦非宜，固卻不受。	Bọn Hy thấy trong thư kể lể tội trạng của A Nỗ và trách quan bảo hộ không nhận tờ thư, lời nói không được nhã, mà tạ vật gởi sứ thần mang hộ thì lệ cũng không phải, nên khước từ không chịu nhận.
暹王乃令伐稜復書于禮部，專言通好一事，然後受之。」	Vua Xiêm bèn sai Phật Lăng phúc thư cho bộ Lễ chuyên nói một việc thông hiếu thôi. Sau bọn Hy mới nhận.
熙等回，帝問以暹事。對曰：「暹人酷尚釋敎，施舍無度。暴征橫斂稅，及禽獸草木，甚至長乳婦人亦有征稅。其民不安生業，雖宿衞之臣，或有對使臣發怨言者。」帝曰：「果若所言，將何以爲國乎。	Bọn Hy về, vua hỏi việc nước Xiêm, thưa rằng: Người Xiêm rất tôn trọng đạo Phật, bố thí không có chừng mực, nhưng đánh thuế rất nặng, đánh thuế cả đến chim muông, cây cối, thậm chí đến người đàn bà vú dài, cũng có đánh thuế, dân không yên bề sinh sống, dẫn đến quan túc vệ (túc trực hộ vệ) hoặc có người nói chuyện với sứ thần cũng thốt ra lời nói oán Vua nói: Quả như lời sứ thần nói thì trị quốc thế nào được?
朕少聞皇考世祖高皇帝嘗云：彼國有佛王、二王、三王，每臨朝聽斷，如事關刑殺，佛王主言赦，二王主言殺，三王則持兩說而和解之，恰似兒戲一般。是以國柄漸移，亂機暗伏。	Trẫm lúc nhỏ thường nghe hoàng khảo là Thế Tổ Cao Hoàng đế từng nói: Nước họ có Phật vương, Nhị vương, Tam vương, mỗi khi ra triều nghe xử đoán, như việc quan hệ đến hình phạt phải giết, thời Phật vương bảo là tha, Nhị vương bảo là giết, Tam vương thì theo cả hai thuyết, đứng ra hòa giải, giống như bọn trẻ đùa bỡn cho nên quyền hành trong nước dần suy kém mà mối loạn ngấm ngầm phục sẵn.
曩者昭寃那將欲構難，以前佛王有機略，終不敢發。	Trước đây Chiêu Oan Na muốn gây nạn, vì thấy Phật vương trước có mưu lược nên không dám sinh chuyện.
今二王以尊行，反居下位。	Nay Nhị vương là hàng tôn trọng lại ở vị thấp mà không biết lấy làm gương.
而彼不知監，復循故轍，其國恐難保無事矣。」。	Lại nói theo vết cũ trong nước sợ khó giữ được không có loạn.
十年二月，遣戶部郎中白春元等致書于暹。其書略曰：「我國與暹，世修鄰誼，四十餘年，休戚相關，和好無間，非惟屬國附庸，素羡慕我兩國之大，想殊邦絕域，亦欽仰之至。	Năm thứ 10, tháng 2, sai Hộ bộ Lang trung là bọn Bạch Xuân Nguyên đưa thư cho nước Xiêm, tờ thư đại lược rằng: Nước ta cùng với nước Xiêm đời đời vẫn giữ tình lân nghị, đã hơn 40 năm nay, vui lo cùng quan hệ với nhau hòa hiếu không có điều gì chê trách, không những các thuộc quốc quy phụ vẫn hâm mộ, hai nước ta là lớn, tưởng các nước ở xa cũng kính trọng cả.
於高蠻、萬象，事大之誠，共球惟謹。	như Cao Man, Vạn Tượng cũng tỏ lòng thành thực, tôn thờ nước lớn cống hiếu rất cẩn thận.
明命三年，忽接乂安奏報，萬象國長阿弩挈眷來投，自云爲暹所驅逐，願作邊氓。	Năm Minh Mạng thứ 8, tháng 3, chợt tiếp Nghệ An thông báo là: Quốc trưởng nước Vạn Tượng là A Nỗ đem gia quyến đầu ngụ và nói là bị nước Xiêm xua đuổi, xin làm dân ở ngoài biên.
我因念兩國從來凡事必相報告，此次曾無委人道達，或未必眞。而萬象乃朝貢之邦，因難投依，寧容膜視，爰準于乂安安歇。	Ta nhân nghĩ: Hai nước từ trước tới nay có việc gì cũng báo cáo cho nhau, lần này không thấy ủy thác người báo cáo, hoặc không thực chăng, mà nước Vạn Tượng là nước triều cống, nhân nạn tới nương nhờ há nỡ coi thờ ơ. Bèn chuẩn cho ở yên ở Nghệ An.
其夏，阿弩懇回營理國事。俯從所請，派出官兵護送之，竝勅令返國後宜委信臣致謝于暹，永共藩服。業遣使臣黎元熙齎遞國書，前來敍好，備將原委佈達矣。	Mùa hạ năm ấy, A Nỗ xin về sửa sang việc nước, chiếu theo lời xin, phái quan binh đi hộ tống, và sắc bảo cho biết: Sau khi về nước, nên ủy người thân tín đưa thư sang tạ nước Xiêm, để cùng làm phiên phục lâu dài; đã sai sứ thần là Lê Nguyên Huy mang quốc thư đến tỏ bề hòa hiếu, và đem hết nguyên ủy bày tỏ choết rồi.
嗣接邊報，阿弩回到故城，與暹將占爭倉庫，惹起事端，亦隨降嚴諭，令阿弩收拾暹兵所遺礮械，仍遴委陪臣，迅往謝過，以全事大之禮。	Sau tiếp được biên giới báo cáo là: A Nỗ về đến thành cũ, cùng tướng Xiêm tranh chiếm kho tàng, gây nên mối họa, cũng đã xuống ngay nghiêm dụ bảo A Nỗ phải thu nhặt khí giới của quân Xiêm còn bỏ lại, rồi chọn ủy viên bồi thần đi ngay tới nước Xiêm tạ lỗi để trọn lễ thờ nước lớn.
又勅禮臣撰具公文，由嘉定派人，齎交伐稜轉達。	Lại sắc cho Lễ thần làm công văn do thành Gia Định phái người giao cho Phật Lăng để chuyển đạt đến vua Xiêm.
去秋，忽見乂安馳報，所派該隊潘文統、協守黎廷遹及通言、土兵、蠻兵五十人齎諭之萬象，纔抵鋪嶔堡，爲暹將樁爲差詐邀掩殺，惟畱廷遹與蠻屬二人，及敕諭龍筒納于醜頗禍移，以送于暹。	Mùa thu năm ngoái, chợt thấy trấn Nghệ An chạy ngựa báo là: Có phái Cai đội là Phan Văn Thống và Hiệp thủ là Lê Đình Duật cùng thông ngôn lính thổ lĩnh Man 50 người mang tờ dụ đi Vạn Tượng, mới đến bảo Bộ Khâm bị tướng Xiêm là Thung Vi Sai giả làm đến đón rồi đánh úp giết chết, chỉ để lại Lê Đình Duật cùng 2 người Man thuộc và tờ sắc dụ để đưa cho nước Xiêm.
去冬，又接甘露道奏稱，暹裨將爲掣森鈐隴那羅等將兵分駐尋湓州，擅拘吏目，勒索財物，託以追問九土司貢稅及索取流民爲辭，經勅疆吏以理曉之而不肯退，直待我兵進至然後撤去，且稱所掠牛馬俟後交還，此等事具有樂凡部落昭芃謹麻𤁕、昭蛇湼報結可據。	Mùa đông năm ngoái, lại tiếp tờ tấu của đạo Cam Lộ nói là kỳ tướng nước Xiêm là bọn: Vi Tiết Sâm Kiềm và Lũng Na La đem binh chia nhau đóng ở châu Tầm Bôn tự tiện bắt lại mục đòi hỏi tài vật, mượn tiếng là truy hỏi thuế cống của 9 thổ ty và đòi lại dân lưu tán, đã sắc cho quan ở biên giới, lấy lễ hiểu dụ mà không chịu lui, đợi đến khi quân ta tiến đến rồi sau mới chịu rút đi, và nói là số trâu ngựa đã cướp lấy đợi sau sẽ giao trả. Những việc ấy có đủ tờ bảo kết của bọn: Chiêu Bông Cẩn Ma Lạt và Chiêu Xà thuộc bộ lạc Lạc Hoàn làm bằng cứ.
以若所爲，非所以敦信好而全厚道，且我之於暹，率循舊典，世守鄰交，暹之難船泊我洋分者，皆賙卹之，暹之流蠻投我邊者，亦賑給之。	Xem những việc ấy, không phải là đôn đốc về tín hiếu để trọng hậu đạo. Và ta đối với nước Xiêm, vẫn noi theo điển cũ, đời đời giữ tình giao hiếu với nước láng giềng, như thuyền bị nạn của Xiêm giạt vào phần biển của ta, đều chẩn phát cứu giúp cho; những dân Man người Xiêm lưu tán sang biên giới ta, cũng chẩn cấp cho.
緬甸，暹之敵國，昔曾委使通款以圖暹，我亦拒之而不納。	Nước Miến Điện là địch quốc của Xiêm, khi xưa từng sai sứ sang thông hiếu để mưu tính nước Xiêm, ta cũng cự tuyệt không nhận.
其講信修睦之誠，固有以質於神明播於遐邇矣。	Về việc giữ điều tín thực, sửa việc hòa mục, có thể đối chất với thần minh và vang khắp xa gần vậy.
至於區處萬象之事，正爲恤難撫孤，義所在也，非利其土地人民也。	Đến như việc khu xửượng, chính là thương kẻ có nạn, vỗ về kẻ cô đơn, nghĩa phải như thế, không phải là lợi về đất cát nhân dân của nước ấy vậy.
乃文書往來，委曲道達。而暹未曾遣一介之使以相通。	Bèn làm văn thư qua lại dặn bảo cặn kẽ, mà nước Xiêm chưa từng sai một người sứ thần đến để thông báo cho nhau.
且萬象臣事二大，卽使阿弩果獲咎於暹，亦須與我通知，別擇賢者立之，以存其祀。	Vả lại nước Vạn Tượng làm tôi thờ hai nước lớn, nếu A Nỗ quả có lỗi với Xiêm, cũng nên thông báo cho ta biết, để chọn người hiền khác lập lên, cho có người kế tự.
今寂然不以相聞，輒俘其民而空其地，是何義耶。	Nay im lặng không cho biết, tự tiện bắt dân, bỏ không đất cát, là nghĩa gì?
至若派人齎諭萬象，向暹謝過，本爲好事而來，樁爲差何仇，而遽起惡機。行人何辜，而橫遭毒手。	Còn như phái người mang tờ dụ bảo nước Vạn Tượng đến tạ lỗi nước Xiêm vốn là vì việc tốt mà đến, tên Thung Vi Sai có thù hằn gì mà vội dùng cơ mưu gian ác, bọn hành nhân có tội gì mà gặp phải tay thâm độc như thế, việc ấy rất là trái lẽ.
此事尤爲逆理，况乎彼此疆域界限截然，九土司原隸我朝版籍，於暹不相關。	Huống hồ bờ cõi nước nọ nước kia, giới hạn đã định, 9 thổ ty nguyên vẫn lệ thuộc bản đồ của triều đình ta, đối với Xiêm từ trước không có quan hệ giao thiệp gì.
年前欣麻𤁕難民投依，我憐其竆而暫容之。	Năm trước, nạn dân là Hân Ma Lạt đến trú ngụ nhờ, ta thương là cùng khổ tạm dung cho, rồi lại cho về.
隨復聽其歸去，爲掣等卻無端託故，軋我疆土，擾我邊氓，安有禮義相與之國而乃容邊將如此越界妄爲者乎。	Bọn Vi Liệt tự dưng mượn cớ sấn sang bờ cõi của ta, nhiễu hại dân ngoài biển của ta, đâu có nước lễ nghĩa đối đãi với nhau mà dung túng cho tướng ngoài biên vượt cõi làm càn như thế ư?
順逆之理，蓋已瞭然，不待辯而自明矣。	Về lễ thuận nghịch đã tỏ rõ rồi, không đợi phải biện luận mà tự sáng tỏ rồi.
念重親睦之情，特遣使臣齎書以往。卽宜自省而審度之。	Nhưng ta nghĩ đến tình thân mục, đặc cách sai sứ thần mang thư đưa đến thì phải nên tự xét mà lo tính lấy?
萬象如當別置君長，其處置事體須早回答。黎廷遹與敕書一道，仍卽交還。再併交首惡樁爲差，問其擅殺使人知罪。偏裨爲掣等，自當嚴懲，俾知所戒。	Nước Vạn Tượng nếu nên đặt quân trưởng khác, thì sự thể xếp đặt nên sớm trả lời lại Lê Đình Duật với một đạo sắc thư, rồi tức khắc giao trả về nước, lại giao cả tên thủ là Thung Vi Sai để hỏi cái tội tự tiện giết sứ giả; còn tù trưởng là bọn Vi Liệt phải nên nghiêm răn để biết răn sợ.
如此，則來者可追，猶足以不愆於好事。否則起釁，寔自暹始。	Như thế thời sau này còn có thể sửa chữa được, còn đủ không hại đến việc hòa hiếu, không thể vì việc gây hấn là tự nước Xiêm trước.
至此曲直是非，上有天鑒，下有列國諸藩聲口，毋謂我國有負於暹也。」三月，暹遣使來謝好。	Đến lúc bấy giờ cong thẳng phải trái trên có trời soi xét, dưới có miệng tiếng các quốc và các phiên bàn xét. Chớ bảo là nước ta phụ nước Xiêm Tháng 3, nước Xiêm sai sứ lại tạ và hòa hiếu.
使至嘉定，城臣先以其國書草本飛遞入奏。	Sứ đến Gia Định, thành thần trước hết lấy bản thảo quốc thư đệ tâu lên ngay.
帝曰：「前者朝廷遣使如暹，正爲區處萬象，及問明容縱將弁越境妄爲等事。	Vua nói trước đây ta sai sứ sang Xiêm, chính vì việc khu xử nước Vạn Tượng và hỏi rõ các việc dong túng các tướng biên vượt cõi làm bậy.
今其使來，書中所敍，率皆掩過。特卑辭屈禮，以悅我心。	Nay sứ mang thư lại, trong thư đã nói đều để che lỗi, chỉ nhũn lời chịu khuất để đẹp lòng ta.
但彼旣藉以通好，若峻拒之，則是示人以不廣也。」	Nhưng họ đã nhờ đó để thông hiếu, nếu cự tuyệt đi thì tỏ ra là không được rộng lượng.
乃諭城臣送使者上京。	Bèn dụ cho thành thần đưa sứ giả tới kinh.
旣至，命禮部以前事問難，使者惟善辭以答。	Khi sứ đến sai bộ Lễ đem việc nước vặn hỏi, sứ giả chỉ lấy lời nói khéo để đáp lại.
明命十一年六月，暹遣使齎國書、方物來謝。	Năm Minh Mạng thứ 11, tháng 6, Xiêm sai sứ mang quốc thư và phương vật đến ta.
使至嘉定，城臣譯其書以聞，略言彼國嗣後不敢復擾我國土司，其擇立萬象國長，姑俟得人，通書關報；至於寵衫之殺行人，於彼爲功，請赦之。	Sứ đến Gia Định, thành thần dịch tờ thư tâu lên. Tờ thư nói đại lược rằng: Nước họ tự nay về sau không dám quấy nhiễu thổ ty nước ta nữa, còn việc chọn lập Quốc trưởng nước Vạn Tượng tạm đợi chọn được người sẽ đưa thư trình báo sau. Đến như việc Sủng Sam giết bọn hành nhân đối với họ là có công, xin tha cho.
城臣經以事理，再三竆詰，其使應答無異辭。	Thành thần đã đem mọi lẽ vặn hỏi hai ba lần, nhưng sứ giả ứng đáp không khác gì lời nói ban đầu.
下廷議，皆言：「我國與暹，世爲鄰交。近因萬象之役，自他先構釁端。則我直彼曲，固已不待辯而自明矣。	Việc giao xuống đình thần bàn, đều nói: Nước ta cùng với nước Xiêm đời đời làm làm nước láng giềng giao hiếu, gần đây việc nước Vạn Tượng, tự họ khởi hấn ra trước, thời ta lẽ thẳng họ lẽ trái cố nhiên chẳng cần phải đợi biện luận mà đã tự rõ vậy.
惟彼國從來囿於習俗，旣不知名義所在，辭命亦無文雅可觀。	Duy nước họ tự xưa đến nay quen theo tập tục, đã không danh nghĩa gì, mà giấy tờ cũng không có văn nhã khả quan.
而此次來書，一則曰請罪，二則曰鄰誼無間。其有敍及本國，則明著皇帝徽稱。有誤用諱字，一經曉示，卽行改繕。	Mà tờ thư đưa đến chuyến này, một là nói xin tội một lần, hai là nói tình lân nghị không bao giờ khác, mà có kể đến nước ta, thì biên rõ húy xưng của hoàng đế; có dùng làm chữ húy, một khi đã hiểu báo thị tức thì sửa chữa ngay.
以敵國之體，而俯首怗耳如此，豈敢仍然爲梗者乎。	Lấy thể diện một nước đối địch, mà cúi đầu im tai như thế, há dám còn giữ ngạnh bướng đâu.
