第十二回。	Hồi thứ mười hai.
于是士毅使广西左江道杨雄业护国母并眷属人等至南，顿其仓廪衣被，均为酌给，使各自安适。	Sau đó, Nghị sai viên quản đạo Tả Giang, tỉnh Quảng Tây là Thanh Hùng Nghiệp hộ vệ quốc mẫu An Nam và các quyến thuộc đến đất Nam Đôn, tuỳ nghi cấp cho các thứ lương thực, chăn áo, để ai nấy đều được yên ổn.
因缮表奏，称：「据安南国镇目阮辉宿奔投内地，称于乾隆五十一年夏六月，西山贼阮文岳之弟阮文惠将兵犯该国城。	Luôn thể, Nghị thảo tờ biểu tâu rằng: "Cứ lời người trấn mục của nước An Nam là Nguyễn Huy Túc, chạy sang nội địa cung khai: tháng sáu mùa hè năm thứ năm mươi mốt, niên hiệu Càn Long, em giặc Tây Sơn Nguyễn Văn Nhạc là Nguyễn Văn Huệ đem quân xâm phạm kinh thành nước ấy.
嗣于八月，文岳继至，适诸镇各整兵象赴难，文岳兄弟惧不敢留。	Tiếp đến tháng tám, Văn Nhạc theo ra. Vừa gặp lúc các trấn đều chỉnh đốn binh lính, voi ngựa đến cứu. Anh em Văn Nhạc sợ không dám ở, ngay trong tháng ấy, đang đêm phải đem quân lẻn trốn.
是月潜师夜遁，国王黎维礻端遗失国印，随即病逝。	Quốc vương là Lê Duy Đoan (tức Lê Hiển Tông) làm mất quốc ấn, liền đó bị bệnh mà mất.
因长子早故，嗣孙维祁例应承袭，备文申请，补给印篆。	Vì con trưởng chết sớm cháu đích tôn là Duy Kỳ, theo lệ được nối ngôi, có thảo văn thư đệ sang, xin cấp cho quả ấn khác.
嗣接督部移檄，不叶体制，正当遣陪臣赉表，告哀求封。	Kế đó, tiếp được hịch của quan đốc bộ đưa sang, nói rằng như thế không hợp thể lệ, mà phải sai bồi thần dâng biểu báo tang rồi xin phong mới đúng.
不料次年冬，文惠复遣部将武文任乘危伐丧，以致国嗣奔亡，未及遣使。	Không ngờ mùa đông năm sau, Văn Huệ lại sai bộ tướng là Võ Văn Nhậm nhân khi nguy biến, đánh người giữa lúc có tang, đến nỗi tự quân phải chạy trốn, chưa kịp sai sứ thần qua xin.
宿等奉该国母奔武崖之博山，国嗣奔山南之天长。	Bọn Túc đưa quốc mẫu của nước Nam chạy ra vùng Bắc Sơn thuộc huyện Võ Nhai, vua Lê thì chạy trốn sang phủ Thiên Trường.
贼帅占据国城，四下搜捕，又有谅山土民卷簪，高平藩目闭阮俦降贼，引兵劫国母以为质，宿等随奉国母奔高平。	Tướng giặc chiếm cứ quốc thành, sai người đi khắp nơi lùng bắt. Lại có tên thổ dán trấn Lạng Sơn là Quyển Trâm, tên phiên mục Cao Bằng là Bế Nguyễn Trù đầu hàng giặc, đem quân định cướp quốc mẫu để làm con tin. Bọn Túc liền đưa quốc mẫu lên Cao Bằng.
本年五月日至博淰地头，贼兵追及，无计可脱，只得隔河吁叫天朝救护，舍命奉母合人眷等，涉水登岸。有不及济者，尽为贼所歼。	Tháng năm năm nay, đi tới đầu xứ Bác Nậm (thuộc huyện Quảng Yên và Phú Hoà, tỉnh Cao Bằng), bị quân giặc theo kịp, không còn kế gì để thoát thân, bọn Túc phải đứng cách sông kêu xin thiên triều cứu giúp. Rồi họ liều mạng đưa được quốc mẫu và bọn quyến thuộc lội nước sang bờ bên này, người nào không kịp sang sông đều bị giặc giết chết.
叩头吁请，得待罪天朝，不肯辱污贼手等语。	Nay bọn Túc rập đầu kêu van, xin được ở lại chịu tội với thiên triều, không chịu mắc vào tay nhơ nhớp của giặc... Lại cứ lời bọn Túc nói thì hiện nay quốc thành bị giặc chiếm đóng các nơi khác cũng đều nghe tiếng mà tan rã tơi bời.
又据称现今国城被他窃据，各处亦闻风披靡，与内地相接之牧马谅山等地方俱已从他。	Các địa phương tiếp liền với nội địa như Mục Mã (thuộc Cao Bằng), Lạng Sơn, đều đã theo giặc.
惟乂安之欢演，海阳之荆南等处尚有土豪应义，出没山谷，乘便掩杀贼兵，贼亦未能全有。且贼自有西山，一味犷悍，专以屠戮为事；闻有不肯降之处，嗣孙潜藏，想亦在此。	Riêng có vùng Diễn Châu ở Nghệ An, các hạt Kinh Môn, Nam Sách ở Hải Dương... là còn có bọn thổ hào ứng nghĩa, ra vào các nơi hang núi, lừa dịp đánh giết quân giặc, nên giặc cũng chưa thể đánh chiếm được hết cả. Vả chăng tuy quân giặc từ khi chiếm được đất Tây Sơn, một mực hung tợn, chỉ biết có việc tàn sát, nhưng cũng vẫn có những nơi không chịu hàng giặc. Tự tôn lẩn trốn, chắc cũng ở những nơi ấy.
母妻业经北走，万望恭容。	Mẹ và vợ của tự tôn đã chạy sang đất thiên triều, muôn lần trông được sự bao dung.
其中一二逋臣，颇亦干辨，情愿回国，觅求嗣孙，再一番戮力图存，后又力不从心，愿为存孤之计，恳祈矜怜等语。那各款情由，并据知府陆有仁手写问条，该国目随次作答。	Còn trong bọn bề tôi chạy trốn cũng có được một vài kẻ có chút tài cán, họ tự xin về nước, tìm kiếm tự tôn, để lại gắng sức lo toan một phen nữa. Nếu như sức chẳng chiều lòng, thì họ xin làm cái chước bảo tồn lấy người con côi, tha thiết xin được thiên triều thương xót... Các khoản tình do trên này, đều do tay tri phủ Nguyễn Hữu Nhân (có bản chép Đào Hữu Nhân) viết thành câu hỏi, đầu mục nước ấy lần lượt trả lời.
察其情实，颇亦激昂，能知大义。	Xét ra, họ cũng thật tình, lại có phần hăng hái, biết được nghĩa lớn.
臣伏思黎贡臣，该嗣孙例应承袭。不幸该国破灭，该国母妻，款关哀诉，实可量加存恤，俾之得所。	Thần trộm nghĩ, cống thần họ Lê, theo lệ thì tự tôn của họ được nối ngôi, chẳng may nước ấy bị diệt, mẹ và vợ đã tới cửa ải kêu van, thực cũng nên thể tình mà chu cấp, để họ được yên chỗ, rồi chờ để xét rõ tin tức của nước họ, sẽ quyết định việc cho đi hay cho ở lại.
徐察国中音信，再定去留，惟念该等走至河边，已属天朝界首。彼众望见天兵驻扎，尚敢悍杀多人，敌情险恶，断不无窥何之意。	Chỉ nghĩ bọn họ khi chạy đến ven sông, tức là đã thuộc về địa đầu bờ cõi của thiên triều; vậy mà tụi giặc trông thấy quân lính thiên triều đóng đồn ở đấy, lại vẫn còn dám hung hãn giết người, lòng giặc hiểm độc, không phải là không có ý dòm dỏ.
臣已密札提臣三德于附龙州六处，各备战兵，分屯隘口。	Thần đã mật thư cho viên đề đốc là Tam Đức sắp đủ chiến binh, chi đi đóng giữ ở các cửa ải trong sáu xứ chung quanh Long Châu.
倘彼敢过河，即当四面遮截，使无得脱。且令彼知天朝兵威，亦有所畏。	Nếu chúng qua sông, tức thì bốn mặt chặn đánh, không để cho chúng chạy thoát; luôn dịp cũng tỏ cho chúng được biết binh uy của thiên triều, cho chúng hoảng sợ.
兼有密札潮州、龙州守土之臣，赶紧行边，悉力访察，另有情形，缮折续奏，候旨施行。」	Thần lại xin viết thư mật cho các viên quan coi giữ miền Triều Châu và Long Châu, bảo phải gấp rút đi tuần tra và dò xét kỹ càng ở các miền biên giới..., Nếu có tình hình gì khác, thần xin tiếp tục viết biểu tâu lên, chờ vâng chỉ cho thi hành".
帝览奏，谓大学士伯和曰：「安南黎维祁虽未受封，然该是应嗣之人，亦与国王无异。	Vua Thanh xem tờ tâu ấy, liền bảo viên đại học sĩ là Bá Hoà rằng: - Lê Duy Kỳ ở An Nam, tuy chưa được phong, nhưng y là người đáng được nối ngôi, cũng không khác gì quốc vương.
今该国母妻眷属来奔，是该国全境尽没，那一番兴灭继绝，另需设筹辨，竟费了许多兵力。	Nay mẹ và vợ cùng các quyến thuộc của y đều chạy sang đây, thế là toàn cõi nước ấy đều đã mất cả. Việc dựng lại nước đã bị diệt, nối lại dòng đã bị tuyệt, cần phải trù liệu sắp đặt mà rốt cuộc cũng phải hao phí rất nhiều binh lực.
兹查该尚在国中，自图兴复，而该国之徒敌者，不过牧马谅山等处；其西南东北地方，戴旧之人心，犹有足恃。	Nay xét ra, Duy Kỳ còn ở lại trong nước để tự lo lấy việc khôi phục, dân nước ấy theo giặc chẳng qua mới chỉ mấy xứ Mục Mã, Lạng Sơn, còn ở các vùng đông bắc, tây nam thì lòng người mến chủ cũ vẫn có thể tin cậy.
想藉此图续国统，亦有可了之理。	Nếu dựa vào đó để lo nối lại ngôi vua ắt là có thể xong việc.
着传谕孙士毅：黎氏臣事天朝，最为恭顺，维祁例应承袭。	Vậy truyền dụ cho Tôn Sỹ Nghị biết rằng: "Họ Lê thờ phụng thiên triều rất là kính thuận. Duy Kỳ theo lệ đáng được nối ngôi.
是以朱篆前日修文，申请补给印篆，并未遣使告哀，不合体制。	Việc mất quốc ấn, ngày trước đã có dâng thư xin cấp ấn khác, song vì chưa cho sứ sang báo tang, không hợp thể chế, cho nên việc cấp ấn phải hoãn, đã có hịch dụ.
是以朱篆缓行檄谕，并已遣使恳请，准其敕封给印，且究维祁被敌攻逐，系他不能振作所致。	Nay họ lại sai sứ thần tha thiết sang kêu xin, vậy chuẩn y việc sắc phong và cấp ấn cho họ. Xét cho kỹ. Duy Kỳ sở dĩ bị giặc đánh đuổi cũng chỉ là vì y không lo gắng sức trỗi dậy mà ra.
现在该国境土未被贼占尚多，臣民亦知向戴。维祁当乘此纠集义兵，收复国城，使依前业，不至失坠。	Hiện giờ đất nước của y còn nhiều chỗ chưa bị giặc chiếm, thần dân cũng còn biết kính mến; Duy Kỳ nên nhân dịp ấy nhóm họp nghĩa quân, thu phục quốc thành, để cho nghiệp cũ không đến nỗi bị sụp đổ.
其母妻内投，已妥为安插，衣禀无缺，水土亦习，该嗣孙不必挂念，可专意国内。俟其克复京城，即可遣兵送回国。	Mẹ và vợ y chạy sang nội địa, đã được sắp đặt chỗ ở yên ổn, ăn mặc không thiếu, đất nước đã quen, y cũng không cần phải lo nghĩ, có thể chuyên ý lo việc trong nước, chờ khi khôi phục được kinh thành thì sẽ cho quân đưa mẹ và vợ y trở về.
于遣使时，须再委此次通信人来，以为符验，庶不被诳谋阴害。	Lúc y sai sứ thần, thì lại nên sai người đã thông tin lần này sang, để làm chứng cứ, ngõ hầu mới khỏi bị kẻ gian lừa dối mưu hại.
至如阮惠恃强夺国，法所不容，已降旨派调广西大兵以备征发，若贼仍前猖獗，该嗣孙不能奋起有为，该国臣民亦甘心从敌，则率大兵四面会剿，明正其罪。	Đến như Nguyễn Huệ cậy mạnh cướp nước, phép không thể tha, đã giáng chỉ điều động đại quân ở Quảng Tây, để chờ khi gọi đến. Nếu giặc cứ hung hăng như trước, mà tự tôn họ Lê không thể phấn chấn để làm nên việc, thần dân nước họ lại cam lòng theo giặc thì sẽ cho đem đại quân bốn mặt họp lại mà đánh, cho sáng tỏ tội trạng của chúng.
如此先行剀切，飞报该国臣庶，俾各周知，以壮黎氏之勘，而褫西山之魄，于声援之助，自属有益。	Như thế, trước tiên phải đưa hịch phi báo cho thần dân nước ấy, khiến họ đều biết, để làm mạnh thêm thế của họ Lê và làm cho bọn Tây Sơn mất vía kinh hồn, mà đối với việc giúp đỡ cho sự thanh viện cũng là có ích.
其随行之阮辉宿等情愿回国寻嗣孙所，帮同恢复，其志更属可嘉。理合速遣早一日，即该嗣孙早安一日之心，将来朕亦可早一日获得闻该国之信。	Những người đi theo như bọn Nguyễn Huy Túc, tình nguyện về nước, tìm kiếm chỗ ở của tự tôn, để cùng giúp việc khôi phục, chí ấy rất đáng khen, lẽ nên cho họ về sớm; sớm một ngày là tự tôn của họ đỡ lo một ngày, và sau này trẫm cũng được nghe tin nước ấy mau hơn một ngày.
孙士毅素称敏达，何不早筹及此？尚虑朕未及准行，往来覆奏，未免失之拘泥。	Tôn Sỹ Nghị vốn có tiếng nhanh nhẹn, sáng suốt, sao không liệu trước điều đó, mà còn lo trẫm không ưng cho làm, để phải tâu đi tâu lại, không khỏi phạm sai lầm về sự câu nệ.
宜可早抵龙州，面谕使臣，令即起程将朕指示之意传知，使回国告知维祁兄弟，并檄谕腾录多方，俾之带同回国，庶为传播。	Nay Nghị cần phải sớm tới Long Châu, giáp mặt mà hiểu dụ bọn sứ thần, giục họ lập tức lên đường; đem ý của trẫm truyền bảo cho họ biết, để họ về nước báo tin với anh em Duy Kỳ; đồng thời phải sao các tờ hịch thành nhiều bản, bảo họ đem về trong nước, ngõ hầu có thể truyền bá rộng rãi.
再该等跋涉劳苦，行李萧然，可于水陆给船夫护送，兼程给每人银十两，以资口饷。	Ngoài ra, bọn họ lặn lội khó nhọc, hành lý sơ sài, vậy ở đường thuỷ và đường bộ đều phải cấp phu trạm, hộ tống cho họ gấp đường mà đi; lại cấp cho mỗi người mười lạng bạc để tiêu pha về việc ăn uống.
总之此事，若安南全境沦没，维祁又被戕鬼，念及贡臣，势难置之不理。	Nói tóm lại, việc này, nếu như cả nước An Nam bị mất, Duy Kỳ lại bị giết hại, thì nghĩ tình cống thần, không thể bỏ qua mà không hỏi tới.
然境土未全至陷没，嗣孙惟是奔亡，臣民尚知爱戴，只可作他声援，听其自谋，自不必兴兵大辨，将国中兵力徒费于炎荒之外，更为全美。	Vả chăng bờ cõi nước Nam chưa đến nỗi hoàn toàn mất hết, tự tôn tuy phải chạy trốn, nhưng thần dân vẫn còn mến phục. Như vậy, ta chỉ cần làm thanh viện cho họ, để họ tự lo lấy công việc, bất tất phải dấy quân làm to chuyện đem binh lực trong nước hao phí ở ngoài cõi nóng nực, xa xôi. Đó mới là kế tuyệt hay.
孙士毅务遵前旨，就近熟筹，督臣亦晓事底人，定能体悉朕意，此间经理边务，听与抚臣孙永清会同妥确，便宜施行。	Tôn Sỹ Nghị phải theo chỉ dụ trước, tới nơi biên thuỳ, trù tính cho kỹ, đốc thần (chỉ Tôn Sỹ Nghị) là người thạo việc, chắc có thể hiểu được ý của trẫm. Việc kinh lý biên thuỳ ở đấy, cho phép đốc thần được cùng viên phủ thần là Tôn Vĩnh Thanh họp bàn thoả đáng, tuỳ tiện thi hành.
钦此。」	Hãy kính theo chỉ dụ này!".
却说潮州、龙州自得密札，即行边检访，前往太原檄告。	Lại nói, quan lại hai hạt Triều Châu, Long Châu từ khi tiếp được thư mật của Nghị, lập tức đi tuần tra dò xét miền biên giới và cho người đưa hịch sang bá cáo ở trấn Thái Nguyên.
潮州有张、吉二姓，惯以穿<土广>采银为业，居太原之送星，众共推以为长，徒党至万余人，皆是内地客户。	Bấy giờ có hai họ Trương và Cát quê ở hạt Triều Châu, chuyên sống về nghề khai mỏ lấy bạc, sang cư trú tại làng Tống Tinh trong trấn Thái Nguyên. Họ vỗ về mọi người, làm kẻ tù trưởng địa phương, đồ đảng có đến hơn vạn người, đều là các gia đình người Trung Hoa.
闻檄，即诣行星，称：「小人等业以矿厂资生，世居南服。	Hai họ ấy nghe được tờ hịch, liền tìm đến chỗ trọ của người đưa hịch mà trình rằng: - Chúng tôi chuyên sống về nghề mở xưởng khai mỏ, đời đời ở nước Nam.
向闻安南国城失陷，国中大乱，惧有林木池鱼之及，遂与土人调习火枪强弩，为自保计耳！	Trước đây nghe tin kinh thành của nước An Nam bị mất, trong nước loạn to, sợ rằng cháy thành vạ lây, nên đã cùng người địa phương luyện tập súng, nỏ, làm chước giữ mình.
敌兵数百，赶来劫掠，一试而尽歼之。	Có lần, mấy trăm quân giặc đến cướp, chúng tôi mới thử đánh một trận mà đã giết hết được tất cả.
念彼念必复来，乃分作十团，团各千人，誓以赴敌死战。	Nghĩ rằng chúng tức giận, ắt lại đến nữa, chúng tôi bèn chia ra làm mười đoàn, mỗi đoàn một nghìn người thề cùng liều chết chống giặc.
今奉檄文，真不踊跃，愿为先锋。	Nay tiếp được hịch văn, ai cũng nô nức nhảy nhót, xin làm tiên phong.
且小人等亦属潮州编氓，显得与滇州义勇效力。」	Vả lại chúng tôi vốn là nhân dân Triều Châu, nay cũng muốn xin được cùng ra sức một phen với quân nghĩa dũng ở Điền Châu.
派人听得他说如此，乃取供状具由回禀了。	Người đưa hịch nghe họ nói như vậy, liền lấy tờ khai và đem tình hình duyên do về bẩm.
却说黎帝先是遣陪臣如清，陈情请援。	Lại nói, vua Lê trước kia đã sai bọn bồi thần sang trần tình và cầu cứu với nhà Thanh.
至是黎惟亶自太平回，复命广西督部题奏得旨，大兵不日且来。	Đến bây giờ, Lê Duy Đản ở Thái Bình về, báo tin viên đốc bộ tỉnh Quảng Tây đem việc tâu lên, đã được vua Thanh chuẩn y, chẳng bao lâu đại binh sẽ sang.
会黎亻冏自龙州回报，言太皇后眷属现在南宁城，起居安适。	Rồi tiếp đó. Lê Quýnh lại từ Long Châu về báo, nói là thái hậu và quyền thuộc hiện ở thành Nam Ninh, ăn ở yên ổn.
帝大喜合手加额曰：「予未小子遭家多难，仰赖九庙神灵。大皇帝仁垂字小，国中复见天日，中兴之机，其在此乎！」	Vua mừng lắm bèn chắp tay lên trán mà rằng: "Kẻ tiểu tử này, gặp lúc vận nhà lắm nạn, nhờ được chín miếu thiêng liêng, đức đại hoàng đế rủ lòng thương, bao bọc cho kẻ nhỏ mọn, trong nước lại được thấy bóng mặt trời, cơ hội trung hưng phải chăng là ở lúc này?".
乃命具谢恩表文，并禀呈书札，一并驰遁，备言：「西贼肆虐，民将不堪。	Rồi nhà vua sai thảo tờ biểu tạ ơn và các thư từ trình bẩm, để cùng đưa sang một thể. Trong đó nói rõ: "Giặc Tây Sơn tàn ngược, dân không chịu nổi.
今虽奔丧于外，犹幸人情思旧，用能一二番举事，而随复败衄。	Hiện nay thần tuy chạy trốn ở ngoài, nhưng may nhờ lòng người vẫn còn nhớ đến chủ cũ. Nhân đó thần cũng đã cử sự được một vài phen, song đều bị thất bại.
近接二谅之文，密诱国中豪杰，莫不奋志，誓歼仇敌。	Gần đây tiếp được văn thư, thần đã ngấm ngầm khuyến dụ hào kiệt trong nước, ai cũng hăng hái, thề giết quân giặc, hằng ngày trông mong ở sự viện trợ của thượng quốc.
日望上国之援，凭伏威灵，事必克济。	Nhờ cậy oai trời, việc chắc phải thành.
接得行人奉檄回宣示，臣民喜甚更生，敌人亦为之夺气，处处并皆纠合义勇。	Khi tiếp được hịch văn do viên sai quan mang về, thần đã đem tuyên cáo với mọi người trong nước, ai nấy đều mừng rỡ, hớn hở hơn là chết đi được sống lại; quân giặc cũng vì thế mà mất hết nhuệ khí.
候天兵过关，便于军门拜见，受律先驱，敌众成擒，国都克复，实仰惟大皇帝兴继之仁，上宪成就之德，当铭与泸伞同其流峙于无穷也。」	Hiện nay, các nơi đều đã nhóm họp quân nghĩa dũng, chờ thiên binh qua cửa ải, thì sẽ đến cửa quân lạy chào, và xin chịu kỷ luật làm quân đi tiên phong. Đảng giặc chắc sẽ bị bắt và quốc đô chắc sẽ được khôi phục. Ơn tái tạo của đức đại hoàng đế, cùng với đức gây dựng của cụ lớn, thật đáng ghi tạc dài lâu mãi mãi như sông Lô non Tản vậy!".
适接潮州禀文，又得此信，即会同抚臣，奏请出师，内奉上谕：「只可作他声援，听其自谋，自不必兴师大辨，钦此。	Tôn Sỹ Nghị vừa tiếp được tờ bẩm của Triều Châu lại được luôn tin ấy, liền hội đồng với viên tuần phủ, tâu xin xuất quân. Trong tờ biểu đại khái nói rằng: "Vâng lời thượng dụ: Chỉ nên làm thanh viện cho họ, để họ tự lo lấy không cần phải dấy quân làm to chuyện.
钦遵臣详已查道程经由之处，自昭德台前往该国城，师行不过六日；谅山稍涉岚瘴，过此水土皆良，大兵进抵罗城停驻，亦无炎瘴。	Kính tuân theo thánh chỉ ấy, thần đã tra xét kỹ càng các nơi đường sá qua lại. Từ đài Chiêu Đức đến đô thành nước họ, quân đi chẳng qua chỉ mất sáu ngày. Ở Lạng Sơn hơi có lam chướng. Qua khỏi đó, thuỷ thổ đều tốt lành. Đại quân tiến lên đóng ở La Thành (người Trung Quốc bấy giờ cũng thường gọi Thăng Long là La Thành (một thành do Cao Biền đắp ở vùng Hà Nội từ thời thuộc Đường)) vừa không nóng nực lại không có lam chướng.
且于此震耀军容，使贼知有不可敌，然后分派国中应义之兵，自行剿捕，我兵不至血刃，而敌人俘馘，敏奏肤公。	Vả lại cũng cần diễu võ giương oai, phô trương thanh thế quân ta ở đấy, để cho giặc biết là không thể địch nổi. Rồi sau mới sai phái các quân ứng nghĩa của nước họ tự đi đánh dẹp lấy. Quân ta sẽ không đến nỗi phải vấy máu mũi gươm, mà quân giặc đều bị bắt giết. Như vậy, công trạng hẳn chóng thành.
窃计此行，诚如圣谕。	Trộm nghĩ lần đi này thực đúng như lời thánh thượng đã dạy.
且前次往来覆奏，自觉失之拘泥，兵贵神速，机有可乘，敌不悉力边筹，用副责成至意，至于荡平之后，经理机宜，谨当缮折续奏。」	Lần trước cứ tâu đi tâu lại thần tự biết là đã phạm cái sai lầm câu nệ, chậm trễ. Việc binh cần mau chóng, nếu gặp được cơ hội, thần dám đâu không hết sức tính việc biên thuỳ để xứng đáng với sự giao phó của bề trên? Đến như sau khi dẹp yên, các công việc cần phải xử trí ra sao, thần sẽ xin kính cẩn viết tờ biểu tiếp tục tâu lên".
于此飞咨云贵督臣，遵依前旨，由云贵道，取路宣光，其大兵进关，由谅山前往。	Rồi đó, Nghị hoả tốc tư cho bọn đốc thần ở các tỉnh Vân Nam, Quí Châu, tuân theo như chỉ vua đã gửi trước từ hai tỉnh ấy kéo quân theo đường Tuyên Quang mà đi, còn đại binh thì qua ải Nam Quan, do đường Lạng Sơn tiến sang.
正是：堂堂大将提兵出，赫赫元戎拜表行。	Thật là: Vâng lệnh, nguyên nhung coi hống hách, Ra quân, đại tướng vẻ vênh vang.
未知此来胜负如何，且听后回分解。	Chưa rõ lần ấy thua được ra sao? Hãy xem hồi sau phân giải.
