第五回。	Hồi thứ năm.
公主入宫，平设外宴，宴诸皇亲妃主与文武诸臣，照次而坐。	Sau khi công chúa vào cung, Bình sai đặt tiệc ở bên ngoài để thết các vị hoàng thân, hoàng phi, công chúa và các quan văn võ đi đưa dâu. Trong tiệc, mọi người đều theo thứ bậc mà ngồi.
宴毕，别具白金二百两设赠，差官致辞敬让，送出府门。	Tiệc tan, Bình sắp riêng hai trăm lạng bạc, sai quan ngỏ lời kính tặng các vị nhà gái, và đưa tiễn ra tận cửa phủ.
诸臣归会于礼部公堂，咸曰：「天子得佳婿！我安南从今有婚姻国。」	Các quan ra về, lại họp ở nhà công đường bộ Lễ, ai nấy đều khen nhà vua kén được rể tốt, và bảo nhau: "Thế là từ nay nước An nam ta đã có một nước dâu gia".
公主初归，犹怀羞恶，既而安之，与平进谒太庙列先皇帝，礼毕，联驾而归。	Công chúa lúc mới về còn có vẻ bẽn lẽn e thẹn, nhưng sau rồi cũng quen. Hôm vào làm lễ yết các vị tiên hoàng đế ở nhà Thái Miếu, Bình và công chúa gióng kiệu cùng đi, lúc lễ xong lại gióng kiệu cùng về.
平性骄矜，谓公主曰：「皇家子女诸位，几似公主如此荣华！」	Bình vốn có tính kiêu căng, chợt hỏi công chúa: - Con trai con gái nhà vua, đã có mấy người được vẻ vang như nàng?
公主曰：「皇家禄简，诸皇子女一味清贫，单妾有分得配令公，譬之雨水玉屑飞空，其得坠入楼台者，妾之幸耳！」	Công chúa đáp: - Nhà vua ít lộc, các con trai con gái ai cũng thanh bạch nghèo khó. Chỉ riêng thiếp có duyên, lấy được lệnh công (tiếng gọi tôn trọng, chỉ Nguyễn Bình), ví như hạt mưa, bụi ngọc bay ở giữa trời được sa vào chốn lâu đài như thế này, là sự may mắn của thiếp mà thôi!
平大悦。	Bình nghe câu ấy, thích thú lắm.
十四日皇上病笃，平欲及上在受一统朝贺，显示中外以完已尊扶之功，乃择以十五日设大朝礼，具本奏请皇上。	Đến ngày 14, bệnh của hoàng thượng đã nguy kịch. Bình muốn nhân lúc nhà vua đang còn sống, xin nhà vua nhận lễ chúc mừng về cuộc nhất thống để trong ngoài đều biết, cho trọn vẹn cái công tôn phò của mình. Bình bèn chọn ngày rằm để đặt lễ đại triều rồi dâng tờ tâu lên xin với hoàng thượng.
至日设大乐于丹墀东西，礼官大陈卤簿仪卫，奏请上出，诸皇子拥帝升御座，发号令火炮三声，百官以次朝贺，礼毕，颁下一统诏书，揭于大兴门外。	Đúng ngày, triều đình bày cuộc đại nhạc ở mé đông và mé tây đan trì (thềm sơn đỏ nơi cung điện nhà vua) Các lễ quan sắp đặt đồ nghi vệ cực kỳ trang trọng, rồi xin hoàng thượng ra ngự chầu. Sau khi các hoàng tử đã dìu hoàng thượng lên ngự toạ, ngoài điện nổ ba phát súng làm hiệu lệnh, trăm quan đều lần lượt làm lễ mừng. Lễ xong, hoàng thượng ban tờ chiếu nói về việc nhất thống sai đem dán ở ngoài cửa Đại hưng.
天下臣民咸称皇上福禄寿考，可谓完美。	Thần dân thiên hạ thấy vậy đều khen "phúc, lộc, thọ khảo" (Phúc là điều tốt lành, lộc là của cải, thọ khảo là sống lâu) của hoàng thượng thế là hoàn toàn tốt đẹp.
翌日，上疾大渐，公主请平侍疾，平曰：「今我于皇上义同父子，诚欲及上在时，瞻觐清光叙其恋慕之情，第我初自远来，国人未必尽信！	Sau ngày lễ ấy, bệnh của hoàng thượng càng nguy hơn, đã gần hấp hối. Công chúa mời Bình vào thăm, Bình nói: - Nay tôi với hoàng thượng, nghĩa như cha con. Tôi thành thật muốn kịp thời vào thăm khi hoàng thượng còn sống, để chiêm ngưỡng mặt rồng, cho tỏ tấm lòng lưu luyến. Song, tôi mới từ xa tới đây, người trong nước chưa chắc đã tin hết cả.
昨日皇上出朝，孰知圣体有恙，使我来而宫车晏驾，毋乃遗我以无穷之谚谤耶！	Hôm qua hoàng thượng ra ngự chầu, ai biết thánh thể mang bệnh? Nếu như tôi vào thăm lại chẳng may đúng lúc Người về chầu giời, há chẳng khiến cho tôi mang tiếng muôn đời với thiên hạ ư?
主第归侍，对诸兄弟说，俾各谅我此意！」	Chi bằng, nàng cứ về thăm hoàng thượng và nói rõ với các anh em như thế, để ai nấy đều hiểu lòng tôi.
公主乃辞归。	Công chúa Ngọc Hân bèn từ biệt Bình về cung thăm vua cha.
是夕皇上神气清爽，召皇嗣孙，嘱以国家大事。	Đêm đó, hoàng thượng tinh thần tỉnh táo, bèn cho đòi hoàng tự tôn vào, dặn dò các công việc lớn lao của nhà nước, lại cho đòi công chúa Ngọc Hân vào để dạy bảo về đạo làm vợ.
又召公主教以妇道，丁宁周至，十七日卯时帝崩于正寝殿，时年七十，在御之四十七年也。	Trối trăng với con gái xong đâu vào đấy, đúng giờ mão ngày 17, hoàng thượng băng ở điện chính tẩm. Bấy giờ hoàng thượng thọ 70 tuổi, ở ngôi vua được 47 năm.
帝龙髯龙准，鹤发凤瞳；行如水，坐如山；性慈和简易。	Nhà vua râu rồng, mũi cao, tóc hạc, mắt phượng, đi nhẹ như nước, ngồi vững như non; tính nết hiền từ, giản dị.
为皇子时，缘皇子维密反逆事，为王家所疑，监于内侍洪郡公家。	Khi còn làm hoàng tử, vì việc ông hoàng Lê Duy Mật chống lại họ Trịnh, nên nhà vua bị chúa Trịnh nghi ngờ, đem giam vào nhà viên nội thị Hồng quận công.
庚申年毅祖初立，洪郡公镇山南，王命移监于王舅炳郡公家。	Đến năm Canh thân (1740) Nghị tổ (tức Trịnh Doanh) lên làm chúa, quận Hồng ra trấn Sơn Nam, chúa liền chuyển nhà vua đến giam ở nhà cậu mình là Bính quận công (Vũ Tất Thận, cậu ruột Trịnh Doanh, em thái phi Vũ thị).
炳郡初不觉王已有命，夜梦见天子幸其家，旌旗雅乐，灿然太平仪卫。	Khi chưa có lệnh ấy của chúa, một đêm quận Bính bỗng mơ thấy thiên tử tới nhà, cờ quạt phấp phới, nhã nhạc vang lừng, rõ ra cảnh tượng của đời thái bình.
旦日见洪郡送皇子囚来，炳郡大惊，想夜间得梦定非偶然，乃入告于王。	Sớm hôm sau liền thấy quận Hồng cho giải hoàng tử đến giam ở nhà mình, quận Bính hết sức ngạc nhiên, nghĩ rằng giấc mộng lúc ban đêm không phải là chuyện tình cờ, bèn vào kể lại với chúa.
时四方扰乱，国势倾危，王见得此吉兆，欲藉其福德以平定天下，乃迎皇子即皇帝位，建元景兴。	Bấy giờ bốn phương đang loạn lạc, thế nước ngả nghiêng, chúa thấy điềm lành ấy, muốn nhờ vào phúc đức của nhà vua để dẹp cho yên thiên hạ, liền cho đón về, lập nên ngôi và đặt niên hiệu là Cảnh Hưng.
帝既立，四方渐定，天下寝平，王知帝福不浅，敬尊愈尽，帝亦谦冲孚信于王。	Sau khi nhà vua lên ngôi, bốn phương dần dần dẹp xong, thiên hạ lại bình yên. Chúa biết phúc của nhà vua rất lớn, nên càng hết sức tôn kính. Nhà vua cũng nhã nhặn, khiêm tốn, tin cậy vào chúa. Thỉnh thoảng chúa lại dâng tiến thức nọ thức kia, vì thế sự chi dùng của nhà vua cũng được thừa thãi. Lúc nhà vua ở ngôi, chẳng qua chỉ rủ áo khoanh tay, tìm trò mua vui chứ không có việc gì phải lo.
王不时献奉，御用丰余，帝垂拱无为，肆情游乐，又多逞巧技艺，宫调乐府，自制新声，极其清逸。	Nhà vua lại giỏi về các kỹ nghệ lặt vặt. Bao nhiêu cung điệu Nhạc phủ, nhà vua đều chế ra bài mới, âm thanh cực kỳ du dương, trong sáng.
常按三国图，使宫人被戎服执戈矛，分蜀魏吴三阵，教之坐作击刺，以供闲兴。	Thường khi nhà vua lại còn theo tranh Tam quốc, sai các cung nữ mặc áo trận, cầm giáo mác, chia thế trận ba nước Nguỵ, Ngô, Thục, rồi dạy họ các cách ngồi, đứng, đâm, đỡ, để mua vui trong lúc thư nhàn.
晚年为圣祖所栽抑，常人忿懑不堪，而帝戏乐自如，未尝少沮。	Những năm tuổi già, nhà vua bị Thánh tổ Trịnh Sâm đè nén đủ đường, người khác hẳn phải tức giận không thể chịu nổi, nhưng nhà vua vẫn vui đùa như thường.
左右咸谏，帝曰：「尔等但知其一，未知其二，皇家于王，势在相疑，朕若以失权为愤闷，王家必阴见异图，故托兴自娱以远害尔！」	Những người gần gũi nhà vua thấy vậy đều can ngăn. Nhà vua liền đáp rằng: - Các ngươi mới chỉ biết một mà chưa biết hai. Nhà vua đối với nhà chúa, hiện nay đang ở vào cái thế bị ngờ vực; nếu trẫm lấy việc mất quyền làm tức giận, thì nhà chúa ắt phải ngấm ngầm tính việc chẳng hay. Vì vậy, trẫm phải mượn hứng vui chơi như thường để tránh tai vạ đó thôi!
又常谓宫人曰：「及吾之身，必见一统之事，然非吾所乐。」	Có lần, nhà vua lại nói với các cung nữ rằng: - Trong đời ta, thế nào cũng có phen được trông thấy cuộc nhất thống, nhưng đó chẳng phải là điều mà ta vui mừng.
宫人曰：「王家凌逼如是，王败，皇家之福也！陛下何为不乐？」	Các cung nữ hỏi lại: - Nhà chúa chèn ép như vậy, nếu chúa bại là may cho nhà vua, cớ sao bệ hạ lại không vui mừng?
上曰：「天命王家扶我，王当其忧，我享其乐，王败忧反在我，我何乐焉？」	Nhà vua đáp: - Trời sai nhà chúa phò ta. Chúa gánh cái lo, ta hưởng cái vui. Mất chúa, tức là cái lo lại về ta, ta còn vui gì?
端南王初立，骄兵每有尊扶一统之谋，阴请于帝，左右咸劝帝从之，帝曰：「吾诚实以听天，得至于此，人谋施设，朕所不为，敢复言者，朕送王按法治之！」	Khi Đoan nam vương Trịnh Tông mới lên làm chúa, bọn kiêu binh có lần đã nghĩ đến cái mưu tôn phò nhất thống và lén đến xin ý kiến nhà vua. Những người xung quanh cũng đã khuyên nhà vua nên nghe theo mưu ấy. Nhưng nhà vua nói: - Ta vì thành thật nghe theo trời nên mới được như thế này. Những chuyện do ở mưu người xếp đặt, ta quyết không làm. Nếu kẻ nào còn dám nói đến chuyện đó, trẫm sẽ lôi sang cho chúa, để theo phép mà làm tội.
其谋遂止。	Vì thế, mưu ấy mới thôi.
至是平为尊扶之举，上外喜而内忧，凡所应酬皆不得已。	Đến hồi này, thấy Bình làm việc tôn phò, nhà vua bề ngoài tuy mừng nhưng bề trong thì lại lo. Những việc giao thiệp, tiếp đãi đều là bất đắc dĩ.
及病笃，谓皇嗣孙曰：「吾旦夕且释重负，忧在尔躬，尔其念之！」	Kịp đến khi bệnh nặng, nhà vua bảo với Hoàng tự tôn rằng: - Ta chỉ sớm tối là được trút hết gánh nặng, cái lo sẽ dồn cả vào thân mày, mày phải nghĩ tới điều đó!
临崩曰：「吾瞑目后，传继大事，须一一禀他，不可轻率。」	Lúc sắp băng, nhà vua lại trối thêm: - Sau khi ta nhắm mắt, việc nối ngôi là việc trọng đại, chuyện gì cũng phải bẩm qua với ông ấy, không được khinh suất.
言讫，遂崩。	Nói xong, nhà vua băng.
皇嗣孙即位。	Hoàng tự tôn bèn lên nối ngôi vua.
先是公主归平，平遍问诸皇子之贤，公主一一实告，又问皇嗣孙人品何如？	Trước đó, lúc công chúa Ngọc Hân mới về với Bình, Bình đã hỏi công chúa về đức tính của các vị hoàng tử. Người nào thế nào, công chúa cũng đều kể thật với Bình.
公主未脱妇人常情，自以兄亲于侄，恐嗣孙夺崇让公之位，乃曰：「嗣孙人品庸常。」	Khi Bình hỏi đến nhân phẩm của hoàng tự tôn như thế nào, công chúa chưa thoát khỏi thói thường của người đàn bà, nghĩ bụng anh thân hơn cháu, lại sợ hoàng tự tôn sẽ cướp mất ngôi của Sùng nhượng công, bèn đáp: - Nhân phẩm của Hoàng tự tôn cũng tầm thường thôi!
由是平意不悦嗣孙。	Do đó, Bình có ý không thích Hoàng tự tôn.
至是，上病大渐，朝议立皇嗣孙，使人告于平，平不许。	Đến khi bệnh của hoàng thượng đã tới lúc hấp hối, triều đình bàn nhau lập Hoàng tự tôn, và sai người ra nói với Bình. Bình không nghe.
使者回，朝议纷纭未决，忽坐中一人大声曰：「嗣孙不立，天下必乱，黎氏必亡，咎在公主。	Sứ giả quay về nói lại ý Bình, cả triều bàn bạc phân vân, chưa biết quyết định ra sao. Thình lình trong bọn có một người lớn tiếng nói rằng: - Tự Tôn không được làm vua, thiên hạ ắt loạn. Họ Lê sẽ mất, ấy là lỗi tại công chúa Ngọc Hân.
公主实误社稷大计，当去其属籍，任公主归西山安享富贵，吾族中不乏此一人。」	Công chúa thực đã làm hại đến việc lớn của xã tắc, hãy xoá tên trong sổ họ đi, để cho công chúa về nước Tây Sơn mà yên hưởng giàu sang, họ ta chẳng thiếu gì một con người ấy!
视之，则皇亲旺郡公也。	Triều đình nhìn xem ai, thì té ra là hoàng thân Vượng quận công.
公主惧，乃归请于平，平许之。	Công chúa sợ hãi, bèn về phủ xin với Bình. Bấy giờ Bình mới bằng lòng.
及帝崩，百官乃扶嗣孙即位。	Sau khi hoàng thượng băng, trăm quan bèn phò Tự Tôn lên ngôi.
是日平在府中，闻先帝崩，传侍卫诸军整饬卤簿舆轿，以待皇孙立后，皇族或呈来治丧，即身临丧次，嗣皇不喻此意，不敢烦请，但入后，始启于平。	Hôm ấy, Bình ở trong phủ, nghe tin hoàng thượng băng, liền sai lính thị vệ sắp sửa đồ nghi vệ, xe kiệu, để chờ khi hoàng tự tôn được lập rồi, nếu có ai bên họ nhà vua lại trình và mời sang lo việc tang, thì Bình sẽ sàng đi ngay. Nhưng Hoàng tự tôn không hiểu ý đó, nên sợ phiền chẳng dám mời, mãi đến lúc khâm liệm xong xuôi và cho vào quan tài rồi, mới bẩm với Bình.
平怒其不先请，以为嗣皇见外，使人缓登极之礼，欲有所别立，至则登极礼讫，朝以成事告平，平急召公主回，骂曰：「先帝者，先天下之帝；非族之所得私也！	Bình giận vì không được mời trước, cho là Hoàng tự tôn coi mình như người ngoài, bèn sai ngay người vào triều bắt phải hoãn lễ đăng cực (lễ lên ngôi vua), có ý muốn lập người khác. Sứ giả đến nơi thì lễ đăng cực đã xong, triều đình đem cái việc đã rồi ấy báo lại với Bình. Bình càng tức liền đòi công chúa về phủ, rồi mắng rằng: - Tiên đế là vua chung của thiên hạ, không phải là vua riêng của hoàng tộc.
我哀慕先帝，昨日避嫌不敢入见，今日欲及未敛时一睹玉颜，以致翁婿之情，我突来非礼，族如何外我而不请，如无我，成何朝廷？	Ta thương mến tiên đế, hôm qua vì tránh sự hiềm nghi không dám vào thăm; hôm nay muốn kịp lúc chưa khâm liệm, tới nơi để được thấy mặt ngọc, cho trọn cái tình bố vợ con rể; song tự dưng ta đến, e rằng không phải phép. Sao hoàng tộc lại gạt ta ra ngoài, không thèm mời? Nếu không có ta, thử hỏi: Triều đình sẽ thành cái gì?
成何政事？	Chính sự sẽ ra cái gì?
安敢如此其略，我弃而去，看料理如何！」	Cớ sao lại dám sơ suất như vậy? Ta thử bỏ đây mà đi, xem hoàng tộc làm ăn ra sao?
乃传水步诸军整装，翌日旋师归国。	Rồi Bình lập tức truyền lệnh cho các quân thuỷ, bộ sửa soạn hành trang, để sớm hôm sau rút quân về nước.
公主号泣挽留，又密使人具奏嗣皇如此如此。	Công chúa khóc lóc xin Bình ở lại, một mặt ngầm sai người tỏ bày ý kiến với Tự hoàng.
嗣皇乃使人致谢请留，乃止。	Tự hoàng vội cho người ra phủ tạ lỗi và xin Bình ở lại.
及成服日，上命官请平临祭，平素服立于祭殿，察视礼仪，极致周悉，有左番吏当祭时有笑容，平命推出斩之，其礼意致谨类此。	Bấy giờ, Bình mới thôi việc rút quân. Đến ngày làm lễ thành phục, Tự hoàng sai quan mời Bình vào tế. Bình mặc đồ tang, đứng ở trên điện tế, coi xét lễ nghi hết sức chu đáo. Lúc đang tế, có viên tả phiên lại hơi có vẻ cười, Bình sai lôi ngay ra chém. Đại khái đối với việc tang lễ, Bình hết sức kính cẩn như vậy.
平密有去意，谓朝臣曰：「小名受命王兄，提兵居外，去留未卜其期，小名以尊扶来，幸而完干，今便是女婿欲致孝于妇翁，要及未归之前完此葬祭之礼，使忠孝两全，某之愿也！」	Bấy giờ, Bình đã ngấm ngầm có ý định muốn về, bèn nói với các quan trong triều rằng: - Tôi vâng mệnh vua anh đem quân ra ngoài cõi, đi hay ở không có kỳ hạn nhất định. Tôi vì nghĩa tôn phù mà tới đây, may mắn đã làm xong việc. Nay tôi là chàng rể, muốn ở cho hết đạo hiếu với bố vợ. Làm cho xong sớm việc tang tế kịp khi tôi chưa rút về, để cho trung hiếu vẹn cả hai bề, đó là ước muốn của tôi vậy.
朝臣曰：「敢不惟命！」	Các quan đều nói: - Chúng tôi xin vâng mệnh!
乃择日下船。	Rồi họ liền chọn ngày để đưa tử cung xuống thuyền.
平日夜治丧，虽仪物草略，而礼数靡有所遗。	Còn Bình thì suốt ngày đêm sắm sửa cho lễ táng, các đồ tế lễ tuy đơn sơ, giản dị, nhưng lễ nghi thì đều đầy đủ không thiếu sót gì.
至日发引，平以兵三千人亲骑象头，送至河津，看奉梓宫登船礼毕而返，及公主归，平扬扬德色谓公主曰：「先帝有皇子三十余人，今报孝还一女子，看谁人助得公主分毫，古人谓『女作门楣』信然！」	Đến ngày đưa đám, Bình tự cưỡi voi, đem ba ngàn quân, hộ tống tử cung đến bến đò, rồi chờ cho lễ rước tử cung xuống thuyền xong xuôi đâu đấy, mới quay trở lại. Lúc công chúa Ngọc Hân về phủ, Bình nhơn nhơn ra vẻ tự đắc mà rằng: - Tiên đế có hơn ba mươi người con trai, ngày nay báo hiếu lại chỉ ở một người con gái, nào có ai giúp đỡ cho được mảy may? Người xưa thường bảo "Con gái làm rạng rỡ cho nhà cửa", quả cũng đúng thật!
公主谢曰：「赖上公功德，妾得致孝于皇考，开颜于兄弟。	Công chúa cảm tạ và nói: - Nhờ công đức của thượng công, thiếp được báo hiếu với hoàng khảo, mở mặt với anh chị em.
俗语云：『男不丐妇，女丐夫』，此之谓也。」	Tục ngữ vẫn nói: "Trai không ăn mày vợ, gái phải ăn mày chồng", chính là như thế đó! Bình nghe nói, thích lắm.
下船后，忽报西山主出，平命整揭晓于京，称天王巡省观风，旬日且至，布告中外，俾各知会。	Chợt có tin báo vua Tây Sơn sắp ra. Bình vội sai Chỉnh cho dán yết thị khắp kinh thành, nói là: "Thiên vương tuần du ra Bắc để xem xét phong tục, khoảng mười ngày nữa sẽ tới. Vậy bố cáo cho cả trong ngoài đều biết".
又使人奏知嗣皇，请差文武百官出郊迎谒，八月初五日西山主入城，皇上亲迎于南郊门，使钦命官立于道左，致辞而还，西山主使人答话命驾趋去，这西山主不辞万里，行色忙遽，不知缘何故来？	Một mặt, Bình sai người tâu với tự hoàng, xin cho văn võ trăm quan ra ngoài cửa ô đón tiếp. Ngày mồng năm tháng Tám, vua Tây Sơn đến kinh thành (ở một bản khác, thấy có thêm một đoạn như sau: "Hoàng thượng thân hành ra đón ở cửa Nam giao và sai quan khâm mạng đứng ở bên đường, sau đó ngỏ lời chào mừng, rồi đi về. Chúa Tây Sơn sai người đáp lại, rồi truyền đánh xe vào thành"). Vua Tây Sơn chẳng quản muôn dặm đường xa tới đây, mà coi bộ lại hết sức hối hả, vội vã; mọi người đều không hiểu duyên cớ làm sao?
正是：长鲸跃海扬鳞去，猛虎离林假翼来。	Thật là: Cá kình vượt biển giương vây nhảy, Cọp dữ lìa rừng mượn cánh bay.
未知意下云何，且听后回分解。	Chưa biết vua Tây Sơn đến về việc gì? Xin xem hồi sau phân giải.
