第四回。	Hồi thứ tư.
时榜眼黎贵惇考西山起地谶记，言于王曰：「西山有天子之地，地到十二年，其强莫御。	Bấy giờ bảng nhãn Lê Quí Đôn khảo cứu những sấm ký về đất khởi nghĩa Tây Sơn, nói với chúa rằng: " Tây Sơn có đất thiên tử, đến mười hai năm nữa thì sức mạnh của họ sẽ không ai chống nổi.
顺化大将恐非敌手，请王留意焉。」	Đại tướng Thuận Hoá e không phải là tay đối địch được với họ. Xin chúa hãy lưu ý".
王亦以为过计，不甚致意，既而边境无事，南北各安，顺化为太平乐境。	Nhưng chúa cũng chỉ cho là lời nói quá đáng, không để ý gì mấy. Rồi đó, bờ cõi không có chuyện gì, Nam Bắc đều yên ổn, Thuận Hoá đang là một miền thái bình, vui vẻ.
丙午年四月，忽有北客商船来，客长入谒造郡，以术数言相公晚运福禄不可言，惟小限逢冲，防有疾病之危，今及盛夏，宜修忏祷则吉。	Đến tháng tư năm Bính Ngọ (1786), bỗng có chiếc thuyền buôn của người khách phương Bắc đi tới. Người khách vào ra mắt quận Tạo, rồi giở thuật tướng số ra nói rằng: "Hậu vận của ngài rất tốt, phúc lộc không thể kể xiết. Có điều hiện nay ngài đang gặp phải năm xung tháng hạn, cần đề phòng bệnh tật xảy ra. Mùa hè này ngài nên lập đàn mà cầu cúng thì tốt!".
造郡信之，修大斋坛，祈祷七日夜，诸军服役，夜以继日，倏闻贼步兵已取隘云，守将权忠侯战死，诸屯水军从海道出，旨夕且至，造郡怆惶归城，不知所为。	Quận Tạo tin lời, tức thì sai lập đàn chay rất lớn, cúng luôn bảy ngày bảy đêm. Quân lính phải phục dịch liên tục hết đêm này sang ngày khác rất là vất vả. Thình lình thấy có tin báo bộ binh của địch đã lấy mất đồn Hải Vân, tướng giữ Hải Vân là Quyền Trung hầu (tức là Hoàng Nghĩa Hồ) bị chết trong khi đánh nhau; hiện nay các đạo thuỷ binh của địch đang theo đường biển kéo ra, chỉ sớm tối sẽ đến đây. Quận Tạo hốt hoảng về thành, không biết nên làm thế nào.
诸军久劳役，猝闻贼信，皆破胆丧气。	Các quân lính vì suốt mấy hôm hầu hạ đàn chay đang mỏi mệt, thốt nghe tin có địch, ai nấy đều không còn hồn vía.
造郡使人求北客，已不知去向，始觉是个探子诡谋。	Quận Tạo vội cho người đi tìm người khách, thì đã mất tăm không thấy đâu nữa. Bấy giờ, quận Tạo mới biết hắn là thám tử của địch, đến bày mưu để đánh lừa mình.
阮整在西山时，知造郡怯而多猾，谕降未必肯信，乃为蜡书，使人密报副将体郡，言西兵甚锐，锋不可当。	Nguyễn Hữu Chỉnh khi ở Tây Sơn vốn đã biết quận Tạo là người nhút nhát mà đa nghi, dụ hàng chưa chắc Tạo đã tin. Chỉnh bèn viết một bức thư cho phó tướng Thể quận công (tức Hoàng Đình Thể) đại ý nói rằng: quân Tây Sơn tinh nhuệ lắm, không thể địch nổi.
体郡原与整皆系晖郡门属，能以城降，可保富贵。	Quận Thể với Chỉnh xưa đều là thuộc hạ của quận Huy, nếu nay Thể chịu đem thành Phú Xuân ra hàng thì Chỉnh sẽ bảo đảm cho được giàu sang toàn vẹn.
而又阴告致书者，故为错误，达于大将造郡处。	Rồi Chỉnh lấy sáp bọc kín (xưa các thư từ bí mật đều bọc sáp ong), và mật sai người cố ý đưa lầm phong thư ấy vào dinh đại tướng Tạo quận công.
造郡得书执而不宣，密有迎降之意，无何，敌兵大至，大将副将会议拒之。	Quận Tạo nhận được thư đâm ra nghi ngờ, sợ hãi, ngầm có ý muốn hàng Tây Sơn, bèn dìm luôn bức thư đi. Chẳng bao lâu, đại binh Tây Sơn kéo đến. Đại tướng và phó tướng bèn cùng nhau bàn cách chống cự.
原来富春城临江，自江心水面，仰视城脚高二丈余，时敌兵舟师从下向上，仰射不及城，城中闭门坚壁，毕众拒敌，步道敌兵却入舟追射之，没留一艘，士气稍震。	Nguyên thành Phú Xuân ở ngay bờ sông, từ mặt nước dưới dòng sông lên chân thành, chiều cao khoảng độ hơn hai trượng. Lúc ấy thuyền Tây Sơn ở dưới sông bắn ngược lên, vì vậy không tới mặt thành. Trong thành, người ta đóng chặt các cửa, rồi dốc tất cả quân sĩ ở trên bắn xuống. Bộ binh của Tây Sơn phải lui cả vào trong thuyền. Trên thành bắn theo, thuyền của Tây Sơn bị chìm một chiếc. Nhờ vậy, tinh thần quân lính trong thành đã hăng hái lên được một chút.
是夕潮水暴涨，江水浮绕城脚，敌放舟师，对城直射，而纵步兵围其城门，大将使副将与其属坚金俟等出城迎敌。	Chẳng dè, đêm ấy thuỷ triều lên to, nước sông tràn ngập khắp chân thành. Quân Tây Sơn thừa dịp thả thuyền tiến sát vào, bắn thẳng lên thành, rồi cho bộ binh vây chặt cửa thành. Quận Tạo tự mình chỉ huy các toán quân giữ cổng thành; rồi sai phó tướng quận Thể cùng các thuộc tướng là bọn Kiên kim hầu (tức Vũ Tá Kiên) ra ngoài thành đón đánh.
副将有子二人，皆为列校，随其父出战，依垒而阵，拒战一更余，药矢俱尽，副将使人入城请益。	Hai người con trai quận Thể đều làm quan võ, cũng theo cha ra đánh, cả toán dựa lưng vào bờ thành mà bày trận. Đánh nhau được hơn một canh, tên đạn đều hết, quận Thể cử người vào thành xin thêm.
大将坐城楼上，令人闭门拒之，曰：「某奇某队，制禄口分之外，已各有药弹，更向谁人索辨耶！」	Quận Tạo ngồi trên lầu thành, sai người đóng cửa chặn lại mà cự rằng: "Cơ nào đội ấy, ngoài việc cấp lương khẩu phần, đạn dược cũng đều có cả rồi, giờ lại còn vào đòi hỏi ai?"
副将大怒，谓诸将曰：「造郡反矣！	Quận Thể giận lắm, liền bảo với các tướng: - Quận Tạo phản rồi!
今某斩关而入，先断此老贼头，然后出战。」	Để ta phá cửa thành vào chặt lấy đầu thằng giặc già trước đã, rồi sau sẽ ra đánh.
顾其子曰：「尔等当前拒之，我少顷且出。」	Đoạn ngoảnh lại nói với các con: - Chúng bay hãy đứng phía trước cản địch, ta vào một lát sẽ quay ra.
乃拘象头而入。	Rồi quận Thể co đầu voi quay vào.
象却，阵挠，贼兵趁来，副将之子二人，纵马出阵，挥刀杀得数百人，敌兵益至，斫马足，马仆，二人步战犹杀得数十人，伤重力弱，呼其父救之，副将急拘象回救，时二子已应刃死于阵前，坚金侯亦当阵斗死。	Voi vừa lùi lại, thế trận tức thì rối loạn, quân Tây Sơn thừa cơ sấn đến. Hai con quận Thể phóng ngựa ra trận, múa đao chém chết chừng vài trăm người. Quân địch kéo đến càng đông hơn, họ xông vào chém chân ngựa của hai người. Ngựa quỵ, hai người lại hoa đao đánh bộ, giết thêm vài chục người nữa, rồi bị thương nặng và cùng đuối sức, bèn gọi cha ra cứu. Quận Thể vội quay voi đến cứu, thì hai người đã bị chém chết ở trước trận. Liền đó, Kiên kim hầu cũng bị giết chết.
副将收兵，欲结别阵，回头城上已树白旗。	Quận Thể thu quân, toan bày trận khác, nhưng ngoảnh đầu nom lên thành thì đã thấy kéo cờ trắng rồi.
象奴下象而逃，贼追象射之，副将死于象鞍上。	Tên quản tượng của quận Thể hốt hoảng, bỏ voi nhảy xuống đất chạy trốn. Quân địch đuổi theo voi mà bắn. Quận Thể chết ngay trên bành voi.
大将开城门，舆衬出迎，平纵兵入城，大肆杀戮，督视阮仲斗死之，镇兵奔出城外，尽为土民所杀。	Đại tướng Tạo quận công truyền mở cổng thành, xe quan tài ra hàng (tỏ ý xin ra chịu chết). Bình thả quân vào thành, chém giết bừa phứa. Đốc thị Nguyễn Trọng Đương chết trong trận đó. Còn bao nhiêu lính tráng trong thành chạy trốn ra ngoài, đều bị thổ dân giết sạch.
是役富春数万人命无孑遗者。	Trong trận đánh này, mấy vạn mạng tướng sĩ đóng ở thành Phú Xuân đều không còn sống sót lấy một mống.
富春既拔，平乘胜分兵取峒海屯。	Chiếm xong Phú Xuân, Bình nhân đà thắng kéo quân ra lấy luôn đồn Động Hải.
屯将渭派侯叶同宁逊，望风而遁，尽失顺化之地，时景兴丙午五月十四日也。	Tướng giữ đồn là Vị phái hầu cùng hiệp trấn là Ninh Tốn mới trông thấy bóng quân Tây Sơn đã chạy trốn. Thế là mất hết cả đất Thuận Hoá. Bấy giờ là ngày 14 tháng 5 năm Bính Ngọ niên hiệu Cảnh Hưng (1786).
平取了顺化，会诸将议修理罗河旧界，而以露布奏捷于西山王。	Sau khi hoàn toàn lấy được Thuận Hoá rồi, Bình bèn họp các tướng bàn việc sửa lại địa giới La Hà; đồng thời sai làm tờ "lộ bố" (thư báo tin thắng trận) báo tin thắng trận về cho chúa Tây Sơn.
整曰：「明公受命取顺化，一举而定，威振天下。	Lúc ấy, Chỉnh nói với Bình rằng: - Ngài vâng mệnh ra lấy Thuận Hoá, đánh một trận mà xong, oai danh lừng lẫy khắp thiên hạ.
用兵之道，一曰时，二曰势，三曰机。三者可乘，往无不胜。	Phép dùng binh có ba điều cốt yếu, một là "thời", hai là "thế", ba là "cơ"; ba điều ấy đều có cả thì đánh đâu cũng thắng.
今北河将惰兵骄，朝廷无复纲纪，我乘势而取之。所谓兼弱攻昧，取乱侮亡。	Nay ở Bắc Hà, tướng lười binh kiêu, triều đình không còn kỷ cương gì cả, ta thừa thế mà đánh lấy, như trong sách đã nói: "Chiếm nước yếu, đánh nước ngu, lấy nước loạn, lấn nước suy vong".
此机与时不可失也。」	Cơ và thời ấy không nên bỏ lỡ!
平曰：「北河大国，许多人才，古语蜂犹有毒，岂可轻易。」	Bình đáp: - Bắc Hà là một nước lớn, có nhiều người tài. Lời xưa có nói: "Con ong có nọc", há có thể khinh thường được ư?
整曰：「北河人才，惟臣一人耳！	Chỉnh nói: - Người tài ở Bắc Hà chỉ có một Chỉnh này mà thôi.
臣身已去，便为空国，公请勿疑。」	Nay tôi đã đi rồi, ấy là cái nước rỗng không, xin ngài chớ nghi ngại!
平本善以言语折人，戏答曰：「不疑在人，母乃疑在公耶！」	Bình vốn khéo dùng ngôn ngữ để bẻ người, liền đùa rằng: - Không nghi ngại người nào khác, chả hoá ra chỉ có ông là đáng nghi ngại thôi ư?
整失色谢曰：「臣自举其庸愚，甚言国之无人才耳！」	Chỉnh tái mặt mà tạ rằng: - Sở dĩ tôi tự nêu lên cái ngu hèn của mình như thế, chẳng qua cũng chỉ để nói quá rằng nước tôi tuyệt nhiên không có người tài đó mà thôi!
平复慰解之。且曰：「四百年之国，吾一旦攘而取之，人之称斯师也，谓何？」	(Ý Chỉnh muốn nói chữa, ngoài Bắc chỉ có Chỉnh là tài mà Chỉnh cũng chỉ xoàng như vậy thì quả là ngoài Bắc không còn có người tài nữa) Bình lại an ủi mấy câu, rồi tiếp: -Một nước đã trải bốn trăm năm, nay bỗng chốc mình đến cướp lấy, người ta sẽ gọi đạo quân ấy là đạo quân gì?
整曰：「臣国有帝有王，乃古今变逆之事。	Chỉnh đáp: - Nước tôi có vua lại có chúa, đó là một việc hết sức trái ngược xưa nay.
郑王名曰扶黎，其实胁制天子。	Chúa Trịnh tiếng rằng phò Lê, thực ra chỉ là ăn hiếp thiên tử.
国人素所不悦，从前英雄每举事，未尝不以借名尊黎，但郑数未终，故事不成。	Người trong nước vốn không phục. Trước đây các bậc anh hùng mỗi khi nổi dậy, chưa từng có ai không lấy danh nghĩa phò Lê. Nhưng số họ Trịnh chưa hết, nên công việc của những người ấy đều không thành.
今征之地记云：不王不伯，权倾天下，传二百年，萧墙起祸。	Nay xét ở trong "địa ký" của họ Trịnh có câu: "Chẳng đế chẳng bá, quyền nghiêng thiên hạ, truyền được tám đời, trong nhà dấy vạ".
计自太王至靖王已周二百年之数，明公诚能以灭郑扶黎为名，天下莫不向服，此不世之奇功也。」	Mà tính từ Thái vương đến Tĩnh vương [địa ký: sách ghi lời dự đoán trước về thế đất để mả. Thái vương là Trịnh Kiểm; Tĩnh vương là Trịnh Sâm. Tương truyền Trịnh Kiểm lúc nhỏ nhà nghèo, thường ăn trộm gà hàng xóm để nuôi mẹ, ai cũng ghét.
平曰：「此事甚好，但我受命取顺化，非受命伐人国，矫之如何？」	Họ bèn ném mẹ Kiểm xuống vực sâu ở làng. Qua một đêm, chỗ vực sâu ấy bỗng biến thành một gò đất. Sau có một thầy địa lý đi qua gò đất, đọc bốn câu rằng: Phi đế phi bá, quyền khuynh thiên hạ, tộ truyền bát đại, tiêu tường khởi hoạ (nghĩa như trên). Câu "tộ truyền bát đại" có bản chép "truyền nhị bách niên" (truyền hai trăm năm)] thì đã đủ số tám đời rồi. Nếu ngài lấy cớ "diệt Trịnh phò Lê" mà kéo quân ra, thiên hạ không ai là không hưởng ứng. Đó chính là cái công không mấy đời có vậy! Bình nói: - Đó là việc rất hay! Nhưng nay ta vâng mệnh đi đánh Thuận Hoá, không phải vâng mệnh đi đánh nước người. Tự ý thay đổi mệnh lệnh của nhà vua như thế thì ra làm sao?
整曰：「春秋传云：矫小而功大，为有功，何矫之有？	Chỉnh đáp: - Trong kinh Xuân Thu có nói: "Thay đổi nhỏ mà công lao lớn, ấy là có công!" Như thế thì thay đổi cũng có ngại gì đâu?
况公岂不闻：将在外，君命有所不受耶！」	Huống hồ, ngài há chẳng nghe nói câu "tướng ở ngoài, mệnh vua có khi không cần phải theo" đấy ư?
平为人英睿果断，得整言，中其意。	Bình là một người thông minh, quyết đoán, được lời Chỉnh nói trúng với ý mình, tức thì nghe theo ngay.
使整将选锋兵，越入大安海门，先取渭潢粮场，而己自引水军继发，约整到渭潢先举烽火为信。	Bình sai Chỉnh đem đội quân tuyển phong, vượt vào cửa biển Đại An, đánh lấy kho lương Vị Hoàng (xã Vị Hoàng, sau là tỉnh lỵ Nam Định) trước; còn tự mình thì dẫn thuỷ binh theo sau, lại hẹn với Chỉnh hễ đến được Vị Hoàng thì phải đốt lửa lên làm hiệu.
布置已定，整领兵先出，所过乂安清华，各分游兵数百人，声势驱逐。	Bố trí xong rồi, Chỉnh liền cầm quân đi trước. Lúc ngang qua mấy trấn Nghệ An, Thanh Hóa, Chỉnh sai nhiều toán du binh, mỗi toán chừng vài trăm người, chia ngả đi đánh các đồn để phô trương thanh thế.
乂安镇守铛忠侯，清华镇守垂忠侯，皆弃城而走。	Trấn thủ Nghệ An là Đương trung hầu, trấn thủ Thanh Hóa là Thuỳ trung hầu (tức Bùi Thế Toại và Tạ Danh Thuỳ) đều bỏ thành mà chạy.
六月初六日。	Ngày mồng sáu tháng sáu năm ấy (1786) Chỉnh tới Vị Hoàng.
整至渭潢，屯将望风而逃，粮粟百万斛，皆为整所获。	Quân ở trong đồn mới trông thấy bóng quân Chỉnh đã bỏ trốn. Hơn một trăm vạn hộc lương ở đây đều bị Chỉnh chiếm gọn.
整举火烽为信，平见火号，即自引船千艘，从海而出。	Sau đó, Chỉnh bèn đốt lửa báo tin. Bình thấy hiệu lửa, lập tức dẫn hơn một ngàn chiếc thuyền theo đường biển đi ra.
乂安土民登山，望海外楼船旗帜，叹曰：「谚云：『负蛇咬家鸡』彼诚有罪，然亦旷世之举也。」	Dân chúng Nghệ An lên núi, trông bóng lâu thuyền (loại chiến thuyền hạng lớn, khoang thuyền có lầu cao) cùng cờ quạt ngoài biển đều ngậm ngùi than: "Cõng rắn cắn gà nhà, hắn ta thật có tội. Song cũng là một việc không mấy đời có!"
整在渭潢与平会，声势大振，国内携二者，往往先报整军，尽以国情输敌。	Chỉnh ở Vị Hoàng hợp với quân của Bình, thanh thế rất lớn. Bấy giờ trong nước, những kẻ hai lòng thường hay lui tới dinh quân của Chỉnh, đem hết tình hình nước nhà mà kể với địch.
而敌情虚实，朝廷茫然无知。	Còn như tình hình quân địch ra sao, thì triều đình lại không hề hay biết gì hết.
先是富春之溃，边报至京，议者多言顺化本非朝廷疆土，先朝糜费中国而取之，复劳戍守，终无所益，今失之，亦一幸也。	Khi Phú Xuân bị vỡ, tin từ biên giới báo về kinh, những người dự bàn đều nói: Thuận Hoá vốn không phải là bờ cõi của triều đình, tiên triều hao phí bao nhiêu của cải trong nước mới lấy được xứ ấy, rồi lại phải đem quân đóng giữ, rốt cuộc chẳng có ích gì. Ngày nay mất đi cũng là một cái may.
只可讲求乂安留屯故事，申定旧疆界，我以失顺化为幸，彼必以侵我为戒，当得无虑。	Bây giờ chỉ nên bàn tính việc đóng đồn ở trấn Nghệ An và định rõ cương giới cũ mà thôi. Ta lấy sự mất Thuận Hoá làm may, ắt họ phải lấy sự lấn đất của ta làm điều đáng ngại. Như vậy hẳn là ta không phải lo gì nữa.
于是上下放心。	Thế là kẻ trên người dưới, ai nấy đều yên lòng.
既而忽闻乂安镇溃，敌兵且至，始仓皇失措。乃以泰亭侯为统镇，将二十七奇号，拒敌于乂安。	Chợt nghe tin Nghệ An bị vỡ, quân địch sắp sửa đến nơi; triều đình bấy giờ mới hốt hoảng, bèn sai Thái đình hầu (tức Trịnh Tự Quyền) làm thống lĩnh, đem 27 cơ lính vào Nghệ An chống nhau với quân địch, Thái đình hầu lĩnh mệnh đã hơn mười ngày, mà sửa soạn vẫn chưa xong.
泰亭侯闻命十余日，整装未毕，比及离城半日，敌兵已至渭潢。	Kịp đến khi rời thành được nửa ngày, thì quân địch đã tới Vị Hoàng.
乃命泰亭侯将兵御于山南，加差琏忠侯丁锡壤督领水道，将卫左卫右五侯五善五中择等骑队船与泰亭侯水步并发。	Bấy giờ triều đình lại sai luôn Thái đình hầu xuống giữ ở vùng Sơn Nam; và phái thêm Liễn trung hầu Đinh Tích Nhưỡng đốc lĩnh đường thuỷ, dẫn các đội thuyền Tả vệ, Hữu vệ, Ngũ hầu, Ngũ thiện, Ngũ trung cùng với Thái đình hầu thuỷ bộ đều tiến.
整时方御水寇于海阳，至是水寇与南兵会，仍以壤回对南道。	Hồi ấy Nhưỡng đang đánh nhau với bọn thuỷ khấu (bọn cướp trên sông, biển) ở vùng Hải Dương; đến lúc này, bọn thuỷ khấu đã hợp cả với quân Nam, vì vậy triều đình liền sai luôn Nhưỡng về đánh giữ mặt Nam.
壤邯江名将，素有门望，朝廷专以水战责成于壤。	Nhưỡng là danh tướng ở vùng Hàm Giang, vốn là con nhà dòng dõi, triều đình đem hết công việc thuỷ chiến giao phó cả cho Nhưỡng.
壤舟师决于绿门，与贼相持。	Các thuyền quân của Nhưỡng kéo đến đóng ở cửa Luộc [cửa Luộc, chỗ sông Luộc chảy vào sông Hồng Hà giáp liền với huyện Tiên Lữ (Hưng Yên) và huyện Hưng Nhân (Thái Bình)], cầm cự với quân Tây Sơn.
时东南风甚急，贼从下流使战船五艘为前部选锋，张帆溯流而上，大军从后徐徐继进。	Bấy giờ gió đông nam thổi rất dữ, quân Tây Sơn ở hạ lưu cho năm chiếc thuyền làm tiền bộ tuyển phong, giương buồm ngược dòng tiến lên, còn đại quân thì từ từ tiến theo sau.
壤见贼选锋船来，即将舟师横江作一字阵。命诸军纳宝麟铳，向贼船射之。	Nhưỡng thấy những thuyền tuyển phong của địch xông đến, tức thì đem chiến thuyền chặn ngang sông, dàn thành thế trận hình chữ "nhất"; rồi truyền quân lính nạp súng Bảo lân, bắn sang thuyền địch.
射了一声，贼船不动，壤命再射，船帆皆卷入，诸军皆喜，以为敌有惧意。	Bắn phát đầu, thuyền địch đứng yên không động. Nhưỡng truyền bắn phát thứ hai, các buồm của thuyền địch đều cuốn lại. Quân bên Nhưỡng mừng rỡ, cho là bên địch có ý sợ.
壤命射发三声毕，贼兵发巨铳一声如雷，其弹飞上古树，折作两段。	Nhưỡng lại sai bắn luôn ba phát nữa. Lúc ấy bên địch mới bắn trả một phát súng lớn, tiếng nổ như sấm, đạn bay lên cây cổ thụ bên bờ, làm cho thân cây bị gãy làm hai đoạn.
时帐忠侯出兵两岸，见铳弹飞来，大惊欲溃，敌乘势舍舟登陆，帐忠侯兵尽走，敌直抵宪营，帐忠侯与督同阮辉平只身潜遁，泰亭侯次于金洞口亦自溃而走。	Bấy giờ Trướng trung hầu (tức Đỗ Thế Dận) và viên đốc đồng Nguyễn Huy Bình đều một mình bỏ trốn. Quân của Thái đình hầu đóng ở cửa Kim Động [thuộc Hưng Yên (Hải Hưng)] cũng tự vỡ mà chạy.
时边书告急，文武百官在京者，各谋安顿妻子，藏匿货财，无一人敢以讨贼自任者。	Khi ấy, thư báo tin thua trận tới tấp đưa về kinh, các quan văn võ trong triều ai nấy chỉ cuống lên lo thu xếp chỗ nương náu cho vợ con, lo cất giấu của cải, không một ai dám ra nhận lấy việc đánh nhau với quân Tây Sơn.
王以参从裴辉璧久相无状，至是又无一制御之策，心中厌之。	Chúa thấy tham tụng Bùi Huy Bích ở ngôi tể tướng lâu ngày mà chẳng làm được việc gì, đến lúc này lại không có mưu kế gì để chống địch, trong lòng đã chán ghét.
左右攻之益急，乃罢相，出为督战。宰相既去，人心益摇，王乃召公灿密议却敌避敌之宜。	Rồi nhân những người xung quanh lại công kích Bích rất gay gắt, chúa bèn bãi chức tể tướng của Bích và cử ra trận đốc chiến. Tể tướng đi rồi, lòng người càng nôn nao. Chúa bèn đòi Công Thước (Trần Công Thước, sau đổi là Công Xán) vào phủ, mật bàn xem nên đánh lui địch hay nên tránh địch.
公灿曰：「贼悬军深入，无所忌惮，当诱入近地，一战而歼之，亦用兵之奇道也。	Công Thước thưa: - Giặc kéo quân vào sâu xứ lạ, đó là điều mà trong binh pháp rất kỵ. Nên dử cho chúng tới gần nữa, rồi đánh một trận mà tiêu diệt hết, đó cũng là cái thuật kỳ diệu trong phép dùng binh.
且京师天下之原本，去将安之。	Vả lại, kinh sư là cái gốc của thiên hạ, rời bỏ thì sẽ đi đâu?
若乘舆狼狈出城，人心涣散，是举其国与敌也。	Chẳng những thế, nếu kiệu chúa lật đật ra ngoài thành, tất lòng người sẽ phải lìa tan, ấy là đem nước mà trao cho giặc vậy.
今但当请太妃与六宫权且出城尔。」	Bây giờ chỉ nên xin thái phi và cả sáu cung hãy tạm lánh ra ngoài thành mà thôi.
王从之。	Chúa nghe theo lời Thước.
王自思武臣惟硕郡公老将可恃，即召自山内回朝。	Lại tự nghĩ rằng, trong hàng võ tướng chỉ có Thạc quận công là tay lão tướng có thể trông cậy được, bèn sai người ra trấn Sơn Tây tức tốc triệu ông ta về triều.
硕郡即率义勇五百人入卫。	Được lệnh, quận Thạc liền đem ngay năm trăm quân nghĩa dũng về cứu kinh thành.
都人见硕郡归，人心稍安。	Thấy quận Thạc về, lòng người cũng hơi vững.
硕郡入见，王曰：「公弃寡人耶！	Khi quận Thạc vào ra mắt, chúa nói: - Ông bỏ quả nhân hay sao?
今国势如此，为之奈何？」	Bây giờ thế nước như vậy thì làm thế nào?
硕郡泣曰：「臣受国家厚恩，誓不与贼俱生。	Quận Thạc khóc mà rằng: - Thần chịu ơn dày của nhà nước, thề không cùng sống với giặc.
臣父子犹有九人，背城一战，臣请执鞭以从吾君之下，王无虑焉。」	Cha con thần tất cả còn có chín người, nếu phải dựa lưng vào thành mà quyết một trận tử chiến, thần xin cầm roi mà theo dưới chân chúa, chúa không lo gì hết!
王乃出银五千两，赐硕郡为军需，硕郡乃出治兵，一日召手下得千余人，军色最为精锐，王命出城屯守，硕郡乃出师次于万春湖。	Chúa bèn bỏ ra năm ngàn lạng bạc, giao cho quận Thạc để chi về việc binh. Thạc lập tức ra lo liệu việc quân, một ngày gọi được hơn một ngàn thủ hạ, toàn là những tên quân hết sức tinh nhuệ. Rồi theo lệnh chúa, quận Thạc tiến quân ra đóng ở hồ Vạn Xuân (tức đầm Vạn Phúc ở làng Vạn Phúc, huyện Thanh Trì, Hà Đông, nay là ngoại thành Hà Nội).
时东南风盛，惟水道最为冲要。	Bấy giờ gió đông nam đang mạnh, đường thuỷ trở nên rất xung yếu.
琏忠舟师既败，敌占得长江一条干净路，直上京畿。	Sau khi các đội thuyền của Liễn trung hầu đã bị đánh bại, quân địch chiếm được cả một dải đất yên ổn chạy dài theo ven sông, rồi thuận đường kéo thẳng lên kinh kỳ.
王使四侍水号毕众御于翠霭口，敌舟师至南畲津，舍舟登岸，袭翠霭水军。	Tông sai cả bốn hiệu lính thuỷ dốc hết quân xuống ngăn địch ở cửa Thuý ái (Cửa Thuý ái nằm ở địa phận bãi Thuý ái, Thanh Trì, Hà Đông, nay thuộc ngoại thành Hà Nội). Thuyền địch đến bến Nam Dư (cũng thuộc Thanh Trì, Hà Đông, nay thuộc ngoại thành Hà Nội), tức thì bỏ thuyền nhảy lên bộ, đánh úp vào đám lính thuỷ ở cửa Thuý ái.
先是水军闻贼犹远，略不为备，维舟从岸，星散于河渚，倏见敌至，不及登舟，舟船尽为敌有，惟偏将姓吴者，单刀立船头，拒战刻余，西兵把巨铳向中择船头射之，其人中弹而死，贼乃登陆。	Trước đó, thuỷ binh ở đây nghe tin quân địch còn xa, nên không phòng bị gì hết, cứ cột thuyền lại rồi lên bờ đi tản mát, linh tinh ở các bãi sông. Khi quân địch thình lình kéo đến, thuỷ binh không kịp lên thuyền, bao nhiêu thuyền bè đều bị địch chiếm hết cả. Cả đội duy có viên tiểu tướng họ Ngô (tức Ngô Cảnh Hoàn, theo Cương mục, Hoàn có người thiếp yêu là Phan Thị Thuấn rất trẻ, đẹp.
硕郡兵方食，贼兵掩至，弃甲而走，左右夹击乱斫之，僵尸填渚，赴万春湖死者不可胜数。	Sau khi Hoàn chết, nàng cứ nhởn nhơ may sắm quần áo và trang điểm như không có chuyện gì, mọi người chê cười cũng mặc. Đến hết giỗ 100 ngày, bấy giờ nàng mới trang điểm đẹp đẽ, bơi thuyền đến chỗ chồng chết mà tự tử. Nhân dân địa phương bèn lập đền thờ, khen là người con gái tiết liệt) là dám vác đao đứng ở đầu thuyền, đánh nhau với địch. Được chừng hơn một khắc, quân Tây Sơn dùng súng lớn bắn vào đầu thuyền, viên tiểu tướng ấy trúng đạn chết tại chỗ. Quân địch bèn kéo ùa lên bộ, xông vào trận của quận Thạc. Quân lính của quận Thạc khi ấy đang ăn cơm, chợt thấy địch ập tới, ai nấy bỏ cả khí giới mà chạy (theo Cương mục, lúc ấy có Mai Thế Pháp dám một mình vác dao ra chặn đường quân Tây Sơn, nhưng giết được mươi người thì bị vây chặt, phải nhảy xuống sông tự tử). Quân Tây Sơn từ hai phía tả hữu cùng đánh dồn lại, chém giết quân của quận Thạc tơi bời, thây chết nằm ngổn ngang khắp bãi. Những kẻ nhảy xuống hồ Vạn Xuân mà chết, cũng không biết bao nhiêu mà kể.
硕郡单存手下十余人，与其子八人，环硕郡象脚下，倚象而御。	Quận Thạc chỉ còn hơn mười thủ hạ và tám người con. Bọn họ đều xúm quanh chân voi của quận Thạc, tựa vào voi mà chống cự lại quân Tây Sơn.
六子力战死于象前。	Sáu người con của quận Thạc ra sức chiến đấu, chết ở trước voi.
硕郡使象奴跪象而下，与其子二人夺路而走，仅以身脱。	Quận Thạc liền sai quản tượng cho voi quỳ xuống, rồi ông ta nhảy xuống đất cùng hai người con cướp đường mà chạy tháo thân.
贼水兵直到西龙津，王亲御五龙楼布阵，分五军，左步号按西龙，右步号按西虎，前步号按前楼城门，后步号按后楼水军湖岸，仍轿二号卫驾中军。	Thuỷ binh của Tây Sơn tiến thẳng đến bến Tây Long. Chúa thân hành ra ngự trên lầu Ngũ long bày trận. Chia thành năm đạo quân: hiệu Tả bộ giữ mặt Đông Long, hiệu Hữu- bộ giữ mặt Tây Hổ, hiệu Tiền bộ giữ mặt cửa thành Tiền Lâu, hiệu Hậu bộ giữ mặt Hậu Lâu, cạnh bờ hồ Thuỷ quân, còn hai hiệu Nhưng, Kiệu ở trung quân để hộ giá.
贼从河渚入，王在楼上，放过前阵法鼓，前步发射。	Quân Tây Sơn từ bãi sông tiến vào, chúa ở trên lầu sai nổi hiệu trống trận, hiệu Tiền- bộ liền nổ súng bắn ra.
