第一回。	Hồi thứ nhất.
乃驰诣遵生侯，言其状，告以隐赴城谏世子，令寝其事，以杜祸阶。	Đoạn Thì Nhậm vội vã sang kể hết tình đầu cho Khắc Tuân nghe, và khuyên Tuân phải hoả tốc về kinh, can ngăn thế tử đừng làm việc đó, để tránh tai vạ sau này.
遵生拒之曰：「小职与官人但觉矜防与勘问，此外不预我事，不须挂齿。」	Khắc Tuân không nghe, nói rằng: - Tiểu chức này với quan lớn, chỉ biết việc tuần phòng khám xét; ngoài ra những việc không dính líu đến ta, thì không nên hé răng.
时任长吁而去。	Thì Nhậm thở dài mà về.
数日果有召，命遵生即与时任偕行。	Mấy ngày sau, quả nhiên có lệnh đòi Khắc Tuân và Thì Nhậm. Hai người vội vàng cùng đi.
比至京，山西镇官与焮郡公并已被召，待罪于左穿堂。	Tới kinh, họ thấy trấn thủ Sơn Tây (Hồng lĩnh hầu Nguyễn Khản) và a bảo Hân quận công (Nguyễn Đĩnh) đều đã bị triệu về, còn đang ngồi đợi tội ở nhà Tả xuyên.
遵生入见于卷蓬店，王不许入，命侍臣眷忠侯责之曰：「舅与世子棕谋反，舅第出去治兵，我已有强将对手。」	Khắc Tuân xin vào điếm Quyển bồng gặp chúa, nhưng chúa không cho vào, sai viên quan hầu là Quyến trung hầu ra trách Khắc Tuân rằng: - Cậu và thằng Tông đã muốn làm giặc thì cậu cứ việc ra mà sắp sẵn binh mã, đây ta đã có các tướng mạnh để đối địch với cậu!
遵生侯出，遇时任于小笔店，执其手叹曰：「仆事主上，自出胞以来，今王以贼呼之，昨日官人之言，以为容易，今事已如此，将奈之何。」	Khắc Tuân quay ra, gặp Thì Nhậm ở điếm Tiểu bút, Tuân cầm tay Nhậm than: - Tôi thờ chúa từ khi lọt lòng đến giờ, nay chúa gọi tôi là giặc. Hôm nọ quan lớn nói chuyện tôi cứ cho làm thường, nay việc đã như thế, tính sao bây giờ?
时任亦怆惶不知所答。	Thì Nhậm cũng hoảng hốt chẳng biết trả lời thế nào.
遵生侯乃修启具招前事，再凭眷忠侯递览。	Khắc Tuân liền làm tờ khải, cung khai hết những việc trước rồi nhờ Quyến trung hầu đưa vào dâng chúa.
王怒不看，令袖出裂于遵生侯面前。	Nhưng chúa đang giận, không xem, lại sai Quyến trung hầu đem tờ khải ra xé trước mặt Khắc Tuân.
遵生侯拾之而出，惶恐失措，不知所云。	Khắc Tuân lượm lấy tờ khải bị xé ấy mà ra, nhưng sợ hãi luống cuống chẳng biết đi đường nào.
山西镇官亦益惊惧，欲有所言，不敢自达，乃共告时任曰：「我等位重谗深，有言不信，吾侯当以其所闻，修启抵罪群小，庶几我等白冤，王世子亦保无事。」	Viên trấn thủ Sơn Tây lúc ấy cũng rất lo sợ, có điều muốn nói mà không dám tự bày tỏ. Ông ta bèn cùng Khắc Tuân nói với Thì Nhậm: - Bọn tôi ở ngôi trọng yếu mà bị lời gièm pha nặng nề, bây giờ dù có nói gì, chúa cũng chẳng tin. Ngài nên đem những điều nghe thấy viết một tờ khải, đổ tội cho lũ tôi tớ, như vậy may ra bọn tôi mới khỏi bị oan, mà thế tử cũng sẽ được an toàn không việc gì.
时任亦不得已从之，不意王得启，益怒曰：「果若人言不诬矣。」	Thì Nhậm bất đắc dĩ phải làm theo ý hai người. Chẳng ngờ chúa nhận được tờ khải, lại càng giận dữ nói: - Quả như lời nói của người ta không sai!
乃命时任与侍臣堂忠侯同查。	Rồi chúa sai Thì Nhậm và bọn quan hầu là Ngạn triêu hầu, Đường trung hầu, án trung hầu cùng tra xét vụ án đó.
时任与侍臣欲从中解救，更以奔丧去职。	Thì Nhậm cùng bọn quan hầu định tìm cách gỡ tội cho Khắc Tuân và viên trấn thủ Sơn Tây, nhưng vì nhà có tang Nhậm phải bỏ việc quan mà về [Nhậm về chịu tang cha là Ngô Thì Sỹ. Theo Việt sử thông giám cương mục (sau đây gọi tắt là Cương mục) thì chính Nhậm hợp mưu cùng Huy Bá để tố cáo việc của Tông và Khắc Tuân. Ngô Thì Sỹ đã cố sức can mà nhậm vẫn không nghe. Sau khi nghe tin Nhậm đã phát giác việc ấy, Sỹ buồn bực, bèn uống thuốc độc tự tử. Nhậm vì có công tố giác, được thăng hữu thị lang bộ Công. Do đó, người đương thời có câu rằng: "Sát tứ phụ nhi thị lang" giết 4người cha để làm thị lang). Bốn cha là: Sỹ, thân phụ; Tông, quân phụ; Khắc Tuân, và Xuân Hán, phụ chấp (bạn của bố). Có thuyết lại nói tứ phụ là Sỹ và Nguyễn Khản, Phương Định, Khắc Tuân ba người bạn của bố].
再命参从榜眼义派侯黎贵惇代查，尽得其状。	Chúa bèn giao cho viên đồng tham tụng là Nghĩa phái hầu Lê Quí Đôn, bảng nhãn khoa Nhâm thân (1752) làm thay việc tra xét.
王乃召政臣入内，泣曰：「寡人不幸，遭不孝之子，不忠之臣，潜谋叛逆，其迹与承干相类，而心又甚焉。	Cuối cùng, nắm được hết tình hình tội trạng, chúa liền gọi các chính thần vào cung vừa khóc vừa nói: - Quả nhân không may gặp phải thằng con bất hiếu, lũ bầy tôi bất trung, chúng ngầm mưu việc phản nghịch; hình tích cũng giống như vụ Thừa Kiền, nhưng tâm địa thì tệ hơn nhiều.
废长立少，事非获已，卿等其谅我心，当按法论之。」	Việc bỏ con cả lập con thứ là bất đắc dĩ. Các ngươi cũng nên hiểu rõ bụng ta, cứ theo phép nước mà định tội chúng nó đi!
廷议负犯诸名，并当论死，惟王子不敢擅议。	Các quan trong triều bàn rằng: mấy tên phạm tội đều nên xử tử, còn riêng về thế tử thì không dám bàn.
条上，王特笔批云：「谨按春秋之义，律当从重，第念天性之亲，情有不忍，应黜为季子，终守臣节。	Lời bàn đó dâng lên, chúa cầm bút phê rằng: "Cứ xét theo nghĩa của kinh Xuân thu thì phải trị tội tên Tông thật nặng. Nhưng nghĩ tình cha con ruột thịt không nỡ như thế, vậy nên truất nó xuống làm con út, trọn đời giữ đạo làm tôi.
诸臣惟山西镇官与溪忠侯奉侍潜邸，日久有劳，特许囚之。	Còn bọn các quan, thì viên trấn thủ Sơn Tây và Khê trung hầu, vốn đã theo hầu ta từ lúc chưa lên ngôi, cũng có công lao, đặc ân cho được tự liệu lấy.
阿保焮郡公以老实不与，免死，罢职回民。	Riêng a bảo Hân quận công là người thật thà không tham dự và mưu đó cũng được tha tội chết, nhưng phải cách chức xuống làm dân thường".
命下溪忠侯遵生侯皆服药死。	Mệnh lệnh ban xuống, Khê trung hầu và Tuân sinh hầu đều uống thuốc độc tự tử.
遵生有帐下文书阮国镇亦连坐论死，临刑骂曰：「天无日，朝无官，忍使国镇含冤。」	Dưới trướng Tuân sinh hầu có viên văn thư là Nguyễn Quốc Trấn cũng bị tội lây với chủ, phải ghép án tử hình. Lúc sắp bị chém, Quốc Trấn quát lớn: - Trời không có mắt, triều đình không có quan, nỡ để Quốc Trấn mắc oan.
嘱所亲纳笔纸于袖中曰：「生不伸冤，死当讼于冥府。」	Rồi Trấn dặn người thân thuộc để giấy bút vào tay áo mình và nói thêm: - Sống đã không bày tỏ nỗi oan được, chết phải kiện ở âm phủ.
闻者悲之。	Mọi người nghe câu nói đó, ai cũng thương xót cảm động.
世子既废，王乃命居三间堂，使人监制，凡饮食出入，皆不得自由，家臣皆不许出入。	Thế tử Tông bị truất rồi, chúa bắt cứ phải ở trong ngôi nhà ba gian, cho người giám sát chặt chẽ; phàm những việc ăn uống Tông đều không được tự do. Bọn gia thần của Tông cũng không được phép ra vào thăm hỏi.
由是世子之党，各自逃匿，而邓氏之党益强，大臣小臣莫不趋附，王亦益加礼重。	Do đó, phe đảng của thế tử, mỗi người lẩn trốn đi mỗi nơi. Còn phe cánh của Thị Huệ thì mỗi ngày một mạnh. Các quan lớn nhỏ không ai là không nịnh nọt, hùa theo, mà nhà chúa cũng càng trọng ả hơn trước.
邓氏乃为其弟茂麟求婚王女玉兰公主，王主许之。	Thừa dịp ấy, Thị Huệ bèn hỏi con gái chúa là công chúa Ngọc Lan cho em trai mình là Đặng Mậu Lân.
这公主字栓，乃王之最爱女。	Công chúa này tên chữ là Ngọc Thuyên, là cô con gái yêu quý nhất của chúa.
原来黄正圮生下两位公主，长曰玉映公主，字栎，嫁前乂安镇守端郡公裴名达之长男珰忠侯裴世遂。	Nguyên chính phi họ Hoàng sinh được hai nàng công chúa. Cô lớn là công chúa Ngọc Anh, tên chữ là Ngọc Loan, đã gả cho Đương trung hầu Bùi Thế Toại, con trai cả của Đoan quận công Bùi Danh Đạt làm trấn thủ Nghệ An trước kia.
第二公主未有所尚。	Còn Ngọc Lan là cô thứ hai, chưa có chồng, được chúa rất yêu chiều.
公主资禀软弱，自幼居水晶宫，不见风暑，所居之处，王戒侍婢言语低声，免惊公主。	Ngọc Lan vóc người yếu đuối, từ nhỏ vẫn ở trong cung thuỷ tinh, kiêng nắng, kiêng gió. Nơi Ngọc Lan ở, chúa bắt thị tỳ phải nói năng sẽ sàng để cho nàng khỏi giật mình.
既长，每进见，王令与同坐，如孩提时，凡所请托，言无不售，勋贵诸臣求婚，王皆未有所许。	Khi Ngọc Lan đã lớn, mỗi lần vào thăm chúa, chúa đều cho phép cùng ngồi với mình như lúc nàng còn bé. Phàm những điều Ngọc Lan cầu xin chúa, không có lời nào là không đắt. Các quan vào hàng công thần, quí tộc, nhiều người đã tới cầu hôn, nhưng chúa chưa hứa gả cho ai.
曾旨下文武诸臣，与功臣子孙入选，令公主择可意者嫁之，更无当选者。	Đã có lần chúa hạ chiếu chỉ cho các quan văn võ, cùng con cháu các dòng họ công thần vào phủ để cho công chúa tự kén chọn. Chúa bảo công chúa hễ chọn được ai vừa ý thì chúa sẽ gả cho người đó.
至是邓氏为弟求婚，王重违其意，不得已而勉从。	Nhưng Ngọc Lan vẫn chưa kén được ai vừa lòng. Đến nay, Thị Huệ cầu hôn cho em trai, chúa sợ mất lòng ả ta, bất đắc dĩ mà phải gượng nhận lời.
却说那茂麟，为人凶暴，自邓氏有宠，麟倚势肆行，车舆衣服，一如王者。	Lại nói, Đặng Mậu Lân này vốn là một tên hung bạo; từ khi Thị Huệ được chúa yêu dấu Lân lại càng ỷ vào thế chị để làm những việc càn rỡ. Hết thảy áo quần, xe kiệu của y, nhất nhất đều rập kiểu theo đúng như của vua chúa.
常带手下数十人，各持刀枪，横行京邑，撞着车服，不问是某官军，要惹起衅隙，殴辱之以为快。	Thường ngày, Lân vẫn đem theo vài chục tên tay sai, cầm gươm vác giáo đi nghênh ngang khắp kinh ấp. Hễ gặp xe kiệu, bất kỳ là của đám quan quân nào, Lân cũng đều cà khịa đánh nhau làm cho họ nhục nhã, rồi lấy thế làm thích thú.
遇女于途，悦目者即拖帷帐与之通，其女或不顺从，即割其乳头。	Gặp đàn bà con gái giữa đường, hễ người nào trông vừa mắt, tức thì Lân sai tay chân quây màn trướng ngay tại chỗ, rồi lôi người ấy vào hiếp liền. Ai không chịu, Lân xẻo luôn đầu vú.
女之夫或父，敢有出言者，立即挝其齿，亦有至殴死者。	Chồng hoặc cha kẻ bị nạn, nếu dám hé răng kêu ca, lập tức Lân sai quân vặn gãy răng, hoặc cũng có người bị đánh đến chết.
天下之人，畏之甚于虎豹，王亦知之。	Người thiên hạ sợ Lân hơn sợ beo sói. Chúa cũng biết thế, nên tuy đã trót nhận lời gả công chúa cho Lân mà trong bụng vẫn còn có ý thương tiếc.
既许下嫁，复怀顾惜，且念公主薄弱，不堪此强暴之男。	Vả lại chúa nghĩ, công chúa người yếu ớt, mảnh khảnh, không thể chịu nổi một tên đàn ông cường bạo như thế.
回门之日，王以公主未经疹痘为辞，不许合卺。	Nến đến ngày về nhà Lân, chúa lấy cớ rằng công chúa chưa từng lên đậu lên sởi, để không cho phép Lân hợp cẩn (Theo lễ xưa, đêm tân hôn vợ chồng uống chung một chén rượu, gọi là hợp cẩn).
命阿保与侍女保护公主，又命内差史忠侯监制，不许茂麟侵犯公主。	Rồi chúa sai quan a bảo cùng nhiều thị nữ đi theo để hộ vệ công chúa. Tiếp đó, chúa lại phái thêm cả viên nội sai là Sử trung hầu đến làm giám chế, không cho Lân xâm phạm tới công chúa.
正是：少女芳心原不怯，今郎好事更多磨。	Thật là: Ái ân, cô gái không e sợ Hoan hỉ, chàng trai lại dở dang.
未知后事如何，且听下回分解。	Chưa biết việc tới thế nào? Hãy xem hồi sau phân giải.
