第十四回。	Hồi thứ mười bốn.
至是清人走还，望之益自疑惧，各取间道从泳桥而去。	Đến lúc ấy, quân Thanh chạy về trông thấy, càng thêm hoảng sợ, bèn tìm lối tắt theo đường Vịnh Kiều mà trốn.
忽见象军从大盎来，复大惊，皆走窜琼都之墨潭中。西人驱象蹂之，死者以万计。	Chợt lại thấy quân voi từ Đại áng tới, quân Thanh đều hết hồn hết vía, vội trốn xuống đầm mực, làng Quỳnh Đô (thuộc Thanh Trì, Hà Nội), quân Tây Sơn lùa voi giày đạp, chết đến hàng vạn người.
是日午中，北平王进兵至升龙，遂入城。	Giữa trưa hôm ấy vua Quang Trung tiến binh đến Thăng Long, rồi kéo vào thành (có sách chép khi Quang Trung vào Thăng Long, chiếc chiến bào màu đỏ đã bị nhuộm đen vì khói thuốc súng).
原来都督龙将右军先出青池，北平王方与清师战于玉洄，龙已于日早改滇州太守于广德姜上寨。	Nguyên trước đó, đô đốc Long đốc suất hữu quân đã đem binh đến đóng ở làng Nhân Mục huyện Thanh Trì. Lúc vua Quang Trung đang đánh với quân Thanh ở Ngọc Hồi, thì sáng hôm ấy Long đã đánh tên thái thú Điền Châu ở trại Khương Thượng thuộc huyện Quảng Đức (trại Khương Thượng tức làng Khương Thượng nay thuộc thành phố Hà Nội).
清师溃走，龙先入城矣。	Quân Thanh tan vỡ bỏ chạy, Long liền tiến trước vào thành.
却说孙总督与帝在升龙城，略不闻有警急之报，故至春旦方以宴庆为事，别无意外之虞。	Lại nói, Tôn Sỹ Nghị và vua Lê ở thành Thăng Long, tuyệt nhiên không nghe tin cấp báo gì cả cho nên trong ngày Tết mọi người chỉ chăm chú vào việc yến tiệc vui mừng, không hề lo chi đến việc bất trắc.
谁知胜席未残，泰机复否。	Nào hay cuộc vui chưa tàn, cơ trời đã đổi.
初四日，始见玉洄厄兵走还告急，真是将从天上降，兵自地中穿。	Ngày mồng 4 bỗng thấy quân ở đồn Ngọc Hồi chạy về cáo cấp. Thật là: "Tướng ở trên trời xuống, quân chui dưới đất lên".
且言河洄屯官军尽被西兵掩获了，此去玉洄不远，早晚必将受兵。	Bọn ấy lại nói: - Quan quân ở đồn Hà Hồi đều bị quân Tây Sơn đánh úp bắt hết cả. ở đây cách đồn Ngọc Hồi không xa, sớm chiều thế nào cũng bị đánh tới.
孙总督仓惶大惧，立遣广西领兵杨雄业，率西山降将潘启德，先将义兵赴援，大密令麾下骑士二十人与之俱，诫曰：「时刻之间，续有报信。」	Tôn Sỹ Nghị hoảng hốt sợ hãi, lập tức sai lãnh binh Quảng Tây là Thang Hùng Nghiệp dẫn viên hàng tướng Tây Sơn là Phan Khải Đức đem nghĩa binh tới cứu; lại sai hai mươi lính kỵ mã ở dưới trướng của mình cùng đi với Nghiệp, và dặn họ rằng: - Trong khoảng chốc lát, phải tiếp tục báo tin về ngay.
其意专以此一面为患，不虞更有别道来也。	Ý của Nghị chỉ lo có một mặt đó, không ngờ lại có mặt khác ập tới.
是夜漏下四鼓，忽闻城之西北铳声轰不绝，急令走马视之，见报滇州屯已溃，西兵已入坞门，大肆烧杀，烟焰光天矣。	Canh tư đêm ấy, chợt nghe ở phía tây bắc thành tiếng súng nổ đùng đùng không ngớt. Nghị vội sai người cưỡi ngựa ra xem, thì nghe báo tin đồn quân Điền Châu tan vỡ, quân Tây Sơn đã vào cửa ô, đốt giết lung tung, khói lửa bốc lên đầy trời rồi.
孙总督大惊，马不及鞍，人不及甲，自带帐下骑马诸军先过浮侨北走。	Tôn Sỹ Nghị sợ mất mật, ngựa không kịp đóng yên, người không kịp mặc giáp, dẫn bọn lính kỵ mã của mình chuồn trước qua cầu phao, rồi nhằm hướng bắc mà chạy.
诸营军闻之，大惊溃走，各争桥以渡，相推坠死甚众。	Quân sĩ các doanh nghe tin, đều hoảng hồn, tan tác bỏ chạy, tranh nhau qua cầu sang sông, xô đẩy nhau rơi xuống mà chết rất nhiều.
顷之桥又断，众军尽落入水中，珥河为之不流。	Lát sau cầu lại bị đứt, quân lính đều rơi xuống nước, đến nỗi nước sông Nhĩ Hà vì thế mà tắc nghẽn không chảy được nữa (có sách chép, đạo quân Vân Qui lúc này mới kéo sang đến Sơn Tây, nghe tin Nghị thua chạy, nên cũng vội vàng tìm đường tháo lui về).
帝在殿中闻变，急与黎亻冏、郑宪等奉太后出。	Vua Lê ở trong điện, nghe tin có việc biến ấy, vội vã cùng bọn Lê Quýnh, Trịnh Hiến đưa thái hậu ra ngoài.
走至河泽，见浮桥已断，船艘亦无，乃急走宜蚕。偶得一渔舟，夺而北渡。	Cả bọn chạy đến bến sông thì thấy cầu phao đã đứt, thuyền bè cũng không, bèn gấp rút chạy đến Nghi Tàm thình lình gặp được chiếc thuyền đánh cá, vội cướp lấy rồi chèo sang bờ bắc.
初六日午中，走至三层山，闻孙总督过去了，而清军之奔还者，涂间如市，日夜兼程，不敢休息。	Trưa ngày mồng 6 vua Lê và những người tuỳ tòng chạy đến núi Tam Tằng, nghe nói Tôn Sỹ Nghị đã đi khỏi đó. Bấy giờ quân Thanh chạy về nước, trên đường đông nghịt như chợ, đêm ngày đi gấp, không dám nghỉ ngơi.
帝奉太后与之偕行，比至和乐屯，遇一土豪，其人于帝蒙尘初，已有暌遇之识；至是见帝，不觉坠泪，因请入山中寨暂歇。	Vua đưa thái hậu cùng đi với họ đến đồn Hoà Lạc thì gặp một người thổ hào. Hồi trước vua Lê chạy ra ngoài, người ấy đã được biết mặt; lúc đó thấy vua, người ấy bất giác lệ rơi, nhân tiện mời vua vào trại trong núi tạm nghỉ. Bấy giờ, vua Lê và những người tuỳ tòng luôn mấy ngày không ăn, ai nấy đều đã mệt lử.
时并日不食，从者皆惫，他杀鸡煮饭以进。	Người thổ hào kia liền giết gà làm cơm thết đãi.
帝上请太后，下与亻冏宪等同食。	Vua sai bưng một mâm lên mời thái hậu; còn mình thì cùng ăn với bọn Quýnh, Hiến ở mâm dưới.
食甫毕，忽闻西兵追蹑已至，帝仓惶谓土豪曰：「万报厚情，无以为报，惟高厚鉴君之诚，而赐之福耳！	Ăn vừa xong, chợt nghe tin quân Tây Sơn đã đuổi theo đến nơi. Vua cuống quít bảo người thổ hào rằng: - Muôn đội hậu tình, không có gì để báo đáp, chỉ có trời cao đất dày chứng dám tấc lòng thành của ông mà ban phúc cho thôi.
今贼兵在迩，目下有何生路可以急走关上，再为图之。」	Bây giờ quân giặc gần tới, trước mắt đây có con đường sống nào có thể chạy gấp lên cửa ải, xin tính kế ngay cho.
土豪亟令其子导之，从山中间路走去，日暮到关。	Người thổ hào vội vã sai con đưa đường, theo lối tắt trong núi mà đi. Trời nhá nhem tối thì nhà vua đến cửa ải, theo kịp chỗ nghỉ của Tôn Sỹ Nghị.
及孙总督行次，诸臣亦各陆续随至，相对叹恨流涕，孙总督亦为惭怍。	Một lát các viên quan khác cũng lục tục theo đến, cùng nhìn nhau than thở, oán giận chảy nước mắt. Tôn Sỹ Nghị cũng lấy làm xấu hổ.
帝因告辞曰：「孤不才，失守社稷，宠蒙奉旨赴援。	Nhân tiện, vua từ giã Sỹ Nghị và nói: - Cô (lối xưng nhún mình của các vua chúa đời xưa) không có tài, chẳng giữ nổi xã tắc.
讵意天心不佑小国，今又弃去。	Đội ơn tướng quân vâng chỉ của hoàng đế sang cứu viện; nào ngờ lòng trời không giúp nước nhỏ, nay ngài lại bỏ mà đi.
伏惟回朝万福，孤愿留国土，收拾民兵，以图再举，遥伏威声，幸克有济，莫非上宪之赐，事之不捷，须从大人所候，请为便。」	Kính chúc tướng quân về triều được hai chữ "vạn phúc", Cô xin ở lại đất nước, thu nhặt dân binh, để tính việc nổi lên chuyến khác. Xa nhờ oai linh, may được nên việc, đều là ơn của tướng quân ban cho. Nếu như sự thế không xong, lại xin sang hầu tướng quân, như thế cho tiện.
毅曰：「阮光中不灭，此役终不休。	Nghị nói: - Nguyễn Quang Trung chưa diệt, việc này còn chưa thôi.
今且奉表题奏请兵，不一月大兵再至。	Nay hãy dâng biểu tâu lên xin quân, không đầy một tháng, đại binh sẽ lại tới.
此地迫近贼党，不便居住，且暂入南宁安歇，以俟天旨可也。」	Chỗ này gần kề đảng giặc, ở lại không tiện, hãy tạm vào Nam Ninh nghỉ ngơi để chờ thánh chỉ cũng được.
帝乃从之。	Vua Lê nghe lời.
于是毅与宾佐将校，收拾溃兵引还。	Nghị bèn cùng bọn tướng tá thu nhặt tàn quân kéo về.
帝亦留亻冏宪等潜回本国，招谕忠义，自与高平导辅迪郡公黄益晓、京北镇守南塘嫩柳黎忻、四城提领山南舒池范如松、副提领南塘清泉阮曰肇、署知公象政南塘义洞黎文张、协理军务南塘琼瑰范陈善、戚畹良才琵琶阮国栋、掌四宝清化同榜黎贵适等，奉太后从毅而北。	Vua lại sai bọn Quýnh, Hiến ở lại để ngầm chiêu dụ những người trung nghĩa ở trong nước. Còn vua thì cùng viên phụ đạo (tên gọi chức tù trưởng ở ngoại phiên) Cao Bằng là Địch quận công Hoàng ích Hiểu, viên trấn thủ Kinh Bắc người làng Nộn Liễu huyện Nam Đường là Lê Hân, viên đề lĩnh bốn thành người huyện Thư Trì, trấn Sơn Nam là Phạm Như Tùng viên phó đề lĩnh người làng Thanh Tuyền, huyện Nam Đường là Nguyễn Viết Triệu, viên thư tri công lượng chính người làng Nghĩa Động, huyện Nam Đường là Lê Văn Trương, viên hiệp lý quân vụ, người làng Quỳnh Côi, huyện Nam Đường là Phạm Trần Thiệu, người bà con bên vợ ở làng Tỳ Bà, huyện Lang Tài là Nguyễn Quốc Đống, viên chưởng tứ bảo người làng Đồng Bảng trấn Thanh Hóa là Lê Quý Thích, cùng đưa thái hậu theo Nghị sang Trung Quốc.
正是：边臣未遂筹边志，国主空怀去国悲。	Thực là: Bờ cõi chưa xong bề tính liệu, Nước non buồn nỗi lúc chia ly.
未知底事如何，且听后回分解。	Chưa biết việc ấy ra sao! Hãy chờ hồi sau phân giải.
