会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
耳何聪兮无瑱衣何散兮无裾。	Tai sao lại nghe thấy mà không có trang sức? Áo khoác sao lại tản mát mà không có tà.
务冥怀于得丧宁勤体乎灾畲。	Chăm lo cho những điều mờ mịt, không bận tâm đến được mất, có phải nên siêng năng trong thân thể trước những tai ương?
将使同方姬、孔抗迹孙、蘧。精骛广漠心游太虚。傲朝曦兮南荣溯夕飙兮北疏。	Sẽ khiến đồng phương cô gái Khổng kháng lại dấu vết của Tôn Cù Tinh bay giữa đồng hoang, lòng du ngoạn hư không Kiêu hãnh ánh bình minh, Nam Vinh ngược dòng chiều gió, Bắc Thư lặng lẽ.
非道之病惟情之舒。	Bệnh không phải đạo chỉ là sự thoải mái của tình cảm.
繇是含颖怀粹和习懿。器ＣＯ沦兮幽忧德芬馨兮周比。	Duy là chứa đựng tinh túy và nuôi dưỡng phẩm hạnh Dụng cụ chìm đắm, nỗi lo âu thầm lặng, đức hạnh tỏa hương, so sánh với vòng tay bao bọc.
井无渫兮泉融珠潜辉兮川媚。	Giếng không cạn, suối hòa ngọc ẩn sáng, dòng sông quyến rũ.
又何必陋雄之尚《玄》笑奕之心醉悲墨之素丝叹展之下位？茍因时之明扬乃斯文之不坠。	Vậy cần gì phải khinh thường sự hùng tráng của người, mà lại say mê trong tâm hồn của những nụ cười huyền bí, than thở trước những sợi tơ trắng của mực đen, dưới ánh sáng của thời gian mà vẫn không để văn chương rơi rụng.
睇烟景兮飘飘心悬旌兮摇摇。	Ngắm khói mây, lòng lơ lửng như cờ bay phất phới.
感朝荣而夕落嗟响蛩而鸣蜩。	Cảm nhận ánh sáng ban ngày mà chiều xuống, than thở tiếng dế kêu và ve sầu.
姑藏器以有待因寄物而长谣。	Cô tàng khí để chờ đợi, gửi gắm vật mà dài dòng thơ.
愿在首而为弁束玄发而未衰。	Nguyện làm mũ đội đầu, buộc tóc đen chưa phai tàn.
会名器之有得与缨珥兮相宜。	Hội danh khí có được và dây đeo tai thật hợp lý.
愿在足而为舄何坎险之罹忧。	Nguyện ở dưới chân mà làm dép, nào có điều gì hiểm nguy mà không phải lo âu.
欲效勤于竖亥思追踵于浮丘。	Muốn nỗ lực như người thợ cần cù, suy tư theo bước chân của những đồi nổi.
愿在服而为袂传缯素而饰躬。	Nguyện mặc áo và làm người truyền thống, trắng tinh và trang sức cho thân.
异化缁之色涅宁拭面而道穷。	Màu sắc khác biệt của tấm vải đen, nhẹ nhàng lau mặt mà đường đi đã cùng tận.
愿在目而为鉴分妍丑于崇朝。	Nguyện ở trước mắt mà làm gương phân biệt đẹp xấu trong triều đình cao quý.
惊青阳之难久庶白首以见招。	Kinh ngạc trước nỗi khó khăn của Thanh Dương, lâu nay chỉ mong thấy được mời gọi khi tóc đã bạc.
愿在地而为簟当暑溽而冰寒。	Nguyện ở dưới đất mà làm chiếu, khi nóng bức thì lạnh như băng.
伊肤革之尚疚胡寤寐以求安？	Da thịt của ta, mặc dù có tội lỗi, vẫn mơ mộng tìm kiếm an bình.
愿在觞而为醴不乱德而溺真。	Mong rằng trong chén rượu, ta có thể biến thành rượu ngọt, không làm rối loạn đức hạnh mà lại chìm đắm trong chân lý.
体虚受之为器革谲性以归淳。	Thể hư nhận lấy làm khí, cách cách tinh để trở về thuần.
愿在握而为剑每辅衽而保裾。	Nguyện nắm giữ mà làm kiếm, mỗi khi trợ giúp thì bảo vệ tà áo.
殊铅銛之效用比硎刃而有馀。	Công dụng của chì đặc còn vượt trội hơn cả lưỡi đá.
愿在橐而为矢美筈羽之斯全。	Nguyện như mũi tên trong bao, đẹp đẽ và hoàn hảo.
畴懋勋而锡晋射穷垒而衄燕。	Tích lũy công lao mà ban thưởng cho nước Tấn, bắn phá những thành trì cùng đường cùng lối của nước Yên.
愿在体而为裘托针缕以成功。	Nguyện trong thân thể mà làm áo da, nhờ những sợi chỉ mà thành công.
非珍华而取饰将被服而有容。	Không phải là quý báu mà chỉ là trang sức, sẽ mặc áo quần mà có dung mạo.
愿在轩而为篁贯岁寒而不改。	Nguyện ở trên xe mà làm trúc, xuyên suốt mùa đông mà không thay đổi.
挺介节以自持廓虚心而有待。	Giữ vững tiết tháo để tự kiềm chế, mở rộng tâm hồn trong sự chờ đợi.
人之愿兮实繁我之心兮若此。	Nguyện vọng của người thật nhiều, tâm tư của ta lại như vậy.
蓄为志兮璞藏发为文兮雾委。	Tích trữ chí khí như ngọc thô, phô bày văn chương như sương mù tan.
既持瑾兮掌瑜复撷兰兮艺芷。	Đã nắm giữ ngọc quý, lại cầm lấy ngọc đẹp, lại hái hoa lan, mà trồng hoa nhài.
始无言兮植杖终俯首兮嗟髀。	Khởi đầu không lời, trồng gậy; cuối cùng cúi đầu, than thở về đùi.
振襟兮自适觌物兮解颐。	Tâm hồn tự tại, gặp gỡ sự vật, khéo léo tươi cười.
云无心兮遐举萝倚干兮丛滋。	Mây vô tâm, xa vời gác lều, bên cạnh rừng cây đâm chồi nảy lộc.
想陵谷之变地况玄黄之易丝。	Nghĩ về biến cố Lăng Cốc, đất trời chuyển biến như tơ mỏng.
人可汰而可锻己不磷而不缁。	Con người có thể được rèn giũa mà không bị ô uế.
茍一鸣而惊人何五鼎而勿饴？已而拥膝清啸倾怀自宽。	Nếu một tiếng vang lên làm người kinh ngạc, thì năm cái đỉnh cũng không cần phải ngọt ngào, đã ôm gối mà thở dài, lòng tự do như gió thổi.
枢桑户荜兮差乐鸠飞梭跃兮胡难。	Cửa sổ tơ tằm, chim cu gáy bay lượn, thật khó khăn.
指夜蟾兮为伍仰疏籁兮邀欢。	Chỉ đêm trăng, cùng bạn bè ngắm nhìn, mời gọi tiếng nhạc du dương.
何孙牧而伊耕？何巢箕而吕磻？涤我虑兮绿绮。	Hà Tôn Mục mà Y Canh, Hà Sào Kì mà Lữ Phàn, Tẩy trừ lo âu của ta, ôi, Lục Khởi.
清我眠兮琅玕。	Trong giấc ngủ thanh bình, ngọc quý lấp lánh.
周旋兮有则徙倚兮可观。	Xoay vần có quy tắc, tựa vào nhau có thể ngắm nhìn.
终卷舒兮自得契休哉于《考盘》。	Cuối cùng, mở ra tựa như đạt được sự hòa hợp, nghỉ ngơi nơi bàn thi.
事暇日多召语且以文为贽昉深所嗟赏。	Việc rảnh rỗi thường gọi mời, và dùng văn chương làm lễ vật, khiến cho sâu thẳm được khen ngợi.
历宜城令。中拜、徙广安军。会渠州妖贼李仙众万人劫掠军界设策禽之。	Lệnh của Lịch Nguyên Thành Trung bái tị Quảng An quân Tại Quảng Châu, bọn yêu quái Lý Tiên cùng hàng vạn người cướp bóc quân đội, lập kế hoạch để bắt giữ.
自馀果、合、渝、涪四州民连结为妖者置不问蜀民遂安。	Ngoài ra, những kẻ liên kết với dân bốn châu Yú, Phù trở thành yêu quái thì không được hỏi đến, dân Thục liền an ổn.
称其能迁、。尝作《隋河辞》谓浚决之病民游观之伤财乃天意之所以亡隋也。	Gọi là có thể di chuyển Đã từng làm bài thơ Sui Hà, nói rằng bệnh tật do nước cạn, dân chúng du ngoạn tổn hao tài sản, đó chính là ý trời khiến nhà Tùy diệt vong.
使隋不兴役费财以害其民则安得有今日之利哉！	Nếu nhà Tùy không gây ra lao dịch, không tiêu tốn tài lực để hại dân thì làm sao có được lợi ích như hôm nay?
尝聚淮水流尸三千为冢瘗之。	Đã từng tụ họp xác chết ba ngàn người bên dòng Hoài để chôn cất.
有戍卒谋乱诛其首恶凡支党之诖误者悉贳之。	Có lính gác mưu phản, trừng phạt kẻ cầm đầu tội ác, tất cả những kẻ sai lầm trong đảng phái đều bị xử lý.
就迁、。加为就改迁。以本官赐金紫。久之出表求谢事不许。	Chuyển đi Thêm vào việc chuyển giao Được ban vàng tím bởi quan chức này Sau một thời gian dài, việc ra ngoài tìm kiếm lời cảm tạ không được phép.
迁复请老召还再寻兼越王府记室参军。	Chuyển phục thỉnh lão triệu hồi, lại tìm kiếm tham quân tại phủ Vương Việt.
直宗即位迁秩司封郎中俄受诏编次三馆秘阁书籍既毕加吏部。	Trực Tông lên ngôi, chuyển chức Tư phong Lang trung, Nga nhận chiếu lệnh biên soạn ba quán bí các sách vở đã xong, thêm vào Lại bộ.
召入翰林为。翌日遣使就第赐器币给全奉诏本府岁时存问章奏听附驿以闻。	Triệu nhập Hàn Lâm Ngày hôm sau, phái sứ giả đến để ban thưởng đồ vật và tiền bạc, theo lệnh của triều đình, để thăm hỏi và báo cáo hàng năm của phủ này, nghe theo lệnh truyền để được biết.
命其子以便侍养许归江陵。	Ra lệnh cho con cái thuận tiện phục vụ và chăm sóc, cho phép trở về Giang Lăng.
旧制致仕官止谢殿门外特延见命坐恩礼甚厚。	Theo chế độ cũ, quan về hưu chỉ được đứng ngoài cửa điện, đặc biệt được triệu kiến, ngồi tiếp đãi với ân nghĩa rất nặng.
令俟秋凉上道遣中使赐宴于玉津园两制三馆皆预仍诏赋诗饯行缙绅荣之。	Ra lệnh chờ đợi đến khi tiết thu mát mẻ, phái sứ giả ban tiệc tại viên Ngọc Tân, hai chế ba quán đều tham dự, lại sắc chỉ sáng tác thơ tiễn biệt, vinh danh các quan lại.
前后所得奉赐以三之一购奇书以讽诵为乐。	Trước sau nhận được ban thưởng, dùng một phần ba để mua sách quý, nhằm thưởng thức và đọc tụng cho vui.
及是闲居自称退叟著《资理论》三卷上之诏以其书付史馆。	Và từ đó, tự xưng là Thoái Tổ, đã biên soạn ba quyển lý luận, giao cho Sử quán.
弟协以纯谨著称仕至、雍王府翊善。	Đệ Hiệp nổi tiếng với sự thuần khiết và cẩn trọng, đã phục vụ đến chức vụ trong phủ Vương Yên.
以书招之协亦告老归。	Dùng thư mời gọi, cũng báo cáo về việc về hưu.
兄弟皆眉寿时人比汉之二疏。	Anh em đều sống thọ, người đời so với Hán thì ít hơn hai người.
署其居曰东、西致政坊。于所居建二亭：曰知止曰幽栖。颇好释氏书。晚岁自为墓志。卒年八十三门人谥曰正裕先生。	Đặt tên cho nơi cư trú là Đông Tây Chí Chính Phường Tại nơi cư trú, xây dựng hai cái đình gọi là Tri Chỉ và U Tư Rất thích sách của Phật giáo Cuối đời tự viết bia mộ Năm mất, thọ tám mươi ba tuổi, môn đồ tôn xưng là Chính Dư tiên sinh.
诏加赙赠录其孙适出身。好学纯厚有清节澹于荣利为洗马十五年不以屑意。	Chiếu ban thưởng tặng ghi chép về cháu trai xuất thân Ham học hỏi, thuần khiết, có tiết tháo, thanh bạch trước vinh hoa lợi lộc, mười lăm năm không để tâm đến điều tầm thường.
居内署非公事不至两府。	Ở trong nhà không đến hai phủ vì việc công.
在王邸时居储宫知其素守故每加褒进然未尝有所私请进退存礼士类多之。	Khi ở trong cung điện của vua, giữ chức vụ trong cung, biết rõ sự giữ gìn của mình, nên mỗi lần được khen thưởng đều gia tăng, nhưng chưa từng có điều gì cầu xin riêng tư, lui tới đều giữ lễ nghĩa, nhiều người thuộc loại này.
有集三十卷。子、并登进士第。字亚之郓州须城人家世为农。	Có tập ba mươi quyển Con đã cùng nhau thi đỗ tiến sĩ Gia tộc họ Từ ở huyện Vân Châu, đời đời làm nông.
邻几少好学能属文尝作《禹别九州赋》凡万馀言人多传诵。	Lân Ký ít học nhưng có khả năng viết, từng sáng tác bài "Vũ Biệt Cửu Châu" dài hơn vạn chữ, người đời thường truyền tụng.
周举进士解褐历许州、宋州从事。	Chu Cử tiến sĩ, giải áo, trải qua Hứa Châu, Tống Châu làm việc.
初召为左赞善大夫、改宗正丞。	Lần đầu được triệu làm Tả Tán Thiện Đại Phu, đổi sang chức Tông Chính Thừa.
郭贽、授告谢日交荐之俄而邻几献颂上览而嘉之迁、数月卒年五十九。	Quách Tể được giao phó việc cáo tạ, ngày giao nộp đã được giới thiệu, không lâu sau đó, hàng xóm gần gũi đã dâng tặng bài ca, ông xem qua và khen ngợi, thăng chức sau vài tháng, cuối cùng qua đời ở tuổi năm mươi chín.
中使护葬。邻几体貌尪弱如不胜衣。	Trung sứ hộ táng Hàng xóm có dáng vẻ yếu đuối như không thể chịu nổi chiếc áo.
为文浩博慕徐、庾及王、杨、卢、骆之体每构思必敛衣任危坐成千言始下笔。	Vì văn hào rộng rãi, ngưỡng mộ thân phận của Xu, Dự, cùng với Vương, Dương, Lô, Lạc; mỗi khi suy tư, nhất định phải thu lại áo, ngồi ngay thẳng, hàng ngàn câu chữ mới bắt đầu viết.
属对精切致意缜密时辈咸推服之。	Thuộc về sự tinh tế, chân thành, thời đại này đều tán thưởng.
及掌诰命颇繁富冗长不达体要无称职之誉。	Và việc nắm giữ các sắc lệnh thì quá phức tạp, phong phú, dài dòng mà không đạt được ý nghĩa cốt lõi, không xứng đáng với danh tiếng.
常欲追补唐武宗以来实录孜孜访求遗事殆废寝食会疾革唯以书未成为恨。	Luôn khao khát bổ sung những ghi chép từ thời Đường Vũ Tông, miệt mài tìm kiếm những di sản đã gần như bị lãng quên, đến nỗi không thể ăn ngủ, chỉ vì chưa hoàn thành được bản thảo mà cảm thấy hối tiếc.
至中因言及邻几追补《唐实录》事邻几一子东之以荫补郎山主簿部送军粮诣北边没焉其家属寄居睢阳。	Đến giữa triều, vì nói đến hàng xóm, đã bổ sung sự kiện trong biên niên sử của Đường, có một người con của hàng xóm được cử đi theo đường lối của Thái Tổ, bổ nhiệm làm quan thư ký ở núi Lãng, phụ trách việc vận chuyển lương thực quân đội đến biên giới phía Bắc, gia đình của ông ta phải tạm trú tại Tùy Dương.
遣钱熙往取其书得邻几所补《会昌以来日历》二十六卷及文集三十四卷所著《》一卷、《六帝年略》一卷、《史氏懋官志》五卷并他书五十馀卷来上皆涂窜之笔也。	Gửi Tiền Hi đi lấy sách, thu được hai mươi sáu quyển lịch từ thời Hội Xương và ba mươi bốn quyển văn tập, một quyển về năm triều đại, một quyển về ghi chép của gia tộc Thị, năm quyển cùng với hơn năm mươi quyển sách khác, tất cả đều bị bôi xóa.
诏赐其家钱十万。	Sắc ban cho gia đình họ mười vạn tiền.
时又有者晋天福末擢进士第有清才好为歌诗而嗜酒狂逸。	Thời đó có người, cuối triều Tấn, đỗ tiến sĩ, có tài năng thanh khiết, thích làm thơ ca và say mê rượu chè, sống phóng túng.
初为中都主簿桑维翰镇兖州知其直率不责以吏事。	Lúc đầu làm chủ bộc ở Trung Đô, Tăng Vi Hàn trấn giữ Dương Châu, biết tính thẳng thắn không trách móc về việc của quan lại.
累官至、出为盩啡、咸阳二县令醉则露首跨牛趋府府尹以其名士而容之然为治清而不烦民颇安焉。	Tích lũy chức vụ đến mức ra làm huyện trưởng ở hai huyện Châu Phi và Hàm Dương, say rượu thì để đầu trần cưỡi bò đi vào phủ, phủ doãn vì những nhân sĩ mà tiếp đãi, nhưng vẫn quản lý đất nước trong sạch mà không làm phiền dân, khiến dân chúng khá yên ổn.
每览牒诉必戏判以喻曲直诉者多心伏引去。	Đọc thư kiện, chắc chắn sẽ phán xét bằng cách ví dụ cho rõ ràng, những người kiện tụng thường bị tâm tư che khuất.
往往召豪吏接坐引满吏因醉挟私白事悟之笑曰：「此见罔也当受杖」。	Thường triệu tập các quan lại hùng mạnh, ngồi tiếp đãi những kẻ đầy tớ say rượu, vì tư lợi mà làm chuyện trắng trợn, hiểu ra điều đó, cười mà nói: 'Đây là sự lừa dối, đáng phải chịu phạt'.
杖讫复召与饮。其无检多类此。自泾阳令入为后历累知忠、万、商三州中卒。	Gậy đã hạ, lại triệu tập cùng nhau uống rượu Nó không kiểm soát nhiều loại như vậy Từ lệnh Tĩnh Dương, vào làm sau, trải qua nhiều lần biết đến trung thành, vạn thương ba châu, cuối cùng qua đời.
字孟隆不知何许人。	Người mang họ Mạnh, không biết xuất thân từ đâu.
少游京、洛间佻薄无检操。	Thiếu niên lang thang giữa Kinh và Lạc, phong lưu phóng đãng không biết giữ gìn.
闻襄州双泉寺僧能为黄金往依焉遂削发为侍者。	Nghe rằng sư thầy ở chùa Song Tuyền, tỉnh Tương Châu, có thể vì vàng mà đi theo, nên đã cạo đầu làm người hầu.
久之知其诳耀乃反初服。	Lâu dần biết rằng sự lừa dối chỉ là vẻ bề ngoài ban đầu.
举进士时举子多尚诗赋惟起有文七轴歌诗尤清丽。	Khi thi cử, những người dự thi thường ưa chuộng thơ phú, chỉ có những người có văn chương mới được vinh danh, bài hát và thơ ca đặc biệt thanh nhã.
周广顺初调补秩满以书乾范质荐为右拾遗、。恭帝初迁。	Vào thời kỳ đầu của triều đại Chu, Quảng Thuận được bổ nhiệm, sau khi mãn nhiệm, đã viết thư tiến cử Qian Fan Chất làm Thập Diên bên phải.
初出掌泗州市征。张延范官吏呼以「太保」。起贫常乘骡。一日从延范出近郊送客延范揖起曰：「请策马令进」。	Cung Đế khởi đầu di chuyển Lần đầu ra quân chinh phục thành Sở Trương Diên Phạm, quan lại được gọi là Thái Bảo Khi nghèo thường cưỡi lừa Một ngày từ Diên Phạm ra ngoại ô tiễn khách, Diên Phạm chắp tay nói: "Xin mời cưỡi ngựa tiến lên."
起曰：「此骡也不当过呼耳」。	Khởi nói rằng đây là con la, không nên gọi quá lên.
以讥延范延范深衔之密奏起嗜酒废职。	Để chỉ trích, Yên Phạm đã sâu sắc nắm giữ bí mật, khởi xướng việc yêu thích rượu khiến cho chức vụ bị bỏ bê.
初末起见握禁兵有人望乃上书范质极言其事。	Vào lúc ban đầu, khi quân lính bị cấm có người nhìn thấy, bèn dâng sớ lên Vạn Chất, cực lực trình bày sự việc.
又尝遇于路横绝前导而过亦弗之怒。	Cũng đã từng gặp phải, trên đường ngang, chắn lối dẫn đường mà đi qua, cũng không tức giận.
及延范奏至出为河西令。	Và Yên Phạm dâng biểu đến, được bổ nhiệm làm Lệnh ở Hà Tây.
会蜀平当徙远官起不欲往乃炙烙其足因是成疾而卒。	Hội Thục bình thường sẽ dời xa, quan lại không muốn đi, liền nướng chân mình, do đó mà mắc bệnh và qua đời.
起负才倨傲多所诋讦数为群小窘辱终亦不改。	Khởi đầu kiêu ngạo, thường bị châm biếm, số phận bị nhóm nhỏ nhục mạ, cuối cùng cũng không thay đổi.
时有者好为古文狭中诡僻。	Thời có kẻ thích viết văn cổ một cách hẹp hòi và quái dị.
周显德中登进士第耻赴常选献书于赵普自比巢、由朝议恶其矫激故久不调。	Trong thời kỳ Triều đại Chu, dưới triều đại Hiển Đức, việc đỗ tiến sĩ trở thành nỗi nhục khi không dám đến thường tuyển dâng sách cho Triệu Phổ, tự so sánh mình với Châu Du. Do nghị luận trong triều ghét bỏ sự giả dối và kích động của ông, nên lâu không được điều chỉnh.
后复伺普望尘自陈普笑谓人曰：「今日甚荣得巢、由拜于马首」。	Sau đó, lại chờ đợi, nhìn theo bụi mù, tự mình thưa bày. Phổ cười và nói với mọi người rằng: "Hôm nay thật vinh quang, được cúi đầu bái kiến nơi đầu ngựa."
开宝末普出镇河阳昱诣上书极言谤普居正奏之诏署襄州观察推官。	Vào cuối triều đại Khai Bảo, Phổ Xuất Trấn Hà Dương Ức đã đến triều đình, thỉnh cầu thượng thư, hết sức nói về việc phỉ báng Phổ Cư Chính, khải tấu về việc bổ nhiệm quan giám sát ở Tương Châu.
潘美镇襄阳讨金陵以昱随军。	Pan Mỹ Trấn, Tương Dương, xuất quân đánh Kinh Đô theo sự chỉ huy của Duy.
昱中夜被酒号叫军中皆惊翌日美遣还。	Giữa đêm, say rượu kêu gọi, quân lính đều hoảng hốt; hôm sau, Mĩ sai người trở về.
岁馀坐盗用官钱除名因居襄阳游索樊、邓间雍熙中卒。	Năm tháng trôi qua, ngồi trộm dùng tiền quan, bị xóa tên vì sống ở Tương Dương, lang thang giữa Phàn Đặng, cuối đời vào thời Ung Hy.
又有者薄有文艺多服道士衣自称「先生」。	Lại có người mặc áo đạo sĩ, tự xưng là thầy, văn chương phong phú.
开宝初效元结《中兴颂》作《勃兴颂》以述下荆、湖之功欲刊石于永州结《颂》之侧县令恶其夸诞不以闻。	Mở đầu thời kỳ Khai Bảo, theo phong cách của Nguyên Kết, bài thơ Trung Hưng được sáng tác để tôn vinh công lao của vùng Giang Hồ. Muốn khắc lên đá ở Vĩnh Châu, nhưng quan huyện ghét sự phô trương, không cho công bố.
太平兴国初登第授坐事除名羁旅积年。	Thái Bình Hưng Quốc, khởi đầu lên ngôi, ban chức vụ, trừ tên gọi, lưu lạc nhiều năm.
淳化中以诗乾同年牛景景因奏上览而嘉之复授未几卒。	Vào thời Chân Hóa, vì thơ của Qian Đồng năm Bính Ngọ, Niu Cảnh Cảnh đã dâng lên và được khen ngợi, sau đó được bổ nhiệm lại, không lâu sau thì qua đời.
又有颖贽、、善为文章张翼、谭用之善为诗张之翰善笺启。贽拔萃登科至。为、奉诏撰《孟昶纪事》。	Còn có Ngọc Tử, giỏi về văn chương, Trương Dực, giỏi về thơ, Trương Chi Hàn, giỏi về thư từ.
多藏书尝缵长安碑文为《遗风集》二十卷。馀皆官不达。字晦仁开封浚仪人。父晋、、。生之年适会入翰林、加金紫、知贡举喜曰：「我平生美事三者并集此子宜于我也」。	Tặng Bạt Thúy Đăng Khoa Đến Để thực hiện lệnh, biên soạn sự tích của Mạnh Xương Nhiều sách vở thường biên soạn văn bia Trường An thành tập di sản hai mươi quyển Còn lại đều là quan không đạt Tự Hối Nhân Khai Phong Tuấn Nghĩa Nhân Cha Tấn Trong năm sinh, đúng lúc vào Hàn Lâm, thêm vàng tím, biết được công cử, vui mừng nói rằng: "Trong đời ta, ba điều tốt đẹp đều tụ hội, đứa trẻ này chắc chắn sẽ tốt cho ta."
因名之曰三美。七岁以门荫为左千牛备身迁。	Vì vậy được gọi là Tam Mỹ Bảy tuổi được hưởng ân huệ, làm chức Tả Thiên Ngưu, chuẩn bị cho thân phận chuyển giao.
汉乾佑初加朝散阶。十六登朝为。丁父忧服阕拜。初授从祀南郊赞导乘舆进退闲雅。	Triều đại Hán, vào đầu niên hiệu Kiến Dương, được phong tặng chức vị Tán Đồ Mười sáu lần lên triều Đình phụ ưu phục khuyết bái Lần đầu tiên được giao phó việc tế lễ tại Nam Giao, dẫn dắt xe ngựa tiến lùi một cách thanh nhã.
谓近侍曰：「此谁氏之子熟于赞相？」左右即以门阀对。	Người hầu cận nói: "Đây là con của nhà ai, quen thuộc với việc khen ngợi và giúp đỡ, liền lấy cửa ngõ và dòng dõi để đối đáp."
有事于南郊。至有司复请祀昊天上帝诏议其礼以祭义戒于烦数请罢之。	Có việc ở Nam Giang Đến khi các quan lại lại xin thờ cúng Thiên Đế, sắc chỉ bàn luận về lễ nghi để tế tự, khuyên nên từ bỏ những yêu cầu phiền phức.
议孝明、孝惠二后神主祔于别庙以旧礼有二后同庙之文无各殿异室之说今二后同祔别庙亦宜共殿别室。	Thảo luận về việc thờ cúng hai hoàng hậu Hiếu Minh và Hiếu Huệ tại một miếu riêng theo nghi lễ cổ xưa. Có văn bản ghi lại việc hai hoàng hậu cùng thờ trong một miếu, không có khái niệm về việc khác phòng khác điện. Nay hai hoàng hậu cùng thờ tại miếu riêng cũng nên chung điện mà khác phòng.
孝明皇后尝母仪天下宜居上室。	Hiếu Minh Hoàng Hậu từng mẫu nghi thiên hạ, thích hợp ở trên phòng.
孝惠皇后止以追尊当居次室。	Hiếu Huệ Hoàng Hậu chỉ nên được tôn kính như một vị trí thứ hai.
从之。初克夔州以内衣库使权。代还戊戌腊有司以辛卯蜡百神献议正之。	Theo đó Lần đầu tiên chiếm được Khuê Châu, trong kho áo nội Thay thế cho việc hoàn lại, vào năm Mậu Tuất, các quan chức dâng lên lễ vật vào ngày Tân Mão để cúng tế các vị thần.
南郊建议望燎位置爟火。又尝言：「依旧典宗庙殿庭设宫县三十六架加鼓吹熊罴十二案朝会登歌用五瑞郊庙奠献用四瑞回仗至楼前奏《采茨》之曲御楼奏《隆安》之曲各用乐章」。	Nam Giao đề nghị vọng thiêu vị trí đèn lửa Lại từng nói rằng, theo như quy chế cũ, trong điện thờ tổ tiên, thiết lập ba mươi sáu bộ trống nhạc, mười hai bàn lễ cho các buổi triều hội, khi lên hát dùng năm loại nhạc phẩm, trong các lễ tế tại ngoại ô, dâng hiến dùng bốn loại nhạc phẩm, khi đến trước lầu, trình diễn điệu nhạc 'Thái Chi' trên lầu, trình diễn điệu nhạc 'Long An', mỗi điệu đều dùng các bản nhạc.
复举唐故事宗庙祭科处别设珍膳用申孝享之意。	Phục cử tục lệ thờ cúng tổ tiên triều Đường, riêng bày biện món ăn quý để thể hiện lòng hiếu thảo.
又谓「《八佾》之舞以象文德武功请用《玄德升闻》、《天下大定》二舞」。	Lại nói về điệu múa Bát Nhạc, biểu tượng cho văn đức và võ công, xin dùng Đạo Huyền để nâng cao danh tiếng khắp thiên hạ, hai điệu múa lớn.
并从其议。事具《礼》、《乐志》。先是王朴、窦俨洞晓音乐前代不协律吕者多所考正。	Cùng từ đó mà bàn luận Sự việc đầy đủ lễ nhạc chí Trước đây, Vương Phác và Đậu Diễn đã thấu hiểu âm nhạc, những thế hệ trước không hòa hợp với luật lệ âm thanh thường được khảo cứu và chỉnh sửa.
朴、俨既没未有继其职者。	Phác Diễn đã qua đời, chưa có ai kế nhiệm chức vụ của ông.
会以雅乐声高诏讲求其理以均节之自是八音和畅上甚嘉之。	Hội tụ âm thanh thanh nhã, cao giọng giảng giải lý lẽ, nhằm điều hòa tiết tấu, tựa như tám âm hòa thuận, trên hết là điều tốt đẹp.
语具《律志》。乐器中有叉手笛者上意欲增入雅乐即令乐工调品以谐律吕其执持之状如拱揖然请目曰「拱辰管」诏备于乐府。	Ngữ cụ luật chí Trong các nhạc cụ có cây sáo chéo, ý muốn gia tăng nhạc điệu thanh nhã, liền sai nhạc công điều chỉnh âm sắc cho hòa hợp với điệu luật, tư thế cầm giữ như lễ chào, xin được gọi là ống nhạc Cung Thần, đã được chuẩn bị tại Nhạc phủ.
初迁、权判吏部南曹历夔、晋二州通判。	Lần đầu chuyển giao quyền phán xử bộ Lại, Nam Tào, lịch sử Quý và Tấn hai tỉnh đồng phán.
江南平受诏采访。即位迁。知兖州改。性苛刻鄙吝好殖财复轻侮人尝以官船载私货贩易规利。	Giang Nam bình nhận chiếu phỏng vấn Đăng vị di chuyển Biết về sự thay đổi của Dương Châu Tính cách khắc nghiệt, ti tiện, ưa tích trữ tài sản, lại khinh thường người khác; thường dùng thuyền quan chở hàng tư để buôn bán, kiếm lợi.
初为判官郑同度论奏既而彰信军节度刘遇亦上言按得实坐削籍配隶汝州。	Lúc đầu làm quan phán, Trịnh Đồng Độ luận tấu, sau đó Tướng quân Trương Tín cũng tâu rằng theo thực tế mà xét, đã bị tước bỏ chức vụ và bị đày đến huyện Nhữ.
起为复阶勋章服。初上躬耕籍田奉留司贺表至阙下因以其所著《奉常集》五卷、《》二十卷、《注释武成王庙赞》五卷奏御上甚嘉之复授主客郎中兼礼仪院事。	Khởi tạo phục sức huy chương phục hồi Lần đầu tiên lên cày ruộng, dâng biểu chúc mừng đến triều đình, do đó, theo tác phẩm của mình, dâng bộ "Tập Vĩnh Thường" gồm năm quyển, hai mươi quyển chú thích về "Vũ Thành Vương miếu tán" năm quyển, được Hoàng thượng rất khen ngợi, lại được bổ nhiệm làm Lang trung chủ khách kiêm việc lễ nghi viện.
是秋得暴疾卒年五十六。弟。	Vào mùa thu, mắc bệnh nặng, qua đời ở tuổi năm mươi sáu.
字显仁第四子也。	Đệ Chữ Hiển Nhân là con thứ tư.
生五六岁教之诵古诗赋一历辄不忘。	Khi sinh ra năm sáu tuổi, dạy cho họ thuộc những bài thơ cổ, một lần là không quên.
