供佛天臺香。	CUNG TIẾN DỰNG CÂY HƯƠNG.
善乎我邑范氏超二行已，素敦節儉，与人未常屯膏，既出家財古錢伍拾貫，以資本社公用，惑夫修理廟亭，恭薦古錢拾貫，本社記其功德刻石樹碑。	Khéo thay ấp ta có bà Nguyễn Thị Siêu là con gái thứ, vốn người cần cù tiết kiệm, chưa từng lớn tiếng với mọi người. Bà bỏ số tiền là 50 quan, để giúp bản xã giải quyết việc chung và tu sửa đình miếu và cung tiến thêm 10 quan tiền cổ. Bản xã ghi lại công đức, khắc đá dựng bia.
再許古錢拾貫並肥田壹高以，為忌田。	Bà lại công đức 10 quan tiền cổ và 1 sào ruộng tốt làm ruộng giỗ.
因詳記其事以，傳後世_。	Nhân đó ghi lại sự việc để truyền mãi đến đời sau.
銘云好辰風水挺，出令人善。	Bài minh rằng: Đẹp thay phong thủy, Sinh ra người lành.
積於己思，及于民_。	Tích thiện cho mình, Ơn ban dân chúng.
名藏碑_，記还久石鄰。	Khắc vào bia đá, Còn mãi lâu dài.
南策府，先明縣，舊堆社鄉老阮廷寺，范仲堪，阮付惟仕，阮春眷，阮德曉，阮得旦，范玉琢，阮登_，阮廷廷，阮仲_，裴世學，范玉枝，范玉閱，阮德就，裴世時，裴登書，阮德治，阮德棟，阮伯進，阮伯皓，范玉冕，阮德表，阮伯勤，裴仲程，阮德邁，阮廷次，范玉興，蘭，黄公不，阮德寶，阮德，元阮德，西阮廷，術阮德，立，桐阮德，詳阮，密阮廷，著阮德，在阮伯，穩范玉，價，黃_裴，_格阮，有量阮，伯樊阮德重仝社上。	Các hương lão xã Cựu Đôi, huyện Tiên Minh, phủ Nam Sách gồm: Nguyễn Đình Tự, Phạm Trọng Kham, Nguyễn Phó Duy Sĩ, Nguyễn Xuân Quyến, Nguyễn Đức Hiểu, Nguyễn Đắc Đán, Phạm Ngọc Trác, Nguyễn Đăng Bàng, Nguyễn Đình Đình, Nguyễn Trọng Vị, Bùi Thế Học, Phạm Ngọc Chi, Phạm Ngọc Duyệt, Nguyễn Đức Tựu, Bùi Thế Thời, Bùi Đăng Thư, Nguyễn Đức Trị, Nguyễn Đức Đống, Nguyễn Bá Tiến, Nguyễn Bá Hạo, Phạm Ngọc Miện, Nguyễn Đức Biểu, Nguyễn Bá Cần, Bùi Trọng Trình, Nguyễn Đức Mại, Nguyễn Đình Thứ, Phạm Ngọc Hưng, Lan, Hoàng Công Bất, Nguyễn Đức Bảo, Nguyễn Đức, Nguyễn Đức Tây, Nguyễn Đình Thuật, Nguyễn Đức Lập, Đồng, Nguyễn Đức Tường, Nguyễn Mật, Nguyễn Đình Trứ, Nguyễn Đức Tại, Nguyễn Bá Ổn, Phạm Ngọc Giá, Hoàng, Bùi Viết Cách, Nguyễn Hữu Lượng, Nguyễn Bá Phàn, Nguyễn Đức Trọng cùng mọi người trên dưới trong xã.
因為公役，茲本社擇得社內婦人范氏超，良家熟德，頗有私資，本社消用。	Vì việc công dịch của bản xã, nay chọn được người phụ nữ của bản xã là bà Phạm Thị Siêu, là con nhà lành đức tốt, đã cúng tiền riêng cho bản xã chi tiêu.
因此本社協保為后神。	Thế nên bản xã cùng nhau bầu làm Hậu Thần.
係遞年上田，卞炊壹盘，猪壹胙。	Hàng năm đến ngày Thượng điền, lễ sắm 1 môm xôi, một tảng thịt.
若有入席唱歌，本社整齊衣帽，迎接行禮如儀。	Nếu có Nhập tịch ca hát, bản xã sửa áo mũ chỉnh tề nghênh đón đúng như nghi thức.
遞年諱日猪壹隻，炊肆盘，芙留俵守祀。	Hàng năm vào ngày giỗ lễ sắm 1 đùi lợn 4 mâm xôi, cùng trầu cau có biếu người thủ tự.
若何人廢欠，及怪慢者，本社罰錢貳陌，以重事体。	Nếu người nào phế bỏ thiếu khuyết, và khinh nhờn, bản xã phạt 2 mạch tiền để biểu thị sự tôn trọng.
茲保。	Nay bầu.
後佛碑記。	BIA GHI HẬU PHẬT.
南策府，先明縣，富雞社官員鄉上下等為保置後佛事。	Quan viên trên dưới xã Phú Kê, huyện Tiên Minh, phủ Nam Sách cùng nhau bầu Hậu Phật.
嘗聞佛法感應自然，國是祈民是禱，鍾閣舉懸諭義少者懷，老者安。	Thường nghe: Phật pháp cảm ứng tự nhiên, nước cầu dân đảo, chuông có gác treo, trẻ mong mỏi, già an tâm.
原本社開創前時，又經淹滯，民遭時平太，稔登閣未暇，崇脩廢。	Vốn xã ta khai sáng từ thời trước, nhưng vẫn còn trì trệ. Dân gặp thời thái bình, nhưng chưa có lúc nào nhàn nghĩ đến việc trùng tu gác chuông đã đổ nát.
茲始保後佛阮氏朵，號妙冷，寄與仁夫黄貴公，字福廣使錢七十貫，買取鐵林四柱，再造鍾閣。	Nay bầu Hậu Phật là Nguyễn Thị Đóa, hiệu Diệu Lãnh, gửi giỗ cho chồng là ông họ Hoàng, tự Phúc Quảng 70 quan tiền, dùng để mua 4 cột gỗ lim, xây dựng lại gác chuông.
_修完好，功成貽來，經緻鐫姓名，嵯峨碑立，寓佛祿後，享大長使百世不遷，俾萬代如見，論其德豈可量歟。	Công việc đã hoàn thành, ghi lại công lao cặn kẽ, khắc họ tên vào chuông, bia đá cao ngất, nương nhờ lộc Phật, hưởng đến ngàn năm không đổi, khiến vạn đời vẫn như còn nhìn thấy công đức ấy có thể đo đếm được chăng.
是永為法垂云耳。	Lấy đó làm phép tắc truyền lại mãi.
正和拾五年桂月轂日。	Ngày tốt tháng 8 niên hiệu Chính Hòa 15 (1694).
國子監監生杜曰明撰。	Quốc tử giám Giám sinh Đỗ Viết Minh soạn văn bia.
南策府，先明縣，富雞社官員監生杜曰明，原校生為__阮公奉，校生杜必先，杜鏞，杜曰貴，杜柱，杜必祿，杜汪，鄉長阮公廷，范王埕，杜曰脩，黄勘，黄攻效，黄務非，杜有眾，武佐雄，武信，阮德科，阮公平，阮德來，杜曰謝，阮曰，_阮德，能阮公，立杜曰，康阮公，侵阮敬，鎮杜曰，林杜惟，林武，賦阮敬，凍阮公，面阮仁，恕陳仁，賜杜曰，重武佐，明阮必，祿武佐，是阮登，尺阮石，置阮公，怡阮文，于阮德，良武佐，别阮惟，甫杜如，珍阮智，代武文，伴阮公，賑黄，擢黄文，半黄攻，哲阮子，奉，阮_阮，公感杜，有逢阮，仁育陳，仁協武，益衛阮，登越武，文影，阮公_，阮公顯，阮公舉，阮公鄰，武公排，武公必，阮公弼，杜必，淵武富，阮公臺阮登造全社。	Các quan viên xã Phú Kê, huyện Tiên Minh, phủ Nam Sách gồm: Đỗ Viết Minh, nguyên Hiệu sinh Nguyễn Công Phụng, Hiệu sinh Đỗ Tất Tiên, Đỗ Dung, Đỗ Viết Quý, Đỗ Trụ, Đỗ Tất Lộc, Đỗ Uông, Hương trưởng Nguyễn Công Đình, Phạm Vương Trình, Đỗ Viết Tu, Hoàng Khám, Hoàng Công Hiệu, Hoàng Vụ Phi, Đỗ Hữu Chúng, Vũ Tá Hùng, Vũ Tín, Nguyễn Đức Khoa, Nguyễn Công Bình, Nguyễn Đức Lai, Đỗ Viết Tạ, Nguyễn Viết, Nguyễn Đức Năng, Nguyễn Công Lập, Đỗ Viết Khang, Nguyễn Công Sâm, Nguyễn Kính Trấn, Đỗ Viết Lâm, Đỗ Duy Lâm, Vũ Phú, Nguyễn Kính Đống, Nguyễn Công Diện, Nguyễn Nhân Thứ, Trần Nhân Tứ, Đỗ Viết Trọng, Vũ Tá Minh, Nguyễn Tất Lộc, Vũ Tá Thị, Nguyễn Đăng Xích, Nguyễn Thạch Trí, Nguyễn Công Di, Nguyễn Văn Vu, Nguyễn Đức Lương, Vũ Tá Biệt, Nguyễn Duy Phụ, Đỗ Như Trân, Nguyễn Trí Đại, Vũ Văn Bạn, Nguyễn Công Chẩn, Hoàng Trạch, Hoàng Văn Bán, Hoàng Công Triết, Nguyễn Tử Phụng, Nguyễn, Nguyễn Công Cảm, Đỗ Hữu Phùng, Nguyễn Nhân Dục, Trần Nhân Hiệp, Vũ Ích Vệ, Nguyễn Đăng Việt, Vũ Văn Ảnh, Nguyễn Công, Nguyễn Công Hiển, Nguyễn Công Phụng, Nguyễn Công Lân, Vũ Công Bài, Vũ Công Tất, Nguyễn Công Bật, Đỗ Tất Uyên, Vũ Phú, Nguyễn Công Đài, Nguyễn Đăng Tạo cùng mọi người trong xã.
天運甲戌年孟，冬節穀，日。	Ngày tốt tháng mạnh đông (tháng 10) năm Giáp Tuất.
原生徒為社官阮公奉寫。本社工人局阮公敦刊。	Nguyên Sinh đồ Xã quan Nguyễn Công Phụng viết văn bia. Thợ của bản xã là Nguyễn Công Đôn khắc chữ.
後神碑記。	BIA GHI BẦU HẬU THẦN.
南策府，先明縣，富雞社四番四甲官員鄉色上下巨小等，為保置後佛事，後神記事_。	Bia về việc các hương sắc trên dưới lớn nhỏ thuộc 4 phiên, 4 giáp xã Phú Kê, huyện Tiên Minh, phủ Nam Sách cùng nhau bầu Hậu Thần và Hậu Phật.
嘗聞佛者主善為師，尚書有訓神者乃陽之精，造化之迹，欲成砥柱者，可不紬繹乎。	Thường nghe: Phật lấy việc thiện làm đầu, sách Thượng thư có nói thần là tinh túy của khí dương, là dấu tích của tạo hóa, muốn trở thành trụ cột, thì có thể không hiểu điều đó hay sao?
原本社再重修上殿，燒香各座未有壓階捲。	Bản xã cho tu sửa lại tòa Thượng điện, Thiêu hương, lát bậc thềm.
茲有本社人善君子阮有智字，福德妻，阮氏庸號，妙厚。興功構作不惜家財，乃發_貲家使錢壹百貫，用為壓階。	Nay có bậc quân tử thiện nhân người bản xã là ông Nguyễn Hữu Trí, tự là Phúc Đức, vợ là Nguyễn Thị Dung, hiệu Diệu Hậu, hưng công cấu tác không tiếc tiền của, công đức 100 quan tiền sử để cho bản xã chi dùng.
功成完好，再見廟祠，卑小大用興功買得鐵林，使錢壹百五拾貫。	Công việc đã hoàn thành, nhìn lại miếu đền, là do công sức của mọi người cùng nhau hưng công mua gỗ lim với giá 115 quan tiền sử.
構作廟宇，又用壓階使錢貳拾貫，各共寺朝等錢使錢_貳百柒拾貫，寺廟完好兩圓成。	Xây dựng miếu đình, rồi lại bỏ ra 20 quan để lát bậc thềm, cộng tất cả gồm 270 quan tiền sử, đền miếu đã xây xong, mọi việc đã thành.
其本社上下等推尊阮有智字福德為後佛，至十一月十五日忌妻阮氏庸號妙厚為後神。	Nay mọi người lớn nhỏ trong xã bầu ông Nguyễn Hữu Trí tự Phúc Đức là Hậu Phật, giỗ ngày 15 tháng 11, bầu bà Nguyễn Thị Dung hiệu Diệu Hậu làm Hậu Thần.
於萬古而有光貽後來同，其惠其。	Gương ông bà đến muôn thuở vẫn sáng ngời, để lại ân huệ cho con cháu đời sau.
本社有端言曰存生時每常敬俵以表其心至，升遐諱，忌無忘以，恩其義。	Bản xã có lời cam đoan, nếu khi bà còn sống, mỗi khi bản xã làm lễ thì kính biếu để tỏ rõ ân tình, đến khi bà mất, vào ngày giỗ kị không được quên, để biểu thị điều nghĩa.
因此立嵯峨之碑，圖形容之像，使百世不遷俾，萬代如見，以為法安云耳。	Nhân đó dựng bia cao vời vợi, tạc tượng ông bà, khiến trăm đời không đổi, vạn đời như vẫn thấy, để mãi làm phép thường vậy.
正和萬萬歲任平格韶光節穀日。	Ngày tốt tháng mùa xuân niên hiệu Chính Hòa.
國子監監生杜曰明撰書。	Quốc tử giám Giám sinh Đỗ Viết Minh soạn văn bia.
本府校生為社官阮公奉寫。本社匠人阮良有刊。	Bản phủ Hiệu sinh là Xã quan Nguyễn Công Phụng viết chữ. Thợ đá của bản xã là Nguyễn Lương Hữu khắc chữ.
___，___，_____________。	Quan viên trên dưới lớn nhỏ thuộc xã Phú Kê, huyện Tiên Minh, phủ Nam Sách cùng nhau bầu Hậu Thần.
無題。	VÔ ĐỀ.
南策府，先明縣，富雞社官員，鄉色杜必賴，阮敬勇，武信楊，武成好，阮必達，阮公奉，杜必年，杜有朝，阮春力，武富石，阮時該，阮石祿，阮金盎，阮智賢，阮有智，阮仲正，黄汝核，杜如張，武佐成並十八阮公小，阮仁逐，阮公軫，武益於，陳仁協，阮登越，杜必氳，杜有周，黃鍾，阮良鄰，阮馬，武益衛，武公排，阮公謹，阮石讀，阮智浪，武廣排及全社上下巨小等為保置後佛，立碑長大序記。	Quan viên, hương sắc xã Phú Kê, huyện Tiên Minh, phủ Nam Sách là Đỗ Tất Lại, Nguyễn Kính Dũng, Vũ Tín Dương, Vũ Thành Hảo, Nguyễn Tất Đạt, Nguyễn Công Phụng, Đỗ Tất Niên, Đỗ Hữu Triều, Nguyễn Xuân Lực, Vũ Phú Thạch, Nguyễn Thời Cai, Nguyễn Thạch Lộc, Nguyễn Kim Áng, Nguyễn Trí Hiền, Nguyễn Hữu Trí, Nguyễn Trọng Chính, Hoàng Nhữ Hạch, Đỗ Như Trương, Vũ Tá Thành và những người 18 tuổi là Nguyễn Công Tiểu, Nguyễn Nhân Toại, Nguyễn Công Trẩn, Vũ Ích Ư, Trần Nhân Hiệp, Nguyễn Đăng Việt, Đỗ Tất Uân, Đỗ Hữu Chu, Hoàng Chung, Nguyễn Lương Lân, Nguyễn Mã, Vũ Ích Vệ, Vũ Công Bài, Nguyễn Công Cẩn, Nguyễn Thạch Độc, Nguyễn Trí Lãng, Vũ Quảng Bài cùng mọi người trên dưới lớn nhỏ trong xã bầu Hậu Phật, dựng bia ghi bài ký.
嘗聞天之有北斗猶君之有尚書，國之有謀臣猶家之有兄長，此自上而達下，亦古往而來今。原本社古跡名藍有崇恩寺大，經頹弊祈，難應禱難靈。	Thường nghe: Trên trời có sao Bắc Đẩu, cũng như người quân tử có sách Thượng thư; nước có mưu thần cũng như nhà có bậc huynh trưởng, như thế là từ trên xuống dưới, cũng như cái cũ đã qua cái mới lại đến, vốn bản xã có chùa Sùng Ân là chốn cổ tích danh lam, đã bị hư hại nặng, vì thế c khó ứng đảo khó linh.
茲再葺脩得完功得賴，事成閏好錢報推賢談經而嚮道德懷念德信姜以惇仁心發，菩提心。	Nay cho tu sửa công việc hoàn thành, số tiền chi dùng đều được dựa vào người có đức, có tấm lòng đôn hậu, phát tâm bồ đề.
當使錢五拾貫，佛應為後佛，鑑鐫石謁芳名。	Cứ 50 tiền sử quan được bầu làm Hậu Phật, khắc tên vào đá, lưu được tiếng thơm.
其本社有銘言曰係生時社俵敬恭以報其效沒，升遐社承懺悔以，答其恩因。	Bản xã khắc lời nói vào đá rằng: Khi Hậu còn sống bản xã tụng niệm để báo đáp ân huệ noi gương, khi mất bản xã sám hối để đáp lại ân tình.
此圖像形容，因此立碑頌德，使萬代如見，使百世不遷，得鑑永遠無忘，足為法垂云耳。	Nhân đó tạc tượng, nhân đó dựng bia ca ngợi công đức để năm như còn thấy, trăm đời không đổi, để mãi làm tấm gương vĩnh viễn không được làm trái mà quên đi, đủ làm khuôn phép để lại muôn đời.
陽德三年源庭節桂月穀日。	vạn Ngày tốt tháng 8 niên hiệu Dương Đức thứ 3 (1674).
脩國子監中舍生杜曰明達夫撰。	Tu Quốc tử giám Trung xá sinh Đỗ Viết Minh, hiệu Đạt phu soạn.
無題。	VÔ ĐỀ.
皇朝嗣德十七年冬十月富雞社仝邑記。	Mùa đông tháng 10 niên hiệu hoàng triều Tự Đức thứ 17 (1864) toàn xã Phú Kê làm bài ký.
吾邑文址故諒江教授杜先生並，同辰色目所立也。	Văn chỉ của ấp ta là do Giáo thụ xứ Lạng Giang Đỗ tiên sinh và các sắc mục cùng nhau xây dựng ở bên trái đình.
在亭之左科目職色始，合祭。	Các vị chức sắc, khoa mục mới bắt đầu hợp tế ở đó.
歲辛酉河内解元安泰阮先生來尹数巡行憩吾，邑以址地永古為言先，生為之擇地移設。	Năm Tân Dậu có Giải nguyên Nguyễn tiên sinh người phường Yên Thái, Hà Nội đến làm quan huyện nhiều lần tuần hành và dừng chân nghỉ lại ở ấp ta, ông thấy nền đất ở đây rất cổ, nên chọn làm chỗ xây văn chỉ.
是歲十月日起工未成。壬戌因兵_火輟焉。	Tháng 10 khởi công việc chưa xong, năm Nhâm Tuất vì gặp nạn binh đao nên phải tạm hoãn.
甲子春吾邑商同以卒其事，科宦列先並其舊職色諸子孫捐貲有差得錢壹千五百靈，鳩匠繼辨，正堂一配座，二從配從祀座各二禮堂一香案一磚牆，四圍冬臘月工竣，遂以事序之，始終與鄉先之名爵登于石。	Đến mùa xuân năm Giáp Tý mọi người trong ấp cùng nhau bàn bạc, quyết định phải làm xong văn chỉ. Các vị đỗ đạt và các bậc kì lão, chức sắc trong làng cùng các con cháu quyên góp tiền của được hơn 1500 đồng, thuê thợ làm tiếp chính đường, một phối tòa, và có hai tòa tòng tự, lễ đường có hương án, làm tường bao xung quanh. Vào mùa đông tháng chạp thì hoàn thành, bèn thuật lại đầu đuôi sự việc, và khắc tên cùng tước hiệu các vị công đức vào bia.
一恭進錢文有差壬辰科進士至監察御史[官杜相公字廷煥五貫花。	Những người đóng góp tiền nhiều ít khác nhau gồm: Tiến sĩ khoa Nhâm Thìn Giám sát ngự sử Đỗ tướng công, tự Đình Hoán, công đức 5 quan.
文_場進士特進金紫榮祿大夫阮相公字，輝錦號，明霞先生陸貫。	Tiến sĩ trường Hoa Văn Đặc tiến kim Tử vinh lộc đại phu Nguyễn tướng công, tự Huy Cẩm, hiệu Minh Hà công đức 6 quan.
鄉試解元杜令公字敦敏號，富嚴先生拾五貫。	Đỗ Giải nguyên khoa thi hương Đỗ lệnh công tự Đôn Mẫn, hiệu Phú Nghiêm công đức 15 quan.
謹事佐郎金山縣知縣杜貴公字廷揚諡，溫浩號，育德先生參拾貫。	Cẩn sự tá lang Tri huyện huyện Kim Sơn họ Đỗ tự Đình Dương, thụy Ôn Hạo, hiệu Dục Đức công đức 30 quan.
领講諭職武貴公諡揚朗號，樂天先生陸貫。	Lãnh chức Giảng dụ ông họ Vũ thụy Dương Lãng, hiệu Lạc Thiên công đức 6 quan.
選鄉貢場首選清池縣武貴公諡春旦號，天一先生陸貫。	Trưởng tràng Hương cống Tri huyện huyện Thanh Trì họ Vũ thụy Xuân Đán, hiệu Thiên Nhất công đức 6 quan.
皇朝成泰癸卯年春新鐫石榜。恭聞地厚氣鍾，神靈民福，是以修崇庙宇，廣集善端_禮也。	MÙA XUÂN NĂM QUÝ MÃO NIÊN HIỆU THÀNH THÁI (1903) KHẮC BẢNG ĐÁ Kính nghe: Đất dầy thì khí tụ, thần thiêng dân hưởng phúc, thế nên chuộng tu miếu vũ, nhân rộng mối thiện là điều lễ vậy.
我本社奉事四位最靈宮庭龍地，衍瑞靈通，吉虎沙鍾，文脈之潭，人傑地靈，至今為烈。	Ấp ta phụng thờ bốn vị thần linh thiêng, cung đình đặt nơi đất rồng, linh thông có nhiều điềm tốt, chung đúc mạch văn sâu rộng, nhân kiệt địa linh, đến nay còn rõ.
茲日以新之内，尊禁殿外甫祭一堂，錦元雲磚音翔鳳，舜集百家之產，表一邑之尊。	Ngày nay bên trong cung cấm được xây mới, phía ngoài điện dùng để tế lễ còn đẹp nguyên như gấm lụa, trên tường hình chim phượng múa lượn dưới mây, đó là vật báu của trăm nhà, là sự tôn nghiêm của một ấp.
蓋非一日有恭進恒心故，詳石榜以記.。	Đó chẳng phải chỉ một ngày mà có hằng tâm cung tiến được, cho nên ghi rõ vào bia đá và làm bài ký.
阮春俸供四貫，阮春悅供四貫，武富供四貫，阮有居供四貫，阮春穎供四貫，阮公紀供四貫。	Nguyễn Xuân Bổng cung tiến 4 quan, Nguyễn Xuân Duyệt cung tiến 4 quan, Vũ Phú cung tiến 4 quan, Nguyễn Hữu Cư cung tiến 4 quan, Nguyễn Xuân Dĩnh cung tiến 4 quan, Nguyễn Công Kỷ cung tiến 4 quan.
癸卯年當次看守杜廷利供六貫。	Năm Quý Mão đương thứ Khán thủ Đỗ Đình Lợi cung tiến 6 quan.
武富勳供四貫，阮有容供四貫，諸後阮氏，_阮氏，棋阮氏樁供拾捌貫。	Vũ Phú Cần cung tiến 4 quan, Nguyễn Hữu Dung cung tiến 4 quan, chư Hậu Nguyễn Thị, Nguyễn Thị Kỳ, Nguyễn Thị Xuân cung tiến 18 quan.
壬寅年隸兵供六拾貫，王壺場供貳拾肆貫，阮氏供拾貫，陳氏凜供拾貫，阮氏升供參貫，阮氏對供陸貫，阮氏齊供陸貫，杜氏蔑供三貫，阮氏辰供陸貫，武氏寬供陸貫，杜氏車供拾貳貫，杜氏旦供陸貫，阮氏絲供陸貫，段氏郡供陸貫。阮氏緣供拾捌貫，杜氏_供陸貫，黃氏曼供陸貫，范氏依供陸貫阮氏春供陸貫阮氏道供陸貫阮氏據供參貫，阮氏智供陸貫，阮氏比供陸貫，阮氏蘭供拾貳貫，裴氏燿供拾貫，阮氏面供陸貫，阮氏圭供陸貫，阮氏賞供陸貫，阮氏籟供陸貫，阮氏逗供陸貫，阮氏端供陸貫，阮氏蒙供陸貫，舊堆社阮文判供陸貫，杜氏盖供三貫，阮氏撐供三貫，杜氏供四貫。	Năm Nhâm Dần lính Lệ cung tiến 60 quan, Vương Hồ Trường cung tiến 24 quan, Nguyễn Thị cung tiến 10 quan, Trần Thị Lẫm cung tiến 10 quan, Nguyễn Thị Thăng cung tiến 3 quan, Nguyễn Thị Đối cung tiến 6 quan, Nguyễn Thị Tề cung tiến 6 quan, Đỗ Thị Miệt cung tiến 3 quan, Nguyễn Thị Thìn cung tiến 6 quan, Vũ Thị Khoan cung tiến 6 quan, Đỗ Thị Xa cung tiến 12 quan, Đỗ Thị Đán cung tiến 6 quan, Nguyễn Thị Ty cung tiến 6 quan, Đoàn Thị Quận cung tiến 6 quan. Nguyễn Thị Duyên cung tiến 18 quan, Đỗ Thị Ngọt cung tiến 6 quan, Hoàng Thị Mạn cung tiến 6 quan, Phạm Thị Y cung tiến 3 quan, Nguyễn Thị Trí cung tiến 6 quan, Nguyễn Thị Tỉ cung tiến 6 quan, Nguyễn Thị Lan cung tiến 12 quan, Bùi Thị Nắng cung tiến 10 quan, Nguyễn Thị Diện cung tiến 6 quan, Nguyễn Thị Khuê cung tiến 6 quan, Nguyễn Thị Thưởng cung tiến 6 quan, Nguyễn Thị Lớn cung tiến 6 quan, Nguyễn Thị Đậu cung tiến 6 quan, Nguyễn Thị Đoan cung tiến 6 quan. Nguyễn Thị Mông cung tiến 6 quan, Nguyễn Văn Phán xã Cựu Đôi cung tiến 6 quan, Đỗ Thị Cái cung tiến 3 quan, Nguyễn Thị Xanh cung tiến 3 quan, Đỗ Thị cung tiến 4 quan.
