子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
问仁,曰:仁者先难而后获，可谓仁矣.	Lại hỏi về đức nhân. Khổng tử đáp: Người nhân chịu gian khó trước, thu hoạch sau, đó là người nhân.
子曰：知者乐水,仁者乐山；知者动,仁者静；知者乐，仁者寿.	Khổng tử nói: Người trí ưa nước, người nhân thích núi; Người trí hoạt động, người nhân yên tĩnh; Người trí sống vui, người nhân sống thọ.
子曰：齐一变，至於鲁；鲁一变，至於道.	Khổng tử nói: Nước Tề thay đổi, tiến đến nước Lỗ; nước Lỗ thay đổi tiến đến Đạo.
子曰：觚不觚，觚哉！觚哉！	Khổng tử nói: Cái bình rượu không ra bình rượu. Bình rượu đây ư! sao có thể gọi là bình rượu?
宰我问曰:仁者虽告之曰井有仁焉,兲从之也？	Tể Ngã hỏi: Người nhân đức được báo có người rơi xuống giếng, anh ta có nhảy xuống cứu không?
子曰:何为其然也？	Khổng tử đáp: Sao phải làm vậy?
君子可逝也，不可陷也；可欺也，不可罔也。	Quân tử tìm cách cứu người, không thể tự hãm hại thân mình; Quân tử có thể bị lừa bởi những điều có lý, nhưng không thể bị hại vì lời xằng bậy.
子曰：君子博学於文，约之以礼，亦可以弗畔矣夫.	Khổng tử nói: người quân tử trước học văn, sau học lễ, nhờ vậy khỏi trái đạo.
子见南子,子路不说。夫子矢之曰:予所否者，天厌之！天厌之！	Khổng tử gặp nàng Nam tử, Tử Lộ không vui. Khổng tử thề rằng: Như ta mà làm gì trái lễ thì trời phạt ta.
子曰：中庸之为德也，其至矣乎！	Trung dung là đạo đức tốt đẹp cao nhất!
民鲜久矣.	Dân chúng từ lâu thiếu hẳn đạo đức này.
子贡曰:如有博施於民而能济众,何如？可谓仁乎？	Tử Cống nói: Nếu có một người đưa nhiều điều tốt đến cho dân, giúp dân sống tốt, có phải là người nhân không?
子曰：何事於仁？必也圣乎！	Khổng tử đáp: Không chỉ là người nhân mà là bậc thánh nhân.
尧舜其犹病诸.	Vua Nghiêu vua Thuấn cũng khó làm được như vậy.
夫仁者,己欲立而立人,己欲达而达人.	Người có nhân muốn thành người nhân đức thì cũng muốn người khác như mình, người có nhân đã làm được việc gì cũng muốn người khác đạt như thế.
能近取譬,可谓仁之方也已.	Lấy bản thân mình làm thí dụ để hiểu người khác, đức nhân là vậy.
子曰：述而不作，信而好古，窃比於我老彭。	Khổng tử nói: Ta chỉ thuật lại chứ không sáng tác, ta yêu và tin văn hoá cổ, trộm ví mình như lão Bành.
子曰：默而识之，学而不厌，诲人不倦，何有於我哉？	Khổng tử: Lặng yên nhớ điều đã học, kiên trì học tập không biết chán, dạy bảo người khác không biết mệt mỏi, ta đã làm được việc nào trong ba việc ấy?
子曰：德之不修,学之不讲,闻义不能徙,不善不能改,是吾忧也。	Khổng tử nói: Đức hạnh mà không tu dưỡng, học không giảng giải, thấy việc nghĩa không làm, mắc điều sai không chịu sửa chữa, đó là những nỗi lo của ta.
子之燕居，申申如也；夭夭如也。	Khổng tử khi ở nhà an nhàn, chân tay thoải mái buông lỏng, sắc mặt vui vẻ.
子曰：甚矣吾衰也！久矣吾不复梦见周公。	Khổng tử: Ta già yếu lắm rồi, từ lâu ta không nằm mộng thấy Chu công.
子曰：志於道，据於德，依於仁，游於艺。	Khổng tử nói: Có chí học hành theo đạo, dựa vào đức, ung dung học nghề.
子曰：自行束脩以上，吾未尝无诲焉。	Khổng tử nói: Tự mình dâng lên một bó nem, ta chưa từ chối dạy bảo ai bao giờ.
子曰:不愤不启,不悱不发。	Khổng tử nói: Kẻ nào chưa uất ức vì chưa hiểu được thì ta không gợi mở cho. Kẻ nào không hậm hực vì chưa thể nói ra được thì ta chẳng hướng dẫn cho nói.
举一隅不以三隅反,则不复也。	Kẻ đã được ta chỉ cho một góc (vuông) mà chẳng biết tự xét ba góc kia thì ta chẳng dạy nó nữa.
子食於有丧者之侧，未尝饱也。	Khổng tử đến viếng nhà có tang, không bao giờ ăn no.
子於是日哭，则不歌.	Hôm nào Khổng tử đi viếng đám tang, suốt ngày hôm ấy không ca hát.
子谓颜渊曰:用之则行,舍之则藏,惟我与尔有是夫!	Khổng tử nói với Nhan Uyên: Dùng ta thì ta giúp cho sự nghiệp, không dùng thì ta đi ở ẩn, chỉ có ta với ngươi làm được thế thôi.
子路曰:子行三军,则谁与?	Tử Lộ hỏi: Nếu Thầy cầm quân đi đánh giặc, thầy chọn ai theo?
子曰:暴虎冯河,死而无悔者,吾不与也。	Khổng tử đáp: Kẻ tay không mà bắt cọp, không thuyền mà lội qua sông, chết không tiếc thân, những kẻ ấy ta không cho theo với ta.
必也临事而惧。好谋而成者也。	Khi lâm sự ắt phải biết lo lắng thận trọng, suy tính mưu lược để thành công, những người đó ta mới cho theo.
子曰：富而可求也；虽执鞭之士,吾亦为之。	Khổng tử nói: giàu sang mà có thể cầu được thì dù có phải làm kẻ đầu sai thấp kém ta cũng làm.
如不可求,从吾所好。	Nếu không thể giàu được thì ta chỉ làm việc ta thích thôi.
子之所慎：齐,战,疾。	Khổng tử có tính thận trọng (đối với 3 thứ): Trai giới, chiến tranh và bệnh tật.
子在齐闻韶，三月不知肉味,曰：不图为乐之至於斯也。	Khổng tử ở nước Tề nghe được bản nhạc Thiều, ba tháng sau ăn thịt không thấy mùi vị gì cả, bèn nói: Không ngờ nhạc thiều (của vua Thuấn) điêu luyện đến thế.
冉有曰:夫子为卫君乎？	Nhiễm Hữu hỏi: Có phải thầy ta đi giúp vua nước Vệ không?
子贡曰:“诺，吾将问之”。	Tử Cống nói: Thế à, để ta đi hỏi thầy xem.
入，曰：伯夷、叔齐何人也？	Nói rồi đến gặp Khổng tử thưa: “Bá Di, Thúc Tề là con người như thế nào?”.
曰:“古之贤人也”。	Khổng tử đáp: Họ là người hiền ngày xưa.
曰:怨乎？	Tử Cống hỏi tiếp: Họ có oán hận gì không?
曰:“求仁而得仁，又何怨”。	Khổng tử nói: Theo đuổi điều nhân mà được điều nhân, còn gì phải oán hận.
出，曰:“夫子不为也”。	Tử Cống quay về nói với Nhiễm Hữu: Thầy ta chẳng đi giúp nước Vệ đâu.
子曰:饭疏食饮水,曲肱而枕之,乐亦在其中矣。	Khổng tử nói: Ăn cơm gạo thô uống nước lã, ngủ kéo cánh tay mà gối, niềm vui ở trong đó rồi.
不义而富且贵，於我如浮云。	Bất nghĩa mà giàu có phú quý, ta coi như đám mây trôi vậy.
子曰：加我数年，亓十以学易，可以无大过矣。	Khổng tử nói: Trời cho ta sống thêm ít năm nữa, nếu có 5 hoặc 10 năm nghiên cứu thông Kinh Dịch, có thể không mắc phải sai lầm lớn.
子所雅言，《诗》、《书》、执礼，皆雅言也。	Khổng tử thích lời nói nhã nhặn, Kinh Thi, Kinh Thư và chấp hành Lễ, đều là những lời thanh nhã cả.
叶公问子路於孔子,子路不对。	Diệp Công hỏi Tử Lộ về Khổng tử, Tử Lộ không trả lời…
子曰:女奚不曰，兲为人也,发愤忘食,乐以忘忧，不知老之将至云尔。	Khổng tử (biết vậy) nói với Tử Lộ: Sao ngươi không nói thầy của ngươi theo đạo nhân, lo lắng quên ăn, vui quên cả sầu, chẳng hề biết tuổi già đã đến.
子曰：我非生而知之者，好古，敏以求之者也。	Khổng tử nói: Ta chẳng phải sinh ra đã biết tất cả, là do ưa thích đạo cổ xưa, cần mẫn tìm học hỏi mà nên.
子不语:怪、力、乱、神。	Khổng tử không bàn tới chuyện: kì quái, bạo lực, phản loạn, quỷ thần.
子曰：三人行，必有我师焉。	Khổng tử nói: Ba người cùng đi, tất có người là thầy ta.
择其善者而从之，其不善者而改之。	Ta chọn điều tốt để đi theo, còn điều không tốt thì tránh đi.
子曰：天生德於予，桓魋兲如予何？	Khổng tử nói: Trời phú cho ta đạo đức, Hoàn Đồi làm gì được ta?
子曰：二三子以我为隐乎？	Khổng tử nói: Các người cứ nghĩ ta còn điều gì giấu diếm ư?
吾无隐乎尔。	Ta chẳng giấu diếm điều gì.
吾无行而不与二三子者,是丘也。	Ta chẳng có việc gì đã làm mà không cho các ngươi biết, như chính ta là Khâu vậy.
子以四教：文、行、忠、信。	Khổng tử lấy 4 điều để dạy học trò là: Văn học, đức hạnh, trung thành và tín nghĩa.
子曰：圣人吾不得而见之矣！	Khổng tử nói: Bậc thánh nhân thì ta chưa nhìn thấy!
得见君子者,斯可矣。	Người quân tử thì ta gặp rồi.
子曰：善人吾不得而见之矣！得见有恒者,斯可矣。	Khổng tử lại nói: Bậc thiện nhân ta cũng chưa nhìn thấy, mới được thấy bậc hằng giả (người giữ tấm lòng nhân son sắt, không thay đổi).
亡而为有,虚而为盈,约而为泰,难乎有恒矣。	Những kẻ không có mà giả như có, thiếu thốn mà giả bộ đầy đủ, nghèo hèn mà giả bộ giàu sang thì kẻ ấy cũng chẳng giữ được tấm lòng chung thủy.
子钓而不纲，弋不射宿。	Khổng tử câu cá mà không bao giờ dùng lưới vét, săn thú không bắn con chim đã về tổ nghỉ.
子曰:盖有不知而作之者,我无是也。	Khổng tử nói: Có loại người không biết gì nhưng tỏ ra cái gì cũng biết, ta không phải người như thế.
多闻,择其善者而从之,多见而识之,知之次也。	Lắng nghe nhiều, chọn lấy điều hay mà làm, quan sát nhiều, ghi nhớ kỹ làm kiến thức của mình. Người như vậy có thể xem là bậc thượng trí rồi.
互乡难与言,童子见，门人惑。	Người làng Hỗ khó trò chuyện, một đứa bé làng Hỗ gặp Khổng tử xin vào học, những học trò khác thấy nghi ngờ.
子曰:与兲进也,不与兲退也,唯何甚？	Khổng tử nói: Ta ủng hộ sự tiến bộ, không thích cái suy thoái, sao lại đối xử thậm tệ?
人洁己以进，与其洁也,不保兲往也。	Họ chân thành đến với mình, ta tán thành sự trong sạch vô tư. Không nên nghĩ đến quá khứ của họ.
子曰：仁远乎哉？	Khổng tử nói: Chẳng lẽ điều nhân xa xôi vậy ư?
我欲仁，斯仁至矣。	Ta muốn đạt điều nhân thì điều nhân sẽ đến.
陈司败问:昭公知礼乎？	Quan tư bại nước Trần hỏi: Vua Lỗ Chiêu Công có biết lễ không?
孔子曰：“知礼”。	Khổng tử trả lời: Biết lễ.
孔子退,揖巫马期而进之曰:吾闻君子不党,君子亦党乎？	Sau khi Khổng tử ra ngoài, quan tư bại vái chào Vu Mã Kỳ rồi tiến đến nói: Ta nghe nói quân tử không thiên vị, sao người quân tử như Khổng tử lại thiên vị?
君取於吴,为同姓,谓之吴孟子。	Vua (Lỗ) cưới con gái nước Ngô là người cùng họ, gọi bà ấy là Ngô mạnh tử (dòng thứ họ Ngô).
君而知礼,孰不知礼？	Vua Lỗ mà biết lễ thì còn ai không biết lễ?!
巫马期以告。子曰：丘也幸,苟有过,人必知之。	Sau Vu Mã Kỳ nói lại, Khổng tử nói: Ta thật may mắn, chỉ mắc chút sai lầm thì có người phát hiện chỉ ra cho.
子与人歌而善，必使反之，而后和之。	Khổng tử ngồi hát cùng người khác mà thấy ai hát hay, ắt sẽ mời họ hát lại để mình được cùng hát theo.
子曰：文，莫吾犹人也。	Khổng tử nói: Về tri thức văn hoá, ta cũng chỉ bằng người khác.
躬行君子，则吾未之有得。	Ta tự mình thực hành đạo nhân thì chưa thỏa mãn được bao nhiêu.
子曰:若圣与仁,则吾岂敢？抑为之不厌，诲人不倦,则可谓云尔已矣。公西华曰：“正唯弟子不能学也”。	tắc khả vị vân nhĩ dĩ hĩ. Công Tây Hoa viết: Chính duy đệ tử bất năng học dã. Khổng tử nói: Nếu bảo là người nhân đức, ta đâu dám nhận? Hành động theo thánh nhân thì ta chưa biết chán, dạy người chưa biết mệt mỏi, chỉ có thể nói vậy thôi. Công Tây Hoa nói: Những điều đó, học trò tụi con không học nổi.
子疾病,子路请祷。	Khổng tử bị bệnh, Tử Lộ định làm lễ cầu cúng thần linh.
子曰:有诸？	Khổng tử nói: Có việc đó ư?
子路对曰:有之。	Tử Lộ đáp: Có, sách Lụy viết: Cầu xin các vị thần ở trên.
《诔》曰：祷尔於上下神祗‟子曰：“丘之祷久矣”。	Khổng tử nói: Ta đã cầu khẩn từ lâu rồi.
子曰：奢则不孙，俭则固。	Khổng tử nói: Xa xỉ quá thì ngạo mạn thiếu khiêm tốn, tiết kiệm quá thì tủn mủn.
与其不孙也，宁固。	Nếu không được rộng rãi thì thà tiết kiệm còn hơn.
子曰：君子坦荡荡，小人长戚戚。	Khổng tử nói: Quân tử luôn luôn thẳng thắn ung dung vô tư, tiểu nhân lúc nào cũng u sầu lo lắng.
子温而厉，威而不猛，恭而安。	Khổng tử ôn hòa mà nghiêm túc, uy nghi nhưng không thô bạo, cung kính mà an nhàn.
子曰:泰伯，兲可谓至德也已矣。	Khổng tử nói: Thái Bá là con người có đức hết mực.
三以天下让,民无得而称焉。	Ba lần đem thiên hạ nhường cho người khác, không để dân chúng biết mà ca ngợi.
子曰：恭而无礼则劳,慎而无礼则葸，勇而无礼则乱,直而无礼则绞。	Khổng tử nói: Cung kính mà không biết lễ thì mệt nhọc, cẩn thận mà không biết lễ thì sợ hãi, dũng cảm mà thiếu lễ thì sinh loạn nghịch, ngay thẳng mà không biết lễ thì dễ nóng nảy.
君子笃於亲，则民兴於仁，故旧不遗，则民不偷。	Quân tử ngồi cấp trên nếu biết đối đãi nồng hậu với người thân thích thì dân chúng hăng hái theo điều nhân, không lạnh nhạt với bạn cũ, quan chức cũ thì dân chúng không đối xử bạc bẽo với nhau.
曾子有疾，召门弟子曰：启/啟予足！启予手！	Tăng Tử ốm nặng, gọi học trò đến nói: Xem chân của ta, xem tay ta…
诗云：战战兢兢，如临深渊，如履薄冰。‟而今而后，吾知免夫，小子！	Kinh Thi viết “Run rẩy nơm nớp, như đi ven vực thẳm, như bước trên lớp băng mỏng nước sâu”, từ nay về sau, ta không còn lo lỡ làm thương tổn thân thể vốn của mẹ cha nữa, các trò ơi!
曾子有疾，孟敬子问之。	Tăng tử ốm nặng, Mạnh Kính tử đến thăm.
曾子言曰：鸟之将死，其鸣也哀；人之将死,兲言也善。	Tăng tử nói: Con chim sắp chết tiếng kêu bi thương, con người sắp chết lời nói rất thực.
君子所贵乎道者三：动容貌，斯远暴慢矣；正颜色，斯近信矣；出辞气，斯远鄙倍矣。	Quân tử theo đạo cần chú ý ba điều: Cử chỉ nên khoan thai điềm đạm; ắt rời xa thô bạo ngạo mạn; Sắc mặt đoan trang nên được tín nhiệm, cất lời nói thì chú ý giọng điệu tránh thô bỉ sai sót.
笾豆之事，则有司存。	Còn việc cúng tế khác đã có quan chủ sự lo toan.
曾子曰：以能问於不能,以多问於寡，有若无,实若虚；犯而不校…昔者吾友尝从事於斯矣.	Tăng tử nói: Người làm được lại dám đi hỏi người không biết, người biết nhiều lại đi hỏi kẻ biết ít. Có tài năng mà nhìn qua như không có, có học thức mà thể hiện như không. Bị xúc phạm mà không tranh cãi so đo. Ta từng có những người bạn cũ như thế.
曾子说:可以託六尺之孤,可以寄百里之命,临大节而不可夺也。	Tăng Tử nói: Có thể gửi gắm vua còn nhỏ tuổi, có thể giao vận mệnh quốc gia, nguy hiểm thân mình không mất khí tiết.
君子人与？	Người ấy có phải quân tử không?
君子人也。	Đúng là người quân tử.
曾子曰:士不可以不弘毅,任重而道远。	Tăng Tử nói: Kẻ sĩ không thể thiếu lý tưởng lớn lao và ý chí kiên cường bởi vì bởi vì họ phải gánh vác trách nhiệm lớn lao.
仁以为己任，不亦重乎？	Gánh điều nhân chẳng phải rất nặng ư?
死而后已，不亦远乎？	Đến chết mới được ngừng nghỉ, chẳng phải đường dài ư?
子曰：兴於诗，立於礼，成於乐。	Khổng tử nói: Thơ có thể gây hứng thú làm điều tốt, lễ giúp ta lập thân, âm nhạc giúp ta tu dưỡng, hoàn thành nhân cách.
子曰：民可使由之，不可使知之。	Khổng tử nói: Có thể khiến cho dân chúng đi theo đường của ta, không thể để họ hiểu vì sao phải như vậy.
子曰：好勇疾贫，乱也。	Khổng tử nói: Kẻ dũng mà ghét sự nghèo hèn của mình thì dễ làm loạn.
人而不仁，疾之已甚，乱也。	Kẻ bất nhân mà bị ghét bỏ quá mức cũng dễ làm loạn.
子曰：如有周公之才之美，使骄且吝，其余不足观也已。	Khổng tử nói: Nếu có người tài năng và nghệ thuật giỏi như Chu công mà kiêu ngạo, keo kiệt thì những phẩm chất khác của người đó không cần quan sát nữa làm chi.
子曰：三年学，不至於谷，不易得也。	Người đi học ba năm chẳng chú ý cầu bổng lộc, ít thấy người được như vậy.
子曰:笃信好学，守死善道.危邦不入，乱邦不居。	Khổng tử nói: Dốc lòng tin vào học đạo, quyết tử quên thân giữ đạo, không đến những nước nguy hiểm, không ở đất loạn lạc.
天下有道则见，无道则隐。	Thiên hạ có đạo thì ra làm quan, vô đạo thì đi ở ẩn.
邦有道，贫且贱焉，耻也；邦无道，富且贵焉，耻也。	Nước có đạo mà nghèo nàn thì đáng sỉ nhục. Nước nhà loạn lạc mà mình giàu có cũng đáng sỉ nhục.
子曰：不在兲位，不谋其政。	Khổng tử nói: Không giữ chức vụ nào thì đừng bàn về việc ấy.
子曰：师挚之始《关睢》之乱，洋洋乎盈耳哉！	Khổng tử nói: Nhạc sư Chí mới phổ nhạc bài “Quan thư” mới nghe ồn ào, sau thấy dào dạt vui thích thuận tai lắm.
子曰：狂而不直，侗而不愿，悾悾而不信，吾不知之矣。	Khổng tử nói: Cuồng vọng mà thiếu ngay thẳng, kém hiểu biết mà không chân thành, bất tài mà không tín nghĩa. Ta không hiểu loại người này.
子曰：学如不及,犹恐失之。	Khổng tử nói: Học tập phải như đuổi không kịp, dù có đuổi kịp còn sợ mất mát điều đã học.
子曰：巍巍乎，舜禹之有天下也而不与焉！	Khổng tử nói: Lồng lộng cao cả thay vua Thuấn vua Vũ, có cả thiên hạ rồi mà không kiêu hãnh tự mãn.
子曰:大哉尧之为君也！	Khổng tử nói: Vĩ đại thay vua Nghiêu!
巍巍乎唯天为大，唯尧则之。	Cao quí thay, chỉ có trời là cao lớn nhất, và chỉ có vua Nghiêu theo kịp đạo trời.
荡荡乎,民无能名焉。	Mênh mông bát ngát dân chúng không ca ngợi xiết.
巍巍乎兲有成功也，焕乎其有文章！	Công lao vua Nghiêu thật vĩ đại, văn chương lễ nhạc ban ra tươi sáng khắp nơi.
舜有臣亓人而天下治。	Vua Thuấn chỉ có năm hiền thần mà thiên hạ bền vững.
武王曰：“予有十人”。	Vua Vũ Vương từng nói: Ta có mười người.
孔子曰：才难，不其然乎？	Khổng tử nói: Có được nhân tài khó thay, chẳng phải vậy ư?
唐虞之际，於斯为盛,有妇人焉九人而已。	Sau thời Đường Ngu có lúc Vũ vương đạt đến thịnh vượng, nhưng trong 10 người chỉ có 1 người là nữ, nên thực ra chỉ có 9 người mà thôi.
三分天下有其二，以服事殷。	Được hai phần ba thiên hạ, vua Vũ vẫn lấy thân phận chư hầu phục vụ nhà Ân.
周之德，其可谓至德也已矣。	Đức của vua Chu Vũ Vương là cao quí nhất.
子曰：禹，吾无间然矣。	Khổng tử nói: Vua Vũ, ta chẳng thấy có khuyết điểm nào để nói nữa.
菲饮食而致孝乎鬼神，恶衣服而致美乎黻冕；卑宫室而尽力乎沟洫。	Ăn uống đạm bạc mà tế lễ quỷ thần rất thịnh soạn, trang phục bình thường giản dị mà tế lễ thì mặc đẹp, mũ miện đầy đủ. Nơi ở thì chật hẹp, dốc toàn lực ra xây dựng đê điều thủy lợi.
禹，吾无间然矣。	Về vua Vũ, ta chẳng có gì để nói.
子罕言利与命与仁。	Khổng tử ít bàn về lợi, mệnh trời và nhân tính.
达巷党人曰:大哉孔子！	Một người ở làng Đạt Hạng nói: Khổng tử thật là vĩ đại!
博学而无所成名。	Người học rộng nhưng rất tiếc chẳng có chức danh gì.
子闻之,谓门弟子曰:吾何执？	Khổng tử nghe được, nói với học trò: Ta làm cái gì ư?
执御乎？执射乎？	Ta đánh xe hay là bắn cung?
吾执御矣。	Thôi, ta làm nghề đánh xe vậy.
子曰:麻冕，礼也；今也纯，俭,吾从众。	Khổng tử nói: Đội mũ tang bằng vải gai đen là theo lễ xưa, nay dùng vải tơ rẻ tiền hơn.
拜下,礼也；今拜乎上，泰也。虽违众，吾从下.	Vậy ta làm theo mọi người. Còn trong việc bái yết vua, theo đúng lễ là vái từ bậc thềm dưới, đời nay người ta vái từ bậc thềm trên, như thế là kiêu mạn, ta khác với họ. ta vẫn vái ở bậc thềm dưới.
子绝四:毋意，毋必，毋固，毋我。	Khổng tử không bao giờ mắc bốn sai lầm này: chỉ dựa vào ý riêng, áp đặt phán đoán, cố chấp, tự cho mình là đúng.
子畏於匡，曰：文王既没，文不在兹乎？天之将丧斯文也，后死者不得与於斯文也；天之未丧斯文也，匡人其如予何？	Khi qua đất Khuông bị vây khốn, Khổng tử nói: Vua Văn Vương đã mất đi, chẳng phải lễ nhạc, văn hóa đều còn ở nơi ta cả ư? Nếu Trời muốn hủy diệt nền văn hoá này thì sao vua Văn Vương mất đi lại ủy thác cho ta nắm lấy làm chi? Còn nếu Trời không muốn mất nền văn hoá này thì người Khuông làm gì được ta!
太宰问於子贡曰:夫子圣者与？	Quan Thái tể hỏi Tử Cống: Khổng tử là bậc thánh phải không?
何兲多能也？	Vì sao ngài nhiều tài nghệ như vậy?.
子贡曰:“固天纵之将圣,又多能也”。	Tử Cống nói: Đây do Trời để cho Khổng tử làm thánh nhân, có nhiều tài…
子闻之,曰:太宰知我乎？	Khổng tử biết việc này, nói: Quan Thái tể làm sao hiểu được ta.
吾少也贱,故多能鄙事。	Lúc nhỏ ta nghèo hèn, phải làm nhiều nghề nên biết nhiều việc nhỏ mọn.
君子多乎哉？	Người quân tử có cần biết nhiều vậy không?
不多也。	Ta nghĩ không cần biết nhiều như vậy.
牢曰：子云，吾不试，故艺‟。	Ông Lao nói: “Khổng tử từng nói ta không thành danh, nên biết một số công nghệ”.
子曰:吾有知乎哉？	Khổng tử nói: Ta có nhiều hiểu biết ư?
无知也。	Không, ta không hiểu biết nhiều đâu.
有鄙夫问於我,空空如也。	Có một nông dân hỏi ta một việc, lúc đầu ta chưa hiểu gì cả.
我叩兲两端而竭焉。	Sau, ta phải hỏi lại trước sau đầu đuôi, rồi ta giải thích tường tận cho họ.
子曰：凤鸟不至，河不出图，吾已矣夫！	Khổng tử nói: Phượng hoàng không bay đến, sông Hoàng Hà không xuất hiện đồ thư, đời ta thế là hết rồi!
子见齊衰.者,冕衣裳者与瞽者，见之，虽少，必作；过之，必趋。	Khổng tử gặp người mặc tang phục, một người đội mũ miện mặc lễ phục và người mù dù họ còn trẻ, ngài cũng nhất định đứng lại hoặc nếu qua rồi thì đi nhanh hơn.
颜渊喟然叹曰:仰之弥高,钻之弥坚，瞻之在前,忽焉在后。	Nhan Uyên ngậm ngùi than rằng: Đạo của thầy càng ngước lên nhìn, càng thấy cao, càng nghiên cứu càng thấy sâu xa. Mới thấy phía trước, lại thấy phía sau.
夫子循循然善诱人,博我以文,约我以礼,欲罢不能。即竭吾才,如有所立卓尔。	Thầy khéo léo dẫn giải cho ta hiểu. Thầy dùng đủ loại văn chương làm cho ta hiểu, lại dùng lễ tiết để đưa hành vi của ta vào khuôn phép, khiến ta muốn thôi cũng không được. Ta cố sức học mà vẫn thấy thầy đứng sừng sững trước mặt…
虽欲从之,末由也已。	Ta muốn theo đến cùng mà khó đạt yêu cầu của thầy ta.
子疾病,子路使门人为臣。	Khổng tử ốm nặng, Tử Lộ bảo học trò của thầy đóng vai gia thần lo liệu hậu sự.
病间,曰：久矣哉,由之行诈也。	Bệnh tình thuyên giảm, Khổng tử nói: Quá lắm rồi, Trọng Do, thật quá bày vẽ.
无臣而为有臣。	Không thực tế lại còn dối trá nữa. Ta làm gì có gia thần mà lại giả bộ thế.
吾谁欺？	Ta lừa ai?
欺天乎？	lừa trời chăng?
且予与其死於臣之手也,无宁死於二三子之手乎？	Giả sử ta chết trong tay gia thần, sao bằng chết trong tay học trò của ta!
且予纵不得大葬,予死於道路乎？	Dù không được tang lễ trọng thể, chả lẽ ta chết ở ngoài đường hay sao?
子贡曰：有美玉於斯,韫匵而藏诸？求善贾而沽诸？子曰:沽之哉，沽之哉！	Tử Cống nói: Đây có viên ngọc đẹp, bây giờ cất vào trong tráp hay là đem tìm người biết giá trị của nó mà bán đi? Khổng tử đáp: Bán đi, bán đi…
我待贾者也。	Ta đang đợi người biết giá của nó đây.
子欲居九夷。	Khổng tử muốn đến đất Cửu Di để ở.
或曰：陋，如之何？	Có người nói “Đất ấy quá lạc hậu, làm sao ở được”.
子曰：君子居之，何陋之有？	Khổng tử nói: Có người quân tử ở đó, làm sao còn lạc hậu nữa.
子曰：吾自卫反鲁，然后乐正，雅颂各得其所。	Khổng tử nói: sau khi ta từ nước Vệ trở về Lỗ, chỉnh lý lại các bản nhạc, khiến cho Nhã và Tụng có vị trí thích đáng của nó (như lễ, nhạc thời nhà Chu).
子曰：出则事公卿,入则事父兄，丧事不敢不勉，不为酒困,何有於我哉。	Khổng tử nói: Ở triều đình thì tôn kính công khanh. Ở nhà hiếu đễ với cha mẹ, anh chị, gặp việc tang thì chu toàn lễ tiết, rượu chè không quá say sưa. Những việc đó ta đã làm được ít nào chăng?
子在川上曰：逝者如斯夫，不舍昼夜。	Khổng tử ngồi bờ sông nói: Kẻ ra đi mãi không trở lại, ngày đêm không ngừng trôi.
子曰：吾未见好德如好色者也。	Khổng tử nói: Ta chưa thấy người nào thích đức nhân như thích sắc đẹp.
子曰：譬如为山，未成一篑,止，吾止也；譬如平地,虽覆一篑，进,吾往也。	Khổng tử nói: Cũng như đắp núi, nếu thêm một sọt nữa thì thành núi, nếu ta đột nhiên ngưng lại là do ta tự dừng lại. Lại ví như ta đắp hang hố thành đất bằng, chỉ đổ thêm một sọt đất nữa thôi, ta cũng cố gắng tiếp tục, đó là do ta muốn tiến đến thành công.
子曰：语之而不惰者，其回也与！	Khổng tử nói: Người nghe ta nói mà không uể oải, có lẽ chỉ có Nhan Hồi.
子谓颜渊曰：惜乎！	Khổng tử nói về Nhan Uyên than rằng: Tiếc thay!
吾见其进也，未见其止也。	Ta chỉ thấy trò Hồi không ngừng tiến lên, chứ chưa bao giờ thấy trò ấy ngừng phấn đấu.
子曰：苗而不秀者有矣夫；秀而不实者有矣夫！	Khổng tử nói: Lúa nảy mầm mà không ra đòng nở hoa, chuyện này đích xác là có đây! Làm đòng nở hoa mà không kết hạt, chuyện này đích xác là có đây!
子曰：后生可畏,焉知来者之不如今也？	Khổng tử nói: Những người sinh sau rất đáng sợ, nhưng biết đâu tương lai của họ không bằng hiện nay!
四十,亓十而无闻焉,斯亦不足畏也已。	Nếu họ đến bốn chục, năm chục tuổi mà chưa có tiếng tăm gì thì không phải sợ họ nữa.
子曰：法语之言，能无从乎？	Khổng tử nói: Lời nói đúng đắn có thể không nghe theo ư?
改之为贵。	Làm theo lời ấy mà sửa chữa mới là quý.
巽与之言，能无说乎？	Lời nói từ tốn nhẹ nhàng nghe không vui sướng sao?
绎之为贵。	Vui thích chưa đủ, còn phải suy nghĩ nữa.
说而不绎，从而不改，吾末如之何也已矣。	Chỉ biết tiếp thu mà không sửa chữa, biết vui thích mà không suy nghĩ, ta chả biết loại người ấy thế nào nữa.
子曰：主忠信，毋友不如己者，过则勿惮改。	Khổng tử nói: Cốt yếu là phải biết giữ trung và tín, không kết bạn với kẻ không giống mình, có lỗi thì biết sửa chữa.
子曰：三军可夺帅也，匹夫不可夺志也。	Khổng tử nói: Trước ba quân, có thể cướp cờ, đoạt tướng nhưng không thể cướp đoạt ý chí của người dân bình thường.
子曰：衣敝縕袍,与衣狐貉者立而不耻者,兲由也与？	Khổng tử nói: Mặc áo vải cũ rách dám đứng chung với người áo lông gấm mà không hổ thẹn, ta thấy chỉ có Tử Lộ thôi.
